,Unnamed: 0.2,Unnamed: 0.1,Unnamed: 0,id,longitude,latitude,date,UB,B,GR,R,NIR,SWIR_1,SWIR_2,ST_B10,pixel_qa,ALFA,NDVI_model,EVI,SAVI,T_LST,LAI,e_0,e_NB,longitude.1,latitude.1,NDVI_neg,pos_NDVI,int,sd_ndvi,NDWI,LST_neg,LST_NW,T_LST_DEM,LST_neg_1,LST_NW_1,Tao_sw,EA,W_ATM,Rl_up,Rs_down,Tao_sw.1,ES,EA_1,Rl_down,Rn,Ginst,zom,u_fr,Hinst,rah,dT,rah_first,zom_1,u_fr_1,ufric_star,constant,constant_1,ET_inst,ET_24h,LEinst,EF,id.1,longitude.2,latitude.2,Rn24h_G,AirT_G,RH_G,ux_G,SW_Down,cold_pixel_lat,cold_pixel_lon,cold_pixel_ndvi,cold_pixel_sum,cold_pixel_temp,hot_pixel_sum,hot_pixel_lat,hot_pixel_lon,hot_pixel_ndvi,hot_pixel_Rn,hot_pixel_G,hot_pixel_temp,Date,LE_closed,gridMET_ETo,Lat,Long,Elev_volk,Energy_balance,Land_cover_deets,Land_cover_volk,State,Name,Veg,LE_Daily_model,Landcover_wc,Elev_SRTM,Slope_SRTM,Canopy_height,clay_percent,silt_percent,sand_percent,Ksat,doy,R_LST,GR_LST,B_LST,NIR_LST,NDVI_LST,NDWI_LST,SWIR1_LST,SWIR2_LST
0,0,0,0,LC08_030036_20130601,-102.0978888693116,35.18615627944175,2013-06-01 17:22:24.230000128,0.08281,0.100685,0.1515875,0.2104375,0.3044874999999999,0.4124525,0.37871,309.988742,21824.0,0.227911515,0.1826479584405495,0.1297617240855972,0.1390004187501539,309.988742,0.075152184317879,0.9507515218431788,0.970248002208249,-102.09775235056276,35.186120343421955,-0.1826479583978653,0.1826479583978653,1,1,-0.3352518774324398,-309.988742,309.988742,318.2894661791103,-318.2894661791103,318.2894661791103,0.7978554336023904,0.6840060371239121,10.53725642313098,497.7757951222761,985.1579649800424,0.7978554336023904,2.75663638999591,0.6840060371239121,380.008613791524,624.1470934206562,154.40750723521344,0.0065530961482914,0.6604721834721895,293.0013998186338,9.282364553725284,2.460439095024228,11.06278850901321,0.0065530961482914,0.6604721834721895,0.7591836637896647,0.2422476708889007,-74.64443969726562,0.2657244555605639,2.6274901870153218,176.73818636680903,0.3762471623948608,0,-102.0978888693116,35.18615627944175,193.5332081985679,22.686690679909336,24.81306709895558,4.513429146566251,359.0729792003416,34.35725856716886,-102.30817782394055,0.699927568435669,452441,308.13275714,817538,33.981780245091635,-101.6326091121804,0.1932805627584457,554.656000693295,161.1747303348189,318.31503872,2013-06-01,,,35.1861,-102.097938,1174.0,,"Corn and sorghum, mid elevation sprinkler application",Annual crops,TX,LYS_SW,CRO,74.51562170375452,40,1180,0.9274099368611016,0,30.747802734375,48.50487518310547,15.254145622253418,-0.1008544564247131,152,65.233255894625,46.99041842792499,31.21121648827,94.38769707972496,56.61881086585423,-103.9243077384202,127.855631609755,117.39583648282
1,1,1,2,LC08_031035_20130608,-102.0978888693116,35.18615627944175,2013-06-08 17:28:09.454999808,0.0452724999999999,0.060535,0.101125,0.1378924999999999,0.21943,0.25375,0.1906375,301.443692,21824.0,0.14920008,0.2281902203191795,0.1279804554636648,0.1426607256895743,301.443692,0.0824765727587531,0.9508247657275876,0.970272172690104,-102.09799548333402,35.18610624448415,-0.2281902134418487,0.2281902134418487,1,1,-0.3690630313050801,-301.443692,301.443692,309.8692082902311,-309.8692082902311,309.8692082902311,0.7715992411388228,1.4853654019610023,20.422073341761564,445.1520165091853,949.3833048410028,0.7715992411388228,3.4948621639221407,1.4853654019610023,350.43183991258167,695.7824953872431,124.95938795942136,0.0066892954678246,0.8511450118013982,150.25244559357282,7.877356277532558,1.0403194033755767,8.584511429344898,0.0066892954678246,0.8511450118013982,0.9173848450059284,0.1175134479999542,-35.37348175048828,0.6271178609687831,5.079794900662814,420.5706618342489,0.7367793215824368,2,-102.0978888693116,35.18615627944175,192.6581170492216,26.660119442196475,42.501401551528936,5.804831599503422,306.4665856024218,36.085844388111646,-101.90005059956044,0.4575831294059753,380182,301.0164395,725658,36.20860866983951,-103.38197064565269,0.1344563066959381,456.6234840346501,157.32290752953887,322.74821066,2013-06-08,,,35.1861,-102.097938,1174.0,,"Corn and sorghum, mid elevation sprinkler application",Annual crops,TX,LYS_SW,CRO,144.0629833827974,40,1180,0.9274099368611016,0,30.747802734375,48.50487518310547,15.254145622253418,-0.1008544564247131,159,41.56682429910997,30.4834933535,18.24789389522,66.14578933556,68.78650249130688,-111.25172273731492,76.49133684499999,57.46647183365
2,2,2,4,LC08_031036_20130608,-102.0978888693116,35.18615627944175,2013-06-08 17:28:33.345999872,0.046015,0.060975,0.1011524999999999,0.1377824999999999,0.2192375,0.25364,0.1905825,301.443692,21824.0,0.1492630549999999,0.2281524844546525,0.1281851544107465,0.1425666845581201,301.443692,0.0822877812162567,0.9508228778121626,0.9702715496780135,-102.09799548333402,35.18610624448415,-0.2281524837017059,0.2281524837017059,1,1,-0.368566434657761,-301.443692,301.443692,309.80625601750376,-309.80625601750376,309.80625601750376,0.7719490444323324,1.4851135264026276,20.4189664412996,445.15113263511233,953.017580434513,0.7719490444323324,3.4971037003416225,1.4851135264026276,351.41222148725166,699.7469120079106,125.46806791515392,0.0066857610346015,0.8509268423935935,305.26459787413967,7.583068646540283,2.0260087118173544,8.586712415001392,0.0066857610346015,0.8509268423935935,0.944390400408878,0.2364720553159713,-71.23451232910156,0.4011056139107232,3.227788351025753,269.014246218617,0.4684383709861445,4,-102.0978888693116,35.18615627944175,192.556367836464,26.671020810259925,42.46695704955936,5.803641297365133,306.4665856024218,34.61649842363002,-102.61585369107274,0.3795889019966125,442991,301.2386108,738621,35.42541263594628,-103.67304913090422,0.153952270746231,522.8498940558034,150.84495535182285,316.03180136000003,2013-06-08,,,35.1861,-102.097938,1174.0,,"Corn and sorghum, mid elevation sprinkler application",Annual crops,TX,LYS_SW,CRO,91.54007763509036,40,1180,0.9274099368611016,0,30.747802734375,48.50487518310547,15.254145622253418,-0.1008544564247131,159,41.53366549298997,30.49178305502997,18.3805291197,66.08776142485,68.77512725298305,-111.10202681051224,76.45817803887999,57.44989243059
3,3,3,1,LC08_030036_20130617,-102.0978888693116,35.18615627944175,2013-06-17 17:22:18.100000000,0.0256649999999999,0.0417525,0.0802249999999999,0.1036825,0.2184125,0.215745,0.1355549999999999,307.4423171,21824.0,0.128640695,0.3561992579828932,0.1877908913315508,0.2093371204057925,307.4423171,0.2252267984016948,0.9522522679840169,0.9707432484347256,-102.09775235056276,35.186120343421955,-0.3561992645263672,0.3561992645263672,1,1,-0.4627265497467666,-307.4423171,307.4423171,315.8054868367166,-315.8054868367166,315.8054868367166,0.7637853272519612,1.815243945525209,24.49114541054505,482.380399710532,940.9628796240002,0.7637853272519612,3.828341678819245,1.815243945525209,369.7149976386905,689.598306118584,137.5739077161765,0.0097301556760376,0.5105675900441428,176.67472473785034,11.683168946922162,1.85279776868137,14.31086544527294,0.0097301556760376,0.5105675900441428,0.59856304599388,0.1685120612382888,-51.36423873901367,0.5629563938103119,5.031253904822116,375.3496736645572,0.6799512390228443,1,-102.0978888693116,35.18615627944175,205.5646864597584,28.21874546781622,47.41593352464493,3.355472212538461,313.8924531180316,34.33762587386117,-101.49403426126536,0.7599634528160095,260672,304.8104417,479542,35.536075720625526,-101.83032214112951,0.1906173527240753,435.05912653333405,146.993504999919,322.47135104,2013-06-17,,,35.1861,-102.097938,1174.0,,"Corn and sorghum, mid elevation sprinkler application",Annual crops,TX,LYS_SW,CRO,142.68636074075522,40,1180,0.9274099368611016,0,30.747802734375,48.50487518310547,15.254145622253418,-0.1008544564247131,168,31.87638804272075,24.66455988934747,12.836485344717753,67.14924508360376,109.51072522356137,-142.26172263783434,66.3291427027395,41.67534329449048
4,4,4,3,LC08_031035_20130624,-102.0978888693116,35.18615627944175,2013-06-24 17:28:03.960000000,0.0531924999999999,0.0667774999999999,0.1094025,0.12747,0.3534375,0.3135625,0.2377449999999999,308.03705258,21824.0,0.1963495725,0.4698772632990751,0.3492701753789391,0.3455486373587723,308.03705258,0.5913952075571589,0.9559139520755716,0.9719516041849386,-102.09799548333402,35.18610624448415,-0.4698772728443146,0.4698772728443146,1,1,-0.5272556390977443,-308.03705258,308.03705258,316.56967428131605,-316.56967428131605,316.56967428131605,0.7710583318278683,1.4986413791598636,20.58583333482452,487.9931167856532,944.4396307549764,0.7710583318278683,4.416374376180806,1.4986413791598636,314.1203447700012,571.2782164149586,124.07433848685018,0.0209206899894151,1.01280691475819,268.55832349584455,6.544392073994144,1.5843966947486052,7.214271521421717,0.0209206899894151,1.01280691475819,1.103881944992717,0.0668760538101196,-19.58653259277344,0.2681374650499601,2.5640851305987025,178.64555443226385,0.399472283782348,3,-102.0978888693116,35.18615627944175,178.18422811720365,30.699783101006,33.933748625175646,6.143123599661357,311.61685709562096,36.19909144259314,-101.5910676105408,0.6101850271224976,166431,292.87813388,262214,35.72331380277085,-102.36577411046363,0.1735757142305374,424.8025053715706,142.3040332492327,325.29121754,2013-06-24,212.3241136880208,10.400001,35.1861,-102.097938,1174.0,,"Corn and sorghum, mid elevation sprinkler application",Annual crops,TX,LYS_SW,CRO,72.7174543037792,40,1180,0.9274099368611016,0,30.747802734375,48.50487518310547,15.254145622253418,-0.1008544564247131,175,39.265483092372605,33.70002364488345,20.569944278660923,108.87184577124376,144.7396072610037,-162.41427302385338,96.58886829961628,73.23426906563208
5,5,5,5,LC08_031036_20130624,-102.0978888693116,35.18615627944175,2013-06-24 17:28:27.851000064,0.0511849999999999,0.0661725,0.1096225,0.1277725,0.3529975,0.3133975,0.233565,308.0404706,21824.0,0.1957879125,0.4684672504523993,0.3468545921176341,0.3444614945400043,308.0404706,0.5879323641676596,0.9558793236416766,0.9719401768017532,-102.09799548333402,35.18610624448415,-0.4684672355651855,0.4684672355651855,1,1,-0.5260797198564696,-308.0404706,308.0404706,316.5157109027176,-316.5157109027176,316.5157109027176,0.7713757402534231,1.4983025259575589,20.58165355978969,487.99709792609065,947.6888229541674,0.7713757402534231,4.418928412490742,1.4983025259575589,291.3351731220232,552.6269769192087,119.85131472496607,0.0207932596374286,1.0118597515730907,236.52103194357417,6.5923356624781855,1.406337374967194,7.221024524870839,0.0207932596374286,1.0118597515730907,1.0971006996034356,0.0483454912900924,-13.895770072937012,0.2945521036394263,2.913263653888929,196.25463025066844,0.4534788977171815,5,-102.0978888693116,35.18615627944175,178.34841320377308,30.709915933578102,33.90646749837335,6.141469898732543,311.61685709562096,34.36247830307649,-102.4133681908333,0.6843163371086121,141040,287.42639198,210153,35.2794184241728,-102.59162677849832,0.1857525110244751,382.2148989917811,130.75025655519892,324.28290164,2013-06-24,212.3241136880208,10.400001,35.1861,-102.097938,1174.0,,"Corn and sorghum, mid elevation sprinkler application",Annual crops,TX,LYS_SW,CRO,82.62015722429003,40,1180,0.9274099368611016,0,30.747802734375,48.50487518310547,15.254145622253418,-0.1008544564247131,175,39.3591010297385,33.7681664883485,20.383808040778497,108.7375160206235,144.3068722900451,-162.05384447770305,96.5391133848635,71.947472515689
6,6,6,1,LC08_031035_20130710,-102.0978888693116,35.18615627944175,2013-07-10 17:28:07.453000192,0.0164525,0.023905,0.0501674999999999,0.039965,0.3654825,0.1497175,0.0684,314.30911928,21824.0,0.140998425,0.802859803057116,0.5706888571759171,0.5392651147636942,314.30911928,1.4995604066941222,0.9649956040669412,0.9749485493420906,-102.09799548333402,35.18610624448415,-0.8028597831726074,0.8028597831726074,1,1,-0.7586070010826418,-314.30911928,314.30911928,322.9506070457893,-322.9506070457893,322.9506070457893,0.7674313389694633,1.601339208431086,21.85261735811123,533.9939303882248,930.8462185203632,0.7674313389694633,4.724736491298761,1.601339208431086,365.4438383961162,618.2561349891629,88.404880968358,0.062142194822889,0.3324000232792348,130.00707026062784,15.5847947307683,1.874044996162226,21.98153901963175,0.062142194822889,0.3324000232792348,0.4326388154940048,0.0991433188319206,-30.14434814453125,0.603938289708889,5.477502944434201,399.844183760177,0.7546347785834945,1,-102.0978888693116,35.18615627944175,200.2316747054063,31.8878933507882,33.89266705942581,1.7766687706205058,321.9605337076292,36.10814340311416,-102.99744601608828,0.8720199465751648,375269,304.04822324,688691,36.1438513047174,-103.27627262011708,0.1840624064207077,347.5296038076143,145.78512121712907,332.6673047,2013-07-10,293.0670864989584,8.3,35.1861,-102.097938,1174.0,,"Corn and sorghum, mid elevation sprinkler application",Annual crops,TX,LYS_SW,CRO,155.34198350415394,40,1180,0.9274099368611016,0,30.747802734375,48.50487518310547,15.254145622253418,-0.1008544564247131,191,12.5613639520252,15.76810274147937,7.5135594963884,114.8744826872526,252.3461576041964,-238.43709838992717,47.05757556580341,21.498743758752003
7,7,7,3,LC08_031036_20130710,-102.0978888693116,35.18615627944175,2013-07-10 17:28:31.335000064,0.0146924999999999,0.021925,0.0486274999999999,0.0380949999999999,0.3654274999999999,0.1493875,0.0684825,314.3638076,21824.0,0.1399374749999999,0.8111877280696863,0.5724357494613728,0.5434272527800912,314.3638076,1.5303303996019506,0.9653033039960196,0.9750500903186864,-102.09799548333402,35.18610624448415,-0.811187744140625,0.811187744140625,1,1,-0.7651157454927485,-314.3638076,314.3638076,322.9389237889437,-322.9389237889437,322.9389237889437,0.7677991240034263,1.6009873273963238,21.848276883963944,534.5360658374013,934.5446638846776,0.7677991240034263,4.726554643612534,1.6009873273963238,381.19385787757096,637.1984679807391,88.31206293739736,0.063612910155085,0.3336438181338095,144.1029341219068,15.330378384519069,2.041761271711948,21.89959377250811,0.063612910155085,0.3336438181338095,0.4377055102469514,0.1304320096969604,-40.079811096191406,0.6113916816137174,5.358254491782866,404.7834709214349,0.737463102022853,3,-102.0978888693116,35.18615627944175,200.4356845311856,31.894696360170105,33.87218488121994,1.7781520587764466,321.9605337076292,34.50826226726627,-102.71205724594012,0.6808093786239624,444086,307.28508818,692696,34.50194359604193,-103.92214935401944,0.1759675294160843,390.8804338245466,155.50701560934357,333.52864574,2013-07-10,293.0670864989584,8.3,35.1861,-102.097938,1174.0,,"Corn and sorghum, mid elevation sprinkler application",Annual crops,TX,LYS_SW,CRO,151.96009738696208,40,1180,0.9274099368611016,0,30.747802734375,48.50487518310547,15.254145622253418,-0.1008544564247131,191,11.975689250521969,15.286726054068968,6.892426481629999,114.87718030174896,255.00806287438,-240.52469900781296,46.962023307845,21.528419453967
8,8,8,0,LC08_030036_20130719,-102.0978888693116,35.18615627944175,2013-07-19 17:22:18.783000064,,,,,,,,,,,,,,,,,,-102.09775235056276,35.186120343421955,,,1,1,,,,,,,0.7612061713245117,1.8409632916796523,24.80839512292003,,920.0999244859196,0.7612061713245117,3.40592531830861,1.8409632916796523,361.5235688320103,,,,,,,,,,,,0.1486281007528305,-45.03770446777344,,,,,0,-102.0978888693116,35.18615627944175,,26.22259410414708,54.05178092964994,4.36118917943695,308.4580012474465,34.43020530243183,-102.08294818426326,0.899303138256073,389399,303.02281724,567197,35.59527858501016,-101.8423378101437,0.222149983048439,473.3884900809449,144.80656802135556,321.36733058,2013-07-19,224.793853025,7.0,35.1861,-102.097938,1174.0,,"Corn and sorghum, mid elevation sprinkler application",Annual crops,TX,LYS_SW,CRO,,40,1180,0.9274099368611016,0,30.747802734375,48.50487518310547,15.254145622253418,-0.1008544564247131,200,,,,,,,,
9,9,9,2,LC08_031035_20130726,-102.0978888693116,35.18615627944175,2013-07-26 17:28:06.892000000,0.0140599999999999,0.0194775,0.042385,0.0294875,0.42678,0.1428975,0.0607274999999999,305.17275182000003,21824.0,0.1533451825,0.8707446837655543,0.6814044090596083,0.6231925167382557,305.17275182000003,2.3937444370934857,0.9739374443709348,0.9778993566424083,-102.09799548333402,35.18610624448415,-0.8707447052001953,0.8707447052001953,1,1,-0.8193172977523898,-305.17275182000003,305.17275182000003,313.83812948677246,-313.83812948677246,313.83812948677246,0.7617480764644295,1.7615137515247508,23.82838017187463,478.9576755987638,910.502227732224,0.7617480764644295,3.3205836073630386,1.7615137515247508,314.17902210562573,597.9141357197183,52.4193007498226,0.099593532032696,0.8045089203578709,363.0577990554486,7.572649064101638,2.4419569847543983,9.082141784815471,0.099593532032696,0.8045089203578709,0.9420627518892246,0.1149312555789947,-33.62785339355469,0.2730939672741415,2.311026220118466,182.4370359144471,0.3344431958269876,2,-102.0978888693116,35.18615627944175,192.34113187268127,25.79329253104186,53.04831800105207,4.048955253522957,319.5357627856165,36.18309518883154,-102.53623192464636,0.8155925869941711,288453,292.5910202,469754,36.14380327192349,-103.2729394574352,0.1903443485498428,416.0917536429462,132.51540033593182,316.71198734,2013-07-26,217.684408878125,7.6,35.1861,-102.097938,1174.0,,"Corn and sorghum, mid elevation sprinkler application",Annual crops,TX,LYS_SW,CRO,65.5407036025597,40,1180,0.9274099368611016,0,30.747802734375,48.50487518310547,15.254145622253418,-0.1008544564247131,207,8.998781519292251,12.9347470858907,5.94400227357405,130.24162702173962,265.7275512773699,-250.0333143688231,43.60842330319846,18.532378286149022
