,Unnamed: 0.2,Unnamed: 0.1,Unnamed: 0,id,longitude,latitude,date,UB,B,GR,R,NIR,SWIR_1,SWIR_2,ST_B10,pixel_qa,ALFA,NDVI_model,EVI,SAVI,T_LST,LAI,e_0,e_NB,longitude.1,latitude.1,NDVI_neg,pos_NDVI,int,sd_ndvi,NDWI,LST_neg,LST_NW,T_LST_DEM,LST_neg_1,LST_NW_1,Tao_sw,EA,W_ATM,Rl_up,Rs_down,Tao_sw_1,ES,EA_1,Rl_down,Rn,Ginst,zom,u_fr,Hinst,rah,dT,rah_first,zom_1,u_fr_1,ufric_star,constant,constant_1,ET_inst,ET_24h,LEinst,EF,id.1,longitude.2,latitude.2,Rn24h_G,AirT_G,RH_G,ux_G,SW_Down,cold_pixel_lat,cold_pixel_lon,cold_pixel_ndvi,cold_pixel_sum,cold_pixel_temp,hot_pixel_sum,hot_pixel_lat,hot_pixel_lon,hot_pixel_ndvi,hot_pixel_Rn,hot_pixel_G,hot_pixel_temp,LE_daily_orig,Datetime_Local_sebal,Datetime_GMT,Date_daily,LE_closed,LE_unclosed,H_closed,H_unclosed,G_unclosed,Rn_unclosed,Residual_unclosed,Residual_closed,TIMESTAMP_START,TIMESTAMP_END,TAU,TAU_SSITC_TEST,H_inst_af,H_SSITC_TEST,LE_inst_af,LE_SSITC_TEST,FC,FC_SSITC_TEST,CO2,T_SONIC,TA,PA,RH,VPD_PI,WS,WS_MAX,WD,USTAR,MO_LENGTH,ZL,FETCH_MAX,FETCH_70,FETCH_90,U_SIGMA,V_SIGMA,W_SIGMA,T_SONIC_SIGMA,Rn_inst_af,G_inst_af,SWC,P_RAIN,TS,PPFD_IN,State,Veg,MAT,MAP,Lat,Long,Elev_insitu,Name,Datetime,Datetime_Local_flux,Date
0,0,0,0,LC08_040035_20130420,-116.69317661651512,36.765394548923865,2013-04-20 18:23:32.776000000,0.13352,0.1546124999999999,0.20876,0.2616425,0.308145,0.33251,0.3110875,314.36722562,21824.0,0.2476518675,0.0816137595156089,0.0676535307061413,0.0652033698281201,314.36722562,-0.0629710639123844,0.949370289360876,0.9697921954890892,-116.69332890558616,36.76547403894031,-0.0816137567162513,0.0816137567162513,1,1,-0.1922693725152592,-314.36722562,314.36722562,320.38293858627446,-320.38293858627446,320.38293858627446,0.8025337400710527,0.3643671367113911,6.776196293078534,525.736033830448,937.4868116415474,0.8025337400710527,2.4989669140173816,0.3643671367113911,314.3574234732471,478.0220162369855,127.17001707581484,0.0043284011197607,0.3774919855535147,339.527373141504,13.27504443719572,4.085505890488747,19.35581247142313,0.0043284011197607,0.3774919855535147,0.4801008048822336,0.1550706326961517,-45.59648132324219,0.017061704613451,0.1913263156694739,11.324626019666653,0.0322775017578408,0,-116.69317661651512,36.765394548923865,163.9324778932469,21.07813710421264,14.580710719600056,2.6832533078274565,333.86196240556177,36.13444745872804,-115.54585644920284,0.4733049273490906,467145,294.03684266,787753,35.92444194448896,-116.73684682265744,0.0590010061860084,449.2475960574803,120.03412011884294,324.52558106000004,5.42601431238628,2013-04-20 18:23:32.776000+00:00,2013-04-20 18:00:00+00:00,2013-04-20,3.826307668816951,3.5218314014791665,92.54136582553204,85.1774390115625,10.2675403943125,111.47552711341666,12.508716306062496,4.840313224755164,201304201100.0,201304201130.0,-0.236337835,1.0,324.6116706,0.0,2.266466471,2.0,3.213627647,0.0,204.2953101,22.33884145,21.48082337,-9999.0,32.75507919,17.16992397,4.538570121,11.58599244,338.2723286,0.468403349,-25.90110839,-0.066093697,27.86561882,50.94723849,76.32824706,1.797581583,1.51492435,0.457163507,1.401599779,505.8927055,136.6876775,3.390710912,0.0,29.55833,1944.538,NV,BSV,17.5,110.0,36.7653,-116.6933,842.0,US-ADR,2013-04-20 11:00:00,2013-04-20 11:00:00-07:00,2013-04-20
1,1,1,1,LC08_041034_20130401,-116.69317661651512,36.765394548923865,2013-04-01 18:28:51.920000000,0.108605,0.1266175,0.168225,0.2120325,0.252925,0.2574075,0.2274875,313.26320516,21824.0,0.1993280975,0.0879488985552442,0.064888594095007,0.0635662710533883,313.26320516,-0.065846650579572,0.9493415334942042,0.9697827060530874,-116.69332890558616,36.76547403894031,-0.0879488959908485,0.0879488959908485,1,1,-0.2011159919268668,-313.26320516,313.26320516,319.58449055914065,-319.58449055914065,319.58449055914065,0.7823467854408612,0.5681465483881051,9.3914500673045,518.3738547980806,844.0874954416728,0.7823467854408612,1.8688791227237025,0.5681465483881051,287.5899632082081,430.4843827432855,105.43805439900704,0.0042887603235125,0.2333075777531461,233.1917849238476,17.671440701452944,3.728367184455237,31.317731520790577,0.0042887603235125,0.2333075777531461,0.3197439874606241,0.1139285340905189,-32.681427001953125,0.1382791494708095,1.4120438883476203,91.85454342043089,0.2825890816497442,1,-116.69317661651512,36.765394548923865,138.30106320104258,16.43039561797481,30.40039034520804,1.659795697051045,285.1643186168843,37.22828551076372,-118.41108644510942,0.4326196908950805,310732,286.85900066,453745,36.61166465569673,-117.10891623683014,0.0350285619497299,332.7628148862683,90.48219897216606,322.50894926,40.04556467353851,2013-04-01 18:28:51.920000+00:00,2013-04-01 18:00:00+00:00,2013-04-01,6.014592634759373,5.610322957854167,79.70274317266318,74.34553875541667,4.531577672875,88.64542050345834,4.157981117312502,-1.603492976839206,201304011100.0,201304011130.0,-0.144268703,1.0,233.5376784,0.0,36.52326527,0.0,0.967633989,1.0,237.6404815,18.20838694,17.21260616,-9999.0,50.2815018,9.732745941,3.202554988,8.353370991,273.283159,0.363415394,-16.81699152,-0.101795853,26.59580696,48.62561742,72.85003564,1.255520498,1.322669559,0.375988259,1.169028644,279.8963545,102.4680561,4.614366581,0.0,27.5261,1170.16,NV,BSV,17.5,110.0,36.7653,-116.6933,842.0,US-ADR,2013-04-01 11:00:00,2013-04-01 11:00:00-07:00,2013-04-01
2,2,2,2,LC08_041034_20130427,-116.69317661651512,36.765394548923865,2013-04-27 18:29:17.444000000,0.1319525,0.1516974999999999,0.2003725,0.2504775,0.2942025,0.3241225,0.30083,328.275149,21824.0,0.2386492475,0.0802764926195197,0.0658772445910224,0.0627823831221044,328.275149,-0.0672209009630423,0.9493277909903696,0.969778171026822,-116.69332890558616,36.76547403894031,-0.0802764892578125,0.0802764892578125,1,1,-0.1897184451296568,-328.275149,328.275149,334.56284673752793,-334.56284673752793,334.56284673752793,0.8127896777332664,0.2242562063000286,4.9780478120634655,625.1025667301226,957.2879981653412,0.8127896777332664,3.4715686430582164,0.2242562063000286,334.9426832248918,421.699768606552,144.14130979339305,0.0042699079606629,0.1105369565324986,241.94510353764016,19.61630679978372,4.563759012453538,66.10154930121304,0.0042699079606629,0.1105369565324986,0.1836521156348099,0.1288239657878875,-38.53595733642578,0.0544175919741865,0.8218306560132422,35.613355275518785,0.128309385445508,2,-116.69317661651512,36.765394548923865,174.65709924332862,26.546472970320124,6.45979467375515,0.7867037722084372,343.91359905617423,37.22513314286333,-118.4482231491014,0.4270051717758178,464858,299.1365285,703622,36.78727407414388,-117.23424350527796,0.0449594818055629,410.61218586650864,128.7361816718495,328.77417992,23.30711740453555,2013-04-27 18:29:17.444000+00:00,2013-04-27 18:00:00+00:00,2013-04-27,5.915869650797211,5.45815860275,86.03796310752135,79.38120280170833,10.882032814375,103.43184907479169,7.710454855958346,0.5959835020981217,201304271100.0,201304271130.0,-0.098349442,1.0,299.3952781,0.0,26.31961817,0.0,-9999.0,-9999.0,-9999.0,29.07519143,28.33124392,-9999.0,18.45525104,31.32973093,1.325700935,20.28461993,232.2848213,0.305573877,-7.796699525,-0.219567266,21.07598504,38.5336225,57.73038824,1.982441607,2.059670415,0.422832929,1.319206711,467.8814468,171.7550379,2.835072767,0.0,36.98251,1963.428,NV,BSV,17.5,110.0,36.7653,-116.6933,842.0,US-ADR,2013-04-27 11:00:00,2013-04-27 11:00:00-07:00,2013-04-27
3,3,0,0,LC08_040034_20130522,-116.69317661651512,36.765394548923865,2013-05-22 18:23:23.683000064,0.1251875,0.14694,0.2036175,0.255455,0.302315,0.331575,0.3080624999999999,320.09582714,21824.0,0.2419709175,0.0840131236889758,0.0675997334095021,0.066451118863269,320.09582714,-0.0607743111222772,0.9493922568887772,0.9697994447732964,-116.69332890558616,36.76547403894031,-0.0840131267905235,0.0840131267905235,1,1,-0.1950803713934171,-320.09582714,320.09582714,326.27296693399404,-326.27296693399404,326.27296693399404,0.8045972396743217,0.4312999067040025,7.635194647732133,565.1305623201747,981.198736956152,0.8045972396743217,3.153901357713241,0.4312999067040025,345.9553226032881,507.0939205138767,150.59368529386603,0.0043588600510481,0.453025366095978,430.4279695134165,11.564977731688494,4.6156825161626,16.12859815070711,0.0043588600510481,0.453025366095978,0.564978474711075,0.1843990981578827,-55.54875946044922,-0.112031678981083,-1.4475015921298289,-73.92773429340582,-0.2073707868601602,0,-116.69317661651512,36.765394548923865,191.9228943280848,24.92631852810434,13.675123530709266,3.21805030783147,366.76602566098177,38.19995176779948,-115.6280326845044,0.2847220301628113,490587,301.24202882,655023,37.63930484355577,-116.91215703042074,0.0574025921523571,466.05106277476233,164.92951259521377,323.90350142,-41.05114515280194,2013-05-22 18:23:23.683000064+00:00,2013-05-22 18:00:00+00:00,2013-05-22,11.430109414315863,10.713913942916667,111.00109774994417,104.04591642602084,6.957014926187498,125.10520895766666,3.388363662541664,-4.283013132780852,201305221100.0,201305221130.0,-0.198049353,1.0,311.3472521,0.0,6.625731433,0.0,-9999.0,-9999.0,-9999.0,27.08690387,25.97022749,-9999.0,32.02128506,22.73849755,4.825614205,11.10371748,104.5253075,0.43224932,-21.23335097,-0.080623167,25.83001898,47.22551276,70.75242372,1.677432383,1.812109727,0.463837483,1.351262037,542.6335749,137.0888128,4.551552464,0.0,36.471185,2034.194,NV,BSV,17.5,110.0,36.7653,-116.6933,842.0,US-ADR,2013-05-22 11:00:00,2013-05-22 11:00:00-07:00,2013-05-22
4,4,1,1,LC08_040035_20130522,-116.69317661651512,36.765394548923865,2013-05-22 18:23:47.578000128,0.1288725,0.1490024999999999,0.2032324999999999,0.25452,0.3019025,0.3320975,0.3086125,320.10266318000004,21824.0,0.2424274175,0.0851556146633178,0.0692117969358816,0.0672777700209906,320.10266318000004,-0.0593165095400229,0.9494068349045998,0.969804255518518,-116.69332890558616,36.76547403894031,-0.085155613720417,0.085155613720417,1,1,-0.1953339206350778,-320.10266318000004,320.10266318000004,326.1767609230587,-326.1767609230587,326.1767609230587,0.8051243328193408,0.4310199307124188,7.631601506194148,565.1875184782804,986.9741931553688,0.8051243328193408,3.155462460909631,0.4310199307124188,346.0341079053783,511.044217046768,151.5830977051896,0.0043791574658945,0.4533689317845851,386.0713774847132,11.728429000272078,4.204213994902325,16.11637580254553,0.0043791574658945,0.4533689317845851,0.5615745575620976,0.168863371014595,-50.87509536743164,-0.0403219022594535,-0.5161675461913416,-26.610258143134786,-0.0740281958501563,1,-116.69317661651512,36.765394548923865,191.730128380202,24.93462185771203,13.659485291045671,3.219096937406956,366.76602566098177,36.232470053216886,-115.60145893846496,0.4049256145954132,486538,301.27962704000004,742389,36.71492551146584,-117.15441090771928,0.0467301756143569,391.4770932299864,127.0263084903782,326.00558372,-14.638511609986448,2013-05-22 18:23:47.578000128+00:00,2013-05-22 18:00:00+00:00,2013-05-22,11.430109414315863,10.713913942916667,111.00109774994417,104.04591642602084,6.957014926187498,125.10520895766666,3.388363662541664,-4.283013132780852,201305221100.0,201305221130.0,-0.198049353,1.0,311.3472521,0.0,6.625731433,0.0,-9999.0,-9999.0,-9999.0,27.08690387,25.97022749,-9999.0,32.02128506,22.73849755,4.825614205,11.10371748,104.5253075,0.43224932,-21.23335097,-0.080623167,25.83001898,47.22551276,70.75242372,1.677432383,1.812109727,0.463837483,1.351262037,542.6335749,137.0888128,4.551552464,0.0,36.471185,2034.194,NV,BSV,17.5,110.0,36.7653,-116.6933,842.0,US-ADR,2013-05-22 11:00:00,2013-05-22 11:00:00-07:00,2013-05-22
5,5,2,2,LC08_041034_20130513,-116.69317661651512,36.765394548923865,2013-05-13 18:29:29.192000000,0.1193575,0.1386075,0.1832949999999999,0.233345,0.2795725,0.30545,0.2850725,330.47293586,21824.0,0.22319114,0.0901265798105932,0.070465044140209,0.0684569572546628,330.47293586,-0.0572336570113315,0.9494276634298866,0.9698111289318626,-116.69332890558616,36.76547403894031,-0.0901265814900398,0.0901265814900398,1,1,-0.2080022900722129,-330.47293586,330.47293586,336.73853803126764,-336.73853803126764,336.73853803126764,0.8058796557505079,0.3869343684970637,7.065818476279963,642.0791021472345,974.8933633555876,0.8058796557505079,4.651400650357897,0.3869343684970637,350.10927344708824,447.6301294965896,155.1655128938486,0.0044082746573836,0.2553225559253581,273.141583942054,16.461103577582087,4.369488099059893,28.61738578230064,0.0044082746573836,0.2553225559253581,0.3477646629957346,0.1264820843935012,-38.22190475463867,0.029590318770216,0.4654874570618137,19.32303266068709,0.0660696424926296,2,-116.69317661651512,36.765394548923865,191.6992566050549,31.61157729216479,8.31866350767465,1.811770367651999,355.2517595247642,36.85660394108334,-118.67207993917134,0.2932870388031006,444361,302.19223838,662776,36.60886466428243,-117.1860677673996,0.0260537602007389,393.3275075165632,138.55568898029742,339.38029598,13.201224282273037,2013-05-13 18:29:29.192000+00:00,2013-05-13 18:00:00+00:00,2013-05-13,20.256519596084345,18.911918134625,91.46086514158262,85.38981170358333,12.165935862208334,122.66997751083332,6.202311810416674,-1.213343089041956,201305131100.0,201305131130.0,-0.288479171,1.0,328.0573101,1.0,112.5343512,1.0,-9999.0,-9999.0,-9999.0,34.08601338,33.14628284,-9999.0,17.42134761,41.75769869,3.045780283,12.40175376,151.0944152,0.527694245,-36.66097884,-0.046695425,31.54272037,57.67015287,86.40039788,1.985841246,1.764905749,0.441108935,1.474686354,516.9267357,177.2401945,5.586506785,0.0,38.45916,2028.547,NV,BSV,17.5,110.0,36.7653,-116.6933,842.0,US-ADR,2013-05-13 11:00:00,2013-05-13 11:00:00-07:00,2013-05-13
6,6,3,3,LC08_041034_20130529,-116.69317661651512,36.765394548923865,2013-05-29 18:29:35.586999808,0.12263,0.1438324999999999,0.1909675,0.242255,0.2896925,0.3148825,0.289445,326.907941,21824.0,0.2309644824999999,0.0891770334478496,0.0712497831528339,0.0689533624530318,326.907941,-0.0563556515753308,0.9494364434842466,0.9698140263498014,-116.69332890558616,36.76547403894031,-0.0891770347952842,0.0891770347952842,1,1,-0.2053946656680397,-326.907941,326.907941,333.1885505062923,-333.1885505062923,333.1885505062923,0.8031971629153117,0.4691595026923778,8.121075191230547,614.8240363200514,982.8859365750732,0.8031971629153117,3.1048113180267487,0.4691595026923778,320.462749994105,445.3091721810164,147.28160474595833,0.0044205900204403,0.2453528526351961,393.8013194074233,15.422650637823573,5.773891408009725,29.780228774038115,0.0044205900204403,0.2453528526351961,0.3464263248346594,0.153115838766098,-45.24254989624024,-0.1461420603310027,-2.2915412317564705,-95.77375197236528,-0.3213587011316829,3,-116.69317661651512,36.765394548923865,194.71420976465603,24.663368005664484,15.11072508556012,1.7405723151348869,361.0239335501104,37.98070258919427,-116.46288256074232,0.4858504235744476,433850,295.4792471,702456,36.61154178530008,-117.2028476946237,0.034449104219675,437.90105031120095,132.47452538696822,329.63210294,-64.9881093326135,2013-05-29 18:29:35.586999808+00:00,2013-05-29 18:00:00+00:00,2013-05-29,8.07510669228825,7.629644260708333,106.8285510443053,100.93536499441666,10.452024434833334,122.90145243479166,3.88441874483334,-2.454229736635213,201305291100.0,201305291130.0,-0.052538333,1.0,276.8731182,0.0,29.68333887,0.0,-9999.0,-9999.0,-9999.0,26.14010025,25.02727048,-9999.0,33.85493481,20.92070199,1.320363174,6.857864105,152.8885984,0.222279721,-3.246891312,-0.527242779,17.99276479,32.89651253,49.2849703,1.280473919,1.901215786,0.374813215,1.385796726,509.0256801,151.5342766,3.72424766,0.0,39.45073,2057.575,NV,BSV,17.5,110.0,36.7653,-116.6933,842.0,US-ADR,2013-05-29 11:00:00,2013-05-29 11:00:00-07:00,2013-05-29
7,7,0,0,LC08_040035_20130607,-116.69317661651512,36.765394548923865,2013-06-07 18:23:47.168999936,0.132585,0.1547224999999999,0.20645,0.2576,0.305175,0.3402375,0.3157899999999999,337.39784438000004,21824.0,0.2466824925,0.0845364488472303,0.0703623866270794,0.0671473265742984,337.39784438000004,-0.0595466754610716,0.9494045332453892,0.9698034959709784,-116.69332890558616,36.76547403894031,-0.0845364481210708,0.0845364481210708,1,1,-0.1929635963840703,-337.39784438000004,337.39784438000004,343.58932092196505,-343.58932092196505,343.58932092196505,0.8142415231436124,0.2896181730277954,5.816886872246882,697.5953455404672,1001.9244421192136,0.8142415231436124,5.90162680525312,0.2896181730277954,406.17332256588855,442.7946716275031,175.4498951403249,0.0043759483162882,0.1590076568636877,342.1200356302509,17.333533872727227,5.903884151374868,45.95164928505786,0.0043759483162882,0.1590076568636877,0.2472697714022865,0.1993303894996643,-62.58390808105469,-0.115300367203005,-2.0166691982116216,-74.77525914307279,-0.2796959795721275,0,-116.69317661651512,36.765394548923865,194.8338605805741,35.87886891776396,4.907429469616789,1.129093766983981,371.5563827468228,36.23235258205803,-115.59144664299096,0.4145014584064483,453867,313.9707353,667647,35.92450381280917,-116.7667755485699,0.0603274814784526,463.3513190937664,159.7239886670233,341.15424836,-57.19273846128159,2013-06-07 18:23:47.168999936+00:00,2013-06-07 18:00:00+00:00,2013-06-07,5.760432480511845,5.2020646897916665,92.66934114899928,83.68675599416666,15.6716808669375,114.51032213583332,9.949820584937498,0.4088676393847237,201306071100.0,201306071130.0,-0.062132342,0.0,230.0743414,0.0,7.127534867,1.0,-9999.0,-9999.0,-9999.0,37.45436403,36.51084066,-9999.0,14.36187035,52.17017814,1.427836546,4.789355584,15.49227503,0.24623561,-5.311735965,-0.322286351,23.0332158,42.11206454,63.09154651,0.797559506,1.338249115,0.30492643,1.32971873,470.7416319,174.592873,2.533868807,0.0,46.1111,2039.946,NV,BSV,17.5,110.0,36.7653,-116.6933,842.0,US-ADR,2013-06-07 11:00:00,2013-06-07 11:00:00-07:00,2013-06-07
8,8,1,1,LC08_040035_20130623,-116.69317661651512,36.765394548923865,2013-06-23 18:23:40.864999936,0.140725,0.16201,0.218055,0.269755,0.3155975,0.347085,0.3237374999999999,325.87228094,21824.0,0.2564282175,0.0783160574183932,0.0666682663851162,0.0633561446626787,325.87228094,-0.0662151961935379,0.9493378480380644,0.9697814898525612,-116.69332890558616,36.76547403894031,-0.0783160552382469,0.0783160552382469,1,1,-0.1827828034160807,-325.87228094,325.87228094,332.1304238055162,-332.1304238055162,332.1304238055162,0.802015067229052,0.5058557004853889,8.59202497456865,607.0067721151396,982.7880650932348,0.802015067229052,4.204970333156854,0.5058557004853889,362.5345151685826,467.9344377356281,157.24124179893374,0.0042836986714713,0.4929537365268326,513.0851068913219,10.73700736380883,5.225574663748482,14.822210565476226,0.0042836986714713,0.4929537365268326,0.6117626639405529,0.1904153674840927,-58.01715850830078,-0.3085050226599823,-4.402737945051595,-202.39191095462752,-0.6514204804017212,1,-116.69317661651512,36.765394548923865,184.7485754615332,29.842857190329305,12.0299469534098,3.507354451435787,351.267985656365,36.22221482745718,-115.60331040373588,0.3524248003959656,464071,304.68739298,665430,35.92443460970911,-116.73352141443684,0.0604069344699382,474.7668506529865,143.84903337439758,329.3176451,-124.86164812166324,2013-06-23 18:23:40.864999936+00:00,2013-06-23 18:00:00+00:00,2013-06-23,1.2752335915122106,1.1613930230625005,111.18289189706267,101.25755453166666,3.1769529183125,121.35893318375,15.76303271070836,5.7238547768626376,201306231100.0,201306231130.0,-0.330337119,1.0,335.097191,0.0,9.640596708,1.0,-9999.0,-9999.0,-9999.0,32.5031665,31.5256157,-9999.0,19.95920644,36.93909298,6.652392872,14.07931469,107.3110849,0.563232647,-43.64230898,-0.039225697,26.67696383,48.77399807,73.0723369,2.025961875,1.836019773,0.580503375,1.362594333,544.345658,132.486988,1.947224546,0.0,41.56103,2048.41,NV,BSV,17.5,110.0,36.7653,-116.6933,842.0,US-ADR,2013-06-23 11:00:00,2013-06-23 11:00:00-07:00,2013-06-23
9,9,2,2,LC08_041034_20130614,-116.69317661651512,36.765394548923865,2013-06-14 18:29:31.008999936,0.126315,0.1450699999999999,0.19149,0.2434925,0.2883175,0.3199424999999999,0.29874,328.66138526,21824.0,0.2324338075,0.0842876215189635,0.0674568359019351,0.0651646136401081,328.66138526,-0.0630392267267903,0.949369607732732,0.9697919705518016,-116.69332890558616,36.76547403894031,-0.0842876210808754,0.0842876210808754,1,1,-0.2018048905029621,-328.66138526,328.66138526,335.0422680653423,-335.0422680653423,335.0422680653423,0.8258913784523718,0.1270695472608641,3.7307786460310712,628.0773167905882,1011.3403717231996,0.8258913784523718,4.166672044234729,0.1270695472608641,344.5454481477673,475.2943386086672,162.37435367346973,0.0043274584543443,0.1605807715802467,231.107876659054,19.442754422821096,4.334413232739308,45.50148819149032,0.0043274584543443,0.1605807715802467,0.2406565094772336,0.1303987503051757,-39.354679107666016,0.1250698744484152,2.006828917934408,81.81210827614348,0.261447373816939,2,-116.69317661651512,36.765394548923865,209.2086781945777,29.68362171093068,3.049665198313018,1.141448403202961,387.07956961827233,37.07804011711385,-118.5952620506273,0.5489004254341125,461226,301.8025841,849029,36.60887995230818,-117.1760040501719,0.0271166749298572,415.7020055621037,144.97585996535406,339.08976428,56.91366811261981,2013-06-14 18:29:31.008999936+00:00,2013-06-14 18:00:00+00:00,2013-06-14,7.745360542435605,7.0257436823958335,104.32661747941418,94.63369324718752,2.909285940125001,107.852699963125,3.2839770934166665,-7.128563998849785,201306141100.0,201306141130.0,-0.033226201,2.0,313.3836162,0.0,1.193366244,0.0,-9999.0,-9999.0,-9999.0,30.0864496,29.52390583,-9999.0,12.98235035,35.82188289,1.694102915,7.181978672,267.5167501,0.177898105,-1.469355876,-1.165068332,7.838296496,24.0,54.0,1.625867075,1.19343598,0.348308758,1.400744271,489.8387172,158.9117132,2.187937713,0.0,42.955715,2050.771,NV,BSV,17.5,110.0,36.7653,-116.6933,842.0,US-ADR,2013-06-14 11:00:00,2013-06-14 11:00:00-07:00,2013-06-14
