,Unnamed: 0.2,Unnamed: 0.1,Unnamed: 0,id,longitude,latitude,date,UB,B,GR,R,NIR,SWIR_1,SWIR_2,ST_B10,pixel_qa,ALFA,NDVI_model,EVI,SAVI,T_LST,LAI,e_0,e_NB,longitude.1,latitude.1,NDVI_neg,pos_NDVI,int,sd_ndvi,NDWI,LST_neg,LST_NW,T_LST_DEM,LST_neg_1,LST_NW_1,Tao_sw,EA,W_ATM,Rl_up,Rs_down,Tao_sw_1,ES,EA_1,Rl_down,Rn,Ginst,zom,u_fr,Hinst,rah,dT,rah_first,zom_1,u_fr_1,ufric_star,constant,constant_1,ET_inst,ET_24h,LEinst,EF,id.1,longitude.2,latitude.2,Rn24h_G,AirT_G,RH_G,ux_G,SW_Down,cold_pixel_lat,cold_pixel_lon,cold_pixel_ndvi,cold_pixel_sum,cold_pixel_temp,hot_pixel_sum,hot_pixel_lat,hot_pixel_lon,hot_pixel_ndvi,hot_pixel_Rn,hot_pixel_G,hot_pixel_temp,LE_daily_orig,Datetime_Local_sebal,Datetime_GMT,Date_daily,LE_closed,LE_unclosed,H_closed,H_unclosed,G_unclosed,Rn_unclosed,Residual_unclosed,Residual_closed,TIMESTAMP_START,TIMESTAMP_END,CO2,H2O,CH4,FC,SC,FCH4,SCH4,H_inst_af,SH,LE_inst_af,SLE,PA,RH,T_SONIC,TA,VPD_PI,LW_IN,LW_OUT,Rn_inst_af,SW_IN_1_1_1,SW_OUT,SW_IN_2_1_1,TS_1_1_1,TS_2_1_1,TS_3_1_1,G_inst_af,G_2_1_1,G_3_1_1,SWC_1_1_1,SWC_2_1_1,SWC_3_1_1,P_RAIN,TAU,U_SIGMA,USTAR,W_SIGMA,V_SIGMA,WD,WS,MO_LENGTH,ZL,FETCH_90,State,Veg,MAT,MAP,Lat,Long,Elev_insitu,Name,Datetime,Datetime_Local_flux,Date
0,0,0,0,LC08_024030_20180112,-89.71164823728641,43.34483535287207,2018-01-12 16:40:57.193000192,0.11889,0.1459225,0.2021875,0.2477275,0.4461124999999999,0.1826074999999999,0.1528525,265.62626042,21824.0,0.2572395775,0.2859232676121295,0.2698295144265655,0.2492607887154057,265.62626042,0.3205155978078161,0.953205155978078,0.9710577014727656,-89.7118063505126,43.34473634285693,-0.2859232723712921,0.2859232723712921,1,1,-0.3762532778034859,-265.62626042,265.62626042,268.31102900313573,-268.31102900313573,268.31102900313573,0.705798321798307,0.1287234961282875,3.870431171662739,269.0626866299529,379.0608303905999,0.705798321798307,0.2609382997505567,0.1287234961282875,204.06805339739503,207.0074165729766,-5.675864867109829,0.0121776330382599,0.5894369362141704,208.883390496811,10.33747908033184,1.6207121357845296,12.396006481657174,0.0121776330382599,0.5894369362141704,0.6824870675523969,0.228351891040802,-59.64862060546875,0.0054447828004614,6.753543448163059e-05,3.799890943275443,0.0178664299212718,0,-89.71164823728641,43.34483535287207,0.1099191215504632,-11.137683384458995,49.33100899765975,3.786282720616224,108.02078933065826,43.71594655691768,-89.71993663221647,0.9512580037117004,263610,261.2135966,332769,42.74863306729589,-88.88805092120717,0.1808063983917236,198.3431610871608,-4.054479846901478,267.30109022,0.001915304921899,2018-01-12 16:40:57.193000192+00:00,2018-01-12 17:00:00+00:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,US-DFC,,,2018-01-12
1,1,0,0,LC08_025030_20180204,-89.71164823728641,43.34483535287207,2018-02-04 16:46:55.346999808,,,,,,,,,,,,,,,,,,-89.71169167430212,43.34472710959348,,,1,1,,,,,,,0.7323989707948679,0.1460236571464828,4.10837331325026,,470.0211332199936,0.7323989707948679,0.236338009360669,0.1460236571464828,185.871050092989,,,,,,,,,,,,0.2799220383167267,-71.61251068115234,,,,,0,-89.71164823728641,43.34483535287207,,-12.366849984917728,61.78593851302186,3.450995093211052,103.76206113649718,43.85130684124804,-91.49417330314864,0.9318695664405824,1092,255.8302151,1683,43.574827032271614,-91.36509967768022,0.1513572782278061,174.66394549746357,-10.041405360131431,261.2990471,,2018-02-04 16:46:55.346999808+00:00,2018-02-04 17:00:00+00:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,US-DFC,,,2018-02-04
2,2,0,0,LC08_024030_20180317,-89.71164823728641,43.34483535287207,2018-03-17 16:40:25.739000064,0.0599299999999999,0.0758524999999999,0.10943,0.1477375,0.2804525,0.3671325,0.2546025,285.19784294,21824.0,0.187905945,0.3099441836567878,0.207628832270666,0.2144738684967516,285.19784294,0.2370337369027952,0.952370337369028,0.9707822113317792,-89.7118063505126,43.34473634285693,-0.3099441826343536,0.3099441826343536,1,1,-0.4386513885593735,-285.19784294,285.19784294,287.8234241905169,-287.8234241905169,287.8234241905169,0.7710094900975302,0.2944270421718233,6.149476815964963,357.2513388802923,707.2469603856124,0.7710094900975302,0.853043599247729,0.2944270421718233,264.9454890282601,469.4259378359302,35.42929095991784,0.0100151447259689,0.2526739739861059,435.6450925084148,14.89350982817381,5.155400919756971,28.917359261705293,0.0100151447259689,0.2526739739861059,0.3654952970977964,0.720930278301239,-202.34521484375,-0.0024061425711464,-0.0138097920455713,-1.6484456324023995,-0.0037982911717595,0,-89.71164823728641,43.34483535287207,103.78651140806063,4.680452404954717,34.51488791797616,1.6557570043352006,223.9797163739854,43.8510499891828,-90.12916517287694,0.7934784889221191,490572,280.67238446,694914,42.94251360707635,-89.37160764387971,0.1895785629749298,460.3184927734066,40.43852061852704,286.94103314,-0.391645702412402,2018-03-17 16:40:25.739000064+00:00,2018-03-17 17:00:00+00:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,US-DFC,,,2018-03-17
3,3,1,1,LC08_025030_20180308,-89.71164823728641,43.34483535287207,2018-03-08 16:46:41.628000000,,,,,,,,,,,,,,,,,,-89.71169167430212,43.34472710959348,,,1,1,,,,,,,0.7644104001847194,0.2590434183766513,5.662819193871417,,654.5922849680497,0.7644104001847194,0.479096489376784,0.2590434183766513,226.78713076522047,,,,,,,,,,,,0.6036903858184814,-162.8589630126953,,,,,1,-89.71164823728641,43.34483535287207,,-3.2908643369306407,54.06915394300195,3.1336867193469464,181.08114905748587,43.06199952786567,-90.90979970861618,0.9875673651695251,7471,269.77231868,12767,42.487387937788384,-90.73886939403516,0.1264403015375137,466.7781477300519,13.71796840834786,276.82027592,,2018-03-08 16:46:41.628000+00:00,2018-03-08 17:00:00+00:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,US-DFC,,,2018-03-08
4,4,0,0,LC08_024030_20180504,-89.71164823728641,43.34483535287207,2018-05-04 16:40:00.796999936,0.0264899999999999,0.0391124999999999,0.0768975,0.0734874999999999,0.3452975,0.234005,0.1222174999999999,298.34354786,21824.0,0.1596000025,0.6490442589873086,0.4551776224291491,0.4437545236371948,298.34354786,0.96021277705119,0.959602127770512,0.9731687021642688,-89.7118063505126,43.34473634285693,-0.6490442752838135,0.6490442752838135,1,1,-0.6357251980719809,-298.34354786,298.34354786,300.80603763439296,-300.80603763439296,300.80603763439296,0.7592397861670839,1.2178265115150029,18.84968504207404,431.0631132119286,870.8241583556301,0.7592397861670839,2.013581043253263,1.2178265115150029,323.56613842814386,611.2722622032172,69.5620386226306,0.0363304307161401,0.5883132438368515,500.31778333207785,9.345922832073336,3.9198799627716014,12.41968315074215,0.0363304307161401,0.5883132438368515,0.7335554192893593,0.6390994191169739,-188.32508850097656,0.0611785254176159,0.4350164666008082,41.39244024850882,0.0764106683734226,0,-89.71164823728641,43.34483535287207,160.49536021487287,17.60735992543885,60.48063054603497,3.35350064301112,273.4424550269166,44.1907718262686,-90.21842333051757,0.7216638922691345,433708,294.67259438,660175,42.37973578363443,-89.52593678946508,0.2089314758777618,554.639646586195,88.66284194170075,300.42170402,12.33706699279892,2018-05-04 16:40:00.796999936+00:00,2018-05-04 17:00:00+00:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,US-DFC,,,2018-05-04
5,5,0,0,LC08_024030_20180605,-89.71164823728641,43.34483535287207,2018-06-05 16:39:39.135000064,0.0293775,0.03342,0.0651275,0.0447225,0.4098675,0.194735,0.09293,301.12923416,21824.0,0.165132865,0.8032402824523197,0.6394598447342568,0.5737725096638346,301.12923416,1.7852452117562192,0.967852452117562,0.9758913091987956,-89.7118063505126,43.34473634285693,-0.8032402992248535,0.8032402992248535,1,1,-0.7257760608006399,-301.12923416,301.12923416,303.6057975203981,-303.6057975203981,303.6057975203981,0.7595071123810004,1.4029064364662711,21.395228616000622,451.2361573120256,906.1442549969046,0.7595071123810004,2.2512451496922363,1.4029064364662711,320.9994981103929,615.9540521286,55.77649305027603,0.0754414443101877,0.3589292423481611,278.6637515845709,13.358393955090316,3.1641655489542018,20.356837002295684,0.0754414443101877,0.3589292423481611,0.4902006350315107,0.3326901495456695,-97.84249114990234,0.4172130697824964,3.504859055006544,281.51380749375306,0.502543886186615,0,-89.71164823728641,43.34483535287207,196.07720975865985,19.388677832890394,62.31691100625181,1.872401641170178,316.2123089158584,43.7877790349105,-88.28921793867558,0.9015079736709596,485630,294.094949,664317,43.14433347478921,-89.85491043753055,0.2917660474777221,523.4843167061761,106.68629300094764,309.65377604,99.39780279998558,2018-06-05 16:39:39.135000064+00:00,2018-06-05 17:00:00+00:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,US-DFC,,,2018-06-05
6,6,1,1,LC08_025030_20180628,-89.71164823728641,43.34483535287207,2018-06-28 16:46:05.552999936,,,,,,,,,,,,,,,,,,-89.71169167430212,43.34472710959348,,,1,1,,,,,,,0.7416658653630648,2.1350980800368404,31.465611633848468,,881.3481116918603,0.7416658653630648,3.480348520095861,2.1350980800368404,348.2487600010144,,,,,,,,,,,,0.5332009792327881,-159.74044799804688,,,,,1,-89.71164823728641,43.34483535287207,,26.589386794035025,61.34724921106557,0.253284237405838,310.1960721487756,43.16438275298525,-91.31962744491932,0.9292744398117064,272076,299.58770714,364221,43.92717973846682,-90.28066417370331,0.2318764626979828,486.0419870660335,106.5663570626102,309.69137426,,2018-06-28 16:46:05.552999936+00:00,2018-06-28 17:00:00+00:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,US-DFC,,,2018-06-28
7,7,0,0,LC08_024030_20180707,-89.71164823728641,43.34483535287207,2018-07-07 16:39:59.423000064,0.0299274999999999,0.0342174999999999,0.0635049999999999,0.0457674999999999,0.3657025,0.2103825,0.1001349999999999,303.11510378,21824.0,0.154834335,0.7775414975575375,0.578052488795699,0.5265148606097841,303.11510378,1.4103301552450282,0.9641033015524504,0.9746540895123086,-89.7118063505126,43.34473634285693,-0.7775415182113647,0.7775415182113647,1,1,-0.7040825241870192,-303.11510378,303.11510378,305.7384892350437,-305.7384892350437,305.7384892350437,0.7598776953695456,1.362057127592821,20.83339731133842,461.4630558004149,896.7736303767664,0.7598776953695456,2.8415819708402226,1.362057127592821,341.3823025408065,625.5870308425982,64.71260053682819,0.0578451027402311,0.4077286471877613,265.0835424512327,12.591440431833403,2.864504502997164,17.92040890978711,0.0578451027402311,0.4077286471877613,0.5329339176479929,0.4051501452922821,-121.00548553466795,0.4392827823620728,4.092897391977858,295.79088785453735,0.527374527830199,0,-89.71164823728641,43.34483535287207,217.7414322844089,23.188228199451583,47.93305776746875,2.1986329900786354,351.7700500213724,43.42276311826027,-88.45377636482343,0.9263866543769836,491656,298.66825976,774766,42.6836430312819,-88.91354388283928,0.3312047123908996,557.0834305332978,114.75981610817024,311.5952114,116.07457003649203,2018-07-07 16:39:59.423000064+00:00,2018-07-07 17:00:00+00:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,US-DFC,,,2018-07-07
8,8,1,1,LC08_024030_20180723,-89.71164823728641,43.34483535287207,2018-07-23 16:40:06.076999936,0.0322649999999999,0.0352899999999999,0.064935,0.0471975,0.353795,0.2195949999999999,0.1028574999999999,304.80360566,21824.0,0.153486725,0.7645965946994021,0.5585447477055027,0.5104329392309036,304.80360566,1.3072239572991378,0.9630722395729914,0.9743138390590872,-89.7118063505126,43.34473634285693,-0.7645965814590454,0.7645965814590454,1,1,-0.6898478733312635,-304.80360566,304.80360566,307.48756558180764,-307.48756558180764,307.48756558180764,0.74241535106704,1.9570662667987992,29.017006047575848,471.3270054793422,859.3270805845073,0.74241535106704,3.168926292684416,1.9570662667987992,347.5869248765152,590.8560939895525,66.60020266910458,0.0528463368367948,0.4320068039086175,264.8892833100227,12.180861348534112,2.7892371733896653,16.91330788249479,0.0528463368367948,0.4320068039086175,0.5557357276003245,0.3478073477745056,-104.15719604492188,0.3858459425385742,3.183479789696537,259.3666080104253,0.4947328438353955,1,-89.71164823728641,43.34483535287207,180.22715919419267,25.006086149096923,61.75802420260639,2.355389549994472,287.85010165852736,42.79814075562551,-90.11954971729686,0.9134968519210817,412391,299.46807644,513899,42.2342904240682,-89.01224510287676,0.5705518126487732,545.8120831079777,99.6757922162304,311.52001496,90.2834868357938,2018-07-23 16:40:06.076999936+00:00,2018-07-23 17:00:00+00:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,US-DFC,,,2018-07-23
9,9,2,2,LC08_025030_20180730,-89.71164823728641,43.34483535287207,2018-07-30 16:46:20.528000000,0.02682,0.0346849999999999,0.073735,0.060095,0.3721925,0.2288075,0.1109975,304.1610179,21824.0,0.1627957775,0.7219674406500303,0.5298319327731091,0.5021479425606372,304.1610179,1.2576569366754062,0.962576569366754,0.9741502678910288,-89.71169167430212,43.34472710959348,-0.7219674587249756,0.7219674587249756,1,1,-0.6692960178504354,-304.1610179,304.1610179,306.34707772549785,-306.34707772549785,306.34707772549785,0.7451062128668129,1.7784435468864894,26.56027327685645,467.12440390208087,852.4816812664079,0.7451062128668129,3.028953580377492,1.7784435468864894,337.93095793927057,571.8612814340589,69.71291284980624,0.0504421288689677,0.1754226200870056,255.38493065442609,18.19332805648829,3.9794946910616886,41.65177830666914,0.0504421288689677,0.1754226200870056,0.2866894926131718,0.4471819102764129,-133.0133819580078,0.3666888547784206,2.925059575997065,246.76343792982664,0.491415393075052,2,-89.71164823728641,43.34483535287207,166.90057012438982,24.249816307813774,58.714783825272285,0.9618454519979762,277.5484026315325,42.25886634093452,-90.20189176187932,0.9161238074302672,346138,297.44802662,639458,42.9129054829753,-90.45728578763143,0.3376691937446594,490.331940918644,100.4083112773174,309.87936536,82.95468957527676,2018-07-30 16:46:20.528000+00:00,2018-07-30 17:00:00+00:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,US-DFC,,,2018-07-30
