,Unnamed: 0.2,Unnamed: 0.1,Unnamed: 0,id,longitude,latitude,date,UB,B,GR,R,NIR,SWIR_1,SWIR_2,ST_B10,pixel_qa,ALFA,NDVI_model,EVI,SAVI,T_LST,LAI,e_0,e_NB,longitude.1,latitude.1,NDVI_neg,pos_NDVI,int,sd_ndvi,NDWI,LST_neg,LST_NW,T_LST_DEM,LST_neg_1,LST_NW_1,Tao_sw,EA,W_ATM,Rl_up,Rs_down,Tao_sw_1,ES,EA_1,Rl_down,Rn,Ginst,zom,u_fr,Hinst,rah,dT,rah_first,zom_1,u_fr_1,ufric_star,constant,constant_1,ET_inst,ET_24h,LEinst,EF,id.1,longitude.2,latitude.2,Rn24h_G,AirT_G,RH_G,ux_G,SW_Down,cold_pixel_lat,cold_pixel_lon,cold_pixel_ndvi,cold_pixel_sum,cold_pixel_temp,hot_pixel_sum,hot_pixel_lat,hot_pixel_lon,hot_pixel_ndvi,hot_pixel_Rn,hot_pixel_G,hot_pixel_temp,LE_daily_orig,Datetime_Local_sebal,Datetime_GMT,Date_daily,LE_closed,LE_unclosed,H_closed,H_unclosed,G_unclosed,Rn_unclosed,Residual_unclosed,Residual_closed,TIMESTAMP_START,TIMESTAMP_END,CO2,CO2_SIGMA,FC,SC,CH4,FCH4,SCH4,H2O,H2O_SIGMA,G_inst_af,G_PI_2,H_inst_af,LE_inst_af,H_PI_F,LE_PI_F,PA,MO_LENGTH,ZL,RH,T_SONIC,T_SONIC_SIGMA,TA_PI_F,TA,VPD_PI,P,P_RAIN,LW_IN,LW_OUT,SW_IN,SW_OUT,Rn_inst_af,PPFD_IN_PI_F,TS_1_1_1,TS_1_2_1,TS_1_3_1,TS_1_4_1,TS_1_5_1,TS_1_6_1,TS_1_7_1,WTD,TAU,U_SIGMA,USTAR,V_SIGMA,W_SIGMA,WD,WS,WS_MAX,NEE_PI_F,GPP_PI_F,RECO_PI_F,State,Veg,MAT,MAP,Lat,Long,Elev_insitu,Name,Datetime,Datetime_Local_flux,Date
0,0,0,0,LC08_015042_20200103,-80.38093721266534,25.35391583169676,2020-01-03 15:50:14.539000064,,,,,,,,,,,,,,,,,,-80.38093812960389,25.35390336993284,,,1,1,,,,,,,0.6772229604710309,2.5505954416141963,38.25988348819112,,561.7762522317096,0.6772229604710309,3.4290753909092624,2.5505954416141963,354.4635698986325,,,,,,,,,,,,1.1410220861434937,-341.3057861328125,,,,,0,-80.38093721266534,25.35391583169676,,26.33743069774273,74.38143379337816,5.505066727645241,161.0894816559057,25.456201091846765,-81.1282153609687,0.8931252360343933,64506,299.12285642,158228,25.13640947098517,-80.64275238585019,0.1476143896579742,417.2674007736749,51.54154722002658,301.28646308,,2020-01-03 15:50:14.539000064+00:00,2020-01-03 16:00:00+00:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,US-EvM,,,2020-01-03
1,1,1,1,LC08_015042_20200119,-80.38093721266534,25.35391583169676,2020-01-19 15:50:11.437999872,0.0290199999999999,0.03386,0.0527799999999999,0.055255,0.17169,0.1074224999999999,0.0581424999999999,300.37726976,21824.0,0.087448445,0.5130538236136509,0.23300607554812,0.2402554526133339,300.37726976,0.2982887777983494,0.9529828877779836,0.9709843529667346,-80.38093812960389,25.35390336993284,-0.513053834438324,0.513053834438324,1,1,-0.5297367131465229,-300.37726976,300.37726976,300.970291219242,-300.970291219242,300.970291219242,0.7007729533681695,1.6993339720180085,26.191518957944883,439.8822352518061,601.1282024240064,0.7007729533681695,3.136756296575394,1.6993339720180085,345.6872589597816,438.1122829361241,50.52283665293959,0.0115766590791041,0.5914028812390499,156.70656277002723,10.546456244574472,1.400022944307409,12.354799602143954,0.0115766590791041,0.5914028812390499,0.6737721338720661,0.4513512253761291,-134.4432830810547,0.3413020243943486,2.043755480223852,230.88288351315725,0.5956892937287753,1,-80.38093721266534,25.35391583169676,96.705410250137,24.834889292647897,54.17488039709316,3.818718780415268,189.8488776185613,25.404042722982965,-80.21514596436744,0.9196435213088988,147306,297.86844308,432081,26.433286109625115,-80.489311303323,0.2753397524356842,416.33546157201584,60.47592250647666,305.32998074,57.96090541914844,2020-01-19 15:50:11.437999872+00:00,2020-01-19 16:00:00+00:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,US-EvM,,,2020-01-19
2,2,2,2,LC08_015043_20200103,-80.38093721266534,25.35391583169676,2020-01-03 15:50:38.430000128,,,,,,,,,,,,,,,,,,-80.38093812960389,25.35390336993284,,,1,1,,,,,,,0.6808967651791072,2.550508101239076,38.25864526054567,,580.5314642702862,0.6808967651791072,3.4294202076109017,2.550508101239076,351.3233912380471,,,,,,,,,,,,1.3858757019042969,-413.7560424804688,,,,,2,-80.38093721266534,25.35391583169676,,26.33913605863564,74.37140819252016,5.504910861558603,161.0894816559057,25.48682675181876,-81.1133237390385,0.9591623544692992,22779,298.55204708,11348,25.2874471707408,-80.42746316296905,0.0576825998723506,411.82015883319576,52.14725292597326,300.34308956,,2020-01-03 15:50:38.430000128+00:00,2020-01-03 16:00:00+00:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,US-EvM,,,2020-01-03
3,3,3,3,LC08_015043_20200119,-80.38093721266534,25.35391583169676,2020-01-19 15:50:35.328999936,0.0286625,0.0335574999999999,0.05245,0.0548699999999999,0.1716349999999999,0.107285,0.0580049999999999,300.38068778,21824.0,0.0872146125,0.5155073839429595,0.2336844654316503,0.2410823050082243,300.38068778,0.3003109597014756,0.9530031095970148,0.9709910261670148,-80.38093812960389,25.35390336993284,-0.5155074000358582,0.5155074000358582,1,1,-0.531874065644733,-300.38068778,300.38068778,300.71548304097587,-300.71548304097587,300.71548304097587,0.7040557051069041,1.6995089553793414,26.193999703364145,439.911591937136,619.1774087553678,0.7040557051069041,3.1375491235095945,1.6995089553793414,348.4564084543428,457.34453986087465,52.16398232460932,0.0116305799629925,0.5916440170035758,331.5065365486223,9.898600248139642,2.762284441123996,12.349764168738044,0.0116305799629925,0.5916440170035758,0.7024311316287786,1.2768043279647827,-381.1925659179688,0.1088815333841835,0.6240003606594079,73.67402098764302,0.1818300992417408,3,-80.38093721266534,25.35391583169676,96.7537860402142,24.839126789015,54.1667680242822,3.818456360812523,189.8488776185613,25.454828895968475,-81.14701328417905,0.9163622856140136,22504,298.55204708,14515,25.15035465628678,-80.9028640650195,0.124413676559925,432.7258668721762,57.19976088079971,301.20784862,17.696650228300808,2020-01-19 15:50:35.328999936+00:00,2020-01-19 16:00:00+00:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,US-EvM,,,2020-01-19
4,4,0,0,LC08_015042_20200204,-80.38093721266534,25.35391583169676,2020-02-04 15:50:05.766000128,0.0230799999999999,0.0265175,0.0435125,0.04607,0.1532925,0.0813525,0.04585,300.3328355,21824.0,0.0743517625,0.5378268229983071,0.2177847288163995,0.2299719387299147,300.3328355,0.2734451060617168,0.9527344510606172,0.9709023688500036,-80.38093812960389,25.35390336993284,-0.5378268361091614,0.5378268361091614,1,1,-0.5578110312238002,-300.3328355,300.3328355,300.9842753312193,-300.9842753312193,300.9842753312193,0.7082192937180145,1.753959029365455,26.965940364410407,439.507402377635,647.4712023945252,0.7082192937180145,2.7224757072590355,1.753959029365455,335.1049997078881,479.0892528952261,53.25374562533457,0.0109265714957782,0.561359770293329,309.82481678286223,10.349644327241576,2.702706711480176,13.016009462204655,0.0109265714957782,0.561359770293329,0.6693950298527767,0.5176277756690979,-153.09510803222656,0.1714948276773212,0.906456504633918,116.01069048702932,0.2724307590759512,0,-80.38093721266534,25.35391583169676,93.78352948423516,22.481186473684925,64.42514894398545,3.646198938855833,169.684282419309,25.38651971294056,-80.23136305361277,0.8601308465003967,166405,295.76294276,342133,26.166004796062428,-80.15908536349346,0.0875474065542221,418.37819489098166,62.62421986224686,302.21958254000003,25.70710647141792,2020-02-04 15:50:05.766000128+00:00,2020-02-04 16:00:00+00:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,US-EvM,,,2020-02-04
5,5,1,1,LC08_015042_20200220,-80.38093721266534,25.35391583169676,2020-02-20 15:50:02.763000064,,,,,,,,,,,,,,,,,,-80.38093812960389,25.35390336993284,,,1,1,,,,,,,0.7013046987881271,2.5581452462306844,38.36691734030137,,693.1539552422158,0.7013046987881271,3.371962765669896,2.5581452462306844,357.1201314659745,,,,,,,,,,,,0.2612302303314209,-78.45155334472656,,,,,1,-80.38093721266534,25.35391583169676,,26.052884889816152,75.86516886471215,3.318126302324874,168.36584119620895,25.24922413012702,-81.12174141310115,0.874326765537262,77598,300.3157454,212331,26.16607442149014,-80.17109170039525,0.3060127794742584,386.9839662142427,80.25818351907886,312.68214176000004,,2020-02-20 15:50:02.763000064+00:00,2020-02-20 16:00:00+00:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,US-EvM,,,2020-02-20
6,6,2,2,LC08_015043_20200204,-80.38093721266534,25.35391583169676,2020-02-04 15:50:29.665999872,0.0240424999999999,0.0271224999999999,0.0436499999999999,0.0459324999999999,0.1528525,0.0816824999999999,0.0461524999999999,300.3328355,21824.0,0.07446608,0.537867545337928,0.2181989606366381,0.229512654106771,300.3328355,0.2723485281771213,0.9527234852817712,0.9708987501429844,-80.38093812960389,25.35390336993284,-0.537867546081543,0.537867546081543,1,1,-0.5557308431190443,-300.3328355,300.3328355,300.74948920070835,-300.74948920070835,300.74948920070835,0.7109239015158375,1.7541302105494248,26.968367206224176,439.5023437372444,663.7944235041927,0.7109239015158375,2.7229939262865006,1.7541302105494248,342.6065457017075,501.2712134240103,55.25865587485136,0.0108984044203099,0.5612765159025908,659.4410971830564,9.511759992566937,5.230565868506574,13.017940132572855,0.0108984044203099,0.5612765159025908,0.7015297473378842,1.5992188453674316,-475.7337036132813,-0.3154326629945859,-1.5914548781260642,-213.42853963389743,-0.4785258531882785,2,-80.38093721266534,25.35391583169676,93.7612766644686,22.484320759284383,64.41917455694183,3.646616935647789,169.684282419309,25.35520033387808,-80.25183482986641,0.927124559879303,27743,297.4787888,5017,25.16875487613773,-80.87278148761075,0.1093010827898979,469.4107343196552,60.3751247429604,299.69024774,-45.13366034365518,2020-02-04 15:50:29.665999872+00:00,2020-02-04 16:00:00+00:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,US-EvM,,,2020-02-04
7,7,3,3,LC08_015043_20200220,-80.38093721266534,25.35391583169676,2020-02-20 15:50:26.654000128,,,,,,,,,,,,,,,,,,-80.38093812960389,25.35390336993284,,,1,1,,,,,,,0.7034097683170121,2.557953742402066,38.36420238362207,,707.0194136695378,0.7034097683170121,3.372480258122565,2.557953742402066,351.9505328416914,,,,,,,,,,,,1.5038954019546509,-450.0859375,,,,,3,-80.38093721266534,25.35391583169676,,26.05548192775415,75.84784925697564,3.318213332524869,168.36584119620895,25.45243498606405,-81.09270211663741,0.999076783657074,11768,299.28008534,20781,25.359629158713744,-80.32753884015276,0.1362238675355911,503.58782102551896,70.22510342951132,301.97006708000004,,2020-02-20 15:50:26.654000128+00:00,2020-02-20 16:00:00+00:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,US-EvM,,,2020-02-20
8,8,0,0,LC08_015042_20200307,-80.38093721266534,25.35391583169676,2020-03-07 15:49:57.141999872,0.0394974999999999,0.0431,0.0587475,0.0635049999999999,0.1736424999999999,0.1796375,0.0994749999999999,299.40655208,21824.0,0.1022953099999999,0.4644261482832415,0.2235981151879229,0.2241155942331758,299.40655208,0.2595439448786146,0.952595439448786,0.9708564950180996,-80.38093812960389,25.35390336993284,-0.4644261598587036,0.4644261598587036,1,1,-0.4944059555058306,-299.40655208,299.40655208,300.0029033001016,-300.0029033001016,300.0029033001016,0.7456791391211337,1.166163939930465,18.63274819989815,434.0469981067929,795.6487425159501,0.7456791391211337,2.3768358083652554,1.166163939930465,323.48877613246907,588.3645424990372,68.71463486508485,0.0105728026760624,1.007454571819496,203.89983056606044,6.699510881787197,1.1539249451508624,7.252599061258839,0.0105728026760624,1.007454571819496,1.080729083842457,0.2000627368688583,-58.865478515625,0.4663193878143873,3.022645940514431,315.7500770678919,0.6076207701172345,0,-80.38093721266534,25.35391583169676,140.34709229014425,20.2644589908497,49.06371470112324,6.565660906252301,159.64267472270708,25.55908519566002,-81.18686209894803,0.8814499974250793,252492,294.23508782,419369,25.98898609789592,-80.13577220759396,0.1971716582775116,433.4582124318897,80.07421183150198,304.20887018,85.72223887298927,2020-03-07 15:49:57.141999872+00:00,2020-03-07 16:00:00+00:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,US-EvM,,,2020-03-07
9,9,1,1,LC08_015042_20200323,-80.38093721266534,25.35391583169676,2020-03-23 15:49:49.052999936,,,,,,,,,,,,,,,,,,-80.38093812960389,25.35390336993284,,,1,1,,,,,,,0.734726496454962,1.877867420279212,28.72259408751716,,835.9491521746492,0.734726496454962,3.4793707140673216,1.877867420279212,344.35373931256333,,,,,,,,,,,,0.2636093497276306,-78.69750213623047,,,,,1,-80.38093721266534,25.35391583169676,,26.584612195027173,53.97146710141784,3.02018894536624,248.97785524326656,26.76349018658368,-80.42327177731835,0.8666040301322937,91961,298.538375,183714,26.84076788730782,-81.05002286890918,0.2397712767124176,522.6654935898824,110.63875180721172,320.02404872,,2020-03-23 15:49:49.052999936+00:00,2020-03-23 16:00:00+00:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,US-EvM,,,2020-03-23
