,Unnamed: 0.3,Unnamed: 0.2,Unnamed: 0.1,Unnamed: 0,id,longitude,latitude,date,UB,B,GR,R,NIR,SWIR_1,SWIR_2,ST_B10,pixel_qa,ALFA,NDVI_model,EVI,SAVI,T_LST,LAI,e_0,e_NB,longitude.1,latitude.1,NDVI_neg,pos_NDVI,int,sd_ndvi,NDWI,LST_neg,LST_NW,T_LST_DEM,LST_neg_1,LST_NW_1,Tao_sw,EA,W_ATM,Rl_up,Rs_down,Tao_sw.1,ES,EA_1,Rl_down,Rn,Ginst,zom,u_fr,Hinst,rah,dT,rah_first,zom_1,u_fr_1,ufric_star,constant,constant_1,ET_inst,ET_24h,LEinst,EF,id.1,longitude.2,latitude.2,Rn24h_G,AirT_G,RH_G,ux_G,SW_Down,cold_pixel_lat,cold_pixel_lon,cold_pixel_ndvi,cold_pixel_sum,cold_pixel_temp,hot_pixel_sum,hot_pixel_lat,hot_pixel_lon,hot_pixel_ndvi,hot_pixel_Rn,hot_pixel_G,hot_pixel_temp,Date,Rn_daily_volk_measured,LE_closed,gridMET_ETo,Lat,Long,Elev_volk,Energy_balance,Land_cover_deets,Land_cover_volk,State,Name,Veg,LE_Daily_model,Landcover_wc,Elev_SRTM,Slope_SRTM,Canopy_height,clay_percent,silt_percent,sand_percent,Ksat,doy,R_LST,GR_LST,B_LST,NIR_LST,NDVI_LST,NDWI_LST,SWIR1_LST,SWIR2_LST,ETa
0,0,0,0,0,LC08_045027_20160110,-119.4641199419102,46.68899366106381,2016-01-10 18:49:32.632999936,,,,,,,,,,,,,,,,,,-119.4640304917994,46.68900797278873,,,1,1,,,,,,,0.6430562480395319,0.5561802384271399,9.88156339273097,,286.0488286809745,0.6430562480395319,0.6531898890341878,0.5561802384271399,226.87270322623883,,,,,,,,,,,,0.0788001120090484,-21.02376365661621,,,,,0,-119.4641199419102,46.68899366106381,,0.925566447670582,85.14832329225315,0.3965135340868517,34.58872745892282,46.98608522099292,-121.70629016151383,0.9975777268409728,10509,266.79864128,2527,47.03596488964203,-121.5435802303999,0.1702875941991806,59.21173631804564,7.228381918661446,278.41990928,2016-01-10,3.4374657222222225,4.095372177480206,0.2,46.6888609999999,-119.464111,117.5,0.853548292707372,Cheatgrass and Russian thistle,Grasslands,WA,US-Hn2,GRA,,30,116,2.856480108981624,0,1.7707722187042236,16.380859375,80.70703125,1.4026764631271362,10,,,,,,,,,
1,1,1,1,0,LC08_044027_20160220,-119.4641199419102,46.68899366106381,2016-02-20 18:43:10.982000128,0.0426324999999999,0.0487374999999999,0.0659799999999999,0.0669699999999999,0.16619,0.1974575,0.1424575,288.61928096,21824.0,0.1066447925,0.4255446903413966,0.2062822315986873,0.2029979813410443,288.61928096,0.2108288667423166,0.9521082886674233,0.9706957352602495,-119.46416122190112,46.68905519667096,-0.4255446791648865,0.4255446791648865,1,1,-0.4316233794202525,-288.61928096,288.61928096,290.20229179695707,-290.20229179695707,290.20229179695707,0.7069312480892644,0.6068996617653827,10.591183010043205,374.6025819481732,472.82055190679847,0.7069312480892644,1.0398161030102318,0.6068996617653827,241.98913118889573,278.1939778831653,21.070682559948825,0.0093896116460692,0.2621867655343192,253.5131105785218,16.4840000884823,3.371943607075444,27.868165149177173,0.0093896116460692,0.2621867655343192,0.3593506300726607,0.1917009949684143,-52.26012420654297,0.0052816094001669,0.0254003264907755,3.610184744694692,0.014040675467217,0,-119.4641199419102,46.68899366106381,51.52324442201355,7.542767489266373,58.36605722958407,1.7292841945471744,145.70968076232188,48.15199454158009,-118.44954109872111,0.7230331301689148,467415,272.6126933,712146,46.7734595309703,-118.8876035073444,0.1833274811506271,298.72291878773245,21.401730737255733,284.73299222,2016-02-20,41.64590986805555,42.32473831689421,2.3,46.6888609999999,-119.464111,117.5,0.853548292707372,Cheatgrass and Russian thistle,Grasslands,WA,US-Hn2,GRA,0.7203532592783932,30,116,2.856480108981624,0,1.7707722187042236,16.380859375,80.70703125,1.4026764631271362,51,19.32883324589117,19.04310015774077,14.066582205787972,47.965638302742406,122.82040254267974,-124.57482941379854,56.99004167015921,41.1159812173592,0.163
2,2,1,1,0,LC08_044027_20160220,-119.4641199419102,46.68899366106381,2016-02-20 18:43:10.982000128,0.0426324999999999,0.0487374999999999,0.0659799999999999,0.0669699999999999,0.16619,0.1974575,0.1424575,288.61928096,21824.0,0.1066447925,0.4255446903413966,0.2062822315986873,0.2029979813410443,288.61928096,0.2108288667423166,0.9521082886674233,0.9706957352602495,-119.46416122190112,46.68905519667096,-0.4255446791648865,0.4255446791648865,1,1,-0.4316233794202525,-288.61928096,288.61928096,290.20229179695707,-290.20229179695707,290.20229179695707,0.7069312480892644,0.6068996617653827,10.591183010043205,374.6025819481732,472.82055190679847,0.7069312480892644,1.0398161030102318,0.6068996617653827,241.98913118889573,278.1939778831653,21.070682559948825,0.0093896116460692,0.2621867655343192,253.5131105785218,16.4840000884823,3.371943607075444,27.868165149177173,0.0093896116460692,0.2621867655343192,0.3593506300726607,0.1917009949684143,-52.26012420654297,0.0052816094001669,0.0254003264907755,3.610184744694692,0.014040675467217,0,-119.4641199419102,46.68899366106381,51.52324442201355,7.542767489266373,58.36605722958407,1.7292841945471744,145.70968076232188,48.15199454158009,-118.44954109872111,0.7230331301689148,467415,272.6126933,712146,46.7734595309703,-118.8876035073444,0.1833274811506271,298.72291878773245,21.401730737255733,284.73299222,2016-02-20,41.64590986805555,42.32473831689421,2.3,46.6888609999999,-119.464111,117.5,0.853548292707372,Cheatgrass and Russian thistle,Grasslands,WA,US-Hn2,GRA,0.7203532592783932,30,116,2.856480108981624,0,1.7707722187042236,16.380859375,80.70703125,1.4026764631271362,51,19.32883324589117,19.04310015774077,14.066582205787972,47.965638302742406,122.82040254267974,-124.57482941379854,56.99004167015921,41.1159812173592,0.163
3,3,2,2,1,LC08_044028_20160220,-119.4641199419102,46.68899366106381,2016-02-20 18:43:34.864000000,0.0436775,0.0496999999999999,0.065705,0.0671899999999999,0.1665475,0.1987225,0.142815,288.61244492000003,21824.0,0.1071436975,0.4250815551633779,0.2075244112578978,0.2031193035656485,288.61244492000003,0.2111026597249051,0.952111026597249,0.970696638777092,-119.46416122190112,46.68905519667096,-0.4250815510749817,0.4250815510749817,1,1,-0.4341933886610477,-288.61244492000003,288.61244492000003,289.9065767568755,-289.9065767568755,289.9065767568755,0.7122080033338398,0.6067637641083516,10.589281654762942,374.5681700048054,494.0427790769638,0.7122080033338398,1.040281352727248,0.6067637641083516,272.5757131940528,326.06338111334384,24.29111012021169,0.0093960159565301,0.262140237986378,259.93595149550674,16.405483295795733,3.4362939002381268,27.873111499268145,0.0093960159565301,0.262140237986378,0.3599969133017269,0.3850986361503601,-108.20633697509766,0.0611881214090296,0.2502648628669431,41.83631949762543,0.1386353999986219,1,-119.4641199419102,46.68899366106381,51.42814370257625,7.549311266831356,58.326890366498695,1.7288590328989597,145.70968076232188,46.85750928307211,-119.00940707425896,0.6131057143211365,370250,280.98342428,494951,46.4949024556395,-119.58751466025588,0.1576082706451416,300.4551291272894,28.614690193633425,290.57780642,2016-02-20,41.64590986805555,42.32473831689421,2.3,46.6888609999999,-119.464111,117.5,0.853548292707372,Cheatgrass and Russian thistle,Grasslands,WA,US-Hn2,GRA,7.097511510906506,30,116,2.856480108981624,0,1.7707722187042236,16.380859375,80.70703125,1.4026764631271362,51,19.391870174174773,18.9632806934686,14.344038512523973,48.067681170313705,122.68382692609836,-125.3136154695648,57.35378658561471,41.2181863212498,0.163
4,4,2,2,1,LC08_044028_20160220,-119.4641199419102,46.68899366106381,2016-02-20 18:43:34.864000000,0.0436775,0.0496999999999999,0.065705,0.0671899999999999,0.1665475,0.1987225,0.142815,288.61244492000003,21824.0,0.1071436975,0.4250815551633779,0.2075244112578978,0.2031193035656485,288.61244492000003,0.2111026597249051,0.952111026597249,0.970696638777092,-119.46416122190112,46.68905519667096,-0.4250815510749817,0.4250815510749817,1,1,-0.4341933886610477,-288.61244492000003,288.61244492000003,289.9065767568755,-289.9065767568755,289.9065767568755,0.7122080033338398,0.6067637641083516,10.589281654762942,374.5681700048054,494.0427790769638,0.7122080033338398,1.040281352727248,0.6067637641083516,272.5757131940528,326.06338111334384,24.29111012021169,0.0093960159565301,0.262140237986378,259.93595149550674,16.405483295795733,3.4362939002381268,27.873111499268145,0.0093960159565301,0.262140237986378,0.3599969133017269,0.3850986361503601,-108.20633697509766,0.0611881214090296,0.2502648628669431,41.83631949762543,0.1386353999986219,1,-119.4641199419102,46.68899366106381,51.42814370257625,7.549311266831356,58.326890366498695,1.7288590328989597,145.70968076232188,46.85750928307211,-119.00940707425896,0.6131057143211365,370250,280.98342428,494951,46.4949024556395,-119.58751466025588,0.1576082706451416,300.4551291272894,28.614690193633425,290.57780642,2016-02-20,41.64590986805555,42.32473831689421,2.3,46.6888609999999,-119.464111,117.5,0.853548292707372,Cheatgrass and Russian thistle,Grasslands,WA,US-Hn2,GRA,7.097511510906506,30,116,2.856480108981624,0,1.7707722187042236,16.380859375,80.70703125,1.4026764631271362,51,19.391870174174773,18.9632806934686,14.344038512523973,48.067681170313705,122.68382692609836,-125.3136154695648,57.35378658561471,41.2181863212498,0.163
5,5,3,3,2,LC08_045027_20160227,-119.4641199419102,46.68899366106381,2016-02-27 18:49:22.101000192,0.05069,0.059765,0.0879249999999999,0.0937824999999999,0.1963575,0.2443449999999999,0.1866499999999999,293.7189668,21824.0,0.1323218175,0.3535362238919143,0.1956321067427517,0.194728149441871,293.7189668,0.1923249802589662,0.9519232498025896,0.9706346724348546,-119.4640304917994,46.68900797278873,-0.3535362184047699,0.3535362184047699,1,1,-0.3814251668674647,-293.7189668,293.7189668,294.5771721152129,-294.5771721152129,294.5771721152129,0.703354037199169,0.9506896255130628,15.401176626955415,401.7102936106618,506.5643328309377,0.703354037199169,1.4817264554113738,0.9506896255130628,255.0163236545599,280.58049358536897,28.292777810083862,0.0089632015484987,0.4077395262703278,296.2936298381188,12.851820118280356,3.126418687562868,17.919930767258375,0.0089632015484987,0.4077395262703278,0.5131676260502325,0.1693838983774185,-46.77021408081055,-0.064650920356501,-0.3615295263347894,-44.00591406283365,-0.1744274941314626,2,-119.4641199419102,46.68899366106381,58.78329462891723,12.83546359868218,64.16094023570103,2.7018357905014025,154.438417470699,48.09785758268435,-120.14496884126784,0.8332160711288452,170133,276.11958182,215786,47.12891697522566,-119.510505998204,0.1345289200544357,302.3875598408084,33.042902129902366,294.95970806,2016-02-27,,21.657391036145484,1.2,46.6888609999999,-119.464111,117.5,0.853548292707372,Cheatgrass and Russian thistle,Grasslands,WA,US-Hn2,GRA,-10.252977366854628,30,116,2.856480108981624,0,1.7707722187042236,16.380859375,80.70703125,1.4026764631271362,58,27.54569900392097,25.82524015588997,17.554114050802,57.67392202343099,103.84029440790654,-112.03180592382932,71.76876094274596,54.822645153219966,
6,6,4,4,0,LC08_044027_20160307,-119.4641199419102,46.68899366106381,2016-03-07 18:43:10.163000064,0.0540999999999999,0.0603425,0.0826724999999999,0.08842,0.2059825,0.244895,0.1856324999999999,293.31564044000004,21824.0,0.1338364625,0.3993257530082116,0.2289107596088973,0.2219828739209657,293.31564044000004,0.2545248873249436,0.9525452488732494,0.9708399321281724,-119.46416122190112,46.68905519667096,-0.3993257582187652,0.3993257582187652,1,1,-0.4271881658034679,-293.31564044000004,293.31564044000004,294.85345102297265,-294.85345102297265,294.85345102297265,0.7273104972158563,0.6804279696146633,11.6199236037534,399.769410554411,572.3322216957209,0.7273104972158563,1.2341666884619549,0.6804279696146633,264.1056517925306,347.53647503033665,35.23226925775674,0.0104468346729636,0.5427398783147632,954.0509509993028,9.233008134580928,7.131445102906639,13.4625524561169,0.0104468346729636,0.5427398783147632,0.6994506874591282,0.4548649489879608,-126.98705291748048,-0.9430679027654127,-5.672639678421088,-641.7467452267229,-2.05487705053208,0,-119.4641199419102,46.68899366106381,78.2724315771425,10.075229285184044,55.13258265482983,3.5413836255925,181.2320861468727,47.90016170863255,-117.34105229256257,0.715729832649231,243994,279.1752917,330544,47.18526930574323,-119.90245742190008,0.1541536599397659,385.5614186590765,31.820576733511608,287.83313636,2016-03-07,56.112468493055566,42.22171631151507,2.4,46.6888609999999,-119.464111,117.5,0.853548292707372,Cheatgrass and Russian thistle,Grasslands,WA,US-Hn2,GRA,-160.87606128002207,30,116,2.856480108981624,0,1.7707722187042236,16.380859375,80.70703125,1.4026764631271362,67,25.9349689277048,24.249137284275875,17.699399033250703,60.41788890693231,117.12848898778886,-125.30097044103312,71.83153376555381,54.44891562397827,
7,7,5,5,2,LC08_044028_20160307,-119.4641199419102,46.68899366106381,2016-03-07 18:43:34.046000128,0.0518724999999999,0.0588575,0.0815449999999999,0.0879524999999999,0.20623,0.2455275,0.186485,293.3088044,21824.0,0.1333043925,0.4020548469062572,0.2287741619770003,0.2233948116459378,293.3088044,0.2578451185540619,0.9525784511855404,0.9708508888912284,-119.46416122190112,46.68905519667096,-0.4020548462867737,0.4020548462867737,1,1,-0.43327252193554,-293.3088044,293.3088044,294.5694759235474,-294.5694759235474,294.5694759235474,0.7311121839593404,0.6805652865375821,11.621844816099255,399.7460768431032,591.917455198152,0.7311121839593404,1.234789238272014,0.6805652865375821,280.0828453795915,380.06706463504366,37.96791607697134,0.0105300610140128,0.5426757144542236,407.96489609529726,10.29877366087008,3.4453311732412004,13.464144215827709,0.0105300610140128,0.5426757144542236,0.6615705800713468,0.3087419867515564,-87.5006332397461,-0.0967653942072264,-0.5319448634068198,-65.86574753722493,-0.1925340878948257,2,-119.4641199419102,46.68899366106381,78.35871419659303,10.082759828945123,55.11590686439551,3.538115207142699,181.2320861468727,46.613028207799104,-118.72020872818268,0.7031988501548767,286784,283.41021848,388980,46.25962739573556,-119.906137198871,0.114491157233715,409.4191612163176,40.96814903284657,293.62668026,2016-03-07,56.112468493055566,42.22171631151507,2.4,46.6888609999999,-119.464111,117.5,0.853548292707372,Cheatgrass and Russian thistle,Grasslands,WA,US-Hn2,GRA,-15.085956326217408,30,116,2.856480108981624,0,1.7707722187042236,16.380859375,80.70703125,1.4026764631271362,67,25.79724261899097,23.917866454797966,17.263422954973,60.489074731412,117.92622644929934,-127.082645388286,72.015377472321,54.697692388534,
8,8,6,6,4,LC08_045027_20160314,-119.4641199419102,46.68899366106381,2016-03-14 18:49:18.436999936,,,,,,,,,,,,,,,,,,-119.4640304917994,46.68900797278873,,,1,1,,,,,,,0.7389358277101955,0.6202074155109466,10.777372885610896,,619.1615880878215,0.7389358277101955,1.166696400882157,0.6202074155109466,245.25431577060976,,,,,,,,,,,,0.2417916059494018,-66.34025573730469,,,,,4,-119.4641199419102,46.68899366106381,,9.238585550015584,53.15928077278701,3.7577452516540726,172.30494011766504,46.79572189119629,-121.07125741142812,0.7156336307525635,118347,274.36955558,160685,47.54586272375178,-120.29232478126252,0.1739224642515182,372.0337155814258,42.21428683817489,290.40690542,2016-03-14,73.40383285694442,48.26681306198944,2.8,46.6888609999999,-119.464111,117.5,0.853548292707372,Cheatgrass and Russian thistle,Grasslands,WA,US-Hn2,GRA,,30,116,2.856480108981624,0,1.7707722187042236,16.380859375,80.70703125,1.4026764631271362,74,,,,,,,,,
9,9,7,7,1,LC08_044027_20160323,-119.4641199419102,46.68899366106381,2016-03-23 18:43:02.503000064,0.067575,0.0870175,0.12945,0.14045,0.2636775,0.289335,0.2249025,292.6081103,21824.0,0.177371575,0.3049223326796617,0.211913702270943,0.2044415748884974,292.6081103,0.2140911168386689,0.9521409111683866,0.9707065006855676,-119.46416122190112,46.68905519667096,-0.304922342300415,0.304922342300415,1,1,-0.341435030619837,-292.6081103,292.6081103,294.0834264733305,-294.0834264733305,294.0834264733305,0.7441159966888058,0.7223785675787507,12.206857865106668,395.75801829413393,670.0203325007543,0.7441159966888058,1.3974641367817418,0.7223785675787507,259.5268837460054,402.5259161115514,42.71463655736066,0.0094660993781056,0.375901285862943,367.95240867852107,13.025656725736658,3.9160048607319737,19.437720371361213,0.0094660993781056,0.375901285862943,0.488864775563071,0.2500625848770141,-69.62325286865234,-0.0119547844711217,-0.069067121941075,-8.141129124330348,-0.0226261087045889,1,-119.4641199419102,46.68899366106381,86.61500611175963,11.944770123244249,51.69210061034812,2.477283700483791,180.82883917413727,48.17865940764768,-118.29612633918344,0.8340333700180054,330245,278.4233273,441820,47.18526930574323,-119.90245742190008,0.1430832594633102,391.59226471256073,46.91968261833346,293.1891737,2016-03-23,64.65249859902778,46.99156967441754,2.8,46.6888609999999,-119.464111,117.5,0.853548292707372,Cheatgrass and Russian thistle,Grasslands,WA,US-Hn2,GRA,-1.9587435782488871,30,116,2.856480108981624,0,1.7707722187042236,16.380859375,80.70703125,1.4026764631271362,83,41.096809091635,37.878119878335006,25.46202623803025,77.15417500362825,89.22274755366375,-99.90665909989316,84.66176759365051,65.80829552674575,0.757
