,Unnamed: 0.2,Unnamed: 0.1,Unnamed: 0,id,longitude,latitude,date,UB,B,GR,R,NIR,SWIR_1,SWIR_2,ST_B10,pixel_qa,ALFA,NDVI_model,EVI,SAVI,T_LST,LAI,e_0,e_NB,longitude.1,latitude.1,NDVI_neg,pos_NDVI,int,sd_ndvi,NDWI,LST_neg,LST_NW,T_LST_DEM,LST_neg_1,LST_NW_1,Tao_sw,EA,W_ATM,Rl_up,Rs_down,Tao_sw_1,ES,EA_1,Rl_down,Rn,Ginst,zom,u_fr,Hinst,rah,dT,rah_first,zom_1,u_fr_1,ufric_star,constant,constant_1,ET_inst,ET_24h,LEinst,EF,id.1,longitude.2,latitude.2,Rn24h_G,AirT_G,RH_G,ux_G,SW_Down,cold_pixel_lat,cold_pixel_lon,cold_pixel_ndvi,cold_pixel_sum,cold_pixel_temp,hot_pixel_sum,hot_pixel_lat,hot_pixel_lon,hot_pixel_ndvi,hot_pixel_Rn,hot_pixel_G,hot_pixel_temp,LE_daily_orig,Datetime_Local_sebal,Datetime_GMT,Date_daily,LE_closed,LE_unclosed,H_closed,H_unclosed,G_unclosed,Rn_unclosed,Residual_unclosed,Residual_closed,TIMESTAMP_START,TIMESTAMP_END,H_inst_af,SH,H_SSITC_TEST,LE_inst_af,SLE,LE_SSITC_TEST,FC,SC,FC_SSITC_TEST,TAU,TAU_SSITC_TEST,CO2,CO2_SIGMA,H2O,H2O_SIGMA,U_SIGMA,V_SIGMA,W_SIGMA,WS,WS_MAX,WD,USTAR,MO_LENGTH,ZL,FETCH_70,FETCH_80,FETCH_90,FETCH_MAX,T_SONIC,T_SONIC_SIGMA,TA,RH,PA,VPD_PI,SWC_1_1_1,SWC_1_2_1,SWC_1_3_1,SWC_1_4_1,TS_1_1_1,TS_1_2_1,TS_1_3_1,G_inst_af,G_1_2_1,SW_IN,SW_OUT,Rn_inst_af,PPFD_IN,PPFD_OUT,P_RAIN,P,State,Veg,MAT,MAP,Lat,Long,Elev_insitu,Name,Datetime,Datetime_Local_flux,Date
0,0,0,0,LC08_033037_20130318,-106.60329934528464,32.58499454274526,2013-03-18 17:42:46.109999872,,,,,,,,,,,,,,,,,,-106.60320325149796,32.58504103670271,,,1,1,,,,,,,0.8027087775112235,0.266794201587309,5.279696059563189,,843.6473483324346,0.8027087775112235,2.039539568781977,0.266794201587309,279.0047667962341,,,,,,,,,,,,0.1747419089078903,-49.87185287475586,,,,,0,-106.60329934528464,32.58499454274526,,17.810617744018455,13.081099561438752,2.4305356042292416,262.25873987958283,33.016233987876184,-107.81574153610669,0.7173843383789062,239263,285.40292414,453951,33.288732539161224,-107.46601505804372,0.0825488343834877,417.8013156757096,111.87856121781822,309.58541564,,2013-03-18 17:42:46.109999872+00:00,2013-03-18 18:00:00+00:00,2013-03-18,3.856184706921504,3.093918041666667,109.20108055318924,87.61488854166667,4.573513020833334,105.303,10.020680395833324,-12.327778280944074,201303181200.0,201303181230.0,347.646,1.52279,0.0,-3.88195,0.163778,2.0,-2.91257,0.0584,0.0,-0.221804,0.0,377.343,1.56317319,3.92391,0.418833606,1.62435,1.96142,0.594862,3.46948,9.31343,174.7,0.467003,-22.77,-0.282389,133.455,159.711,199.94,73.3522,18.5918,1.07468,19.9,9.68,85.2,19.54571934,3.9,8.8,7.1,19.0,28.91,41.87,15.99,88.78677,-9999.0,-9999.0,-9999.0,577.5,-9999.0,-9999.0,0.0,0.0,NM,OSH,17.5,282.3,32.5849,-106.6032,1469.0,US-Jo2,2013-03-18 12:00:00,2013-03-18 12:00:00-06:00,2013-03-18
1,1,1,1,LC08_033037_20130323,-106.60329934528464,32.58499454274526,2013-03-23 17:38:32.760999936,0.0930125,0.113885,0.1595349999999999,0.212445,0.27883,0.3554449999999999,0.3066875,304.84803992,21824.0,0.21586217,0.1351279833087375,0.0976616231086657,0.1004539608080502,304.84803992,0.0008458475360505,0.9500084584753604,0.970002791296869,-106.60320325149796,32.58504103670271,-0.1351279765367508,0.1351279765367508,1,1,-0.2721362335040435,-304.84803992,304.84803992,314.36906404115746,-314.36906404115746,314.36906404115746,0.8050489329075781,0.2737970157642521,5.363156721420912,465.2047697622826,867.1786842854068,0.8050489329075781,1.913523955811556,0.2737970157642521,273.0923233182197,474.222859052528,105.46823653103908,0.005276729741671,0.836425616008282,380.6789466822322,7.594989639538531,2.572259460923636,8.735581433659314,0.005276729741671,0.836425616008282,0.9379582308690372,0.084599532186985,-24.0232162475586,-0.0178590889862623,-0.1685712336497667,-11.924324160743254,-0.0323367449042577,1,-106.60329934528464,32.58499454274526,145.02751157575233,16.801797173202747,14.308523022808483,5.835743501409741,299.38379266513533,32.80466136868584,-105.651663215515,0.5761261582374573,369554,283.96393772,647988,32.79509178893722,-105.9610927972505,0.105460837483406,356.79179141812284,97.5913569544656,310.21433132,-4.780680186307383,2013-03-23 17:38:32.760999936+00:00,2013-03-23 18:00:00+00:00,2013-03-23,4.425439676516318,3.6238502291666665,128.58636603248735,105.2952398125,0.9526711250000006,127.54889583333332,17.67713466666669,-6.415581000670329,201303231200.0,201303231230.0,381.404,3.73981,0.0,10.0065,-4.03081,0.0,-3.26318,0.0627,0.0,-0.779728,1.0,376.622,1.31907774,3.12608,0.107721153,2.68023,2.49548,1.13622,11.6974,23.8149,222.826,0.877735,-137.012,-0.0469,131.745,157.665,197.377,75.4501,17.7457,0.901929,19.09,6.617,84.6,20.37549027,3.8,8.8,7.1,19.0,26.8,35.5,15.81,69.2063,-9999.0,-9999.0,-9999.0,616.5,-9999.0,-9999.0,0.0,0.0,NM,OSH,17.5,282.3,32.5849,-106.6032,1469.0,US-Jo2,2013-03-23 12:00:00,2013-03-23 12:00:00-06:00,2013-03-23
2,2,2,2,LC08_033038_20130323,-106.60329934528464,32.58499454274526,2013-03-23 17:38:56.551000064,0.0941949999999999,0.1145175,0.159095,0.2123074999999999,0.27927,0.35616,0.3094375,304.84803992,21824.0,0.2163173225,0.1362196194903144,0.0988094175316718,0.1012969233368042,304.84803992,0.0024182359126047,0.950024182359126,0.9700079801785116,-106.60320325149796,32.58504103670271,-0.1362196207046508,0.1362196207046508,1,1,-0.2741436930411872,-304.84803992,304.84803992,314.1349015780572,-314.1349015780572,314.1349015780572,0.8063881680268501,0.2733741620838567,5.3581170834777865,465.21246951028144,879.9450412648082,0.8063881680268501,1.914523927629804,0.2733741620838567,333.0420928496887,540.7832584316691,119.66151421514115,0.0053017872894486,0.8374598232173259,439.8607810533448,7.512353279618858,2.9326505411426,8.72479357131247,0.0053017872894486,0.8374598232173259,0.945399720534828,0.1870892643928527,-55.83861541748047,-0.0280590468514452,-0.2317582159673089,-18.739036836816865,-0.0444979084888616,2,-106.60329934528464,32.58499454274526,144.93011924309928,16.81002869003819,14.27896293896395,5.840333602005634,299.38379266513533,31.421762100841395,-106.08032014259084,0.3887891471385956,410745,298.45976054,776278,31.08722159384025,-107.07529458082392,0.0931810513138771,545.7594134032782,127.32370611714428,312.28565144000004,-6.57266300483288,2013-03-23 17:38:56.551000064+00:00,2013-03-23 18:00:00+00:00,2013-03-23,4.425439676516318,3.6238502291666665,128.58636603248735,105.2952398125,0.9526711250000006,127.54889583333332,17.67713466666669,-6.415581000670329,201303231200.0,201303231230.0,381.404,3.73981,0.0,10.0065,-4.03081,0.0,-3.26318,0.0627,0.0,-0.779728,1.0,376.622,1.31907774,3.12608,0.107721153,2.68023,2.49548,1.13622,11.6974,23.8149,222.826,0.877735,-137.012,-0.0469,131.745,157.665,197.377,75.4501,17.7457,0.901929,19.09,6.617,84.6,20.37549027,3.8,8.8,7.1,19.0,26.8,35.5,15.81,69.2063,-9999.0,-9999.0,-9999.0,616.5,-9999.0,-9999.0,0.0,0.0,NM,OSH,17.5,282.3,32.5849,-106.6032,1469.0,US-Jo2,2013-03-23 12:00:00,2013-03-23 12:00:00-06:00,2013-03-23
3,3,0,0,LC08_033037_20130419,-106.60329934528464,32.58499454274526,2013-04-19 17:41:05.224999936,,,,,,,,,,,,,,,,,,-106.60320325149796,32.58504103670271,,,1,1,,,,,,,0.8289707446445786,0.0993188864872355,3.283698409203692,,982.4336513253984,0.8289707446445786,1.343548766511526,0.0993188864872355,283.1547476035046,,,,,,,,,,,,0.1877549439668655,-53.97599411010742,,,,,0,-106.60329934528464,32.58499454274526,,11.349777500819773,7.392279979915678,1.1137859313800549,349.8303631493305,32.73216791706258,-105.74334441693576,0.6359137892723083,152298,287.48108030000003,275288,33.30856472881545,-106.10493297377236,0.1057778373360633,531.3791016018497,141.98307568222845,315.98053106,,2013-04-19 17:41:05.224999936+00:00,2013-04-19 18:00:00+00:00,2013-04-19,7.8643111589368,6.593429791666666,130.3025193426929,109.24548833333334,4.3948672916666665,137.08172916666666,16.84794375,-5.479968626629699,201304191200.0,201304191230.0,390.294,2.70654,0.0,20.1501,-0.00106,0.0,-3.0488,-0.00017,0.0,-0.158181,1.0,359.287,1.61973568,6.6529,0.025459333,2.01904,1.43898,0.592435,2.53198,7.59732,161.054,0.389265,-11.8053,-0.544672,115.743,138.515,173.404,73.366,12.9242,1.11982,14.22,6.726,85.8,14.58911501,3.4,8.1,7.1,19.3,31.39,44.17,16.4,96.17764,-9999.0,-9999.0,-9999.0,617.6,-9999.0,-9999.0,0.0,0.0,NM,OSH,17.5,282.3,32.5849,-106.6032,1469.0,US-Jo2,2013-04-19 12:00:00,2013-04-19 12:00:00-06:00,2013-04-19
4,4,0,0,LC08_032037_20130530,-106.60329934528464,32.58499454274526,2013-05-30 17:35:13.316000000,0.1114375,0.1376724999999999,0.19479,0.258205,0.3358925,0.415395,0.3555,325.48604468,21824.0,0.258830535,0.1307655729909652,0.1048369738668328,0.1065090177063743,325.48604468,0.0121907030793578,0.9501219070307936,0.970040229320162,-106.60320325149796,32.58504103670271,-0.1307655721902847,0.1307655721902847,1,1,-0.2658887376161828,-325.48604468,325.48604468,334.9707731729603,-334.9707731729603,334.9707731729603,0.8056669139783914,0.5619819279935951,8.797790699181222,604.6330489331493,989.8007606027384,0.8056669139783914,3.515436853424701,0.5619819279935951,357.7495803720447,468.8827648019288,165.62151802679566,0.0054593839760479,0.4328624460094995,467.1703319652984,11.677169326014102,5.239445553422229,16.879875233340645,0.0054593839760479,0.4328624460094995,0.5502923990310281,0.1681920886039734,-51.09999084472656,-0.2505572803037457,-3.65635921332196,-163.90908519016529,-0.5404880674110766,0,-106.60329934528464,32.58499454274526,184.39430502437529,26.759953511287687,15.986119262706096,3.010334237193353,363.00649049235903,33.00951129135279,-105.70166223467582,0.5681590437889099,475907,303.8192159,952398,32.99640307071757,-107.48898466191604,0.0876532942056655,435.8167223138239,166.46451079313732,328.64771318,-103.69434728981078,2013-05-30 17:35:13.316000+00:00,2013-05-30 18:00:00+00:00,2013-05-30,5.249089337250399,4.189274,157.67315385628874,125.83821716666668,10.051182604166668,162.8641458333333,22.785472062499977,-10.10927996437249,201305301200.0,201305301230.0,412.892,2.68463,0.0,34.1625,0.727806,1.0,-2.33609,0.0218,0.0,-0.270202,0.0,388.098,1.91047896,7.46572,0.147101573,2.18124,1.56431,0.667958,3.44033,12.8247,231.214,0.524555,-27.1353,-0.236961,133.489,159.752,199.99,82.4582,28.0641,1.3473,28.89,12.43,85.0,33.31366687,3.1,7.3,7.1,20.3,42.36,56.89,28.14,94.11812,-9999.0,-9999.0,-9999.0,596.3,-9999.0,-9999.0,0.0,0.0,NM,OSH,17.5,282.3,32.5849,-106.6032,1469.0,US-Jo2,2013-05-30 12:00:00,2013-05-30 12:00:00-06:00,2013-05-30
5,5,1,1,LC08_033037_20130505,-106.60329934528464,32.58499454274526,2013-05-05 17:41:06.168999936,0.1006024999999999,0.1238949999999999,0.17719,0.23307,0.30501,0.380745,0.3282474999999999,311.17821296,21824.0,0.235231685,0.1336975914362177,0.1013686315234745,0.1039515258939581,311.17821296,0.0073846488202327,0.9500738464882024,0.9700243693411068,-106.60320325149796,32.58504103670271,-0.1336975842714309,0.1336975842714309,1,1,-0.2650767316466197,-311.17821296,311.17821296,320.6090577784414,-320.6090577784414,320.6090577784414,0.8128772456674407,0.3845805637846884,6.683492804473801,505.09974764672495,991.48692062805,0.8128772456674407,2.4563654801628823,0.3845805637846884,288.0573545171354,526.8337928018383,138.49130113935388,0.0053814769068704,0.6237197062305382,327.645669858919,9.616715726043974,2.8733535002915325,11.714659660181278,0.0053814769068704,0.6237197062305382,0.7260106865185113,0.0883112624287605,-25.44003677368164,0.0914663910526471,0.9935931386527542,60.6968218035654,0.1562971426168788,1,-106.60329934528464,32.58499454274526,175.77241155764384,20.798340126457337,15.656487883846452,4.343580409756493,335.8767972140223,33.72091530480492,-105.6963870563666,0.4146449267864227,297974,288.07239776,565873,33.05519454302295,-106.08601221015756,0.0952790156006813,357.04538411216885,124.50875394627867,319.04307698,28.17830141219211,2013-05-05 17:41:06.168999936+00:00,2013-05-05 18:00:00+00:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,US-Jo2,,,2013-05-05
6,6,2,2,LC08_033037_20130521,-106.60329934528464,32.58499454274526,2013-05-21 17:41:19.256999936,0.0996949999999999,0.1213374999999999,0.174715,0.2334275,0.3071275,0.38245,0.330695,322.98747206,21824.0,0.235411975,0.1363413528688108,0.1024942825017784,0.1062413808015915,322.98747206,0.0116867723115932,0.950116867723116,0.9700385663486284,-106.60320325149796,32.58504103670271,-0.1363413482904434,0.1363413482904434,1,1,-0.2748045263753197,-322.98747206,322.98747206,332.4388398191099,-332.4388398191099,332.4388398191099,0.8147501472778493,0.3847464916400045,6.6854703592504094,586.276918780954,1006.8019088388496,0.8147501472778493,2.708649701013365,0.3847464916400045,338.6305570620302,505.2503684554823,165.95977151682172,0.0054511785831631,0.2998659267075204,576.5139524403232,13.25993052917344,7.198743159371006,24.36643656738529,0.0054511785831631,0.2998659267075204,0.4185378037758183,0.2221603095531463,-66.65597534179688,-0.361709948973104,-4.9605639166252,-237.2233555016627,-0.6991745649365865,2,-106.60329934528464,32.58499454274526,193.8791815102121,22.39737122745113,14.2043650567315,2.085710778029212,365.786225229857,32.810150340037985,-105.822502623217,0.5773456692695618,466294,300.03546776,667599,33.253411441732794,-107.13855032988845,0.0718482136726379,566.9834115147003,169.96002472551754,324.49481888,-140.68159267549066,2013-05-21 17:41:19.256999936+00:00,2013-05-21 18:00:00+00:00,2013-05-21,5.952321834345939,4.898136625,148.4423047912747,122.15244908333334,8.537412916666666,158.094375,22.506376374999988,-4.837664542287314,201305211200.0,201305211230.0,320.594,0.678104,0.0,18.8881,-1.46172,2.0,-1.34152,0.00372,0.0,-0.276376,1.0,395.3,1.6421641,5.17045,0.212684332,1.71692,1.96419,0.598714,3.41251,9.29176,256.373,0.526241,-35.3368,-0.181963,146.077,174.817,218.85,62.6637,24.073,1.11744,25.07,11.9,85.2,26.69915352,3.1,7.4,7.2,19.9,40.37,54.23,25.17,100.59,-9999.0,-9999.0,-9999.0,607.7,-9999.0,-9999.0,0.0,0.0,NM,OSH,17.5,282.3,32.5849,-106.6032,1469.0,US-Jo2,2013-05-21 12:00:00,2013-05-21 12:00:00-06:00,2013-05-21
7,7,0,0,LC08_033037_20130606,-106.60329934528464,32.58499454274526,2013-06-06 17:41:19.535000064,0.09865,0.1205125,0.1740275,0.2316125,0.3043225,0.374915,0.3206575,326.95237526,21824.0,0.2327326775,0.135669437525073,0.1015415575338151,0.1052817020372899,326.95237526,0.009881700648956,0.9500988170064896,0.9700326096121415,-106.60320325149796,32.58504103670271,-0.1356694400310516,0.1356694400310516,1,1,-0.2723842374830145,-326.95237526,326.95237526,336.4776795324334,-336.4776795324334,336.4776795324334,0.784867651992984,1.1527177572608462,15.83827500276971,615.5875437445821,971.8850628212664,0.784867651992984,3.549439388192904,1.1527177572608462,336.1016477434609,449.4378840990293,157.12051145573702,0.0054218573672481,0.378976111849869,432.45004260539,12.673781811867178,5.2980218551455565,19.280012257694832,0.0054218573672481,0.378976111849869,0.4924100483739371,0.1389436870813369,-41.453426361083984,-0.214535906519929,-3.2877131410249496,-140.1326699620978,-0.4793853635688573,0,-106.60329934528464,32.58499454274526,186.6540048739974,26.92383297683747,32.47605131940905,2.637312568775092,347.004684561989,32.8101922752683,-105.81609407621256,0.6771460771560669,427523,298.34696588,664066,33.3110088980538,-106.13396680525088,0.1003652587532997,432.0738195247501,157.01761017135752,331.36503908,-93.23954467946756,2013-06-06 17:41:19.535000064+00:00,2013-06-06 18:00:00+00:00,2013-06-06,-1.0862171462551196,-0.8530933333333328,147.4338186550381,115.7915875625,8.827034833333334,149.0220625,25.25653343750001,-6.152573842116311,201306061200.0,201306061230.0,424.299,1.3054,0.0,-33.544,1.16314,1.0,-3.63371,0.0133,0.0,-0.154192,0.0,396.896,2.48787846,9.78229,0.418167215,1.90762,2.20906,0.623697,3.00426,9.33398,115.912,0.396483,-11.4315,-0.562481,112.723,134.9,168.879,65.2822,29.2676,1.25481,29.91,17.91,85.2,32.58212901,3.1,7.2,7.1,20.5,44.47,56.37,31.43,92.42162,-9999.0,-9999.0,-9999.0,598.0,-9999.0,-9999.0,0.0,0.0,NM,OSH,17.5,282.3,32.5849,-106.6032,1469.0,US-Jo2,2013-06-06 12:00:00,2013-06-06 12:00:00-06:00,2013-06-06
8,8,1,1,LC08_033037_20130622,-106.60329934528464,32.58499454274526,2013-06-22 17:41:12.367000064,0.0871825,0.1076424999999999,0.15387,0.205405,0.2723675,0.3455175,0.2999225,326.96262932,21824.0,0.2091368249999999,0.1401556179981057,0.0986205276501988,0.102727116992961,326.96262932,0.0050911513618229,0.9500509115136182,0.970016800799494,-106.60320325149796,32.58504103670271,-0.1401556134223938,0.1401556134223938,1,1,-0.2780081527317516,-326.96262932,326.96262932,336.59661726174267,-336.59661726174267,336.59661726174267,0.8117766358753531,0.4510466953523219,7.475646814503328,615.6337301598237,1000.5691500959972,0.8117766358753531,4.834099075940745,0.4510466953523219,330.6278775757344,489.7928811547879,166.11796791874502,0.0053445731226169,0.5669827257289148,274.8232303113226,10.453765555003004,2.8098443400808044,12.886925386387269,0.0053445731226169,0.5669827257289148,0.6646537041389359,0.0730429142713546,-21.776153564453125,0.0747983450119696,1.0961257345338522,48.85168292472025,0.150928233628952,1,-106.60329934528464,32.58499454274526,197.63605841605576,32.29310969761082,9.330522363457051,3.9510463518421433,363.90410187827183,32.80773105347278,-105.77761895411848,0.509358286857605,370211,298.1282126,630211,32.99853146299883,-107.37989746097384,0.1060041114687919,416.840581218124,156.5084812729818,330.17556812,31.08612583138005,2013-06-22 17:41:12.367000064+00:00,2013-06-22 18:00:00+00:00,2013-06-22,6.38344416728875,5.1129108125,141.08435922178262,113.00353333333334,4.417443625000001,144.2200625,21.68617472916668,-7.66518451407137,201306221200.0,201306221230.0,448.267,0.157991,0.0,-4.06865,-1.53516,1.0,-3.39614,-0.017,0.0,-0.579935,0.0,396.822,1.57028884,6.19569,0.178981582,2.21548,2.26781,0.940851,8.93417,17.8349,214.478,0.773275,-80.2477,-0.0801,138.44,165.677,207.408,76.0969,32.8285,1.09992,34.0,8.11,85.3,47.48638602,3.2,7.1,6.9,20.6,46.5,57.31,32.3,82.45704,-9999.0,-9999.0,-9999.0,625.4,-9999.0,-9999.0,0.0,0.0,NM,OSH,17.5,282.3,32.5849,-106.6032,1469.0,US-Jo2,2013-06-22 12:00:00,2013-06-22 12:00:00-06:00,2013-06-22
9,9,0,0,LC08_033037_20130708,-106.60329934528464,32.58499454274526,2013-07-08 17:41:16.838000128,,,,,,,,,,,,,,,,,,-106.60320325149796,32.58504103670271,,,1,1,,,,,,,0.7840598786764194,1.1477327228578071,15.778862563691856,,958.2590770174326,0.7840598786764194,4.305404275064493,1.1477327228578071,306.44244211293307,,,,,,,,,,,,0.0444871224462986,-12.96833038330078,,,,,0,-106.60329934528464,32.58499454274526,,30.25452582818836,26.657954736216137,2.674246914761595,325.9144973940476,33.06945134528035,-105.625004476875,0.5461342930793762,241941,291.50750786000003,534302,32.50761445440634,-106.32783543469192,0.1171338409185409,256.7397942393084,110.45716665753991,332.49298568,,2013-07-08 17:41:16.838000128+00:00,2013-07-08 18:00:00+00:00,2013-07-08,15.386512763068614,12.59134475,113.37460178450664,92.77857295833331,13.823886733333334,148.07039583333332,28.876591391666665,5.4853945524247365,201307081200.0,201307081230.0,370.242,2.67857,0.0,34.7912,-1.0827,1.0,-1.67469,0.105325,0.0,-0.257892,0.0,391.937,1.85238442,15.3958,0.075717553,1.45166,1.2973,0.539242,2.83298,8.50499,36.6926,0.515173,-28.8402,-0.222953,156.152,186.874,233.944,67.0566,33.0855,1.34496,33.25,23.1,85.5,37.72556892,6.9,7.7,6.8,20.3,45.59,56.45,33.48,111.2056,-9999.0,-9999.0,-9999.0,619.6,-9999.0,-9999.0,0.0,0.0,NM,OSH,17.5,282.3,32.5849,-106.6032,1469.0,US-Jo2,2013-07-08 12:00:00,2013-07-08 12:00:00-06:00,2013-07-08
