,Unnamed: 0.2,Unnamed: 0.1,Unnamed: 0,id,longitude,latitude,date,UB,B,GR,R,NIR,SWIR_1,SWIR_2,ST_B10,pixel_qa,ALFA,NDVI_model,EVI,SAVI,T_LST,LAI,e_0,e_NB,longitude.1,latitude.1,NDVI_neg,pos_NDVI,int,sd_ndvi,NDWI,LST_neg,LST_NW,T_LST_DEM,LST_neg_1,LST_NW_1,Tao_sw,EA,W_ATM,Rl_up,Rs_down,Tao_sw_1,ES,EA_1,Rl_down,Rn,Ginst,zom,u_fr,Hinst,rah,dT,rah_first,zom_1,u_fr_1,ufric_star,constant,constant_1,ET_inst,ET_24h,LEinst,EF,id.1,longitude.2,latitude.2,Rn24h_G,AirT_G,RH_G,ux_G,SW_Down,cold_pixel_lat,cold_pixel_lon,cold_pixel_ndvi,cold_pixel_sum,cold_pixel_temp,hot_pixel_sum,hot_pixel_lat,hot_pixel_lon,hot_pixel_ndvi,hot_pixel_Rn,hot_pixel_G,hot_pixel_temp,LE_daily_orig,Datetime_Local_sebal,Datetime_GMT,Date_daily,LE_closed,LE_unclosed,H_closed,H_unclosed,G_unclosed,Rn_unclosed,Residual_unclosed,Residual_closed,TIMESTAMP_START,TIMESTAMP_END,TAU,H_inst_af,LE_inst_af,FC,WS,WS_MAX,WD,USTAR,MO_LENGTH,ZL,T_SONIC,CO2_MIXING_RATIO,CO2,H2O_MIXING_RATIO,H2O,U_SIGMA,V_SIGMA,W_SIGMA,T_SONIC_SIGMA,FETCH_MAX,FETCH_70,FETCH_80,FETCH_90,TA,PA,Rn_inst_af,G_inst_af,G_2_1_1,SWC_1_1_1,TS_1_1_1,TS_2_1_1,PPFD_IN,P_RAIN,State,Veg,MAT,MAP,Lat,Long,Elev_insitu,Name,Datetime,Datetime_Local_flux,Date
0,0,0,0,LC08_018031_20150110,-80.85497818809522,41.547845458519376,2015-01-10 16:04:14.756999936,,,,,,,,,,,,,,,,,,-80.85491808807683,41.54797005117163,,,1,1,,,,,,,0.7140153672444991,0.1110559574016627,3.6243909491397535,,398.7217928778941,0.7140153672444991,0.1782666865000922,0.1110559574016627,191.12035401741872,,,,,,,,,,,,0.0479415655136108,-12.328808784484863,,,,,0,-80.85497818809522,41.547845458519376,,-15.795070265638048,62.29765054931072,2.0430161544083743,107.29982953030007,41.81771168257573,-79.40298170047888,0.8956158757209778,381,257.1632429,2,42.39984574150011,-79.81697755614476,0.0175620168447494,158.24504607584493,2.32118769807662,274.30119518,,2015-01-10 16:04:14.756999936+00:00,2015-01-10 16:00:00+00:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,US-Mi2,,,2015-01-10
1,1,0,0,LC08_018031_20150227,-80.85497818809522,41.547845458519376,2015-02-27 16:03:58.680999936,,,,,,,,,,,,,,,,,,-80.85491808807683,41.54797005117163,,,1,1,,,,,,,0.7694629471488152,0.1172670508593792,3.7096464804298064,,626.093783315979,0.7694629471488152,0.2201959290365797,0.1172670508593792,199.4867337779457,,,,,,,,,,,,0.4537912607192993,-118.62330627441406,,,,,0,-80.85497818809522,41.547845458519376,,-13.236874102811427,53.255776059283285,1.3225748344040782,201.1382248277852,41.44733853224808,-79.57335143109319,0.9459835290908812,174,261.40500572,185,41.60755472715144,-81.48809085095165,0.0059036798775196,284.92142407565603,-3.813817538906202,269.46469688,,2015-02-27 16:03:58.680999936+00:00,2015-02-27 16:00:00+00:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,US-Mi2,,,2015-02-27
2,2,0,0,LC08_018031_20150502,-80.85497818809522,41.547845458519376,2015-05-02 16:03:23.951000064,0.0875949999999999,0.1137475,0.1617075,0.2112075,0.3293474999999999,0.3939999999999999,0.290985,299.05791404,21824.0,0.2329298524999999,0.2185531537031384,0.1694019668924833,0.1703033477327003,299.05791404,0.1394255566702876,0.9513942555667028,0.970460104337012,-80.85491808807683,41.54797005117163,-0.2185531556606292,0.2185531556606292,1,1,-0.341387420960992,-299.05791404,299.05791404,301.1854511458596,-301.1854511458596,301.1854511458596,0.7731698537278622,0.8320263303597177,13.520669697700768,431.4840860092594,890.9619502778556,0.7731698537278622,2.0692278863159217,0.8320263303597177,305.3101002867198,542.4165041865423,83.81020369213925,0.0078135553695379,0.1861449015617292,369.7548266784779,16.739226074186224,5.171187657658606,39.25256088422047,0.0078135553695379,0.1861449015617292,0.2847998017792459,0.5013903975486755,-145.84030151367188,0.131371864371311,1.071740993064435,88.85147381592515,0.1937423749306067,0,-80.85497818809522,41.547845458519376,155.88928112246458,18.040322209970448,40.209506930677776,1.2503758608614104,311.22564226978744,41.8464585843753,-80.40505859799087,0.7633761167526245,259539,290.87175614,448283,41.089732076350266,-80.6419702942877,0.0707976594567298,593.9689069816854,93.0781559256915,303.72009332,30.394574563307376,2015-05-02 16:03:23.951000064+00:00,2015-05-02 16:00:00+00:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,US-Mi2,,,2015-05-02
3,3,1,1,LC08_018031_20150518,-80.85497818809522,41.547845458519376,2015-05-18 16:03:13.723000064,,,,,,,,,,,,,,,,,,-80.85491808807683,41.54797005117163,,,1,1,,,,,,,0.7404955191396629,2.13747884252494,31.43974437533374,,878.054079771633,0.7404955191396629,3.187841875759306,2.13747884252494,316.27818077531293,,,,,,,,,,,,0.1425362974405288,-41.681453704833984,,,,,1,-80.85497818809522,41.547845458519376,,25.106041663658065,67.05096820449471,2.1439245552645287,228.9611594458169,41.46045477687039,-79.56336530661834,0.8696771264076233,85671,292.42695524,5635,41.68658762964976,-81.29006473165185,0.0956098288297653,408.5479171000478,104.10504846933044,315.04399358,,2015-05-18 16:03:13.723000064+00:00,2015-05-18 16:00:00+00:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,US-Mi2,,,2015-05-18
4,4,0,0,LC08_018031_20150705,-80.85497818809522,41.547845458519376,2015-07-05 16:03:38.790999808,0.0289099999999999,0.03991,0.0861925,0.0605074999999999,0.377005,0.2066974999999999,0.1135824999999999,288.28089698,21824.0,0.1645970275,0.7234021885088998,0.5491983202901317,0.5063892481433581,288.28089698,1.2827521968322373,0.9628275219683224,0.9742330822495464,-80.85491808807683,41.54797005117163,-0.723402202129364,0.723402202129364,1,1,-0.6278369378073068,-288.28089698,288.28089698,290.6003757670092,-290.6003757670092,290.6003757670092,0.7585175373696114,1.4528503528076708,22.042306384018925,377.0465866424564,903.1341221866684,0.7585175373696114,2.9444273218613417,1.4528503528076708,316.34108497987984,682.0162465464128,43.693722727459416,0.0516589185546863,0.1125254765526356,-1.0892712382303834e-49,8.761825490452979e+51,-0.7833945179020958,64.93342046342005,0.0516589185546863,0.1125254765526356,1.5679242883680576e-27,0.3277043402194977,-96.01439666748048,0.9342066024674912,6.802903801942122,638.3225238189534,1.0,0,-80.85497818809522,41.547845458519376,193.6780147936797,23.77822540629877,49.34237439045501,0.6152042463461453,319.7482685607331,42.06462936232057,-79.67600632263927,0.872681736946106,173315,292.99092854,292602,41.352049545069946,-81.52096410392785,0.3017598688602447,570.7898480027332,113.27235339408628,311.63280962,192.93035182307855,2015-07-05 16:03:38.790999808+00:00,2015-07-05 16:00:00+00:00,2015-07-05,108.38540510648892,99.6069308095238,25.14288667552261,23.10648533333333,10.783006458333332,161.03528160416667,27.538859002976185,16.72398336382178,201507051200.0,201507051230.0,-0.0526,85.7326,224.099,-22.5919,1.36223,4.9811,116.319,0.213839,-9.87097,-0.308987,24.3121,378.166,372.166,16.1216,15.8658,0.803525,0.901787,0.352924,0.513338,21.2635,38.8765,46.5253,58.2441,24.3236,98.7399,539.006,60.016,-9999.0,41.3373,21.46,22.7371,764.192,0.0,OH,CVM,10.5,1012.7,41.5479,-80.855,280.0,US-Mi2,2015-07-05 12:00:00,2015-07-05 12:00:00-04:00,2015-07-05
5,5,1,1,LC08_018031_20150721,-80.85497818809522,41.547845458519376,2015-07-21 16:03:46.801000192,0.0202475,0.0252524999999999,0.0609199999999999,0.0366374999999999,0.380635,0.1690225,0.07522,300.27131114,21824.0,0.1492146275,0.8243953291913558,0.6094637654327002,0.5625332166831558,300.27131114,1.6838095925807048,0.966838095925807,0.9755565716555163,-80.85491808807683,41.54797005117163,-0.8243953585624695,0.8243953585624695,1,1,-0.7240660846327186,-300.27131114,300.27131114,302.6445368054576,-302.6445368054576,302.6445368054576,0.7416621511065813,2.059549310298933,30.37005773829573,445.6482183527749,868.2238720348432,0.7416621511065813,2.419262839405013,2.059549310298933,333.39480702761733,615.3627524479149,48.719225378822216,0.0708235772126292,0.3984835578379723,107.89008487919229,14.16218848515268,1.303384903456788,18.3361745751376,0.0708235772126292,0.3984835578379723,0.4919965078720266,0.20675690472126,-61.27046203613281,0.6792536207598685,4.682284957627759,458.7534421899004,0.809597957577945,1,-80.85497818809522,41.547845458519376,162.75133850621947,20.55118087573398,85.13127539318766,2.095399058513397,271.1175648088771,42.26959461062911,-79.43200032433971,0.9120170474052428,204029,296.34058814,5700,42.09476249790494,-80.14662260665438,0.0838257372379303,502.6780600839782,112.92269668210704,315.55669658,132.78960139832324,2015-07-21 16:03:46.801000192+00:00,2015-07-21 16:00:00+00:00,2015-07-21,147.16318151047415,125.51178875,54.05394588593212,46.10125554166667,13.307541041666669,183.329813125,-1.590772208333341,-31.19485531307295,201507211200.0,201507211230.0,-0.242174,111.924,323.233,-23.7765,2.80205,7.80298,343.499,0.461171,-75.1773,-0.0406,23.8482,384.349,377.19,18.9795,18.626,1.13364,1.5669,0.626914,0.508743,24.8333,45.4032,54.336,68.0223,22.9622,97.47,645.494,42.1403,-9999.0,37.1369,24.0148,25.5559,1642.25,0.0,OH,CVM,10.5,1012.7,41.5479,-80.855,280.0,US-Mi2,2015-07-21 12:00:00,2015-07-21 12:00:00-04:00,2015-07-21
6,6,0,0,LC08_018031_20150806,-80.85497818809522,41.547845458519376,2015-08-06 16:03:48.964000000,,,,,,,,,,,,,,,,,,-80.85491808807683,41.54797005117163,,,1,1,,,,,,,0.757901811805434,1.286385940271045,19.757360580464045,,864.3294767239364,0.757901811805434,2.5597374235933463,1.286385940271045,299.3010616586301,,,,,,,,,,,,3.125621795654297,-903.129638671875,,,,,0,-80.85497818809522,41.547845458519376,,21.470135517776445,50.25460535187327,1.1409599946022433,249.22430847002192,42.31248044695484,-79.46660952929216,0.8878191709518433,69995,288.94399286,1513,42.30049753130582,-80.09216825216805,0.0457723326981067,635.3753080360458,59.01817900448016,290.76921554,,2015-08-06 16:03:48.964000+00:00,2015-08-06 16:00:00+00:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,US-Mi2,,,2015-08-06
7,7,1,1,LC08_018031_20150822,-80.85497818809522,41.547845458519376,2015-08-22 16:03:57.690000128,0.0216774999999999,0.0261875,0.0626525,0.04024,0.3818725,0.1779049999999999,0.0818475,301.31380724,21824.0,0.1519896525,0.8093399271521218,0.5985545651650205,0.5557334381650829,301.31380724,1.6266982917543795,0.9662669829175438,0.9753681043627894,-80.85491808807683,41.54797005117163,-0.8093399405479431,0.8093399405479431,1,1,-0.7181148416849447,-301.31380724,301.31380724,303.6057199538521,-303.6057199538521,303.6057199538521,0.7545631860004571,1.2318493063349318,19.00877263332601,451.602493271068,828.1603158637107,0.7545631860004571,2.8063320308951414,1.2318493063349318,324.3331655893124,564.0784533443083,49.02925800477078,0.0681681332647697,0.175488948213425,150.33201167219727,20.50476105705683,2.6257264532766698,41.63603552374609,0.0681681332647697,0.175488948213425,0.2757568277227983,0.2948339283466339,-86.88753509521484,0.5405232719593162,4.294760584415102,364.7171836673402,0.708121062934399,1,-80.85497818809522,41.547845458519376,170.5147815345014,22.98171508962124,43.8953513972474,0.9272349426006992,293.0558849083375,41.82572094049013,-79.47539238949584,0.9339460134506226,284784,294.69993854,405449,42.14362366154074,-80.00691684701356,0.1866725534200668,491.4100647840388,100.77856761674975,313.71780182,121.7994101740123,2015-08-22 16:03:57.690000128+00:00,2015-08-22 16:00:00+00:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,US-Mi2,,,2015-08-22
8,8,0,0,LC08_018031_20150907,-80.85497818809522,41.547845458519376,2015-09-07 16:04:03.328999936,0.024125,0.030835,0.0689225,0.0520375,0.37486,0.2185225,0.1002724999999999,307.16545748,21824.0,0.1590524775,0.7562061150510367,0.5543644572054629,0.5224242702132652,307.16545748,1.3831727139335062,0.9638317271393352,0.9745644699559806,-80.85491808807683,41.54797005117163,-0.7562060952186584,0.7562060952186584,1,1,-0.6893861294665743,-307.16545748,307.16545748,309.3112034319153,-309.3112034319153,309.3112034319153,0.7272837353979641,1.996898459169594,29.510091351512447,486.4898434712298,755.9967980093705,0.7272837353979641,4.199581347316112,1.996898459169594,350.2116705495205,486.80891012277937,59.53562506952799,0.0565304639375926,0.3533084720334047,208.2702913449521,14.15467631336326,2.569378190230012,20.68069310590483,0.0565304639375926,0.3533084720334047,0.4686560849254477,0.2640586197376251,-79.1069107055664,0.3263798395789133,2.328358056439721,219.00299370829924,0.5125595289230516,0,-80.85497818809522,41.547845458519376,127.0050356100842,29.820527469159924,47.54994114939055,1.9105531844771828,235.1430124024964,42.3629299689173,-79.34479778454623,0.8902174234390259,292191,299.5808711,413263,42.14362366154074,-80.00691684701356,0.2684855461120605,464.2813904852301,93.254568590626,314.35355354,66.03223448063049,2015-09-07 16:04:03.328999936+00:00,2015-09-07 16:00:00+00:00,2015-09-07,68.1740361629149,51.8551696875,51.46929075575919,39.1490508125,7.482293124999999,142.75411145833334,44.26759783333333,15.628491414659235,201509071200.0,201509071230.0,-0.178353,182.609,174.739,-15.274,2.20678,6.89662,242.4,0.399631,-30.2404,-0.100859,32.1138,397.072,388.589,21.8301,21.3637,1.05095,1.14563,0.510328,0.791123,26.1071,47.7322,57.1232,71.5115,31.7848,98.5447,510.734,44.6001,-9999.0,18.6904,22.5905,23.5926,1281.33,0.0,OH,CVM,10.5,1012.7,41.5479,-80.855,280.0,US-Mi2,2015-09-07 12:00:00,2015-09-07 12:00:00-04:00,2015-09-07
9,9,1,1,LC08_018031_20150923,-80.85497818809522,41.547845458519376,2015-09-23 16:04:10.952000000,,,,,,,,,,,,,,,,,,-80.85491808807683,41.54797005117163,,,1,1,,,,,,,0.7324672179190472,1.400079859855621,21.31796107450252,,706.8122905794207,0.7324672179190472,2.6408798616198146,1.400079859855621,324.3997330952877,,,,,,,,,,,,0.2576012909412384,-75.74779510498047,,,,,1,-80.85497818809522,41.547845458519376,,21.98105593959116,53.01565891743616,1.10725824139689,226.3884933615253,42.00953253358576,-79.72569596870994,0.8979082703590393,204685,294.05051474,361971,42.14374843061526,-80.02143707927405,0.0500748306512832,401.41756387007615,78.52699316176827,311.6806619,,2015-09-23 16:04:10.952000+00:00,2015-09-23 16:00:00+00:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,US-Mi2,,,2015-09-23
