,Unnamed: 0.2,Unnamed: 0.1,Unnamed: 0,id,longitude,latitude,date,UB,B,GR,R,NIR,SWIR_1,SWIR_2,ST_B10,pixel_qa,ALFA,NDVI_model,EVI,SAVI,T_LST,LAI,e_0,e_NB,longitude.1,latitude.1,NDVI_neg,pos_NDVI,int,sd_ndvi,NDWI,LST_neg,LST_NW,T_LST_DEM,LST_neg_1,LST_NW_1,Tao_sw,EA,W_ATM,Rl_up,Rs_down,Tao_sw_1,ES,EA_1,Rl_down,Rn,Ginst,zom,u_fr,Hinst,rah,dT,rah_first,zom_1,u_fr_1,ufric_star,constant,constant_1,ET_inst,ET_24h,LEinst,EF,id.1,longitude.2,latitude.2,Rn24h_G,AirT_G,RH_G,ux_G,SW_Down,cold_pixel_lat,cold_pixel_lon,cold_pixel_ndvi,cold_pixel_sum,cold_pixel_temp,hot_pixel_sum,hot_pixel_lat,hot_pixel_lon,hot_pixel_ndvi,hot_pixel_Rn,hot_pixel_G,hot_pixel_temp,LE_daily_orig,Datetime_Local_sebal,Datetime_GMT,Date_daily,LE_closed,LE_unclosed,H_closed,H_unclosed,G_unclosed,Rn_unclosed,Residual_unclosed,Residual_closed,TIMESTAMP_START,TIMESTAMP_END,TAU,H_inst_af,LE_inst_af,FC,WS,WS_MAX,WD,USTAR,MO_LENGTH,ZL,T_SONIC,CO2_MIXING_RATIO,CO2,H2O_MIXING_RATIO,H2O,U_SIGMA,V_SIGMA,W_SIGMA,T_SONIC_SIGMA,FETCH_MAX,FETCH_70,FETCH_80,FETCH_90,TA,PA,Rn_inst_af,G_inst_af,G_2_1_1,SWC_1_1_1,TS_1_1_1,TS_2_1_1,PPFD_IN,P_RAIN,PPFD_IN_1_1_1,P_RAIN_1_1_1,State,Veg,MAT,MAP,Lat,Long,Elev_insitu,Name,Datetime,Datetime_Local_flux,Date
0,0,0,0,LC08_018031_20150110,-80.63695706863942,41.822190946289474,2015-01-10 16:04:14.756999936,,,,,,,,,,,,,,,,,,-80.63683523290953,41.822296024218616,,,1,1,,,,,,,0.711317722346622,0.137444504864384,3.988381735506541,,397.2153689834332,0.711317722346622,0.2007146182548911,0.137444504864384,191.3126633732513,,,,,,,,,,,,0.0479415655136108,-12.328808784484863,,,,,0,-80.63695706863942,41.822190946289474,,-14.365956070880806,68.47757580359234,4.108868816288736,102.49318128789272,41.81771168257573,-79.40298170047888,0.8956158757209778,381,257.1632429,2,42.39984574150011,-79.81697755614476,0.0175620168447494,158.24504607584493,2.32118769807662,274.30119518,,2015-01-10 16:04:14.756999936+00:00,2015-01-10 16:00:00+00:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,US-Mi3,,,2015-01-10
1,1,0,0,LC08_018031_20150227,-80.63695706863942,41.822190946289474,2015-02-27 16:03:58.680999936,,,,,,,,,,,,,,,,,,-80.63683523290953,41.822296024218616,,,1,1,,,,,,,0.7691205241294683,0.119684733252322,3.744376139414675,,625.8151618118873,0.7691205241294683,0.2055669337800109,0.119684733252322,199.51720488119244,,,,,,,,,,,,0.4537912607192993,-118.62330627441406,,,,,0,-80.63695706863942,41.822190946289474,,-14.075887951542342,58.221782585132885,1.7736590661263691,201.0407037320333,41.44733853224808,-79.57335143109319,0.9459835290908812,174,261.40500572,185,41.60755472715144,-81.48809085095165,0.0059036798775196,284.92142407565603,-3.813817538906202,269.46469688,,2015-02-27 16:03:58.680999936+00:00,2015-02-27 16:00:00+00:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,US-Mi3,,,2015-02-27
2,2,0,0,LC08_018031_20150502,-80.63695706863942,41.822190946289474,2015-05-02 16:03:23.951000064,,,,,,,,,,,,,,,,,,-80.63683523290953,41.822296024218616,,,1,1,,,,,,,0.7729551761296458,0.8350628341156034,13.57312077336356,,890.7145666393632,0.7729551761296458,1.6771792841439397,0.8350628341156034,305.33974697539725,,,,,,,,,,,,0.5013903975486755,-145.84030151367188,,,,,0,-80.63695706863942,41.822190946289474,,14.7415728724581,49.78971789183728,1.5736268454889175,314.3808805991216,41.8464585843753,-80.40505859799087,0.7633761167526245,259539,290.87175614,448283,41.089732076350266,-80.6419702942877,0.0707976594567298,593.9689069816854,93.0781559256915,303.72009332,,2015-05-02 16:03:23.951000064+00:00,2015-05-02 16:00:00+00:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,US-Mi3,,,2015-05-02
3,3,1,1,LC08_018031_20150518,-80.63695706863942,41.822190946289474,2015-05-18 16:03:13.723000064,,,,,,,,,,,,,,,,,,-80.63683523290953,41.822296024218616,,,1,1,,,,,,,0.7426737850649401,2.032250130742685,30.021553012700466,,880.6369924741155,0.7426737850649401,2.805213152304624,2.032250130742685,315.9986366278176,,,,,,,,,,,,0.1425362974405288,-41.681453704833984,,,,,1,-80.63695706863942,41.822190946289474,,22.97512309649781,72.44547991203768,2.7102481418559354,232.15051601282835,41.46045477687039,-79.56336530661834,0.8696771264076233,85671,292.42695524,5635,41.68658762964976,-81.29006473165185,0.0956098288297653,408.5479171000478,104.10504846933044,315.04399358,,2015-05-18 16:03:13.723000064+00:00,2015-05-18 16:00:00+00:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,US-Mi3,,,2015-05-18
4,4,0,0,LC08_018031_20150705,-80.63695706863942,41.822190946289474,2015-07-05 16:03:38.790999808,0.0288549999999999,0.040185,0.08072,0.06147,0.348185,0.215965,0.1184775,297.36941216,21824.0,0.157120245,0.6998938130866216,0.5063426384598947,0.4727863860474575,297.36941216,1.0980673312799325,0.9609806733127992,0.9736236221932236,-80.63683523290953,41.822296024218616,-0.6998938322067261,0.6998938322067261,1,1,-0.6235996316200557,-297.36941216,297.36941216,299.3195849660398,-299.3195849660398,299.3195849660398,0.7548905998263269,1.5851949793689395,23.879359234555075,426.0718969193312,898.8156840583434,0.7548905998263269,2.835637544487854,1.5851949793689395,316.83096406066164,635.9900798192807,63.17388611306756,0.0427690524980307,0.0622268137636089,89.45105565925068,27.618412255350528,2.0739281750482803,117.41986516610038,0.0427690524980307,0.0622268137636089,0.1277101415999363,0.3277043402194977,-96.01439666748048,0.7133915987964018,5.801509501425761,483.3651380469625,0.8438398623466143,0,-80.63695706863942,41.822190946289474,194.09621330719497,23.15355988381661,55.90259525412097,0.3479860426075877,321.5619736572167,42.06462936232057,-79.67600632263927,0.872681736946106,173315,292.99092854,292602,41.352049545069946,-81.52096410392785,0.3017598688602447,570.7898480027332,113.27235339408628,311.63280962,164.53080946043457,2015-07-05 16:03:38.790999808+00:00,2015-07-05 16:00:00+00:00,2015-07-05,98.90086568442928,80.314655125,44.74179993030851,36.333577125,13.391597291666663,171.461081875,41.42125233333332,14.426818968595532,201507051200.0,201507051230.0,-0.0485,128.159,221.393,-20.2062,0.999087,4.4246,96.86,0.206324,-5.89948,-0.516995,25.0701,355.428,350.09,15.2469,15.0179,0.908421,0.914089,0.380092,0.601732,19.4733,35.6034,42.6082,53.3404,24.8714,-9999.0,572.385,48.0799,-9999.0,39.7456,-9999.0,22.9576,1632.55,0.0,-9999.0,-9999.0,OH,CVM,10.5,1012.7,41.8222,-80.637,270.0,US-Mi3,2015-07-05 12:00:00,2015-07-05 12:00:00-04:00,2015-07-05
5,5,1,1,LC08_018031_20150721,-80.63695706863942,41.822190946289474,2015-07-21 16:03:46.801000192,0.0299274999999999,0.0333374999999999,0.06301,0.042935,0.3625675,0.2070275,0.0998324999999999,302.5374584,21824.0,0.15289652,0.7882380503202816,0.5832087268056239,0.529483629255579,302.5374584,1.430468792443485,0.9643046879244348,0.9747205470150636,-80.63683523290953,41.822296024218616,-0.7882380485534668,0.7882380485534668,1,1,-0.7038847213492254,-302.5374584,302.5374584,304.5237750256108,-304.5237750256108,304.5237750256108,0.7467600063889942,1.830736780088056,27.252914635979625,458.0511241624942,874.1916562149663,0.7467600063889942,2.3289796326736854,1.830736780088056,332.6997879446217,603.3036351906313,58.028999124111614,0.0588183143766299,0.5834605980887705,192.3778568829363,10.249639928832952,1.6919303780682853,12.522977739667915,0.0588183143766299,0.5834605980887705,0.6907287834103917,0.20675690472126,-61.27046203613281,0.5234721348486433,3.825606181770633,352.8967791835835,0.6471908939856365,1,-80.63695706863942,41.822190946289474,166.03924383211265,19.93562625662622,78.60681795599717,3.139806419569985,280.22501397531573,42.26959461062911,-79.43200032433971,0.9120170474052428,204029,296.34058814,5700,42.09476249790494,-80.14662260665438,0.0838257372379303,502.6780600839782,112.92269668210704,315.55669658,108.49419131501514,2015-07-21 16:03:46.801000192+00:00,2015-07-21 16:00:00+00:00,2015-07-21,121.67039734153188,100.55710610416668,57.89864044480968,47.85157160416667,8.475034166666665,174.01263125,17.128919374999988,-14.031440703008222,201507211200.0,201507211230.0,-0.22931,161.078,223.46,-18.4133,3.58061,8.50399,340.823,0.447039,-47.7514,-0.0639,23.0966,356.823,351.011,16.5587,16.289,1.3073,1.52806,0.598549,0.614754,25.1366,45.9578,54.9997,68.8531,22.6183,-9999.0,613.147,13.0621,-9999.0,31.2806,-9999.0,24.3337,1755.67,0.0,-9999.0,-9999.0,OH,CVM,10.5,1012.7,41.8222,-80.637,270.0,US-Mi3,2015-07-21 12:00:00,2015-07-21 12:00:00-04:00,2015-07-21
6,6,0,0,LC08_018031_20150806,-80.63695706863942,41.822190946289474,2015-08-06 16:03:48.964000000,,,,,,,,,,,,,,,,,,-80.63683523290953,41.822296024218616,,,1,1,,,,,,,0.7566592683066489,1.3250598177867507,20.305302284227764,,862.9124501970393,0.7566592683066489,2.392911223449601,1.3250598177867507,299.4600785889502,,,,,,,,,,,,3.125621795654297,-903.129638671875,,,,,0,-80.63695706863942,41.822190946289474,,20.37361918665352,55.37438266834469,1.529130374867609,254.17366516291185,42.31248044695484,-79.46660952929216,0.8878191709518433,69995,288.94399286,1513,42.30049753130582,-80.09216825216805,0.0457723326981067,635.3753080360458,59.01817900448016,290.76921554,,2015-08-06 16:03:48.964000+00:00,2015-08-06 16:00:00+00:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,US-Mi3,,,2015-08-06
7,7,1,1,LC08_018031_20150822,-80.63695706863942,41.822190946289474,2015-08-22 16:03:57.690000128,,,,,,,,,,,,,,,,,,-80.63683523290953,41.822296024218616,,,1,1,,,,,,,0.752887323891124,1.2835931782019665,19.735582564243305,,826.3209967456315,0.752887323891124,2.6348503005115305,1.2835931782019665,324.562804996142,,,,,,,,,,,,0.2948339283466339,-86.88753509521484,,,,,1,-80.63695706863942,41.822190946289474,,21.943565372666622,48.7159812438972,0.942433490966092,290.8063258104846,41.82572094049013,-79.47539238949584,0.9339460134506226,284784,294.69993854,405449,42.14362366154074,-80.00691684701356,0.1866725534200668,491.4100647840388,100.77856761674975,313.71780182,,2015-08-22 16:03:57.690000128+00:00,2015-08-22 16:00:00+00:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,US-Mi3,,,2015-08-22
8,8,0,0,LC08_018031_20150907,-80.63695706863942,41.822190946289474,2015-09-07 16:04:03.328999936,0.005865,0.0095774999999999,0.0233275,0.0103199999999999,0.1128124999999999,0.0406249999999999,0.018625,301.95297698,21824.0,0.0439273575,0.832375692851197,0.2323247434890476,0.246719196960518,301.95297698,0.3141968140188178,0.953141968140188,0.971036849486262,-80.63683523290953,41.822296024218616,-0.832375705242157,0.832375705242157,1,1,-0.6573013074775965,-301.95297698,301.95297698,303.65893031390954,-303.65893031390954,303.65893031390954,0.7258684024537428,2.0552369412607665,30.337374101238883,449.2601670769057,754.5255879136807,0.7258684024537428,3.8627865252428495,2.0552369412607665,350.40394400076605,606.1058104225675,40.3944472095071,0.0120049272046262,0.3668582495208529,78.76393248244422,15.949142524137796,1.0768467145071554,19.916859144866187,0.0120049272046262,0.3668582495208529,0.4359018087773834,0.2640586197376251,-79.1069107055664,0.7217099816625384,4.632457125487477,486.9474307306162,0.8607701071530716,0,-80.63695706863942,41.822190946289474,151.29771088061446,28.3729224377014,53.206071001595305,2.360003281262677,235.62493421560765,42.3629299689173,-79.34479778454623,0.8902174234390259,292191,299.5808711,413263,42.14362366154074,-80.00691684701356,0.2684855461120605,464.2813904852301,93.254568590626,314.35355354,131.37648407882483,2015-09-07 16:04:03.328999936+00:00,2015-09-07 16:00:00+00:00,2015-09-07,108.8262806685036,82.48387391666667,21.891344604812502,16.592342375,6.918216291666667,142.43840291666666,36.44397033333334,4.802561351683902,201509071200.0,201509071230.0,-0.153608,44.591,262.857,-11.4337,2.06223,7.37127,248.663,0.369205,-97.7196,-0.0312,30.8429,395.188,386.287,23.0442,22.5251,1.08287,1.24411,0.530089,0.560049,23.7709,43.4608,52.0115,65.1122,29.1458,98.6209,267.846,21.2802,-9999.0,19.8244,-9999.0,23.6296,820.605,0.0,-9999.0,-9999.0,OH,CVM,10.5,1012.7,41.8222,-80.637,270.0,US-Mi3,2015-09-07 12:00:00,2015-09-07 12:00:00-04:00,2015-09-07
9,9,1,1,LC08_018031_20150923,-80.63695706863942,41.822190946289474,2015-09-23 16:04:10.952000000,0.02121,0.0251424999999999,0.0602325,0.036555,0.405825,0.1832675,0.0769524999999999,297.6155096,21824.0,0.157903555,0.8347348433473485,0.6426171766575101,0.5877724484815043,297.6155096,1.926287155089873,0.9692628715508986,0.9763567476117966,-80.63683523290953,41.822296024218616,-0.8347348570823669,0.8347348570823669,1,1,-0.7415233098920198,-297.6155096,297.6155096,299.13109530779286,-299.13109530779286,299.13109530779286,0.7306413307663107,1.4604250195401989,22.16511599498025,431.1683512327668,705.0503557798925,0.7306413307663107,2.497204925645613,1.4604250195401989,324.6329399597557,477.2067025008691,32.29155143679312,0.0816169074335746,0.2574821098206141,80.79841220605205,19.252047993921604,1.308764105896728,28.377366050517068,0.0816169074335746,0.2574821098206141,0.3455271740187053,0.2576012909412384,-75.74779510498047,0.5372965879867211,3.2384258402013657,364.116738858024,0.8183959075953887,1,-80.63695706863942,41.822190946289474,111.73412367567204,21.06664769172435,58.48238582833281,1.3297825608606963,225.4431642761993,42.00953253358576,-79.72569596870994,0.8979082703590393,204685,294.05051474,361971,42.14374843061526,-80.02143707927405,0.0500748306512832,401.41756387007615,78.52699316176827,311.6806619,91.84175682811072,2015-09-23 16:04:10.952000+00:00,2015-09-23 16:00:00+00:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,US-Mi3,,,2015-09-23
