,Unnamed: 0.2,Unnamed: 0.1,Unnamed: 0,id,longitude,latitude,date,UB,B,GR,R,NIR,SWIR_1,SWIR_2,ST_B10,pixel_qa,ALFA,NDVI_model,EVI,SAVI,T_LST,LAI,e_0,e_NB,longitude.1,latitude.1,NDVI_neg,pos_NDVI,int,sd_ndvi,NDWI,LST_neg,LST_NW,T_LST_DEM,LST_neg_1,LST_NW_1,Tao_sw,EA,W_ATM,Rl_up,Rs_down,Tao_sw_1,ES,EA_1,Rl_down,Rn,Ginst,zom,u_fr,Hinst,rah,dT,rah_first,zom_1,u_fr_1,ufric_star,constant,constant_1,ET_inst,ET_24h,LEinst,EF,id.1,longitude.2,latitude.2,Rn24h_G,AirT_G,RH_G,ux_G,SW_Down,cold_pixel_lat,cold_pixel_lon,cold_pixel_ndvi,cold_pixel_sum,cold_pixel_temp,hot_pixel_sum,hot_pixel_lat,hot_pixel_lon,hot_pixel_ndvi,hot_pixel_Rn,hot_pixel_G,hot_pixel_temp,LE_daily_orig,Datetime_Local_sebal,Datetime_GMT,Date_daily,LE_closed,LE_unclosed,H_closed,H_unclosed,G_unclosed,Rn_unclosed,Residual_unclosed,Residual_closed,TIMESTAMP_START,TIMESTAMP_END,CO2_1_1_1,H2O_1_1_1,FC_1_1_1,SC_1_1_1,G_inst_af,H_inst_af,LE_inst_af,WD_1_1_1,WS_1_1_1,USTAR_1_1_1,MO_LENGTH_1_1_1,PA_1_1_1,RH_1_1_1,TA_1_1_1,VPD_PI_1_1_1,SWC_1_1_1,TS_1_1_1,TS_1_2_1,Rn_inst_af,PPFD_IN_PI_F_1_1_1,SW_IN_1_1_1,SW_OUT_1_1_1,LW_IN_1_1_1,LW_OUT_1_1_1,P_1_1_1,NEE_PI_F_1_1_1,PPFD_IN_1_1_1,T_SONIC_1_1_1,CO2_2_1_1,SC_1_1_2,G_1_1_2,G_1_1_3,SH_1_1_1,WS_MAX_1_1_1,ZL_1_1_1,TAU_1_1_1,U_SIGMA_1_1_1,V_SIGMA_1_1_1,W_SIGMA_1_1_1,NEE_PI_1_1_1,CO2_2_2_1,CO2_2_3_1,CO2_2_4_1,CO2_2_5_1,SC_PI_1,SC_PI_2,FCH4_1_1_1,WTD_1_1_1,CH4_1_1_1,State,Veg,MAT,MAP,Lat,Long,Elev_insitu,Name,Datetime,Datetime_Local_flux,Date
0,0,0,0,LC08_014035_20130414,-76.66837980645619,35.80302938504662,2013-04-14 15:42:53.084000000,0.0135099999999999,0.0187074999999999,0.0385075,0.0314399999999999,0.2352975,0.131705,0.0615249999999999,298.87334096,21824.0,0.0980002225,0.7642626177421623,0.397032831664078,0.3988147834167495,298.87334096,0.776003284718442,0.9577600328471844,0.9725608108395708,-76.66830401431204,35.80306603808863,-0.7642626166343689,0.7642626166343689,1,1,-0.7187231789046951,-298.87334096,298.87334096,298.7788174597368,-298.7788174597368,298.7788174597368,0.764388106125534,0.93691577288029,15.37339099672018,433.29979386807,877.2777734074502,0.764388106125534,2.4525471033460704,0.93691577288029,328.54300148230783,672.6699184425531,51.929823808480144,0.0282217896381926,0.152068555945808,100.337636371685,23.95375024557977,2.0139014214319104,48.04848731806754,0.0282217896381926,0.152068555945808,0.2301232045885592,0.715618371963501,-211.7976989746093,0.767652632000774,5.58700940765115,520.402458262388,0.8383580547816326,0,-76.66837980645619,35.80302938504662,188.24056414834115,20.77305521899985,38.2017442846269,0.8922373176678715,292.43865170427455,35.84598516683504,-76.25231409871637,0.9072921276092528,281549,295.96460594,428635,36.4394286743684,-76.29625772888444,0.2379438579082489,528.9687684773719,90.73568327335812,304.4686397,158.4475868009866,2013-04-14 15:42:53.084000+00:00,2013-04-14 16:00:00+00:00,2013-04-14,113.49371070246904,115.913723475,40.90130811073584,41.7734417948718,1.4711041666666669,160.7478246875,1.5895552509615385,4.881701707628466,201304141200.0,201304141230.0,399.19,9.47,-12.64,0.299249,3.336,308.776101,483.940072,318.543037,1.018462,0.377655,-15.368712,101.5601,27.718508,23.12086,20.44227904,24.5,14.4,14.27,610.2768,-9999.0,806.9512,84.58846,331.5464,443.6323,-9999.0,-9999.0,1930.961,23.188235,-9999.0,-9999.0,7.333,7.337,9.610061,5.18952,-0.6292,-0.175195,0.983853,1.031936,0.578793,-12.639238,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,NC,ENF,16.6,1320.0,35.803,-76.6685,5.0,US-NC2,2013-04-14 12:00:00,2013-04-14 12:00:00-04:00,2013-04-14
1,1,1,1,LC08_015035_20130407,-76.66837980645619,35.80302938504662,2013-04-07 15:46:39.300000000,0.0146099999999999,0.0171125,0.03375,0.0323749999999999,0.1955875,0.11856,0.0582249999999999,294.05735078,21824.0,0.084731005,0.7159620551625817,0.3234508692571803,0.3363068152549067,294.05735078,0.5622996805886584,0.9556229968058866,0.9718555889459426,-76.66830401431204,35.80306603808863,-0.7159620523452759,0.7159620523452759,1,1,-0.7056739521447648,-294.05735078,294.05735078,294.0501626720037,-294.0501626720037,294.0501626720037,0.7575669508753609,1.038739663427349,16.815941491823267,405.1331794718742,848.4929030264609,0.7575669508753609,1.8435649710550173,1.038739663427349,311.3328672267155,668.9829147291504,45.95878338656594,0.0198618256567678,0.2579410397064588,90.75582190660865,19.499647972858767,1.4592948180037126,28.326876910142364,0.0198618256567678,0.2579410397064588,0.3351983122921236,0.6469821333885193,-188.7859039306641,0.7815806612235563,5.562712394470553,532.2683094359758,0.8543301658139074,1,-76.66837980645619,35.80302938504662,184.7593510080009,16.21633905011207,56.344076815090986,1.5733929445141464,289.48703725259594,36.33152574621722,-76.91913597456104,0.8036689162254333,410035,291.79462154,708222,35.60564505260601,-76.7251307385332,0.2757970690727234,554.6478248084713,78.31270677354796,301.14290624,157.7585235071849,2013-04-07 15:46:39.300000+00:00,2013-04-07 16:00:00+00:00,2013-04-07,62.47324155341052,64.81104229545454,65.1952867955019,67.63494873809525,0.0265625,159.13853,26.665976466450203,31.44343915108757,201304071200.0,201304071230.0,395.47,10.02,-13.04,0.352398,1.652,346.720722,162.324669,154.378775,2.027652,0.686761,-82.55928,102.0099,37.734647,18.09359,12.91696018,27.7,9.49,9.21,658.3307,-9999.0,857.5791,88.45461,307.6638,418.4575,0.0,-9999.0,2056.992,18.323574,-9999.0,-9999.0,10.04,7.362,12.567908,7.075036,-0.117128,-0.584321,1.486142,1.144796,0.742694,-13.041266,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,NC,ENF,16.6,1320.0,35.803,-76.6685,5.0,US-NC2,2013-04-07 12:00:00,2013-04-07 12:00:00-04:00,2013-04-07
2,2,0,0,LC08_014035_20130516,-76.66837980645619,35.80302938504662,2013-05-16 15:43:03.116000000,0.02121,0.0248674999999999,0.044805,0.0296249999999999,0.318595,0.1401474999999999,0.0614974999999999,303.40221746,21824.0,0.1246006975,0.8298489460685776,0.5515373552660586,0.5110171889368326,303.40221746,1.3108052343406853,0.9631080523434068,0.9743256572733242,-76.66830401431204,35.80306603808863,-0.8298489451408386,0.8298489451408386,1,1,-0.7534122179416619,-303.40221746,303.40221746,303.37828990799034,-303.37828990799034,303.37828990799034,0.7476850498480949,1.8055626071870583,27.67960827212315,462.7357730157469,912.5285066077732,0.7476850498480949,3.728612560584112,1.8055626071870583,348.10440690004816,671.3532025217265,51.29192150048332,0.0530201420909409,0.4164377681833853,63.54914549950629,14.500489415898045,0.789936738984963,17.545632601271148,0.0530201420909409,0.4164377681833853,0.4892273555606943,0.2172082215547561,-65.1063232421875,0.8245876356003806,6.232787857345103,556.5121355217369,0.8975115082257021,0,-76.66837980645619,35.80302938504662,195.2850055139564,27.765442440710306,48.42451656881737,2.269599082236059,306.7456143433576,36.45761408177418,-76.51985612428338,0.8883081078529358,238082,299.74151804,135433,36.86434754414291,-76.15801098712093,0.0858753621578216,374.05568186434107,101.71390304272528,314.42874998,176.76186363430713,2013-05-16 15:43:03.116000+00:00,2013-05-16 16:00:00+00:00,2013-05-16,150.66110866658477,166.18007710638298,4.6267671369686205,5.103351000000001,5.431895833333333,152.9704785416667,-23.744845398049645,-7.74929309522005,201305161200.0,201305161230.0,390.47,18.43,-18.16,-0.413542,7.554,76.200902,393.153503,213.720341,2.511482,0.742073,-470.718296,100.97,33.973936,29.9119,27.86717307,19.0,17.82,17.0,544.698,-9999.0,713.4852,82.08887,390.2851,476.9834,0.0,-9999.0,1707.493,30.627572,-9999.0,-9999.0,11.47,12.36,5.004231,8.974559,-0.020543,-0.646906,1.557764,1.259082,0.808291,-18.162703,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,NC,ENF,16.6,1320.0,35.803,-76.6685,5.0,US-NC2,2013-05-16 12:00:00,2013-05-16 12:00:00-04:00,2013-05-16
3,3,0,0,LC08_014035_20130601,-76.66837980645619,35.80302938504662,2013-06-01 15:43:07.164999936,0.018955,0.021595,0.0409275,0.0263249999999999,0.3166975,0.134455,0.0553374999999999,305.6649467,21824.0,0.12137602,0.8465115262118375,0.5530125277579924,0.5166632563187816,305.6649467,1.346028944068134,0.9634602894406812,0.9744418955154248,-76.66830401431204,35.80306603808863,-0.8465115427970886,0.8465115427970886,1,1,-0.7711149947570779,-305.6649467,305.6649467,305.703473667027,-305.703473667027,305.703473667027,0.7399659726963775,2.22104766313782,33.56583173058258,476.8693688145949,910.2246778242968,0.7399659726963775,3.687942926864218,2.22104766313782,371.8102470016548,681.100268502832,51.7490876582154,0.0547294950818403,0.320323005526434,24.54027550106594,19.094102531893963,0.4060334123136329,22.81030071452684,0.0547294950818403,0.320323005526434,0.3728360049178197,0.3315695524215698,-100.9559326171875,0.8981816799781918,6.669499854531118,604.8109053435506,0.9610070239828076,0,-76.66837980645619,35.80302938504662,194.72014509331007,27.57754946498988,60.22456711460909,1.7390441359282196,302.65692682733265,36.45748577959096,-76.52989673785247,0.9030738472938538,249662,304.47889376,405811,35.93008403573896,-76.6157698933822,0.1962005496025085,484.51692175734246,124.63593312243526,319.6446485,189.1470158745025,2013-06-01 15:43:07.164999936+00:00,2013-06-01 16:00:00+00:00,2013-06-01,130.40321704661218,141.195587125,31.76634161507384,34.39537272727273,5.9361041666666665,200.9527482916667,19.425684272727267,32.847085463313974,201306011200.0,201306011230.0,387.88,24.89,-17.73,-0.045513,9.04,183.000268,491.629137,160.288059,2.415031,0.752291,-205.174221,101.6032,48.733327,29.43339,21.04975559,13.1,20.17,19.42,698.0336,-9999.0,862.3725,91.13862,406.4816,479.6818,0.0,-9999.0,2141.697,30.702399,-9999.0,-9999.0,10.38,8.95,11.946507,9.467237,-0.047131,-0.669995,1.812421,1.29585,0.720349,-17.729999,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,NC,ENF,16.6,1320.0,35.803,-76.6685,5.0,US-NC2,2013-06-01 12:00:00,2013-06-01 12:00:00-04:00,2013-06-01
4,4,1,1,LC08_014035_20130617,-76.66837980645619,35.80302938504662,2013-06-17 15:43:01.072999936,,,,,,,,,,,,,,,,,,-76.66830401431204,35.80306603808863,,,1,1,,,,,,,0.7424932484660579,2.11268260480388,32.030611776683315,,911.9339822586276,0.7424932484660579,3.410719654236255,2.11268260480388,297.7416666072832,,,,,,,,,,,,0.3839688301086426,-110.62263488769533,,,,,1,-76.66837980645619,35.80302938504662,,26.24643226660321,61.94242913456229,2.21142577700783,209.89839704796265,36.45791017036723,-76.49642778050148,0.8800317645072937,51690,288.10315993999995,92205,36.86457473217774,-76.13445561476485,0.1490038186311721,535.5984129790415,85.37996382374739,301.91879678,,2013-06-17 15:43:01.072999936+00:00,2013-06-17 16:00:00+00:00,2013-06-17,154.0120862574761,178.8933435348837,11.038093857192424,12.821341261904765,4.698854166666667,161.5810209166667,-34.832518046788465,-8.168013364668527,201306171200.0,201306171230.0,375.04,29.06,-26.79,0.014272,6.897,143.083463,478.46838,179.930595,2.712488,0.729588,-238.841187,101.2782,60.886243,28.02044,14.79656465,11.7,21.01,20.4,671.0759,-9999.0,819.9852,90.18816,410.6499,469.371,0.0,-9999.0,1979.435,29.555083,-9999.0,-9999.0,8.84,6.983,6.608734,8.687133,-0.040487,-0.630076,1.48829,1.236931,0.740833,-26.790755,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,NC,ENF,16.6,1320.0,35.803,-76.6685,5.0,US-NC2,2013-06-17 12:00:00,2013-06-17 12:00:00-04:00,2013-06-17
5,5,0,0,LC08_014035_20130703,-76.66837980645619,35.80302938504662,2013-07-03 15:43:02.796000000,,,,,,,,,,,,,,,,,,-76.66830401431204,35.80306603808863,,,1,1,,,,,,,0.7245861526235937,3.022104408326919,44.914492621163525,,883.204135703812,0.7245861526235937,3.711974004652791,3.022104408326919,356.8915221859507,,,,,,,,,,,,7.563355445861816,-2275.970458984375,,,,,0,-76.66837980645619,35.80302938504662,,27.68878934254488,81.41502080938199,2.249145031226892,242.17689731958967,36.31054625425036,-76.1243704906615,0.9142126441001892,163808,300.92073494,91696,35.29829798857547,-76.53184750805754,0.0218576453626155,736.5620828435659,88.06191315113112,301.74447776,,2013-07-03 15:43:02.796000+00:00,2013-07-03 16:00:00+00:00,2013-07-03,133.78938226225617,146.99138561538462,11.980220007781492,13.16239830952381,6.078541666666666,184.00834966666665,17.776024075091556,32.16020572996232,201307031200.0,201307031230.0,375.97,-9999.0,-9999.0,60.361829,8.26,28.579912,424.167621,173.964777,1.773954,0.596201,-656.803983,102.1985,92.665359,23.66756,2.143921378,21.0,23.29,22.73,174.9324,-9999.0,194.2608,19.7095,437.6518,437.2707,6.604,-9999.0,487.7753,25.692319,-9999.0,-9999.0,8.97,8.0,-73.10681,10.47224,-0.014723,-0.42875,2.159043,0.857838,0.591681,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,NC,ENF,16.6,1320.0,35.803,-76.6685,5.0,US-NC2,2013-07-03 12:00:00,2013-07-03 12:00:00-04:00,2013-07-03
6,6,1,1,LC08_014035_20130719,-76.66837980645619,35.80302938504662,2013-07-19 15:43:01.740000000,0.0101274999999999,0.0154624999999999,0.0393324999999999,0.0234099999999999,0.3020124999999999,0.1137475,0.0445575,305.38466906,21824.0,0.1119547675,0.8561254983905539,0.5250691903434122,0.5062907177839228,305.38466906,1.2821626557628054,0.962821626557628,0.9742311367640172,-76.66830401431204,35.80306603808863,-0.8561254739761353,0.8561254739761353,1,1,-0.76954400972623,-305.38466906,305.38466906,305.6273382464408,-305.6273382464408,305.6273382464408,0.7257451443319133,2.8631320540066127,42.66231342038475,474.8077714986099,873.7046951843993,0.7257451443319133,4.214495110408582,2.8631320540066127,368.52875939065393,655.9089772225358,46.68808853586406,0.0516303208316871,0.4293518921685539,1934.671841212359,8.761262619394886,13.929675231630654,17.01789188568562,0.0516303208316871,0.4293518921685539,0.6545536944405079,6.19359016418457,-1879.0008544921875,-1.9682308656452487,-14.32660527034146,-1325.4509525256872,-2.175649222046586,1,-76.66837980645619,35.80302938504662,184.7697202558442,29.882263122466423,67.93535118680066,2.3475289319617123,287.35650689034435,36.03171144084052,-77.12257931815404,0.8889147043228149,393720,303.37829132,131069,35.8551052744193,-76.06374914706662,0.0936547219753265,728.1583607044504,93.61694286940092,304.4515496,-406.3025254668838,2013-07-19 15:43:01.740000+00:00,2013-07-19 16:00:00+00:00,2013-07-19,163.94052779542386,185.3257504042553,18.82614085442073,21.28191685106383,5.7776875,192.4301337708333,-19.955220984485823,3.885777620988719,201307191200.0,201307191230.0,377.52,33.66,-14.03,-0.909667,7.875,25.156909,321.529256,181.274411,2.615398,0.659334,-1004.830626,101.5591,63.653526,30.45514,15.82606235,20.1,23.85,23.25,480.7148,-9999.0,586.5271,61.2546,435.8283,480.386,0.0,-9999.0,1409.021,32.415436,-9999.0,-9999.0,8.53,7.841,1.432032,8.545424,-0.009624,-0.511849,1.335678,1.165705,0.708946,-14.0265,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,NC,ENF,16.6,1320.0,35.803,-76.6685,5.0,US-NC2,2013-07-19 12:00:00,2013-07-19 12:00:00-04:00,2013-07-19
7,7,0,0,LC08_014035_20131108,-76.66837980645619,35.80302938504662,2013-11-08 15:42:48.693000192,0.00944,0.01241,0.02429,0.0185974999999999,0.1894,0.0837724999999999,0.0368574999999999,285.83017664,21824.0,0.073292215,0.82117573528528,0.3535083325744468,0.3618709811828432,285.83017664,0.644742478906775,0.9564474247890676,0.9721276501803924,-76.66830401431204,35.80306603808863,-0.821175754070282,0.821175754070282,1,1,-0.772661331835837,-285.83017664,285.83017664,285.4241170524515,-285.4241170524515,285.4241170524515,0.7336689214067902,0.5436649768391978,9.802162795941658,361.9732455869044,586.3068795689744,0.7336689214067902,1.2784279133578944,0.5436649768391978,285.85554631469165,454.7677052430805,13.437200779028483,0.0229305525361895,0.3746504300665577,28.86871435812447,16.906872988683272,0.3912088563818656,19.502617628227338,0.0229305525361895,0.3746504300665577,0.4232141071438923,0.7937208414077759,-226.1558532714844,0.6006674533609944,2.5112187471030487,412.4617901059276,0.9345870859455264,0,-76.66837980645619,35.80302938504662,76.87818985622306,10.602487006213586,42.52605650726272,2.2496775855154683,168.87588890145892,36.39280318255895,-76.51257230867671,0.8495786786079407,323659,284.93123738,261666,36.34571629888986,-76.55712444240957,0.2679840922355652,404.22748956539806,30.4023225971271,290.7281993,71.21816366784246,2013-11-08 15:42:48.693000192+00:00,2013-11-08 16:00:00+00:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,US-NC2,,,2013-11-08
8,8,1,1,LC08_014035_20131124,-76.66837980645619,35.80302938504662,2013-11-24 15:42:39.819000064,0.0113925,0.0132349999999999,0.0258575,0.0210174999999999,0.187475,0.0864949999999999,0.0388375,277.16207792,21824.0,0.0741369325,0.798386033070734,0.3426976470321807,0.3524190446617289,277.16207792,0.6135353710789881,0.9561353537107898,0.9720246667245608,-76.66830401431204,35.80306603808863,-0.7983860373497009,0.7983860373497009,1,1,-0.7575849905663694,-277.16207792,277.16207792,276.85247123971504,-276.85247123971504,276.85247123971504,0.7402297634333169,0.210876897555113,5.087516695144759,319.9172590468422,534.9528062191113,0.7402297634333169,0.692846053208437,0.210876897555113,248.1080532795063,412.6006683678134,3.997975369805218,0.0217442707704172,0.6476144853418901,87.03495923719338,10.121260161024775,0.6836355952677451,11.282428431139325,0.0217442707704172,0.6476144853418901,0.7122912225175348,0.4137386381626129,-113.86093139648438,0.4644959010508271,1.6304982235752394,321.5677337608148,0.7869936720225736,1,-76.66837980645619,35.80302938504662,59.76245462860123,1.7445721432243864,30.436328038325783,3.9115212209263737,151.31206111470337,36.39297186561214,-76.49919580268892,0.858971893787384,252434,275.20013444,357822,35.51123250090074,-76.2434551032268,0.0780414044857025,411.125795435417,14.469435824319758,281.92679780000003,46.24092962059379,2013-11-24 15:42:39.819000064+00:00,2013-11-24 16:00:00+00:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,US-NC2,,,2013-11-24
9,9,0,0,LC08_014035_20140401,-76.66837980645619,35.80302938504662,2014-04-01 15:41:16.868999936,,,,,,,,,,,,,,,,,,-76.66830401431204,35.80306603808863,,,1,1,,,,,,,0.7559513498070873,0.9816932135406328,16.007758028337125,,823.2509688779278,0.7559513498070873,2.013263199972488,0.9816932135406328,286.104980136549,,,,,,,,,,,,0.6249943375587463,-178.52688598632812,,,,,0,-76.66837980645619,35.80302938504662,,17.604856995980892,48.76129527197675,0.6418827329676566,271.499652909532,37.02415480739335,-76.7168885921125,0.775208055973053,169847,285.64560356,252087,36.802766806681255,-76.3790272529388,0.1647126078605651,562.5432080923812,62.07462971809061,296.16968714,,2014-04-01 15:41:16.868999936+00:00,2014-04-01 16:00:00+00:00,2014-04-01,67.53029186537408,74.56823029545454,40.96666623839427,45.236170585365855,-0.0449791666666666,122.86449683333336,3.1050751191796166,14.412517896231662,201404011200.0,201404011230.0,394.75,10.02,-10.86,0.216569,2.244,137.131885,226.785724,272.691793,1.217288,0.504435,-82.412136,101.48,24.455,22.01191,19.9738527,36.0,10.43,10.21,376.5008,-9999.0,860.4298,55.30835,351.78,433.78,0.0,-9999.0,2030.577,22.2092,-9999.0,-9999.0,11.05,6.396,13.30297,6.21107,-0.113272,-0.31204,1.128986,1.412053,0.641341,-10.86,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,NC,ENF,16.6,1320.0,35.803,-76.6685,5.0,US-NC2,2014-04-01 12:00:00,2014-04-01 12:00:00-04:00,2014-04-01
