,Unnamed: 0.2,Unnamed: 0.1,Unnamed: 0,id,longitude,latitude,date,UB,B,GR,R,NIR,SWIR_1,SWIR_2,ST_B10,pixel_qa,ALFA,NDVI_model,EVI,SAVI,T_LST,LAI,e_0,e_NB,longitude.1,latitude.1,NDVI_neg,pos_NDVI,int,sd_ndvi,NDWI,LST_neg,LST_NW,T_LST_DEM,LST_neg_1,LST_NW_1,Tao_sw,EA,W_ATM,Rl_up,Rs_down,Tao_sw_1,ES,EA_1,Rl_down,Rn,Ginst,zom,u_fr,Hinst,rah,dT,rah_first,zom_1,u_fr_1,ufric_star,constant,constant_1,ET_inst,ET_24h,LEinst,EF,id.1,longitude.2,latitude.2,Rn24h_G,AirT_G,RH_G,ux_G,SW_Down,cold_pixel_lat,cold_pixel_lon,cold_pixel_ndvi,cold_pixel_sum,cold_pixel_temp,hot_pixel_sum,hot_pixel_lat,hot_pixel_lon,hot_pixel_ndvi,hot_pixel_Rn,hot_pixel_G,hot_pixel_temp,LE_daily_orig,Datetime_Local_sebal,Datetime_GMT,Date_daily,LE_closed,LE_unclosed,H_closed,H_unclosed,G_unclosed,Rn_unclosed,Residual_unclosed,Residual_closed,TIMESTAMP_START,TIMESTAMP_END,CO2_1_1_1,H2O_1_1_1,FC_1_1_1,SC_PI_1,G_inst_af,G_1_1_2,G_1_1_3,H_inst_af,LE_inst_af,SH_1_1_1,WD_1_1_1,WS_1_1_1,WS_MAX_1_1_1,USTAR_1_1_1,ZL_1_1_1,TAU_1_1_1,MO_LENGTH_1_1_1,U_SIGMA_1_1_1,V_SIGMA_1_1_1,W_SIGMA_1_1_1,RH_1_1_1,TA_1_1_1,VPD_PI_1_1_1,T_SONIC_1_1_1,SWC_1_1_1,TS_1_1_1,TS_1_2_1,Rn_inst_af,PPFD_IN_1_1_1,SW_IN_1_1_1,SW_OUT_1_1_1,LW_IN_1_1_1,LW_OUT_1_1_1,P_1_1_1,NEE_PI_1_1_1,SC_PI_2,PA_1_1_1,WTD_1_1_1,State,Veg,MAT,MAP,Lat,Long,Elev_insitu,Name,Datetime,Datetime_Local_flux,Date
0,0,0,0,LC08_014035_20130414,-76.65598305553534,35.79898696626808,2013-04-14 15:42:53.084000000,0.045465,0.0525599999999999,0.0666674999999999,0.091225,0.18544,0.291535,0.20931,307.63714424,21824.0,0.1302942425,0.340538196013229,0.1759594050456077,0.1819606909027701,307.63714424,0.1643557276948492,0.9516435572769484,0.970542373901393,-76.65593398262045,35.79890987707693,-0.3405382037162781,0.3405382037162781,1,1,-0.4711184712870502,-307.63714424,307.63714424,307.6006440670893,-307.6006440670893,307.6006440670893,0.7643507496464891,0.9396432920337848,15.404265484956005,483.2951706008112,877.2348998874461,0.7643507496464891,2.452940164302748,0.9396432920337848,328.5483795551545,592.3020211686811,95.93272358798184,0.0083425953570911,0.1340096942538502,708.1641766034594,13.896802235161983,8.326962475859943,54.52339938928764,0.0083425953570911,0.1340096942538502,0.2403595213115026,0.715618371963501,-211.7976989746093,-0.3151107696988422,-2.7275017565553403,-211.7948790227601,-0.4266881131751037,0,-76.65598305553534,35.79898696626808,179.0174891442933,20.77565961718563,38.30681668098823,0.8943621766850757,292.4742713813777,35.84598516683504,-76.25231409871637,0.9072921276092528,281549,295.96460594,428635,36.4394286743684,-76.29625772888444,0.2379438579082489,528.9687684773719,90.73568327335812,304.4686397,-77.35194981590945,2013-04-14 15:42:53.084000+00:00,2013-04-14 16:00:00+00:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,US-NC3,,,2013-04-14
1,1,1,1,LC08_015035_20130407,-76.65598305553534,35.79898696626808,2013-04-07 15:46:39.300000000,0.0419724999999999,0.0479674999999999,0.0633949999999999,0.0879524999999999,0.178785,0.276795,0.19765,302.38706552,21824.0,0.1243033675,0.3405314213412063,0.1686150390525295,0.1776993429954841,302.38706552,0.1551767730713491,0.9515517677307136,0.9705120833511356,-76.65593398262045,35.79890987707693,-0.3405314087867737,0.3405314087867737,1,1,-0.4764637872656703,-302.38706552,302.38706552,302.45822439422415,-302.45822439422415,302.45822439422415,0.75760551932749,1.0394679035663672,16.817666873569678,451.0953197026967,848.5361006050704,0.75760551932749,1.8453509100058616,1.0394679035663672,311.3277289610205,588.2093369882923,80.29488916413622,0.008145173853319,0.2354491089311325,584.3497813275875,14.156126636064,6.899160545387417,31.032880587270167,0.008145173853319,0.2354491089311325,0.3529118351757038,0.6469821333885193,-188.7859039306641,-0.1131535608270183,-0.9265676227703816,-76.43533350343142,-0.1504885986820637,1,-76.65598305553534,35.79898696626808,173.29587297544538,16.23152513190394,56.32901026737865,1.575086405661288,289.5510162078691,36.33152574621722,-76.91913597456104,0.8036689162254333,410035,291.79462154,708222,35.60564505260601,-76.7251307385332,0.2757970690727234,554.6478248084713,78.31270677354796,301.14290624,-26.27745778176802,2013-04-07 15:46:39.300000+00:00,2013-04-07 16:00:00+00:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,US-NC3,,,2013-04-07
2,2,0,0,LC08_014035_20130516,-76.65598305553534,35.79898696626808,2013-05-16 15:43:03.116000000,0.053495,0.05795,0.0713699999999999,0.0890524999999999,0.1934975,0.2835875,0.2091175,316.74274952,21824.0,0.1336371425,0.3696513891346665,0.2019138755980861,0.2002012650948821,316.74274952,0.2045362365555608,0.9520453623655556,0.9706749695806334,-76.65593398262045,35.79890987707693,-0.3696513772010803,0.3696513772010803,1,1,-0.4610890350835795,-316.74274952,316.74274952,316.7320501044339,-316.7320501044339,316.7320501044339,0.7476381372805418,1.8101539950804693,27.729693228670875,543.334684992833,912.4712511427626,0.7476381372805418,3.727709315924375,1.8101539950804693,348.1111667768534,578.6141374513768,118.55329800385312,0.0092431837575906,0.3433524493677371,291.8864969906804,14.13883359617076,3.6904832031751615,21.280361026384945,0.0092431837575906,0.3433524493677371,0.4480751159643054,0.2172082215547561,-65.1063232421875,0.2524610863090312,2.55205684153172,168.17434245684325,0.3655480493814685,0,-76.65598305553534,35.79898696626808,193.7759712460681,27.76128888448864,48.55941924837555,2.268193582953273,306.8021183334011,36.45761408177418,-76.51985612428338,0.8883081078529358,238082,299.74151804,135433,36.86434754414291,-76.15801098712093,0.0858753621578216,374.05568186434107,101.71390304272528,314.42874998,72.37633202583959,2013-05-16 15:43:03.116000+00:00,2013-05-16 16:00:00+00:00,2013-05-16,56.76503136044736,72.03051013953488,60.7843519434292,77.13072245454545,10.29075,125.1912406875,-34.260741906580336,-2.648892616376564,201305161200.0,201305161230.0,391.247701,13.736722,2.779048,-0.063044,48.91,59.69,66.87,265.96233,160.810267,1.173418,260.184355,3.395993,8.718002,0.410853,-0.124508,-0.195922,-22.97035,1.233542,1.521291,0.586897,30.105617,31.53365,32.36387968,34.678501,42.8,24.91,21.59,450.9006,-9999.0,748.5228,97.59212,377.5562,577.5862,0.0,2.779048,-9999.0,-9999.0,-9999.0,NC,ENF,16.6,1320.0,35.799,-76.656,5.0,US-NC3,2013-05-16 12:00:00,2013-05-16 12:00:00-04:00,2013-05-16
3,3,0,0,LC08_014035_20130601,-76.65598305553534,35.79898696626808,2013-06-01 15:43:07.164999936,0.048435,0.0564649999999999,0.07467,0.0915,0.2281475,0.3077325,0.2171199999999999,313.84085054,21824.0,0.1464014325,0.4274943492440891,0.2523667316756053,0.2500724396768122,313.84085054,0.3225411639236372,0.9532254116392364,0.971064385840948,-76.65593398262045,35.79890987707693,-0.4274943470954895,0.4274943470954895,1,1,-0.5068316725420425,-313.84085054,313.84085054,313.88208578412974,-313.88208578412974,313.88208578412974,0.7400158484879913,2.221690154351448,33.556570689531185,524.3443091066596,910.286029532386,0.7400158484879913,3.686501457592296,2.221690154351448,371.8027569107216,607.0863777222734,116.80313156655568,0.012233307931741,0.2709567756768605,210.6744707895484,16.70505507842988,3.1178121756602906,26.96616116569395,0.012233307931741,0.2709567756768605,0.3664757549986334,0.3315695524215698,-100.9559326171875,0.4185705203414283,3.836233629699423,279.6087753661693,0.570300489683393,0,-76.65598305553534,35.79898696626808,187.2286135765288,27.570856857795107,60.26554390141119,1.7396887985915137,302.68793493143664,36.45748577959096,-76.52989673785247,0.9030738472938538,249662,304.47889376,405811,35.93008403573896,-76.6157698933822,0.1962005496025085,484.51692175734246,124.63593312243526,319.6446485,108.79558573827563,2013-06-01 15:43:07.164999936+00:00,2013-06-01 16:00:00+00:00,2013-06-01,69.67464535802903,76.9585079,95.68599178268718,105.68910852272728,8.166437499999999,160.03689110416667,-30.77716281856061,-13.490183536549536,201306011200.0,201306011230.0,390.193501,19.069615,1.113273,-0.02939,27.31,49.32,68.61,317.299332,211.294363,0.813267,189.829284,3.379673,9.064748,0.375491,-0.194411,-0.163503,-14.711122,1.131916,1.775462,0.498862,42.630951,31.18422,26.04150104,34.413443,40.1,27.8,24.77,561.9788,-9999.0,872.9699,111.7792,401.1002,600.3121,0.0,1.113273,-9999.0,-9999.0,-9999.0,NC,ENF,16.6,1320.0,35.799,-76.656,5.0,US-NC3,2013-06-01 12:00:00,2013-06-01 12:00:00-04:00,2013-06-01
4,4,1,1,LC08_014035_20130617,-76.65598305553534,35.79898696626808,2013-06-17 15:43:01.072999936,,,,,,,,,,,,,,,,,,-76.65593398262045,35.79890987707693,,,1,1,,,,,,,0.7424760404377764,2.1164174872571784,32.06603111647669,,911.9128472708146,0.7424760404377764,3.4117771700317507,2.1164174872571784,297.7437523993165,,,,,,,,,,,,0.3839688301086426,-110.62263488769533,,,,,1,-76.65598305553534,35.79898696626808,,26.25168646400156,62.03269972749957,2.211954422066741,210.1396706282068,36.45791017036723,-76.49642778050148,0.8800317645072937,51690,288.10315993999995,92205,36.86457473217774,-76.13445561476485,0.1490038186311721,535.5984129790415,85.37996382374739,301.91879678,,2013-06-17 15:43:01.072999936+00:00,2013-06-17 16:00:00+00:00,2013-06-17,67.381126910409,78.81269520930232,54.333911206564274,63.55194963043478,1.6671250000000002,134.18536179166668,-9.846408048070415,10.803198674693412,201306171200.0,201306171230.0,377.120754,22.363782,-2.697634,-0.054011,23.16,33.65,67.37,304.82673,260.018906,1.155928,212.085596,3.449121,8.416402,0.444654,-0.11241,-0.229996,-25.442679,1.152924,1.636524,0.548351,53.916895,29.86282,19.3951836,33.380046,37.4,26.43,24.84,616.2751,-9999.0,896.7543,126.3933,404.9991,559.0851,0.0,-2.697634,-9999.0,-9999.0,-9999.0,NC,ENF,16.6,1320.0,35.799,-76.656,5.0,US-NC3,2013-06-17 12:00:00,2013-06-17 12:00:00-04:00,2013-06-17
5,5,0,0,LC08_014035_20130703,-76.65598305553534,35.79898696626808,2013-07-03 15:43:02.796000000,,,,,,,,,,,,,,,,,,-76.65593398262045,35.79890987707693,,,1,1,,,,,,,0.7246132499626294,3.0243410781629274,44.9211822103775,,883.2371648775221,0.7246132499626294,3.714472830907692,3.0243410781629274,356.88779341400004,,,,,,,,,,,,7.563355445861816,-2275.970458984375,,,,,0,-76.65598305553534,35.79898696626808,,27.700320391615325,81.42046572525018,2.244281015455715,242.4631903472964,36.31054625425036,-76.1243704906615,0.9142126441001892,163808,300.92073494,91696,35.29829798857547,-76.53184750805754,0.0218576453626155,736.5620828435659,88.06191315113112,301.74447776,,2013-07-03 15:43:02.796000+00:00,2013-07-03 16:00:00+00:00,2013-07-03,145.67162556290188,185.8143160232558,16.036532045617317,20.455714844444444,4.744916666666667,168.116241,-42.898706534366895,1.6631667248141504,201307031200.0,201307031230.0,380.482276,27.04767,0.802083,-3.236843,5.158,7.664,9.59,91.04577,427.704044,-11.18762,183.239004,3.832623,10.312067,0.448218,-0.032756,-0.237483,-87.311776,1.255361,1.620212,0.536406,89.158228,24.52512,3.336461569,33.544544,44.9,27.94,25.8,163.0477,-9999.0,199.1074,26.87955,441.7668,450.947,13.21,0.802083,-9999.0,-9999.0,-9999.0,NC,ENF,16.6,1320.0,35.799,-76.656,5.0,US-NC3,2013-07-03 12:00:00,2013-07-03 12:00:00-04:00,2013-07-03
6,6,1,1,LC08_014035_20130719,-76.65598305553534,35.79898696626808,2013-07-19 15:43:01.740000000,0.0440349999999999,0.0439799999999999,0.0631749999999999,0.0508549999999999,0.26849,0.21283,0.119825,312.6889778,21824.0,0.132434155,0.6815043291737777,0.4374502520562484,0.3984310638375776,312.6889778,0.7745561223904655,0.9577455612239046,0.9725560352038886,-76.65593398262045,35.79890987707693,-0.6815043091773987,0.6815043091773987,1,1,-0.6190433117754361,-312.6889778,312.6889778,312.94408100886903,-312.94408100886903,312.94408100886903,0.7257773232529423,2.8650003609633687,42.66510139528666,519.1388106130785,873.7434345057831,0.7257773232529423,4.215279408109039,2.8650003609633687,368.5241714844318,591.843539900065,88.77944110180299,0.0281609948106704,0.3996826708199041,15605.893626801648,5.285907337242831,59.24658224490622,18.28116307081866,0.0281609948106704,0.3996826708199041,0.7396742912031249,6.19359016418457,-1879.0008544921875,-22.58792825473273,-193.96794030960027,-15102.829528003384,-30.021680267150007,1,-76.65598305553534,35.79898696626808,179.99715376574918,29.88550446868264,67.96703334663643,2.3456429364471214,287.4277566535434,36.03171144084052,-77.12257931815404,0.8889147043228149,393720,303.37829132,131069,35.8551052744193,-76.06374914706662,0.0936547219753265,728.1583607044504,93.61694286940092,304.4515496,-5500.930787180263,2013-07-19 15:43:01.740000+00:00,2013-07-19 16:00:00+00:00,2013-07-19,148.87916560675274,185.0930662619048,42.6690198345214,53.04798480952381,6.7953125000000005,172.0674315,-72.86893207142857,-26.27606644127413,201307191200.0,201307191230.0,377.628147,27.841948,-1.239686,-0.13086,41.03,37.13,57.86,109.677616,390.441165,0.292095,200.150449,3.377143,7.670932,0.464034,-0.03555,-0.248517,-80.449252,1.136213,0.958392,0.542124,60.729643,31.61744,18.27044986,35.862753,42.1,29.61,27.63,566.6222,1779.81,785.9896,121.8829,431.636,529.1205,0.0,-1.239686,-9999.0,-9999.0,-9999.0,NC,ENF,16.6,1320.0,35.799,-76.656,5.0,US-NC3,2013-07-19 12:00:00,2013-07-19 12:00:00-04:00,2013-07-19
7,7,0,0,LC08_014035_20130905,-76.65598305553534,35.79898696626808,2013-09-05 15:43:05.852000000,0.0263249999999999,0.0295149999999999,0.0470325,0.045795,0.2185774999999999,0.1740825,0.0986774999999999,309.72213644,21824.0,0.106150865,0.6535570076312778,0.3395922514809529,0.3390673395497613,309.72213644,0.5709100905590051,0.95570910090559,0.9718840032988448,-76.65593398262045,35.79890987707693,-0.6535570025444031,0.6535570025444031,1,1,-0.6458529422837994,-309.72213644,309.72213644,309.812122093472,-309.812122093472,309.812122093472,0.721717773937512,2.4520041353224915,36.81755107827395,498.6522303749292,799.054222816061,0.721717773937512,3.712890152451293,2.4520041353224915,363.3289561161039,562.8184854899924,77.70067385610298,0.0201723675984581,0.1688727567500884,240.82677318311312,18.886628217474044,3.950248367947751,43.26727544722915,0.0201723675984581,0.1688727567500884,0.2655924152370331,0.517948567867279,-156.51649475097656,0.3642449067360115,2.7025946208832625,244.2910384507764,0.5035705401704336,0,-76.65598305553534,35.79898696626808,149.9765638414517,27.69301777000004,66.040309156565,1.028358974025745,249.2546909360674,36.7215778411052,-76.4074710458678,0.9163110256195068,252017,302.18540234,418945,35.535508427902016,-76.69318612805992,0.2761812806129455,461.3294953871747,97.96526835298546,312.83595266,76.64558344824933,2013-09-05 15:43:05.852000+00:00,2013-09-05 16:00:00+00:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,US-NC3,,,2013-09-05
8,8,1,1,LC08_014035_20130921,-76.65598305553534,35.79898696626808,2013-09-21 15:42:59.236000000,,,,,,,,,,,,,,,,,,-76.65593398262045,35.79890987707693,,,1,1,,,,,,,0.7214721862234306,2.095318653062821,31.76729595396919,,755.6316420944711,0.7214721862234306,3.0665198001677667,2.095318653062821,351.8786639416474,,,,,,,,,,,,-3.2963361740112305,988.1389770507812,,,,,1,-76.65598305553534,35.79898696626808,,24.45573041066851,68.3288806075274,1.51608428972769,143.70869192310207,36.65554359324759,-76.50024432798801,0.8907445669174194,100169,299.7688622,77096,36.29100558794281,-76.15983583890075,0.0228050723671913,651.7714399188936,65.27298228906069,297.50271494000003,,2013-09-21 15:42:59.236000+00:00,2013-09-21 16:00:00+00:00,2013-09-21,26.91540210458667,34.670183780487804,25.79875371341022,33.23181013888889,-0.6478541666666665,64.0937208125,-3.160418940210036,12.027419161169767,201309211200.0,201309211230.0,371.520654,22.090648,2.914631,0.078422,13.16,12.82,15.16,126.694599,,-4.179162,198.826307,4.089972,10.76193,0.5268,-0.028101,-0.33041,-101.774099,1.571993,1.250942,0.624768,79.858272,22.99083,5.651742895,28.228971,40.8,23.49,23.07,153.6301,508.4033,224.2229,31.64276,410.7912,449.7412,0.0,2.914631,-9999.0,-9999.0,-9999.0,NC,ENF,16.6,1320.0,35.799,-76.656,5.0,US-NC3,2013-09-21 12:00:00,2013-09-21 12:00:00-04:00,2013-09-21
9,9,0,0,LC08_014035_20131108,-76.65598305553534,35.79898696626808,2013-11-08 15:42:48.693000192,0.0312199999999999,0.0353999999999999,0.04585,0.060865,0.1448775,0.1997125,0.1335474999999999,289.74039152,21824.0,0.0935303725,0.4083380925185608,0.1687584241111872,0.1785619400843792,289.74039152,0.1570286305767,0.951570286305767,0.970518194480903,-76.65593398262045,35.79890987707693,-0.4083380997180938,0.4083380997180938,1,1,-0.5192093431728513,-289.74039152,289.74039152,289.4929202966985,-289.4929202966985,289.4929202966985,0.7336903015887484,0.5446840164572871,9.812097581918714,380.2420141478199,586.3239654061999,0.7336903015887484,1.2783410610527577,0.5446840164572871,285.8531254244719,423.252192769824,30.226205624392254,0.0081847558568223,0.3366217743025457,318.363663526431,14.144903970751352,3.62070269228596,21.70585695764288,0.0081847558568223,0.3366217743025457,0.4421005373149633,0.7937208414077759,-226.1558532714844,0.1091548070987677,0.4887335118135169,74.66232361900069,0.1899679055862871,0,-76.65598305553534,35.79898696626808,73.32283999402586,10.60146820427067,42.60866157336144,2.2508223172216963,168.92072509549104,36.39280318255895,-76.51257230867671,0.8495786786079407,323659,284.93123738,261666,36.34571629888986,-76.55712444240957,0.2679840922355652,404.22748956539806,30.4023225971271,290.7281993,13.860482395031338,2013-11-08 15:42:48.693000192+00:00,2013-11-08 16:00:00+00:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,US-NC3,,,2013-11-08
