,Unnamed: 0.2,Unnamed: 0.1,Unnamed: 0,id,longitude,latitude,date,UB,B,GR,R,NIR,SWIR_1,SWIR_2,ST_B10,pixel_qa,ALFA,NDVI_model,EVI,SAVI,T_LST,LAI,e_0,e_NB,longitude.1,latitude.1,NDVI_neg,pos_NDVI,int,sd_ndvi,NDWI,LST_neg,LST_NW,T_LST_DEM,LST_neg_1,LST_NW_1,Tao_sw,EA,W_ATM,Rl_up,Rs_down,Tao_sw_1,ES,EA_1,Rl_down,Rn,Ginst,zom,u_fr,Hinst,rah,dT,rah_first,zom_1,u_fr_1,ufric_star,constant,constant_1,ET_inst,ET_24h,LEinst,EF,id.1,longitude.2,latitude.2,Rn24h_G,AirT_G,RH_G,ux_G,SW_Down,cold_pixel_lat,cold_pixel_lon,cold_pixel_ndvi,cold_pixel_sum,cold_pixel_temp,hot_pixel_sum,hot_pixel_lat,hot_pixel_lon,hot_pixel_ndvi,hot_pixel_Rn,hot_pixel_G,hot_pixel_temp,LE_daily_orig,Datetime_Local_sebal,Datetime_GMT,Date_daily,LE_closed,LE_unclosed,H_closed,H_unclosed,G_unclosed,Rn_unclosed,Residual_unclosed,Residual_closed,TIMESTAMP_START,TIMESTAMP_END,CO2_1_1_1,CO2_2_1_1,H2O_1_1_1,FC_1_1_1,SC_PI_1,SC_PI_2,G_inst_af,G_1_1_2,H_inst_af,LE_inst_af,SH_1_1_1,WD_1_1_1,WS_1_1_1,WS_MAX_1_1_1,USTAR_1_1_1,ZL_1_1_1,TAU_1_1_1,MO_LENGTH_1_1_1,U_SIGMA_1_1_1,V_SIGMA_1_1_1,W_SIGMA_1_1_1,PA_1_1_1,RH_1_1_1,TA_1_1_1,VPD_PI_1_1_1,T_SONIC_1_1_1,SWC_1_1_1,TS_1_1_1,TS_1_2_1,Rn_inst_af,PPFD_IN_1_1_1,P_1_1_1,NEE_PI_1_1_1,SW_IN_1_1_1,SW_OUT_1_1_1,LW_IN_1_1_1,LW_OUT_1_1_1,TAU_1_1_2,CO2_2_2_1,CO2_2_3_1,CO2_2_4_1,CO2_2_5_1,FCH4_1_1_1,WTD_1_1_1,CH4_1_1_1,State,Veg,MAT,MAP,Lat,Long,Elev_insitu,Name,Datetime,Datetime_Local_flux,Date
0,0,0,0,LC08_014035_20130414,-75.90382366814207,35.787937688273416,2013-04-14 15:42:53.084000000,0.0204125,0.023795,0.0442549999999999,0.0382875,0.1845875,0.143475,0.07621,298.52812094,21824.0,0.0891754725,0.6564217610768368,0.2959501557632399,0.3035794570292236,298.52812094,0.4650508471828261,0.9546505084718282,0.9715346677957032,-75.90384536489958,35.78798430567691,-0.6564217805862427,0.6564217805862427,1,1,-0.613227438085146,-298.52812094,298.52812094,298.45011056962414,-298.45011056962414,298.45011056962414,0.7576175810513122,1.1341731684455991,18.16420836142397,429.9010011037394,869.5073343931398,0.7576175810513122,2.158457859433945,1.1341731684455991,329.50767984534133,676.6322800124041,62.456643977946825,0.01652495772495,0.1816292627128328,91.75759799536326,23.14249947690377,1.7786727370954338,40.22845202753089,0.01652495772495,0.1816292627128328,0.2551707388211528,0.715618371963501,-211.7976989746093,0.7703808592696665,5.830757314316983,522.418038039094,0.8506003940699866,0,-75.90382366814207,35.787937688273416,193.68715697530365,18.713756442355585,52.545532148727496,1.130013021988502,297.25952713919264,35.84598516683504,-76.25231409871637,0.9072921276092528,281549,295.96460594,428635,36.4394286743684,-76.29625772888444,0.2379438579082489,528.9687684773719,90.73568327335812,304.4686397,165.36027743402963,2013-04-14 15:42:53.084000+00:00,2013-04-14 16:00:00+00:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,US-NC4,,,2013-04-14
1,1,0,0,LC08_014035_20130516,-75.90382366814207,35.787937688273416,2013-05-16 15:43:03.116000000,0.0148574999999999,0.018845,0.0516249999999999,0.0293225,0.2796275,0.1358025,0.0594624999999999,301.38216764000003,21824.0,0.1124984975,0.8101796407185627,0.4761456371625863,0.4641294270350454,301.38216764000003,1.0551213051324342,0.9605512130513244,0.973481900306937,-75.90384536489958,35.78798430567691,-0.8101796507835388,0.8101796507835388,1,1,-0.6883042392132891,-301.38216764000003,301.38216764000003,301.3733389623655,-301.3733389623655,301.3733389623655,0.7447672205713054,1.9315203409451656,29.45767876945688,449.3386666504613,908.9673783051192,0.7447672205713054,3.3676714124385656,1.9315203409451656,348.5231469756896,692.1455789227813,52.28457000655458,0.0407380546348742,0.4883389576930541,30.86387268484108,13.47995887168774,0.3544449156589877,14.962279717260676,0.0407380546348742,0.4883389576930541,0.5359427702639139,0.2172082215547561,-65.1063232421875,0.900600346939016,6.89873967915942,608.9971362313856,0.9517647235028164,0,-75.90382366814207,35.787937688273416,204.22648007153265,26.03133532322705,57.3547743942908,2.746622035561643,311.73925049077184,36.45761408177418,-76.51985612428338,0.8883081078529358,238082,299.74151804,135433,36.86434754414291,-76.15801098712093,0.0858753621578216,374.05568186434107,101.71390304272528,314.42874998,195.64825730096115,2013-05-16 15:43:03.116000+00:00,2013-05-16 16:00:00+00:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,US-NC4,,,2013-05-16
2,2,0,0,LC08_014035_20130601,-75.90382366814207,35.787937688273416,2013-06-01 15:43:07.164999936,,,,,,,,,,,,,,,,,,-75.90384536489958,35.78798430567691,,,1,1,,,,,,,0.7387835809603367,2.2797413592429283,34.38981360511782,,908.7702296784204,0.7387835809603367,3.4633413428823343,2.2797413592429283,371.9875145521379,,,,,,,,,,,,0.3315695524215698,-100.9559326171875,,,,,0,-75.90382366814207,35.787937688273416,,26.50617409862244,65.82491107693227,1.929531261388228,306.71639791679087,36.45748577959096,-76.52989673785247,0.9030738472938538,249662,304.47889376,405811,35.93008403573896,-76.6157698933822,0.1962005496025085,484.51692175734246,124.63593312243526,319.6446485,,2013-06-01 15:43:07.164999936+00:00,2013-06-01 16:00:00+00:00,2013-06-01,106.3170367006986,122.81151654166666,61.823265876791,71.41479179166667,11.643520833333334,185.19787554166663,-20.671953625,5.414052130843743,201306011200.0,201306011230.0,406.819758,-9999.0,17.378297,-12.022736,-0.010881,-9999.0,23.72,83.8,261.044868,151.176476,6.323002,214.01287,3.217169,8.194297,0.595882,-0.277488,-0.421831,-71.112926,1.319767,1.60547,0.904928,101.470962,45.51,28.47,21.15969278,33.439068,70.3,-9999.0,20.19,698.895,2088.0,0.0,-12.022736,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,NC,WET,16.6,1311.0,35.7879,-75.9038,1.0,US-NC4,2013-06-01 12:00:00,2013-06-01 12:00:00-04:00,2013-06-01
3,3,1,1,LC08_014035_20130617,-75.90382366814207,35.787937688273416,2013-06-17 15:43:01.072999936,,,,,,,,,,,,,,,,,,-75.90384536489958,35.78798430567691,,,1,1,,,,,,,0.7398785240396063,2.238074097440687,33.799646605876816,,908.722564426009,0.7398785240396063,3.3226851229768903,2.238074097440687,298.057466489474,,,,,,,,,,,,0.3839688301086426,-110.62263488769533,,,,,1,-75.90382366814207,35.787937688273416,,25.80397884493331,67.35739363215771,3.0711682751393488,213.97444894385845,36.45791017036723,-76.49642778050148,0.8800317645072937,51690,288.10315993999995,92205,36.86457473217774,-76.13445561476485,0.1490038186311721,535.5984129790415,85.37996382374739,301.91879678,,2013-06-17 15:43:01.072999936+00:00,2013-06-17 16:00:00+00:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,US-NC4,,,2013-06-17
4,4,0,0,LC08_014035_20130703,-75.90382366814207,35.787937688273416,2013-07-03 15:43:02.796000000,0.06378,0.073845,0.11592,0.1026099999999999,0.3762075,0.22361,0.151505,301.79574806,21824.0,0.1880573325,0.5714024654487357,0.4756463703817027,0.4192775977135677,301.79574806,0.8560753701398958,0.9585607537013988,0.9728250487214616,-75.90384536489958,35.78798430567691,-0.5714024901390076,0.5714024901390076,1,1,-0.5289025709800813,-301.79574806,301.79574806,302.0012712635917,-302.0012712635917,302.0012712635917,0.7245413302037871,3.0263195476216733,44.964201987667415,450.8739768453721,883.1495012805593,0.7245413302037871,3.666244658322468,3.0263195476216733,356.8976894870105,608.3009032546164,81.59554867445817,0.031661308334726,0.4623123683317975,1014.677211142125,9.72146937263196,8.172480180099683,15.804604380809195,0.031661308334726,0.4623123683317975,0.6405452880438371,7.563355445861816,-2275.970458984375,-0.722064849985638,-5.329312659033908,-487.9718565619668,-0.926460785558054,0,-75.90382366814207,35.787937688273416,161.97630504845534,27.47656460923964,82.54548808552238,2.677357508291328,264.6536934074016,36.31054625425036,-76.1243704906615,0.9142126441001892,163808,300.92073494,91696,35.29829798857547,-76.53184750805754,0.0218576453626155,736.5620828435659,88.06191315113112,301.74447776,-151.13930701020163,2013-07-03 15:43:02.796000+00:00,2013-07-03 16:00:00+00:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,US-NC4,,,2013-07-03
5,5,1,1,LC08_014035_20130719,-75.90382366814207,35.787937688273416,2013-07-19 15:43:01.740000000,0.012465,0.0163425,0.0415875,0.0248124999999999,0.24759,0.12868,0.0489574999999999,305.51113580000003,21824.0,0.099439545,0.8178247262782098,0.4371971029822877,0.4326322739763272,305.51113580000003,0.9116666309037924,0.959116666309038,0.9730084998819823,-75.90384536489958,35.78798430567691,-0.8178247213363647,0.8178247213363647,1,1,-0.7123738880099593,-305.51113580000003,305.51113580000003,305.76798204906504,-305.76798204906504,305.76798204906504,0.725731785091065,2.865383263448996,42.68473173233908,473.76467513837486,873.6886123603605,0.725731785091065,4.133053462506963,2.865383263448996,368.530663973106,666.5086409997318,55.3798350916335,0.0341290408174902,0.5045888642562301,2233.91186300472,8.084506291005413,14.80076532355588,14.480430701951995,0.0341290408174902,0.5045888642562301,0.7322740869995601,6.19359016418457,-1879.0008544921875,-2.410084839325408,-19.05795397676201,-1622.7830570966212,-2.65538629730482,1,-75.90382366814207,35.787937688273416,201.3564084762341,29.542790780776,69.32848291081521,2.89712810144525,294.9578737185593,36.03171144084052,-77.12257931815404,0.8889147043228149,393720,303.37829132,131069,35.8551052744193,-76.06374914706662,0.0936547219753265,728.1583607044504,93.61694286940092,304.4515496,-540.4835747809706,2013-07-19 15:43:01.740000+00:00,2013-07-19 16:00:00+00:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,US-NC4,,,2013-07-19
6,6,0,0,LC08_014035_20130905,-75.90382366814207,35.787937688273416,2013-09-05 15:43:05.852000000,,,,,,,,,,,,,,,,,,-75.90384536489958,35.78798430567691,,,1,1,,,,,,,0.7218986318032,2.440755974642908,36.67039332872807,,799.2544607020135,0.7218986318032,3.626052577042202,2.440755974642908,363.3038238837457,,,,,,,,,,,,0.517948567867279,-156.51649475097656,,,,,0,-75.90382366814207,35.787937688273416,,27.28812580300795,67.31165427926175,0.8316002783568235,249.184168756496,36.7215778411052,-76.4074710458678,0.9163110256195068,252017,302.18540234,418945,35.535508427902016,-76.69318612805992,0.2761812806129455,461.3294953871747,97.96526835298546,312.83595266,,2013-09-05 15:43:05.852000+00:00,2013-09-05 16:00:00+00:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,US-NC4,,,2013-09-05
7,7,1,1,LC08_014035_20130921,-75.90382366814207,35.787937688273416,2013-09-21 15:42:59.236000000,,,,,,,,,,,,,,,,,,-75.90384536489958,35.78798430567691,,,1,1,,,,,,,0.7205451469358165,2.135886484159009,32.35228110880438,,754.6607103904332,0.7205451469358165,3.017432228247125,2.135886484159009,352.0031682121925,,,,,,,,,,,,-3.2963361740112305,988.1389770507812,,,,,1,-75.90382366814207,35.787937688273416,,24.18621716501015,70.78490327518574,2.213535756558992,177.99018188161807,36.65554359324759,-76.50024432798801,0.8907445669174194,100169,299.7688622,77096,36.29100558794281,-76.15983583890075,0.0228050723671913,651.7714399188936,65.27298228906069,297.50271494000003,,2013-09-21 15:42:59.236000+00:00,2013-09-21 16:00:00+00:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,US-NC4,,,2013-09-21
8,8,0,0,LC08_014035_20131108,-75.90382366814207,35.787937688273416,2013-11-08 15:42:48.693000192,0.0179374999999999,0.0193399999999999,0.03386,0.0330624999999999,0.15574,0.12274,0.0669699999999999,286.30528142000003,21824.0,0.0751808049999999,0.6497662901709459,0.2536619205749897,0.2671538648596658,286.30528142000003,0.3660595282840967,0.953660595282841,0.9712079964433374,-75.90384536489958,35.78798430567691,-0.6497662663459778,0.6497662663459778,1,1,-0.6428270042194093,-286.30528142000003,286.30528142000003,285.9168811881344,-285.9168811881344,285.9168811881344,0.7302837154845536,0.6118202125516734,10.765702599569304,363.3242074601535,583.6016136608055,0.7302837154845536,1.2486539025202743,0.6118202125516734,286.2371454780188,449.37485363496216,20.62695218771184,0.0134658923986112,0.5984483863934399,90.10930272842212,10.82771337376334,0.7823260088252937,12.20934711825818,0.0134658923986112,0.5984483863934399,0.6633836272337585,0.7937208414077759,-226.1558532714844,0.4933910627895864,2.10739041734463,338.63859871882823,0.7898315013921802,0,-75.90382366814207,35.787937688273416,76.30350506165348,10.249611763976182,48.99838228325557,3.8043426994918015,167.79391690401513,36.39280318255895,-76.51257230867671,0.8495786786079407,323659,284.93123738,261666,36.34571629888986,-76.55712444240957,0.2679840922355652,404.22748956539806,30.4023225971271,290.7281993,59.765592235893706,2013-11-08 15:42:48.693000192+00:00,2013-11-08 16:00:00+00:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,US-NC4,,,2013-11-08
9,9,1,1,LC08_014035_20131124,-75.90382366814207,35.787937688273416,2013-11-24 15:42:39.819000064,0.0165075,0.0204675,0.0352899999999999,0.0346299999999999,0.1487824999999999,0.125765,0.0724699999999999,277.08688148,21824.0,0.07421385,0.6223812444626184,0.2372135550602891,0.2505496314451374,277.08688148,0.3237337947433337,0.9532373379474331,0.971068321522653,-75.90384536489958,35.78798430567691,-0.6223812699317932,0.6223812699317932,1,1,-0.6165641255483574,-277.08688148,277.08688148,276.7964164372286,-276.7964164372286,276.7964164372286,0.73491537444313,0.2806205252581342,6.074654588608469,318.6016080386379,531.1121780194907,0.73491537444313,0.6844031541091284,0.2806205252581342,248.6371999158555,410.1049530306349,5.5474669031593375,0.0122661594651697,0.9527717735631016,118.34892309578024,7.191611183743776,0.6604435570149718,7.668850279342459,0.0122661594651697,0.9527717735631016,1.0094166618060822,0.4137386381626129,-113.86093139648438,0.4133985819771235,1.4239707857168808,286.2085630316953,0.7074608006178665,1,-75.90382366814207,35.787937688273416,58.063217366944826,1.573739160835373,41.00222559953151,6.115618263528533,146.78826707610466,36.39297186561214,-76.49919580268892,0.858971893787384,252434,275.20013444,357822,35.51123250090074,-76.2434551032268,0.0780414044857025,411.125795435417,14.469435824319758,281.92679780000003,40.38381148293074,2013-11-24 15:42:39.819000064+00:00,2013-11-24 16:00:00+00:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,US-NC4,,,2013-11-24
