,Unnamed: 0.2,Unnamed: 0.1,Unnamed: 0,id,longitude,latitude,date,UB,B,GR,R,NIR,SWIR_1,SWIR_2,ST_B10,pixel_qa,ALFA,NDVI_model,EVI,SAVI,T_LST,LAI,e_0,e_NB,longitude.1,latitude.1,NDVI_neg,pos_NDVI,int,sd_ndvi,NDWI,LST_neg,LST_NW,T_LST_DEM,LST_neg_1,LST_NW_1,Tao_sw,EA,W_ATM,Rl_up,Rs_down,Tao_sw_1,ES,EA_1,Rl_down,Rn,Ginst,zom,u_fr,Hinst,rah,dT,rah_first,zom_1,u_fr_1,ufric_star,constant,constant_1,ET_inst,ET_24h,LEinst,EF,id.1,longitude.2,latitude.2,Rn24h_G,AirT_G,RH_G,ux_G,SW_Down,cold_pixel_lat,cold_pixel_lon,cold_pixel_ndvi,cold_pixel_sum,cold_pixel_temp,hot_pixel_sum,hot_pixel_lat,hot_pixel_lon,hot_pixel_ndvi,hot_pixel_Rn,hot_pixel_G,hot_pixel_temp,LE_daily_orig,Datetime_Local_sebal,Datetime_GMT,Date_daily,LE_closed,LE_unclosed,H_closed,H_unclosed,G_unclosed,Rn_unclosed,Residual_unclosed,Residual_closed,TIMESTAMP_START,TIMESTAMP_END,CO2,CO2_SIGMA,FC,SC,FC_SSITC_TEST,H2O,H2O_SIGMA,H_inst_af,H_SSITC_TEST,SH,LE_inst_af,LE_SSITC_TEST,SLE,PA,RH,TA,T_SONIC,T_SONIC_SIGMA,VPD_PI,P_RAIN,PPFD_IN,Rn_inst_af,SW_IN,SW_OUT,LW_IN,LW_OUT,MO_LENGTH,TAU,TAU_SSITC_TEST,USTAR,U_SIGMA,V_SIGMA,W_SIGMA,WD,WS,WS_MAX,ZL,FETCH_70,FETCH_90,FETCH_MAX,G_inst_af,G_1_2_1,G_1_3_1,G_1_4_1,TS_1_1_1,TS_1_2_1,SWC_1_1_1,SWC_1_2_1,CH4,FCH4,FCH4_SSITC_TEST,SCH4,FETCH_80,WTD,State,Veg,MAT,MAP,Lat,Long,Elev_insitu,Name,Datetime,Datetime_Local_flux,Date
0,0,0,0,LC08_016041_20160216,-81.95101266624945,27.383479553108,2016-02-16 15:55:43.907000064,0.0166725,0.0250874999999999,0.0538799999999999,0.0598475,0.241485,0.1838725,0.0960099999999999,299.03740592,21824.0,0.1152778124999999,0.6027809811420939,0.3215019324188822,0.3400039933485788,299.03740592,0.5738470242294103,0.955738470242294,0.971893695179957,-81.95106162559784,27.38357619024968,-0.6027809977531433,0.6027809977531433,1,1,-0.6351632725610686,-299.03740592,299.03740592,299.8872851964379,-299.8872851964379,299.8872851964379,0.7106550435641565,1.894135263493763,28.878100438495625,433.3354241135573,675.4294698210637,0.7106550435641565,2.562131678241516,1.894135263493763,334.2775928583973,483.7139691632605,52.39300058384522,0.0202788348030439,0.2528982065680439,198.96451112630945,17.28715893525879,2.8846936708826547,28.89171964085517,0.0202788348030439,0.2528982065680439,0.3511500924951616,0.6802632212638855,-201.1175994873047,0.3431200699578851,2.167210721596783,232.3564574531059,0.538708929960877,0,-81.95101266624945,27.383479553108,113.51267255482313,21.48541243623851,73.92809977642435,1.5391550922449342,198.9843786750464,26.818157990447883,-82.15850217739975,0.8352582454681396,354537,295.64673008,674816,27.23124061235109,-81.3271328693894,0.4248587489128113,433.6810048420692,62.56957459594384,302.23667264,61.46209606448477,2016-02-16 15:55:43.907000064+00:00,2016-02-16 16:00:00+00:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,US-ONA,,,2016-02-16
1,1,0,0,LC08_016041_20160303,-81.95101266624945,27.383479553108,2016-03-03 15:55:42.342999808,0.0174699999999999,0.039305,0.0875949999999999,0.0936724999999999,0.2919475,0.2192925,0.13044,287.25549098,21824.0,0.1473776275,0.5141719827809762,0.3179124484108787,0.3358240554639688,287.25549098,0.5608008008520791,0.9556080080085207,0.9718506426428118,-81.95106162559784,27.38357619024968,-0.5141719579696655,0.5141719579696655,1,1,-0.5384179637326519,-287.25549098,287.25549098,288.049892591566,-288.049892591566,288.049892591566,0.7397148693070044,1.231858241893775,19.515241859008214,368.9233943953764,763.5649577802697,0.7397148693070044,2.6504246456419454,1.231858241893775,292.4730912437849,561.5987995846671,38.12028047539436,0.0198080113735083,0.0728035596292704,25.969139680658625,40.437816345440304,0.8485226031245645,100.36135759083656,0.0198080113735083,0.0728035596292704,0.1177562949687022,0.6474688649177551,-185.65481567382807,0.7263436839552401,3.581794204804944,497.5093794286141,0.9503912028236678,0,-81.95101266624945,27.383479553108,107.5588347215193,22.04025086186644,46.477768908438925,0.4442190534701675,198.5680181258951,27.51286193862112,-81.65055152427122,0.6905436515808105,83277,286.73936996,161524,27.297431086437733,-82.53294704087585,0.2263588458299636,521.4249970726294,57.53243062508835,296.19361328,101.57968364826822,2016-03-03 15:55:42.342999808+00:00,2016-03-03 16:00:00+00:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,US-ONA,,,2016-03-03
2,2,0,0,LC08_016041_20160404,-81.95101266624945,27.383479553108,2016-04-04 15:55:27.461999872,,,,,,,,,,,,,,,,,,-81.95106162559784,27.38357619024968,,,1,1,,,,,,,0.7484110280903724,1.511136154629079,23.4634984284388,,876.7443684337088,0.7484110280903724,2.645460738921725,1.511136154629079,341.72499642198284,,,,,,,,,,,,0.4588874578475952,-136.92337036132812,,,,,0,-81.95101266624945,27.383479553108,161.3334128049493,22.00948894335653,57.12185149438314,0.3123654684249058,247.75051849733697,28.22569985946406,-81.50989821650056,0.8658677339553833,226037,298.38114608,392439,28.058455336999803,-80.60730578494095,0.4142050147056579,553.2088403618667,104.6632437883822,311.82763676,,2016-04-04 15:55:27.461999872+00:00,2016-04-04 16:00:00+00:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,US-ONA,,,2016-04-04
3,3,1,1,LC08_016041_20160420,-81.95101266624945,27.383479553108,2016-04-20 15:55:21.572999936,,,,,,,,,,,,,,,,,,-81.95106162559784,27.38357619024968,,,1,1,,,,,,,0.7566230432009604,1.393873129506226,21.80570707373393,,918.312364589294,0.7566230432009604,3.2065522795191943,1.393873129506226,333.47125549299466,,,,,,,,,,,,0.318284273147583,-94.4728546142578,,,,,1,-81.95101266624945,27.383479553108,,25.20440547363918,43.46952764216992,1.7769736730423698,270.714130456696,26.988743648791623,-81.23391228604817,0.8238577246665955,109251,296.81911094,190701,27.812097992136056,-81.52896975579253,0.2133901119232177,521.5188269419585,113.71296009826872,312.57276512,,2016-04-20 15:55:21.572999936+00:00,2016-04-20 16:00:00+00:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,US-ONA,,,2016-04-20
4,4,0,0,LC08_016041_20160506,-81.95101266624945,27.383479553108,2016-05-06 15:55:24.769999872,0.0250874999999999,0.0371874999999999,0.0759349999999999,0.077145,0.27201,0.24781,0.1427324999999999,305.18984192,21824.0,0.1414757975,0.5581045667397001,0.3345956614945839,0.3442216085402547,305.18984192,0.5871697298374683,0.9558716972983746,0.9719376601084636,-81.95106162559784,27.38357619024968,-0.5581045746803284,0.5581045746803284,1,1,-0.5635229705844316,-305.18984192,305.18984192,305.75242729632043,-305.75242729632043,305.75242729632043,0.7717237497708571,1.0033869407940863,16.28525740854377,470.1787083693573,954.0119942658426,0.7717237497708571,2.8792053320671256,1.0033869407940863,332.18931867260824,666.3940460471365,95.29217634936876,0.0207652458984191,0.4008683657824659,254.3718608486453,13.055715245049214,2.850422902279803,18.227090749794947,0.0207652458984191,0.4008683657824659,0.5105892541168653,0.3265749514102936,-97.00065612792967,0.4703861210574868,3.922691495986206,316.73000884912244,0.5545945927593248,0,-81.95101266624945,27.383479553108,198.4412687184944,23.40619353126533,34.84944021250839,2.433423099245252,321.1042228330266,28.1039392106406,-82.41937109276253,0.8487268090248108,379628,297.02419214,672230,27.619386976212265,-82.17259812841513,0.3700905740261078,569.4501515133596,116.40337011433178,312.2617253,111.2475308261688,2016-05-06 15:55:24.769999872+00:00,2016-05-06 16:00:00+00:00,2016-05-06,119.57550173121078,97.55781641666664,94.06166443663588,76.74189493749999,-0.4682443749999998,195.7946122083333,21.963145229166685,-17.374309584513327,201605061200.0,201605061230.0,377.797,3.583131797,-14.6417,-0.0239,0.0,11.1486,0.733358769,304.076,0.0,0.77626,288.158,0.0,0.64514,100.948,36.35373,24.668,26.342,1.259083,19.7087,0.0,1945.602,711.2957,1028.662,161.7463,342.2016,497.8221,-27.8966,-0.247,0.0,0.458765,1.278182303,1.499686634,0.507237617,308.356,3.25083,9.83967,-0.0742,48.1142,72.0839,26.3161,63.05636,30.35881,17.46417,11.55416,25.12383,24.06288,10.31078,10.43964,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,FL,GRA,22.3,1268.0,27.3836,-81.9509,25.0,US-ONA,2016-05-06 12:00:00,2016-05-06 12:00:00-04:00,2016-05-06
5,5,1,1,LC08_016041_20160522,-81.95101266624945,27.383479553108,2016-05-22 15:55:25.536999936,0.02484,0.0364174999999999,0.0811325,0.0798125,0.30798,0.266565,0.1418525,309.35982632,21824.0,0.154674615,0.588375226441976,0.3768314727175285,0.3855081564667419,309.35982632,0.7268991610270967,0.9572689916102708,0.9723987672313894,-81.95106162559784,27.38357619024968,-0.5883752107620239,0.5883752107620239,1,1,-0.5829869253750521,-309.35982632,309.35982632,309.91293393432244,-309.91293393432244,309.91293393432244,0.7386082229548927,2.338712629071415,35.16325735287633,497.1331353804686,918.014596705454,0.7386082229548927,3.960594370251354,2.338712629071415,349.3640533790554,613.3232820982344,98.39446402942956,0.0261882573702869,0.4319614083439083,198.0706506752239,12.785320779673397,2.2156745924459926,16.915085331006615,0.0261882573702869,0.4319614083439083,0.5352376568979776,0.2176871448755264,-65.2483901977539,0.4724911443779982,4.053657299305766,316.85816739358086,0.6153436286241069,1,-81.95101266624945,27.383479553108,184.0726705343287,28.80428348179994,59.049536772507,2.5558405620110896,303.20051771296926,27.70935913834426,-80.91743172850832,0.8617491722106934,245075,299.734682,464359,27.233920224778025,-81.33926068325626,0.4277777671813965,492.6318588792744,119.13956431714244,318.39365318,114.96172100831151,2016-05-22 15:55:25.536999936+00:00,2016-05-22 16:00:00+00:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,US-ONA,,,2016-05-22
6,6,0,0,LC08_016041_20160623,-81.95101266624945,27.383479553108,2016-06-23 15:55:35.448999936,0.021155,0.0317149999999999,0.0744774999999999,0.0738725,0.3073475,0.24902,0.1265899999999999,315.48491816,21824.0,0.148920295,0.6124416347515871,0.3858529668411867,0.3974177844352148,315.48491816,0.7707437701858768,0.9577074377018588,0.9725434544416134,-81.95106162559784,27.38357619024968,-0.6124416589736938,0.6124416589736938,1,1,-0.6098867282131868,-315.48491816,315.48491816,316.1652133070828,-316.1652133070828,316.1652133070828,0.7267154433409522,2.9764226542153778,44.17880309190788,537.9356530176918,895.0247477073689,0.7267154433409522,4.27723521090811,2.9764226542153778,389.2563212936792,596.5954193042162,108.45424186791726,0.0280010841063062,0.0506002227961233,73.53232267865395,29.30297130429065,1.9363346595888515,144.3998401208382,0.0280010841063062,0.0506002227961233,0.105856087938478,0.2256974130868911,-69.42133331298828,0.6220581487534803,5.167969657687488,414.60885475764496,0.8493625900096295,0,-81.95101266624945,27.383479553108,168.97527979724651,30.13991344249349,69.58753745000259,0.2971514156235332,283.5493045243597,28.12068383389592,-82.22748645755789,0.8929272294044495,224389,307.58587394,414701,26.66641443487458,-81.66346688252294,0.3296255767345428,473.3036260376862,129.86802655231642,322.98405404,146.56361949201715,2016-06-23 15:55:35.448999936+00:00,2016-06-23 16:00:00+00:00,2016-06-23,152.0275996190323,115.52409704255318,64.36126951995038,48.90741920833333,13.13634576875,220.44182772916668,42.87396570953016,-9.083387178566,201606231200.0,201606231230.0,368.638,3.607911034,-9.09536,0.0322,0.0,27.5899,0.949651069,151.472,0.0,-0.211443,282.013,0.0,3.58482,101.646,57.60662,32.472,35.664,1.062562939,20.6434,0.0,1378.255,555.976,719.6188,95.65085,453.5544,521.5463,-1.61669,-0.0226,1.0,0.14036,0.822629321,0.62835977,0.277668868,310.256,1.21377,4.42352,-1.28039,-9999.0,-9999.0,-9999.0,64.53416,32.60262,39.47966,24.30114,29.89527,29.61646,38.18616,34.49997,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,FL,GRA,22.3,1268.0,27.3836,-81.9509,25.0,US-ONA,2016-06-23 12:00:00,2016-06-23 12:00:00-04:00,2016-06-23
7,7,0,0,LC08_016041_20160709,-81.95101266624945,27.383479553108,2016-07-09 15:55:43.926000128,,,,,,,,,,,,,,,,,,-81.95106162559784,27.38357619024968,,,1,1,,,,,,,0.7257284300608355,2.9893173388133483,44.361100083016254,,887.6479895996649,0.7257284300608355,4.393813573588214,2.9893173388133483,382.9889927547797,,,,,,,,,,,,0.2822762131690979,-86.46429443359375,,,,,0,-81.95101266624945,27.383479553108,,30.61005392170297,68.03468760674154,0.5040776968934746,282.305541869351,27.362634825210424,-81.41579260935102,0.8718113303184509,180008,306.31095248,363110,27.51295959125198,-81.49533345676207,0.4184419512748718,546.8091469929994,129.55478017456008,323.73601844,,2016-07-09 15:55:43.926000128+00:00,2016-07-09 16:00:00+00:00,2016-07-09,105.2375430364705,84.82121025,42.46503130931847,34.22671458333333,4.978524804166667,155.69000937500002,31.66355973750004,3.008910225044396,201607091200.0,201607091230.0,369.194,3.457528837,-6.67274,-0.0849,1.0,28.441,1.062414165,81.3755,1.0,-0.511921,279.915,1.0,-0.387945,101.536,57.27928,33.095,36.446,0.742466161,21.5439,0.0,1164.307,452.8108,589.9972,82.27828,461.6148,516.5229,-39.2888,0.125,1.0,0.330572,1.073065702,0.790699058,0.255538647,313.946,0.323109,3.72001,-0.0527,64.0766,95.9984,35.0467,53.06501,32.74951,42.20009,25.10685,31.53413,30.87436,21.458,17.42358,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,FL,GRA,22.3,1268.0,27.3836,-81.9509,25.0,US-ONA,2016-07-09 12:00:00,2016-07-09 12:00:00-04:00,2016-07-09
8,8,1,1,LC08_016041_20160725,-81.95101266624945,27.383479553108,2016-07-25 15:55:48.947000064,0.0153524999999999,0.0261599999999999,0.06763,0.0625149999999999,0.2934325,0.2100525,0.1012624999999999,310.24167548,21824.0,0.1353212425,0.6487403338975551,0.3920973495956219,0.404669970997053,310.24167548,0.7983253077915788,0.9579832530779158,0.9726344735157122,-81.95106162559784,27.38357619024968,-0.6487403512001038,0.6487403512001038,1,1,-0.625383416998442,-310.24167548,310.24167548,311.03465243574686,-311.03465243574686,311.03465243574686,0.7260104511157941,2.911375756138454,43.25921070403184,503.2010337745674,881.9604013569784,0.7260104511157941,3.864240690505977,2.911375756138454,384.1450871239904,627.4159504519256,94.31557312710164,0.029165908672478,0.2519810910437509,91.27155875758652,19.56385583322502,1.57351410646055,28.99687453361476,0.029165908672478,0.2519810910437509,0.3329780256125713,0.3508831858634949,-107.56331634521484,0.6595678659866648,4.67808229098794,441.8288185672374,0.8287910445391155,1,-81.95101266624945,27.383479553108,157.54554124815598,28.379404996016326,75.34147040300545,1.472970426394589,257.81198674288794,27.295468588021468,-81.83814500554382,0.901914119720459,239594,306.55021388,473611,27.31345768985372,-82.57712452033236,0.2032589018344879,440.8882227833956,118.18635525424466,317.28279668,132.670413772418,2016-07-25 15:55:48.947000064+00:00,2016-07-25 16:00:00+00:00,2016-07-25,177.19291263388797,147.08449113636362,49.0268118105726,40.696230791666665,17.386479229166667,220.84117360416667,15.673972446969714,-22.765030069460565,201607251200.0,201607251230.0,363.388,3.957147505,-14.0864,0.0896,0.0,26.3676,1.149005751,145.687,0.0,0.286982,358.296,0.0,-1.06565,101.467,58.25927,31.44,34.747,0.941603951,19.1737,0.0,1690.451,735.249,928.9421,124.8678,443.1396,511.9649,-15.3316,-0.0989,0.0,0.293412,0.922978873,0.90934317,0.370469972,133.709,2.24826,6.52297,-0.135016,43.2663,64.8208,23.6645,113.4005,42.2732,41.32924,28.60697,29.14023,28.90157,40.6543,43.669,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,FL,GRA,22.3,1268.0,27.3836,-81.9509,25.0,US-ONA,2016-07-25 12:00:00,2016-07-25 12:00:00-04:00,2016-07-25
9,9,0,0,LC08_016041_20160810,-81.95101266624945,27.383479553108,2016-08-10 15:55:50.792000000,0.0125474999999999,0.0232449999999999,0.0628174999999999,0.0570424999999999,0.27531,0.1944325,0.0905925,310.2621836,21824.0,0.1257206075,0.6567349425685078,0.378089213239077,0.3933444664369963,310.2621836,0.7555504295182137,0.957555504295182,0.97249331641741,-81.95106162559784,27.38357619024968,-0.6567349433898926,0.6567349433898926,1,1,-0.6284389764216163,-310.2621836,310.2621836,311.03234645327814,-311.03234645327814,311.03234645327814,0.7212271949969142,3.103994845954105,45.98233900055125,503.1093572103163,868.5304473997519,0.7212271949969142,3.862863706559197,3.103994845954105,373.4803386528977,613.8570687332027,89.94764981753113,0.0273673632274695,0.1583359645801313,100.51792288072794,23.608574029254896,2.086813366204751,46.146585213375296,0.0273673632274695,0.1583359645801313,0.2368555265996679,0.3081438243389129,-93.7558822631836,0.632042961717809,3.1947806259784013,423.39149603494366,0.8081387368664442,0,-81.95101266624945,27.383479553108,110.3416330520139,28.373266559518697,80.35475962259497,0.9322316955216838,187.85181497347688,27.88355607322757,-82.08918525931132,0.8774248361587524,258776,304.26014048,485307,28.33985483500405,-81.6643980310455,0.4248466193675995,467.49065438355,117.31739298613373,320.07873704,90.60397855274746,2016-08-10 15:55:50.792000+00:00,2016-08-10 16:00:00+00:00,2016-08-10,135.27084427092288,102.75996710638296,49.95381811096692,37.947960875,17.421851854166665,204.06889277083332,45.939112935283696,1.4223785347768685,201608101200.0,201608101230.0,357.072,3.758086706,-15.6461,-0.089,0.0,28.5554,1.229029319,158.755,0.0,0.758157,403.474,0.0,-2.43693,101.629,60.78783,32.126,35.847,0.89831175,18.7253,0.0,1812.538,755.1656,955.1808,123.2857,439.719,516.4485,-10.8694,-0.0831,1.0,0.269089,0.977538235,0.711539177,0.344122071,174.431,1.92673,5.33968,-0.190442,42.8269,64.1625,23.4242,92.55402,59.51043,45.14155,26.97275,29.50727,29.07528,42.56972,44.29583,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,FL,GRA,22.3,1268.0,27.3836,-81.9509,25.0,US-ONA,2016-08-10 12:00:00,2016-08-10 12:00:00-04:00,2016-08-10
