,Unnamed: 0.2,Unnamed: 0.1,Unnamed: 0,id,longitude,latitude,date,UB,B,GR,R,NIR,SWIR_1,SWIR_2,ST_B10,pixel_qa,ALFA,NDVI_model,EVI,SAVI,T_LST,LAI,e_0,e_NB,longitude.1,latitude.1,NDVI_neg,pos_NDVI,int,sd_ndvi,NDWI,LST_neg,LST_NW,T_LST_DEM,LST_neg_1,LST_NW_1,Tao_sw,EA,W_ATM,Rl_up,Rs_down,Tao_sw_1,ES,EA_1,Rl_down,Rn,Ginst,zom,u_fr,Hinst,rah,dT,rah_first,zom_1,u_fr_1,ufric_star,constant,constant_1,ET_inst,ET_24h,LEinst,EF,id.1,longitude.2,latitude.2,Rn24h_G,AirT_G,RH_G,ux_G,SW_Down,cold_pixel_lat,cold_pixel_lon,cold_pixel_ndvi,cold_pixel_sum,cold_pixel_temp,hot_pixel_sum,hot_pixel_lat,hot_pixel_lon,hot_pixel_ndvi,hot_pixel_Rn,hot_pixel_G,hot_pixel_temp,LE_daily_orig,Datetime_Local_sebal,Datetime_GMT,Date_daily,LE_closed,LE_unclosed,H_closed,H_unclosed,G_unclosed,Rn_unclosed,Residual_unclosed,Residual_closed,TIMESTAMP_START,TIMESTAMP_END,CO2,CO2_SIGMA,FC,FC_SSITC_TEST,SC,H2O,H2O_SIGMA,CH4,FCH4,FCH4_SSITC_TEST,SCH4,LE_inst_af,LE_SSITC_TEST,SLE,H_inst_af,H_SSITC_TEST,SH,FETCH_70,FETCH_80,FETCH_90,FETCH_MAX,PA,RH_1_1_1,T_SONIC,T_SONIC_SIGMA,TA_1_1_1,VPD_PI,P_RAIN_1_1_1,SW_IN_1_1_1,SW_OUT_1_1_1,LW_IN_1_1_1,LW_OUT_1_1_1,Rn_inst_af,PPFD_IN_1_1_1,TS_1_1_1,TS_2_1_1,TS_3_1_1,G_inst_af,G_2_1_1,G_3_1_1,WTD_1_1_1,MO_LENGTH,TAU,TAU_SSITC_TEST,U_SIGMA,USTAR,V_SIGMA,W_SIGMA,WD,WS,WS_MAX,ZL,SWC_1_1_1,SWC_2_1_1,SWC_3_1_1,TS_1_2_1,G_1_2_1,SWC_1_2_1,State,Veg,MAT,MAP,Lat,Long,Elev_insitu,Name,Datetime,Datetime_Local_flux,Date
0,0,0,0,LC08_016041_20210128,-81.95101266624945,27.394528831102665,2021-01-28 15:55:57.206000128,0.037105,0.0446675,0.0713975,0.0781899999999999,0.283285,0.297585,0.1727624999999999,294.21799772,21824.0,0.1532427449999999,0.5673836364893838,0.3617403113935102,0.3571113497199571,294.21799772,0.6289170180015154,0.9562891701800152,0.972075426159405,-81.95115430493732,27.394408404609973,-0.5673836469650269,0.5673836469650269,1,1,-0.5974004919893143,-294.21799772,294.21799772,294.8896753376328,-294.8896753376328,294.8896753376328,0.7357227954810139,0.710028748437491,12.140286915716556,406.3022606813384,639.1209513325491,0.7357227954810139,1.9337314823323752,0.710028748437491,313.13847244548924,434.328971648334,41.85608017315504,0.0223253111601094,0.6295792103054079,124.08292740244484,10.130879955618507,1.0415625751434732,11.605631129869348,0.0223253111601094,0.6295792103054079,0.7074077560547188,0.3126973211765289,-91.16964721679688,0.3944216301389359,2.2913111697920576,268.38996407273413,0.6838433173408305,0,-81.95101266624945,27.394528831102665,94.99959892337492,16.967414012375144,36.71806323291008,3.791602911559104,207.90792314798688,28.12417979656928,-81.16851703238606,0.8084801435470581,431004,291.55877816,652268,27.23125463354636,-81.32107306066104,0.3147642314434051,364.9307702087369,52.53273373189671,299.80987844000003,64.98158477530275,2021-01-28 15:55:57.206000128+00:00,2021-01-28 16:00:00+00:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,US-PAS,,,2021-01-28
1,1,0,0,LC08_016041_20210301,-81.95101266624945,27.394528831102665,2021-03-01 15:55:47.900999936,,,,,,,,,,,,,,,,,,-81.95115430493732,27.394408404609973,,,1,1,,,,,,,0.7139269108423634,2.178749615485017,32.90899372753007,,729.3322423298108,0.7139269108423634,3.5178130826052447,2.178749615485017,356.1948552986408,,,,,,,,,,,,0.3374116718769073,-101.38194274902344,,,,,0,-81.95101266624945,27.394528831102665,,26.771450820306008,61.93477493896475,2.7678187224839768,198.288508501314,28.11595245290773,-81.52862078618473,0.8602104187011719,135628,300.4695563,244445,26.71103971943604,-81.273153864299,0.3633931875228882,446.2537132563512,85.98093015464607,312.2446352,,2021-03-01 15:55:47.900999936+00:00,2021-03-01 16:00:00+00:00,2021-03-01,70.48557622170773,60.77962025,23.223099147275427,20.025248041666668,3.989765125,98.21141145833332,13.416778041666657,0.512970964350167,202103011100.0,202103011130.0,403.46,3.882304641,-19.1847,0.0,-0.202225,24.5124,0.604189051,-9999.0,-9999.0,-9999.0,-9999.0,204.375,0.0,-0.0633,103.1,0.0,2.13035,109.321,130.829,163.782,59.7931,101.896,73.3265,30.9868,0.615722,27.16,10.9027,0.0,548.46,114.427,422.324,483.24,391.136,1315.5,21.6,21.16,21.54,6.96969,3.45461,10.2982,-9999.0,-54.0855,-0.185225,0.0,1.08858,0.397694,1.01721,0.392141,201.742,5.21173,8.61031,-0.0647,11.3,12.32,11.8767,-9999.0,-9999.0,-9999.0,FL,GRA,22.3,1268.0,27.3944,-81.951,27.1,US-PAS,2021-03-01 11:00:00,2021-03-01 11:00:00-05:00,2021-03-01
2,2,1,1,LC08_016041_20210317,-81.95101266624945,27.394528831102665,2021-03-17 15:55:38.358000128,0.0191199999999999,0.0278924999999999,0.0607274999999999,0.0480774999999999,0.2979975,0.1995475,0.0970274999999999,304.18494404,21824.0,0.1323948025,0.7221556021093694,0.4536514750661409,0.4430812871199362,304.18494404,0.9572124748218328,0.9595721247482184,0.973158801166912,-81.95115430493732,27.394408404609973,-0.7221556305885315,0.7221556305885315,1,1,-0.661425883336818,-304.18494404,304.18494404,304.8115500796323,-304.8115500796323,304.8115500796323,0.7324927315106786,1.7991184892060477,27.540752739590648,465.8129303147497,805.7389203283311,0.7324927315106786,3.5655248983987446,1.7991184892060477,352.8434958682968,571.8291278240796,63.4720121089955,0.0361932310072148,0.5583233101168225,105.88740404940668,11.195560229855907,1.0210850290060731,13.086797469212186,0.0361932310072148,0.5583233101168225,0.6381306574917996,0.2260881960391998,-67.8932113647461,0.5971737065789632,4.425755306174165,402.46971166567744,0.7917066550736496,1,-81.95101266624945,27.394528831102665,156.9800222783483,27.000883107315783,50.45872740964509,3.1839501406614743,165.5258663932513,28.31586773768993,-82.10610508510034,0.8896015882492065,275760,300.29523728000004,520977,27.56167624300221,-82.29778095894602,0.3068752288818359,392.99576890932025,92.10133657624831,311.84814488,125.51442048309931,2021-03-17 15:55:38.358000128+00:00,2021-03-17 16:00:00+00:00,2021-03-17,85.63626370163148,74.98878404166668,43.00951693901068,37.66198147916666,4.167834895833333,157.21931866666668,40.40071825000002,24.4057031301912,202103171200.0,202103171230.0,404.452,3.766095912,-20.3442,0.0,-0.00542,19.6915,0.713871215,-9999.0,-9999.0,-9999.0,-9999.0,254.304,0.0,0.184338,149.877,0.0,1.1888,103.117,123.404,154.487,56.3997,101.675,56.2041,30.522,0.752819,27.49,16.5588,0.0,933.758,187.934,375.834,498.887,622.771,1862.89,21.173,21.247,21.273,16.0984,3.99364,14.384,-9999.0,-46.6335,-0.21536,0.0,1.30415,0.429135,1.6867,0.455203,166.945,5.22705,9.61965,-0.075,9.1,10.78,10.29,-9999.0,-9999.0,-9999.0,FL,GRA,22.3,1268.0,27.3944,-81.951,27.1,US-PAS,2021-03-17 12:00:00,2021-03-17 12:00:00-04:00,2021-03-17
3,3,0,0,LC08_016041_20210402,-81.95101266624945,27.394528831102665,2021-04-02 15:55:35.064999936,0.033585,0.0384799999999999,0.070655,0.05102,0.4110499999999999,0.2594975,0.1246375,299.51934674,21824.0,0.17684407,0.7791676585798688,0.6300531300531299,0.5613364931865663,299.51934674,1.6735406756587077,0.966735406756587,0.9755226842296736,-81.95115430493732,27.394408404609973,-0.779167652130127,0.779167652130127,1,1,-0.7066461838677198,-299.51934674,299.51934674,300.1124302447499,-300.1124302447499,300.1124302447499,0.7676498323982159,0.878422791251149,14.5214926182564,441.1539815769875,894.083874715229,0.7676498323982159,2.0800415224775906,0.878422791251149,309.89608549051513,594.4039800711774,52.301041435668864,0.0703488453640879,0.6845270133763945,301.0274786833673,8.737638186502442,2.213659536549585,10.67403322156602,0.0703488453640879,0.6845270133763945,0.8111861010306405,0.2655892372131347,-77.49297332763672,0.3560730344239977,2.7270962478004264,241.07545995214133,0.4447042116372517,0,-81.95101266624945,27.394528831102665,172.99434232946572,18.12327306939242,42.231021917525815,3.6025861189929977,292.82328787643354,28.12046290814046,-82.25191743146968,0.8873690366744995,423082,291.77753144,686664,26.59569199317355,-81.66938564265423,0.3225340843200683,562.8301350431266,94.48883087107949,306.06485504,77.34044958762009,2021-04-02 15:55:35.064999936+00:00,2021-04-02 16:00:00+00:00,2021-04-02,84.45759498112591,88.52542125000001,42.12532570217716,44.15425520833333,-6.858955395833333,113.21444565217392,-12.6062754103261,-6.509519635295824,202104021200.0,202104021230.0,412.036,3.839945867,-22.6291,0.0,0.0439,9.66421,0.603828645,-9999.0,-9999.0,-9999.0,-9999.0,253.641,0.0,0.103966,230.476,0.0,0.833893,98.6626,118.074,147.815,53.9636,102.043,45.9322,21.9112,0.930841,19.362,16.3536,0.0,0.0,202.09,314.501,454.037,,1943.77,20.367,21.067,21.18,6.01665,-0.138631,-0.863127,-1.28436,-30.3474,-0.221066,1.0,1.57116,0.429134,1.44277,0.481032,24.9486,5.65072,10.7342,-0.115298,8.19,8.04,10.44,-9999.0,-9999.0,-9999.0,FL,GRA,22.3,1268.0,27.3944,-81.951,27.1,US-PAS,2021-04-02 12:00:00,2021-04-02 12:00:00-04:00,2021-04-02
4,4,1,1,LC08_016041_20210418,-81.95101266624945,27.394528831102665,2021-04-18 15:55:28.819000064,,,,,,,,,,,,,,,,,,-81.95115430493732,27.394408404609973,,,1,1,,,,,,,0.7318521958043787,2.430062983245825,36.46273478889732,,885.3578519693496,0.7318521958043787,3.8289803975915455,2.430062983245825,352.3063665780449,,,,,,,,,,,,0.2055929601192474,-61.71117782592773,,,,,1,-81.95101266624945,27.394528831102665,,28.22161537436948,63.46501498869911,3.4812804041108856,245.1103340151499,27.58317722590938,-82.13057550595981,0.8517107367515564,103781,300.16193450000003,181601,26.467228066207856,-80.92947324344212,0.3355502784252167,548.9778067930645,123.13758911597463,322.1568932,,2021-04-18 15:55:28.819000064+00:00,2021-04-18 16:00:00+00:00,2021-04-18,97.93905165500271,87.20267975,20.3805548675571,18.146377458333333,6.5106476041666665,135.33393458333333,23.47422977083332,10.503680456606824,202104181200.0,202104181230.0,400.598,5.328587889,-31.0158,0.0,-0.117268,23.9439,0.888252822,-9999.0,-9999.0,-9999.0,-9999.0,277.38,0.0,0.750568,71.992,0.0,0.533218,101.296,121.225,151.759,55.4037,101.18,62.4068,32.8955,0.475954,29.141,25.6359,0.0,746.936,153.651,417.039,494.535,519.281,1551.8,23.807,24.1,23.72,17.6432,7.90611,17.8723,-1.38136,-55.9729,-0.14585,1.0,1.21052,0.357475,1.30556,0.387731,229.109,5.11143,9.3206,-0.0625,6.58,7.87,8.0,-9999.0,-9999.0,-9999.0,FL,GRA,22.3,1268.0,27.3944,-81.951,27.1,US-PAS,2021-04-18 12:00:00,2021-04-18 12:00:00-04:00,2021-04-18
5,5,0,0,LC08_016041_20210504,-81.95101266624945,27.394528831102665,2021-05-04 15:55:19.188999936,0.0256925,0.0344925,0.08105,0.0512949999999999,0.522645,0.2750625,0.1142425,309.3393182,21824.0,0.2094980925,0.8212530926577691,0.7497353617888669,0.6583468350187162,309.3393182,3.214598235055535,0.98,0.98,-81.95115430493732,27.394408404609973,-0.8212531208992004,0.8212531208992004,1,1,-0.731486926345257,-309.3393182,309.3393182,309.88964623292554,-309.88964623292554,309.88964623292554,0.7358566393145776,2.39102877202845,35.91076463133175,508.8029615730536,908.4226419981482,0.7358566393145776,4.6164009548937095,2.39102877202845,361.6886844045591,563.7617804591399,61.4156240691342,0.1213482476718974,0.4864665942752211,213.9823635889285,11.356823400661904,2.1267880304131097,15.019868101580716,0.1213482476718974,0.4864665942752211,0.6127688070131816,0.2787750363349914,-84.26271057128906,0.4299912375256748,3.1320620100886725,288.36379280107724,0.5740340383478533,0,-81.95101266624945,27.394528831102665,152.46234254650102,31.478368363666178,51.79421795010659,2.384699146845892,284.3251004847193,27.634137239485487,-82.09065822115174,0.8991426825523376,282611,302.26059878,525740,27.434855791164168,-81.35110419634454,0.3852346539497375,525.6823362340496,124.33282505096555,320.5162436,88.82527860611475,2021-05-04 15:55:19.188999936+00:00,2021-05-04 16:00:00+00:00,2021-05-04,112.20100672056924,113.4036439375,15.845103761377896,16.014941020833334,7.282695770833333,136.6965875,-0.0046932291666763,1.367781247219515,202105041200.0,202105041230.0,406.456,5.751867823,-29.5853,0.0,-0.103111,24.6299,1.258990929,-9999.0,-9999.0,-9999.0,-9999.0,365.261,0.0,0.730868,76.1843,0.0,1.13415,78.4518,93.8867,117.535,42.9092,101.527,54.6611,36.0757,0.607182,32.122,34.4814,0.0,-9999.0,154.743,440.077,509.849,214.713,-9999.0,25.75,25.93,25.75,22.356,11.0086,21.006,-1.22029,-15.6201,-0.0641,0.0,1.0166,0.237843,1.37861,0.355067,158.772,2.89736,8.17796,-0.224006,6.64,7.37,8.15,-9999.0,-9999.0,-9999.0,FL,GRA,22.3,1268.0,27.3944,-81.951,27.1,US-PAS,2021-05-04 12:00:00,2021-05-04 12:00:00-04:00,2021-05-04
6,6,1,1,LC08_016041_20210520,-81.95101266624945,27.394528831102665,2021-05-20 15:55:27.507000064,,,,,,,,,,,,,,,,,,-81.95115430493732,27.394408404609973,,,1,1,,,,,,,0.7479229429140597,1.8981102105070071,28.940562657610865,,929.7166468573236,0.7479229429140597,3.6945688431585104,1.8981102105070071,354.19076008919603,,,,,,,,,,,,0.1826030015945434,-54.972747802734375,,,,,1,-81.95101266624945,27.394528831102665,,27.608283708107244,51.37568931816955,4.540560418233125,254.00286018081167,27.684132597875777,-80.8669476230361,0.8640702366828918,127164,301.0506197,241148,28.06119782228564,-80.61950729890827,0.2940796017646789,605.5337460989693,127.18699586083356,317.63143472,,2021-05-20 15:55:27.507000064+00:00,2021-05-20 16:00:00+00:00,2021-05-20,80.28024229637886,85.53759702083333,11.875182003234867,12.652858333333334,2.0732446875000003,94.83859895833332,-5.425101083333338,0.6099299712196018,202105201200.0,202105201230.0,404.633,3.458960218,-25.0095,0.0,0.0124,19.4718,0.533197461,-9999.0,-9999.0,-9999.0,-9999.0,234.696,0.0,-0.440443,103.062,0.0,0.487701,101.304,121.235,151.771,55.4081,102.011,56.1157,31.6181,0.664685,27.985,26.5325,0.0,437.174,138.198,428.915,480.596,301.393,1333.37,25.13,25.25,25.1,8.94085,3.55541,9.49922,-1.41693,-174.24,-0.399226,0.0,1.63371,0.587281,2.14269,0.636923,77.1842,7.05811,13.3537,-0.0201,2.61,3.21,3.71,-9999.0,-9999.0,-9999.0,FL,GRA,22.3,1268.0,27.3944,-81.951,27.1,US-PAS,2021-05-20 12:00:00,2021-05-20 12:00:00-04:00,2021-05-20
7,7,0,0,LC08_016041_20210723,-81.95101266624945,27.394528831102665,2021-07-23 15:55:48.158999808,,,,,,,,,,,,,,,,,,-81.95115430493732,27.394408404609973,,,1,1,,,,,,,0.7214981842882315,3.190363331060186,47.21389613408801,,877.1867278273411,0.7214981842882315,4.240295443451636,3.190363331060186,377.5868966627466,,,,,,,,,,,,0.338093489408493,-103.15264892578124,,,,,0,-81.95101266624945,27.394528831102665,,29.988616629130807,75.23917551516655,1.4714477003225217,255.62371867832155,27.34372579391144,-80.91254832488997,0.8581602573394775,246333,305.1009734,348718,27.460107839029803,-81.4252660888137,0.4382627308368683,489.4997752491742,120.7783439372108,320.79993926,,2021-07-23 15:55:48.158999808+00:00,2021-07-23 16:00:00+00:00,2021-07-23,140.19161349489127,131.78394108333333,16.12410633002555,15.1570998125,4.038995833333334,152.60322625,1.623189520833343,-7.751489408250148,202107231200.0,202107231230.0,401.885,5.455227697,-19.0621,0.0,-0.128559,29.2087,1.390258403,1911.95,26.1262,0.0,0.99926,324.062,0.0,1.89794,62.5346,0.0,0.876639,112.891,135.102,169.132,61.7459,101.83,62.9924,36.7149,0.686359,32.444,31.8605,0.0,-9999.0,142.6,455.168,513.288,144.996,-9999.0,28.9,29.29,29.34,12.3693,16.0199,18.9936,-0.785749,-44.6397,-0.112856,0.0,1.01507,0.315713,0.7781,0.299048,277.757,2.62818,6.42369,-0.0784,24.45,37.21,34.68,-9999.0,-9999.0,-9999.0,FL,GRA,22.3,1268.0,27.3944,-81.951,27.1,US-PAS,2021-07-23 12:00:00,2021-07-23 12:00:00-04:00,2021-07-23
8,8,0,0,LC08_016041_20210808,-81.95101266624945,27.394528831102665,2021-08-08 15:55:55.480000000,,,,,,,,,,,,,,,,,,-81.95115430493732,27.394408404609973,,,1,1,,,,,,,0.7193148851674187,3.236012801262262,47.85941052965004,,867.263285599823,0.7193148851674187,4.231470290769612,3.236012801262262,370.6717483291896,,,,,,,,,,,,0.3032110929489136,-92.0643539428711,,,,,0,-81.95101266624945,27.394528831102665,,29.95230127499328,76.47490302179817,0.1214848019990948,249.8452577761826,27.668043418660822,-80.64886321046566,0.9002311825752258,176683,303.6312248,271321,26.864203180297025,-81.19801839666495,0.4267278015613556,487.55138520837255,119.65365069260076,322.75846472,,2021-08-08 15:55:55.480000+00:00,2021-08-08 16:00:00+00:00,2021-08-08,138.24460842643177,113.49202085416664,37.80000230900435,31.031941854166664,3.756468354166666,160.00382166666665,11.723390604166678,-19.79725742293612,202108081200.0,202108081230.0,401.089,5.13225162,-24.939,0.0,0.0826,26.9071,1.128986726,1974.21,-0.744185,0.0,-0.966402,302.383,0.0,-0.964871,73.8004,0.0,0.563753,-9999.0,-9999.0,-9999.0,-9999.0,101.837,61.3126,35.8869,0.586903,32.017,31.4725,0.0,-9999.0,132.286,451.814,506.685,327.819,-9999.0,27.967,28.38,28.08,12.754,13.0388,15.9672,-0.530442,-3.25594,0.0221,1.0,0.870427,0.139416,0.649996,0.268912,274.682,0.93272,3.87184,-1.07465,34.2833,40.86,51.1233,-9999.0,-9999.0,-9999.0,FL,GRA,22.3,1268.0,27.3944,-81.951,27.1,US-PAS,2021-08-08 12:00:00,2021-08-08 12:00:00-04:00,2021-08-08
9,9,0,0,LC08_016041_20210909,-81.95101266624945,27.394528831102665,2021-09-09 15:56:05.007000064,,,,,,,,,,,,,,,,,,-81.95115430493732,27.394408404609973,,,1,1,,,,,,,0.7175882593949174,2.984871744225368,44.30810605850616,,834.1066481701414,0.7175882593949174,3.9454439701010906,2.984871744225368,365.48290974632704,,,,,,,,,,,,0.3826874494552612,-115.76813507080078,,,,,0,-81.95101266624945,27.394528831102665,,28.73807687896804,75.65363408642929,2.893524880837229,228.3660782986352,27.883410405051205,-82.10746935002234,0.8924794793128967,174575,302.51353226000003,313401,26.59576203310776,-81.6543214975402,0.3788129091262817,484.6380520155525,103.68255319935912,313.17091862,,2021-09-09 15:56:05.007000064+00:00,2021-09-09 16:00:00+00:00,2021-09-09,95.30245451323376,78.96451725,23.30734548280987,19.311709166666667,-0.6838242291666666,118.48613375,20.8937315625,0.5601579831230445,202109091200.0,202109091230.0,395.027,3.554306233,-15.8779,0.0,0.00234,26.9591,0.952747818,1907.45,49.0898,1.0,0.0586,277.302,0.0,-0.76769,90.2631,0.0,1.28987,101.252,121.173,151.694,55.38,101.327,64.1281,35.3924,0.648643,31.438,29.9765,0.0,0.0,147.509,444.866,500.215,195.268,1578.31,26.4,26.7,26.17,5.11234,3.74622,6.88776,-0.262516,-72.5883,-0.199884,0.0,1.31426,0.420127,1.37474,0.455929,256.954,5.23418,10.9169,-0.0482,41.01,80.5,66.0467,-9999.0,-9999.0,-9999.0,FL,GRA,22.3,1268.0,27.3944,-81.951,27.1,US-PAS,2021-09-09 12:00:00,2021-09-09 12:00:00-04:00,2021-09-09
