,Unnamed: 0.2,Unnamed: 0.1,Unnamed: 0,id,longitude,latitude,date,UB,B,GR,R,NIR,SWIR_1,SWIR_2,ST_B10,pixel_qa,ALFA,NDVI_model,EVI,SAVI,T_LST,LAI,e_0,e_NB,longitude.1,latitude.1,NDVI_neg,pos_NDVI,int,sd_ndvi,NDWI,LST_neg,LST_NW,T_LST_DEM,LST_neg_1,LST_NW_1,Tao_sw,EA,W_ATM,Rl_up,Rs_down,Tao_sw_1,ES,EA_1,Rl_down,Rn,Ginst,zom,u_fr,Hinst,rah,dT,rah_first,zom_1,u_fr_1,ufric_star,constant,constant_1,ET_inst,ET_24h,LEinst,EF,id.1,longitude.2,latitude.2,Rn24h_G,AirT_G,RH_G,ux_G,SW_Down,cold_pixel_lat,cold_pixel_lon,cold_pixel_ndvi,cold_pixel_sum,cold_pixel_temp,hot_pixel_sum,hot_pixel_lat,hot_pixel_lon,hot_pixel_ndvi,hot_pixel_Rn,hot_pixel_G,hot_pixel_temp,LE_daily_orig,Datetime_Local_sebal,Datetime_GMT,LE_closed,LE_unclosed,H_closed,H_unclosed,G_unclosed,Rn_unclosed,Residual_unclosed,Residual_closed,TIMESTAMP_START,TIMESTAMP_END,FC_SSITC_TEST,FETCH_FILTER,CO2,CO2_SIGMA,FC,H2O,H2O_SIGMA,G_inst_af,G_1_2_1,H_inst_af,H_SSITC_TEST,LE_inst_af,LE_SSITC_TEST,PA,RH_PI_F,T_SONIC,T_SONIC_SIGMA,TA_PI_F,VPD_PI,ALB_1_1_1,LW_IN_1_1_1,LW_OUT_1_1_1,NDVI_1_1_1,Rn_inst_af,PPFD_IN_PI_F_1_1_1,PPFD_OUT_1_1_1,SW_IN_1_1_1,SW_OUT_1_1_1,TS_PI_F_1_1_1,TS_PI_F_1_2_1,TS_PI_F_1_3_1,TS_PI_F_1_4_1,WTD_PI_F,MO_LENGTH,U_SIGMA,USTAR,V_SIGMA,W_SIGMA,WD,WS,WS_MAX,ZL,GPP_PI_F,NEE_PI_F,RECO_PI_F,ALB_2_1_1,LW_IN_2_1_1,LW_OUT_2_1_1,NDVI_2_1_1,NETRAD_2_1_1,PPFD_IN_2_1_1,PPFD_OUT_2_1_1,SW_IN_2_1_1,SW_OUT_2_1_1,State,Veg,MAT,MAP,Lat,Long,Elev_insitu,Name,Datetime,Datetime_Local_flux,Date_daily,Date
0,0,0,0,LC08_013030_20130330,-70.83004911190659,42.74224546028469,2013-03-30 15:31:32.918999808,,,,,,,,,,,,,,,,,,-70.83013647830902,42.74224829301441,,,1,1,,,,,,,0.7632588280394861,0.5678613495666817,10.152469956258544,,764.8518906078419,0.7632588280394861,1.1167498428938891,0.5678613495666817,263.6869317818589,,,,,,,,,,,,0.3874819576740265,-108.5329818725586,,,,,0,-70.83004911190659,42.74224546028469,,8.59136522571493,50.849467602803,1.883603355188976,223.73856262835665,42.95010857346921,-72.75031326819409,0.8122128248214722,240246,280.0981571,343031,42.23361389572482,-70.97325050448018,0.0554859340190887,503.9670201269057,52.65968481093271,294.09836702,,2013-03-30 15:31:32.918999808+00:00,2013-03-30 16:00:00+00:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,US-PHM,,,,2013-03-30
1,1,0,0,LC08_012030_20130404,-70.83004911190659,42.74224546028469,2013-04-04 15:27:20.632000000,0.0546225,0.064385,0.0893275,0.1065975,0.1686925,0.2078249999999999,0.1590675,287.18371256,21824.0,0.12299511,0.2255621344763703,0.1171259025645282,0.1201389157605541,287.18371256,0.0381647446531342,0.9503816474465312,0.9701259436573552,-70.82994849155081,42.7422823439096,-0.2255621403455734,0.2255621403455734,1,1,-0.3075924346949849,-287.18371256,287.18371256,287.93709593345704,-287.93709593345704,287.93709593345704,0.7784837926509658,0.3578890372478367,7.174990087477491,366.53911102655,801.9888031271969,0.7784837926509658,0.9241562615058662,0.3578890372478367,256.7901445173718,580.8576316357018,40.35389615005053,0.0058940064907177,0.3610639846019233,253.8564080441648,14.181819735111068,2.885809001282027,20.236479941068264,0.0058940064907177,0.3610639846019233,0.4568388429558438,0.3132328689098358,-87.30554962158203,0.4184483758655088,2.931066461951839,286.6473274414864,0.5303336658421597,0,-70.83004911190659,42.74224546028469,157.75067915734024,5.82993194462519,38.72603066765728,2.4927098897054067,279.9804784189356,43.7215115826658,-71.12653108335827,0.7874928116798401,303022,278.72411306000004,80280,42.42348163553385,-71.00807639624308,0.0664180964231491,528.7731554413957,59.409778481457806,296.15601506,83.12504486095415,2013-04-04 15:27:20.632000+00:00,2013-04-04 15:00:00+00:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,US-PHM,,,,2013-04-04
2,2,1,1,LC08_012030_20130416,-70.83004911190659,42.74224546028469,2013-04-16 15:28:31.776999936,0.0446675,0.05762,0.0805549999999999,0.0915274999999999,0.1460874999999999,0.1846975,0.13418,287.3956298,21824.0,0.1070608674999999,0.2296151337247227,0.1079880690601119,0.1109521905058872,287.3956298,0.0205906485791223,0.9502059064857912,0.970067949140311,-70.82994849155081,42.7422823439096,-0.2296151369810104,0.2296151369810104,1,1,-0.2891447985263135,-287.3956298,287.3956298,288.0886878945122,-288.0886878945122,288.0886878945122,0.7616325543700047,0.8515511850090648,14.17528974939798,367.5542290332654,829.0683392797864,0.7616325543700047,1.313037443426391,0.8515511850090648,278.4905163822456,637.3766681931305,43.60632510093969,0.0055974245469611,0.6092963911099243,307.9859519732124,9.849963079980856,2.4371326538713163,11.991970063254149,0.0055974245469611,0.6092963911099243,0.7091482685552706,0.5816972255706787,-165.1432647705078,0.4172492158720791,2.663164935595221,285.7843911189785,0.4813045892974257,1,-70.83004911190659,42.74224546028469,157.9100588416151,11.003704739821751,64.85353401552123,4.22727231554828,251.3661310087452,43.36777153182281,-70.77126272448918,0.6779195070266724,230023,283.89899534,272874,42.38233867938233,-71.05814610963817,0.0736255273222923,545.5601737461875,53.73488873132894,291.69549896,75.52735757348046,2013-04-16 15:28:31.776999936+00:00,2013-04-16 15:00:00+00:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,US-PHM,,,,2013-04-16
3,3,0,0,LC08_012030_20130502,-70.83004911190659,42.74224546028469,2013-05-02 15:28:30.655000064,0.0408999999999999,0.0535224999999999,0.0746425,0.0852574999999999,0.14133,0.1682799999999999,0.12307,300.79085018,21824.0,0.1005492249999999,0.2474651072985051,0.112014503103884,0.1157585975536326,300.79085018,0.029750183778299,0.9502975018377828,0.9700981756064684,-70.82994849155081,42.7422823439096,-0.2474651038646698,0.2474651038646698,1,1,-0.3087777379064464,-300.79085018,300.79085018,301.46595293357655,-301.46595293357655,301.46595293357655,0.7587423778106299,1.1231983159044396,18.02733983505357,441.06351213263935,869.2921743917019,0.7587423778106299,1.8817055546662145,1.1231983159044396,343.4292574691348,667.1819732563356,85.53047563071252,0.0057506828094781,0.1447867053037426,47.566020631072575,29.34567712554201,1.1857422772587825,50.46502071105647,0.0057506828094781,0.1447867053037426,0.1975774531838194,0.4966395795345306,-148.5341796875,0.7898900433402193,6.091955196708959,534.0854769945505,0.9182224737231088,0,-70.83004911190659,42.74224546028469,186.9139304846553,16.53788793918553,59.690439512130666,1.0019357601035606,293.83276575028344,42.79119956260649,-71.96405268541052,0.7563963532447815,203612,299.07842216,284254,43.44022403013766,-71.2308258775318,0.3276576995849609,549.6432116680758,110.88809589478612,311.00731196000004,172.76784937866609,2013-05-02 15:28:30.655000064+00:00,2013-05-02 15:00:00+00:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,US-PHM,,,,2013-05-02
4,4,1,1,LC08_012030_20130518,-70.83004911190659,42.74224546028469,2013-05-18 15:28:43.282000128,0.0541274999999999,0.061085,0.0808849999999999,0.0875675,0.1817825,0.2004274999999999,0.1419349999999999,300.33967154,21824.0,0.1200783775,0.3497865231111935,0.1885733157199471,0.1836907779294209,300.33967154,0.168104333464891,0.9516810433346488,0.970554744300434,-70.82994849155081,42.7422823439096,-0.3497865200042724,0.3497865200042724,1,1,-0.3841263193961949,-300.33967154,300.33967154,301.00024937372785,-301.00024937372785,301.00024937372785,0.7633784772463841,1.1083934028744356,17.817401057797298,439.061425825972,901.137133593766,0.7633784772463841,1.79698785353951,1.1083934028744356,318.0839887820281,656.5831251729811,84.47762934881477,0.0084241067842595,0.2459651681101963,20309.60821564438,4.579183057032635,63.40782133312723,29.706092687747965,0.0084241067842595,0.2459651681101963,0.5118355524982705,8.508623123168945,-2497.68994140625,-29.17775969808324,-219.56328486285085,-19737.50271982021,-34.49976073274156,1,-70.83004911190659,42.74224546028469,179.3794360999436,15.815662557902137,61.68062854132506,1.639954858191973,267.0888625009848,43.97909306014777,-71.02798198117569,0.8581380844116211,279520,293.5480658,16761,42.82898822025218,-70.81378644211618,0.0076116966083645,654.9228206079234,70.80695125473063,294.22825178,-6226.81475871045,2013-05-18 15:28:43.282000128+00:00,2013-05-18 15:00:00+00:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,US-PHM,,,,2013-05-18
5,5,0,0,LC08_012030_20130619,-70.83004911190659,42.74224546028469,2013-06-19 15:28:38.740000000,0.0343,0.0387549999999999,0.0618,0.0503325,0.255455,0.15893,0.0908399999999999,300.39094184,21824.0,0.11957565,0.6708008012099905,0.4048084228807119,0.3818422971316879,300.39094184,0.7137482007309518,0.9571374820073096,0.9723553690624122,-70.82994849155081,42.7422823439096,-0.6708008050918579,0.6708008050918579,1,1,-0.6104080313943041,-300.39094184,300.39094184,301.1255986844472,-301.1255986844472,301.1255986844472,0.761903610176754,1.2342569541810502,19.60218966201891,441.88037400299737,911.9304731431484,0.761903610176754,2.143708798429479,1.2342569541810502,314.2165255965376,661.753834173807,69.52093978191601,0.0256542433032937,0.4973318226005937,-5.420469667816082e-46,3.3046365374175917e+49,-16.31467535185743,14.69172843923758,0.0256542433032937,0.4973318226005937,5.59008227009887e-26,-1.9146642684936523,560.23974609375,0.8755985790162362,7.124369783179167,592.232894391891,1.0,0,-70.83004911190659,42.74224546028469,200.7810351363118,18.60414411878992,57.57577498796897,2.9494066101220984,304.56575757470364,43.97060536583447,-71.53407538363916,0.90535569190979,457267,292.60469228,131317,43.70750510089446,-69.86449708655206,0.0243867561221122,795.6688826442747,53.47418521443229,288.85170632,202.0471270509612,2013-06-19 15:28:38.740000+00:00,2013-06-19 15:00:00+00:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,US-PHM,,,,2013-06-19
6,6,0,0,LC08_012030_20130705,-70.83004911190659,42.74224546028469,2013-07-05 15:28:42.088999936,0.0227499999999999,0.0286625,0.0519,0.0409549999999999,0.2264975,0.1320899999999999,0.065925,310.7236163,21824.0,0.101727655,0.6937400099083016,0.3689425506086158,0.362646222404644,310.7236163,0.6473418265400853,0.9564734182654008,0.9721362280275824,-70.82994849155081,42.7422823439096,-0.6937400102615356,0.6937400102615356,1,1,-0.6271518242800312,-310.7236163,310.7236163,311.526593532546,-311.526593532546,311.526593532546,0.7265092422082431,2.726205208033757,40.75853090554385,505.53707885638727,861.547485622857,0.7265092422082431,3.9559403748097375,2.726205208033757,369.5666774343678,621.8479046255469,83.98678601331402,0.0230306755964249,0.3744035426978211,42.86900371968352,16.413203027722098,0.623696416946462,19.515477949780426,0.0230306755964249,0.3744035426978211,0.4324111268389176,0.0788246020674705,-23.932262420654297,0.7392867947839565,6.897548959728903,494.99211489254935,0.9202972621811883,0,-70.83004911190659,42.74224546028469,209.09360578656248,28.78396920447208,68.91421380851511,2.247115579742027,310.7110155936783,43.781356089683534,-70.15747602126403,0.9123040437698364,407105,303.6141347,35704,42.94067632220101,-71.47117912768452,0.0439451597630977,95.3650106451655,38.27142176392919,317.91171236,195.61448849791168,2013-07-05 15:28:42.088999936+00:00,2013-07-05 15:00:00+00:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,US-PHM,,,,2013-07-05
7,7,0,0,LC08_012030_20130806,-70.83004911190659,42.74224546028469,2013-08-06 15:28:43.592000000,0.0221724999999999,0.0258025,0.0491224999999999,0.0360324999999999,0.2171475,0.1213925,0.0603974999999999,302.0931158,21824.0,0.0960256125,0.7153606130026069,0.3652031185884283,0.3607006293316339,302.0931158,0.6408299545480437,0.9564082995454803,0.9721147388500084,-70.82994849155081,42.7422823439096,-0.7153606414794922,0.7153606414794922,1,1,-0.6310324107109325,-302.0931158,302.0931158,303.0235776077416,-303.0235776077416,303.0235776077416,0.7517444194567745,1.346608331083642,21.195370968939617,451.6372030919574,850.6518044968384,0.7517444194567745,2.496547340828043,1.346608331083642,329.87116059102334,632.8217566237964,63.3870445139699,0.0227802245619476,0.1444837825133892,1171.4944399736976,11.809894166348467,11.367994718409648,50.570825007034266,0.0227802245619476,0.1444837825133892,0.28366482924095,1.5873734951019287,-469.6435852050781,-0.891768412234471,-7.512033938129137,-602.0597278638711,-1.057293689794858,0,-70.83004911190659,42.74224546028469,199.86564636773963,21.06235795739927,53.938826196542514,0.8682161316806689,293.3732151636708,42.583792544555045,-71.68806847303293,0.9081819653511048,364523,295.86206534,143494,42.44745521378788,-70.98111829158258,0.1764726191759109,620.941511963718,78.66234413814996,300.17218856,-213.04128248534232,2013-08-06 15:28:43.592000+00:00,2013-08-06 15:00:00+00:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,US-PHM,,,,2013-08-06
8,8,1,1,LC08_012030_20130822,-70.83004911190659,42.74224546028469,2013-08-22 15:28:45.210000128,0.0206324999999999,0.02814,0.0585275,0.0453274999999999,0.2126374999999999,0.1328875,0.066695,300.76350602,21824.0,0.099350885,0.6485763572577675,0.3284316900952256,0.3311036789297659,300.76350602,0.5462516366695368,0.9554625163666952,0.9718026304010094,-70.82994849155081,42.7422823439096,-0.6485763788223267,0.6485763788223267,1,1,-0.5683255582394482,-300.76350602,300.76350602,301.6531838580638,-301.6531838580638,301.6531838580638,0.7279632556457662,2.068860563907714,31.43715694379852,443.2995270881008,790.0932905847759,0.7279632556457662,3.377282249411639,2.068860563907714,348.6832579646505,601.4510789143579,64.26591573435822,0.0192894430604044,0.3582609540615571,130.57718354499735,15.24388716823109,1.6887859825989722,20.39480998139573,0.0192894430604044,0.3582609540615571,0.4453053778075262,0.7095934748649597,-212.36233520507807,0.6014653947087992,3.8268495751337697,406.6079796350023,0.7569233245906987,1,-70.83004911190659,42.74224546028469,142.41099263344643,26.079564191386748,61.25814815353773,2.19225889365846,230.3392678372565,42.997999123392006,-71.9894385027141,0.8838291168212891,437015,299.2732493,7987,42.36668269188981,-71.01173051074692,0.0979840606451034,570.6931210397165,90.38646682101698,307.69183256,108.52945395079372,2013-08-22 15:28:45.210000128+00:00,2013-08-22 15:00:00+00:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,US-PHM,,,,2013-08-22
9,9,0,0,LC08_012030_20130907,-70.83004911190659,42.74224546028469,2013-09-07 15:28:44.268999936,0.0276174999999999,0.031,0.0546225,0.0441175,0.2198149999999999,0.1309624999999999,0.06367,301.3069712,21824.0,0.1014935475,0.665691038428386,0.350828061852047,0.3449863044182568,301.3069712,0.589602662986745,0.9558960266298674,0.9719456887878564,-70.82994849155081,42.7422823439096,-0.6656910181045532,0.6656910181045532,1,1,-0.6019312229560463,-301.3069712,301.3069712,302.1516633271568,-302.1516633271568,302.1516633271568,0.7404619948026063,1.2776767278767556,20.21789704104552,446.7148961717219,757.7373483002814,0.7404619948026063,2.3284439912570845,1.2776767278767556,326.04976881497834,545.7866790701454,58.17378470857215,0.0208546784635054,0.4191376874754019,549.8820524239107,11.388557775627108,5.250114698364712,17.43261057207558,0.0208546784635054,0.4191376874754019,0.5593693799630728,0.7006934881210327,-206.465576171875,-0.0921547683983582,-0.6307971172247097,-62.26915806233751,-0.1277020332775775,0,-70.83004911190659,42.74224546028469,139.0707599068909,19.931912407187376,54.87255577863229,2.5431327602429894,231.0142153367609,42.96126632801742,-72.03032184652376,0.889446496963501,172669,294.6589223,26698,42.35407919925628,-71.05212396491751,0.0427219755947589,570.5831825698193,71.82807443494717,303.19713626,-17.889406244492765,2013-09-07 15:28:44.268999936+00:00,2013-09-07 15:00:00+00:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,US-PHM,,,,2013-09-07
