,Unnamed: 0.2,Unnamed: 0.1,Unnamed: 0,id,longitude,latitude,date,UB,B,GR,R,NIR,SWIR_1,SWIR_2,ST_B10,pixel_qa,ALFA,NDVI_model,EVI,SAVI,T_LST,LAI,e_0,e_NB,longitude.1,latitude.1,NDVI_neg,pos_NDVI,int,sd_ndvi,NDWI,LST_neg,LST_NW,T_LST_DEM,LST_neg_1,LST_NW_1,Tao_sw,EA,W_ATM,Rl_up,Rs_down,Tao_sw.1,ES,EA_1,Rl_down,Rn,Ginst,zom,u_fr,Hinst,rah,dT,rah_first,zom_1,u_fr_1,ufric_star,constant,constant_1,ET_inst,ET_24h,LEinst,EF,id.1,longitude.2,latitude.2,Rn24h_G,AirT_G,RH_G,ux_G,SW_Down,cold_pixel_lat,cold_pixel_lon,cold_pixel_ndvi,cold_pixel_sum,cold_pixel_temp,hot_pixel_sum,hot_pixel_lat,hot_pixel_lon,hot_pixel_ndvi,hot_pixel_Rn,hot_pixel_G,hot_pixel_temp,Date,Rn_daily_volk_measured,LE_closed,gridMET_ETo,Lat,Long,Elev_volk,Energy_balance,Land_cover_deets,Land_cover_volk,State,Name,Veg,LE_Daily_model,Landcover_wc,Elev_SRTM,Slope_SRTM,Canopy_height,clay_percent,silt_percent,sand_percent,Ksat,doy,R_LST,GR_LST,B_LST,NIR_LST,NDVI_LST,NDWI_LST,SWIR1_LST,SWIR2_LST
0,0,0,0,LC08_027029_20160112,-93.08868488487693,44.72869004805819,2016-01-12 16:59:06.048999936,,,,,,,,,,,,,,,,,,-93.08852540122383,44.7287275559352,,,1,1,,,,,,,0.7019633460885433,0.0796733658293387,3.192981183663991,,356.2962738719508,0.7019633460885433,0.1187959513120452,0.0796733658293387,175.67611257694986,,,,,,,,,,,,0.3615187704563141,-90.93047332763672,,,,,0,-93.08868488487693,44.72869004805819,,-20.54998767714161,67.0674084001887,2.5362859538971425,95.2390052481103,45.45000570294784,-93.27840331387314,0.924500048160553,1019,251.5235099,2303,44.88625376344118,-93.2278049031386,0.009659755975008,204.84306265925187,-15.28661943344622,258.04851008,2016-01-12,-41.824203583333336,-0.3223189462504333,0.1,44.7288,-93.0888,292.0,0.758445112224195,Corn-Soybean-Kura Clover annual rotation,Annual crops,MN,US-Ro2,CRO,,40,284,2.6091973568620026,0,18.47945213317871,51.443359375,29.357982635498047,0.5495838522911072,12,,,,,,,,
1,1,1,0,LC08_027029_20160213,-93.08868488487693,44.72869004805819,2016-02-13 16:58:58.505000192,,,,,,,,,,,,,,,,,,-93.08852540122383,44.7287275559352,,,1,1,,,,,,,0.7457600921463985,0.0824179926770361,3.230632730946906,,499.4795794795405,0.7457600921463985,0.1483251003383777,0.0824179926770361,184.73504417610013,,,,,,,,,,,,0.3771634697914123,-96.47176361083984,,,,,0,-93.08868488487693,44.72869004805819,,-17.974799766105544,55.565775778350336,0.412618395044974,153.557543323421,45.16454341821799,-92.71090243143038,0.9913005232810974,10325,255.78236282,17359,44.71163916847242,-94.3235751788818,0.0962215811014175,320.5339425970537,-7.915398302126319,265.81766954,2016-02-13,-19.16059685416668,5.3014448331731705,1.8000001,44.7288,-93.0888,292.0,0.758445112224195,Corn-Soybean-Kura Clover annual rotation,Annual crops,MN,US-Ro2,CRO,,40,284,2.6091973568620026,0,18.47945213317871,51.443359375,29.357982635498047,0.5495838522911072,44,,,,,,,,
2,2,2,1,LC08_027029_20160316,-93.08868488487693,44.72869004805819,2016-03-16 16:58:50.544000000,,,,,,,,,,,,,,,,,,-93.08852540122383,44.7287275559352,,,1,1,,,,,,,0.7562930201110782,0.4893975181997179,8.813689991080762,,675.963924049132,0.7562930201110782,0.962360186447893,0.4893975181997179,256.65482549425496,,,,,,,,,,,,0.2950150370597839,-82.0150375366211,,,,,1,-93.08868488487693,44.72869004805819,,6.415622855444969,50.853882474721054,6.166840492476753,107.5807235361362,43.86112287888081,-93.62816578268374,0.4093353450298309,111563,278.00291084,178696,44.0184267269326,-94.95633549002712,0.200744092464447,433.3280015442329,34.08088579443941,284.99276174,2016-03-16,62.57598810416668,110.91390825637414,2.1000001,44.7288,-93.0888,292.0,0.758445112224195,Corn-Soybean-Kura Clover annual rotation,Annual crops,MN,US-Ro2,CRO,,40,284,2.6091973568620026,0,18.47945213317871,51.443359375,29.357982635498047,0.5495838522911072,76,,,,,,,,
3,3,3,0,LC08_026029_20160325,-93.08868488487693,44.72869004805819,2016-03-25 16:52:34.212000000,,,,,,,,,,,,,,,,,,-93.08852540122383,44.7287275559352,,,1,1,,,,,,,0.7679217002914916,0.4306446111664217,8.007701425083646,,731.4810569751542,0.7679217002914916,0.8990541682444922,0.4306446111664217,234.5885534129307,,,,,,,,,,,,0.5382524132728577,-146.49526977539062,,,,,0,-93.08868488487693,44.72869004805819,,5.433372384481409,47.8997402355973,3.20331896597978,203.9917327441536,43.72612195898014,-91.2574430931688,0.8896020650863647,20124,272.1683507,28963,44.553257610284746,-92.5817456771449,0.1427102535963058,472.69388782520616,25.829578155856712,279.5512739,2016-03-25,66.26014904166665,19.523931709231302,2.0,44.7288,-93.0888,292.0,0.758445112224195,Corn-Soybean-Kura Clover annual rotation,Annual crops,MN,US-Ro2,CRO,,40,284,2.6091973568620026,0,18.47945213317871,51.443359375,29.357982635498047,0.5495838522911072,85,,,,,,,,
4,4,4,1,LC08_027029_20160401,-93.08868488487693,44.72869004805819,2016-04-01 16:58:40.401999872,0.0321275,0.0380125,0.0575924999999999,0.0652375,0.1906375,0.2173125,0.150845,282.12846098,21824.0,0.1119008675,0.4900830483634587,0.2417174662072621,0.2488506697535968,282.12846098,0.3194935180571964,0.953194935180572,0.9710543286095888,-93.08852540122383,44.7287275559352,-0.4900830388069153,0.4900830388069153,1,1,-0.5359747008822464,-282.12846098,282.12846098,284.28888072330665,-284.28888072330665,284.28888072330665,0.7775201040442041,0.3625389487129818,7.073409183407444,342.4146867655237,773.3375252038576,0.7775201040442041,0.7541551594522771,0.3625389487129818,255.14450165724423,587.5881452165754,28.57858423120851,0.0121495975161776,0.676258605389513,418.3217955222137,8.797565147087946,2.910416972773845,10.804541374568526,0.0121495975161776,0.676258605389513,0.7952780026209715,0.4815947413444519,-134.00161743164062,0.2046614660383509,1.1806496877483472,140.68776546315314,0.2516732723053299,1,-93.08868488487693,44.72869004805819,134.3671080348119,2.9327107899303466,48.07219630722732,4.345018312821313,239.00052182212755,45.07471572879033,-92.34356288179264,0.5564494729042053,319485,278.24559026,471747,44.61073023270556,-94.51145703389832,0.1977575868368148,587.5699310476075,37.43354635632907,285.04061402,2016-04-01,157.85315989583333,106.86904710479358,2.2,44.7288,-93.0888,292.0,0.758445112224195,Corn-Soybean-Kura Clover annual rotation,Annual crops,MN,US-Ro2,CRO,33.48322514454313,40,284,2.6091973568620026,0,18.47945213317871,51.443359375,29.357982635498047,0.5495838522911072,92,18.405355473182752,16.24848338899062,10.724408123002249,53.78426448007475,138.2663761871695,-151.21371748412403,61.31004117671625,42.5576676965281
5,5,5,0,LC08_026029_20160410,-93.08868488487693,44.72869004805819,2016-04-10 16:52:27.476000000,0.0500574999999999,0.0561349999999999,0.0759349999999999,0.0833324999999999,0.2321075,0.2628525,0.20315,292.24238216000003,21824.0,0.1409641324999999,0.4716427846817145,0.2836857118885813,0.2736712694986756,292.24238216000003,0.3831289792799405,0.9538312897927994,0.9712643256316238,-93.08852540122383,44.7287275559352,-0.471642792224884,0.471642792224884,1,1,-0.5069836142740045,-292.24238216000003,292.24238216000003,294.3284015960612,-294.3284015960612,294.3284015960612,0.769468640435985,0.6277744855538817,10.711983354192254,394.4822086849641,802.474994471202,0.769468640435985,1.1580807265268065,0.6277744855538817,260.35648637051264,543.2087575383702,53.01496479657462,0.0139682628029535,0.4474886781138165,632.8948429606417,10.848983121057408,5.580239606134725,16.32815407227038,0.0139682628029535,0.4474886781138165,0.5881308772513208,0.373822271823883,-104.44627380371094,-0.2095978144414117,-1.1993567106389686,-142.70105021884615,-0.2911114998431088,0,-93.08868488487693,44.72869004805819,116.87407468228058,9.12870367737316,54.2081800667417,2.8338433001274512,222.92664152730688,44.73385536821708,-91.40703567785822,0.5943064093589783,200833,279.40088102,316472,45.40472792671602,-91.81073442631146,0.1909758448600769,518.343531761518,57.42099725595404,292.72432298,2016-04-10,107.5117685833333,57.02812005081725,3.8,44.7288,-93.0888,292.0,0.758445112224195,Corn-Soybean-Kura Clover annual rotation,Annual crops,MN,US-Ro2,CRO,-34.01375631372115,40,284,2.6091973568620026,0,18.47945213317871,51.443359375,29.357982635498047,0.5495838522911072,101,24.353288311348177,22.19142528931957,16.405026122551572,67.8316487172022,137.83401092396022,-148.1620991515217,76.81664075671141,59.369039935804
6,6,6,2,LC08_027029_20160417,-93.08868488487693,44.72869004805819,2016-04-17 16:58:35.504000000,,,,,,,,,,,,,,,,,,-93.08852540122383,44.7287275559352,,,1,1,,,,,,,0.7439986929205095,1.4668458954638206,22.222596132198834,,800.2269410005857,0.7439986929205095,2.571552411673394,1.4668458954638206,346.19037926695364,,,,,,,,,,,,0.3195726275444031,-95.6209716796875,,,,,2,-93.08868488487693,44.72869004805819,,21.545402072574912,57.04125993330602,3.0072151939218763,228.2495804470842,44.98678809358129,-92.31640659581954,0.6358091831207275,228668,299.21514296,327800,45.156461707075714,-93.28116870982436,0.1235228478908538,494.13609488194976,100.26410553298192,312.98292752,2016-04-17,117.69739791666662,86.08653269158346,5.7000003,44.7288,-93.0888,292.0,0.758445112224195,Corn-Soybean-Kura Clover annual rotation,Annual crops,MN,US-Ro2,CRO,,40,284,2.6091973568620026,0,18.47945213317871,51.443359375,29.357982635498047,0.5495838522911072,108,,,,,,,,
7,7,7,0,LC08_027029_20160503,-93.08868488487693,44.72869004805819,2016-05-03 16:58:38.984999936,0.0191199999999999,0.0283599999999999,0.06785,0.0448875,0.454115,0.1779875,0.0963125,285.17733482,21824.0,0.17440339,0.8200910817080074,0.6771971020824231,0.6144541680326124,285.17733482,2.258662658128537,0.9725866265812854,0.977453586771824,-93.08852540122383,44.7287275559352,-0.8200910687446594,0.8200910687446594,1,1,-0.7400208826262297,-285.17733482,285.17733482,287.3122255738289,-287.3122255738289,287.3122255738289,0.7676312176089265,0.9357390505975914,14.936726106356636,364.72990717627056,870.069134817056,0.7676312176089265,1.9569902910514247,0.9357390505975914,272.9744498213548,619.0875202889576,24.847976716078715,0.0948206965361925,0.7586078607781235,140.99120072638772,8.50160142596454,0.965446257815124,9.631674623493051,0.0948206965361925,0.7586078607781235,0.8484512589398626,0.2079037427902221,-58.76784133911133,0.6612572987552392,4.135101860633188,453.2483428464912,0.7627367578423427,0,-93.08868488487693,44.72869004805819,154.83389540120365,17.156172322732676,47.81521169912654,3.842597666197962,265.021704853427,44.69517260487181,-92.42434944677868,0.8066707849502563,249537,282.66850814,371709,44.836878875098776,-94.67829197991672,0.2116529196500778,583.1500759826735,80.76354076144307,300.21662282,2016-05-03,125.76118183333328,183.25591027910065,5.4,44.7288,-93.0888,292.0,0.758445112224195,Corn-Soybean-Kura Clover annual rotation,Annual crops,MN,US-Ro2,CRO,117.27148876755722,40,284,2.6091973568620026,0,18.47945213317871,51.443359375,29.357982635498047,0.5495838522911072,124,12.80089761673275,19.349282167537,8.087629215495172,129.5033054017843,233.8713889911404,-211.0371830184922,50.75800088127475,27.466142059851247
8,8,8,1,LC08_027029_20160519,-93.08868488487693,44.72869004805819,2016-05-19 16:58:36.638000128,,,,,,,,,,,,,,,,,,-93.08852540122383,44.7287275559352,,,1,1,,,,,,,0.7689311756991439,1.0164477606381963,16.043910427163766,,898.756427541294,0.7689311756991439,2.2134973303534293,1.0164477606381963,328.5360021700145,,,,,,,,,,,,0.2268831431865692,-67.18272399902344,,,,,1,-93.08868488487693,44.72869004805819,,19.11709681404388,45.92044213018772,2.9864833825094017,264.6407256898442,45.33166902881985,-92.69818499588013,0.8308825492858887,197385,296.1115808,279947,44.332382398907725,-94.1818078449933,0.1734361946582794,554.2194909138057,115.28411272870436,313.62551528,2016-05-19,122.59657000000004,139.8571261294326,5.6,44.7288,-93.0888,292.0,0.758445112224195,Corn-Soybean-Kura Clover annual rotation,Annual crops,MN,US-Ro2,CRO,,40,284,2.6091973568620026,0,18.47945213317871,51.443359375,29.357982635498047,0.5495838522911072,140,,,,,,,,
9,9,9,0,LC08_026029_20160613,-93.08868488487693,44.72869004805819,2016-06-13 16:52:32.212000000,,,,,,,,,,,,,,,,,,-93.08852540122383,44.7287275559352,,,1,1,,,,,,,0.7341600615238674,2.5051821216314014,36.46677856009795,,871.2669763823812,0.7341600615238674,3.3490116109386765,2.5051821216314014,314.99674652614897,,,,,,,,,,,,0.1823912113904953,-53.24820709228516,,,,,0,-93.08868488487693,44.72869004805819,,25.937353630962992,74.80362604443874,1.0383256161727117,156.53488989663626,43.757085809795775,-91.74398736492677,0.9047017693519592,149090,291.94501442,241717,44.06009478199633,-93.32874218722736,0.3913733661174774,493.5248704901233,108.10264728064227,315.61822094,2016-06-13,118.29081725624997,101.02204721269676,4.2000003,44.7288,-93.0888,292.0,0.758445112224195,Corn-Soybean-Kura Clover annual rotation,Annual crops,MN,US-Ro2,CRO,,40,284,2.6091973568620026,0,18.47945213317871,51.443359375,29.357982635498047,0.5495838522911072,165,,,,,,,,
