,Unnamed: 0.2,Unnamed: 0.1,Unnamed: 0,id,longitude,latitude,date,UB,B,GR,R,NIR,SWIR_1,SWIR_2,ST_B10,pixel_qa,ALFA,NDVI_model,EVI,SAVI,T_LST,LAI,e_0,e_NB,longitude.1,latitude.1,NDVI_neg,pos_NDVI,int,sd_ndvi,NDWI,LST_neg,LST_NW,T_LST_DEM,LST_neg_1,LST_NW_1,Tao_sw,EA,W_ATM,Rl_up,Rs_down,Tao_sw_1,ES,EA_1,Rl_down,Rn,Ginst,zom,u_fr,Hinst,rah,dT,rah_first,zom_1,u_fr_1,ufric_star,constant,constant_1,ET_inst,ET_24h,LEinst,EF,id.1,longitude.2,latitude.2,Rn24h_G,AirT_G,RH_G,ux_G,SW_Down,cold_pixel_lat,cold_pixel_lon,cold_pixel_ndvi,cold_pixel_sum,cold_pixel_temp,hot_pixel_sum,hot_pixel_lat,hot_pixel_lon,hot_pixel_ndvi,hot_pixel_Rn,hot_pixel_G,hot_pixel_temp,LE_daily_orig,Datetime_Local_sebal,Datetime_GMT,Date_daily,LE_closed,LE_unclosed,H_closed,H_unclosed,G_unclosed,Rn_unclosed,Residual_unclosed,Residual_closed,TIMESTAMP_START,TIMESTAMP_END,USTAR,TA_1_1_1,WD,WS,FC,SC,H_inst_af,LE_inst_af,G_inst_af,TS_PI_1,P_RAIN_1_1_1,RH_1_1_1,CO2,VPD_PI,Rn_inst_af,PPFD_IN_1_1_1,SW_IN_1_1_1,TAU,SH,SLE,WS_MAX,MO_LENGTH,ZL,T_SONIC,PA,CO2_MIXING_RATIO,H2O_MIXING_RATIO,H2O,U_SIGMA,V_SIGMA,W_SIGMA,T_SONIC_SIGMA,CO2_SIGMA,H2O_SIGMA,FETCH_MAX,FETCH_70,FETCH_80,FETCH_90,TAU_SSITC_TEST,H_SSITC_TEST,LE_SSITC_TEST,FC_SSITC_TEST,LW_IN_1_1_1,LW_OUT_1_1_1,PPFD_OUT_1_1_1,G_1_1_1,G_2_1_1,G_3_1_1,SWC_1_1_1,SWC_2_1_1,SWC_3_1_1,SW_OUT_1_1_1,TS_1_1_1,TS_2_1_1,TS_3_1_1,TS_4_1_1,TS_5_1_1,TS_6_1_1,State,Veg,MAT,MAP,Lat,Long,Elev_insitu,Name,Datetime,Datetime_Local_flux,Date
0,0,0,0,LC08_017039_20130622,-82.21889028397389,29.73805374431367,2013-06-22 16:03:06.932000000,,,,,,,,,,,,,,,,,,-82.21877307200812,29.737945284912808,,,1,1,,,,,,,0.7262844529461182,3.04250957755403,44.997714070864376,,897.7234540060695,0.7262844529461182,3.728465905287368,3.04250957755403,362.59242321272825,,,,,,,,,,,,0.3734169900417328,-112.83350372314452,,,,,0,-82.21889028397389,29.73805374431367,,27.76476810823279,81.60218317242547,0.7893459908665468,236.77930685277653,30.808815386835,-83.02037337920578,0.922501027584076,73741,302.16489422,125924,31.20347760421988,-82.79447847573879,0.5054174065589905,480.64552003730194,113.8464740863956,316.54108634,,2013-06-22 16:03:06.932000+00:00,2013-06-22 16:00:00+00:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,US-SP1,,,2013-06-22
1,1,0,0,LC08_017039_20130708,-82.21889028397389,29.73805374431367,2013-07-08 16:03:11.437999872,0.0079549999999999,0.0142249999999999,0.048215,0.0317425,0.278665,0.1199625,0.048105,305.91446216,21824.0,0.108559645,0.79547852419803,0.4530912540621278,0.4570339613095881,305.91446216,1.0211317040122143,0.960211317040122,0.9733697346232404,-82.21877307200812,29.737945284912808,-0.7954785227775574,0.7954785227775574,1,1,-0.7049987763093489,-305.91446216,305.91446216,306.86857404848536,-306.86857404848536,306.86857404848536,0.7357837040453523,2.4663506342064974,36.87418940115284,476.8150056138584,902.4589759837136,0.7357837040453523,4.176740885019894,2.4663506342064974,364.8671604884241,678.022921027279,63.943657612919424,0.0391455261586111,0.3000462439756553,105.44886899759123,17.244727050497094,1.5756995248584786,24.3517931936913,0.0391455261586111,0.3000462439756553,0.3881017953891765,0.3990832865238189,-120.89041900634766,0.7562057669870538,5.575340413531559,508.6303944167684,0.8282813387781864,0,-82.21889028397389,29.73805374431367,188.64469411473823,29.725608571204795,59.04964425857004,1.695503333835579,285.35805783612005,29.79622142221815,-82.40260046525296,0.8921640515327454,168627,302.92027664,273451,29.603862749926737,-82.49131388464517,0.5355726480484009,538.8051378517529,113.14228986420672,315.56695064,158.116654127755,2013-07-08 16:03:11.437999872+00:00,2013-07-08 16:00:00+00:00,2013-07-08,149.33961171848625,98.17396041666666,78.8145307087757,51.81166958333333,-0.8740833333333334,201.396625,52.28507833333335,-25.883434093928614,201307081200.0,201307081230.0,0.5938,30.90997873,61.28,2.301,-12.76586785,0.238367847,169.106,308.464,24.47,27.77,-9999.0,50.99,396.479,21.90203857,706.0,2067.892056,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,FL,ENF,20.06,1309.77,29.7381,-82.2188,50.0,US-SP1,2013-07-08 12:00:00,2013-07-08 12:00:00-04:00,2013-07-08
2,2,0,0,LC08_017039_20130809,-82.21889028397389,29.73805374431367,2013-08-09 16:03:12.634000128,,,,,,,,,,,,,,,,,,-82.21877307200812,29.737945284912808,,,1,1,,,,,,,0.7299171070938344,2.6072101511149857,38.860231228294175,,875.9990627432576,0.7299171070938344,4.320477065282067,2.6072101511149857,374.6250490401041,,,,,,,,,,,,0.3529461324214935,-107.55995178222656,,,,,0,-82.21889028397389,29.73805374431367,,30.31558546842305,60.34542277901829,0.8725387071080876,269.86558530280604,29.54588187384569,-82.44680869953984,0.9014934301376344,264665,304.74891734,454056,30.47123387986517,-82.8827631024908,0.247009664773941,422.8365342782734,117.73734832114565,318.57480824,,2013-08-09 16:03:12.634000128+00:00,2013-08-09 16:00:00+00:00,2013-08-09,103.66974652608548,67.40505808510639,13.295250054454067,8.644441914893617,-8.716520833333334,119.8314375,52.49845833333332,11.582961752793784,201308091200.0,201308091230.0,0.14006,29.21370994,207.0,0.375,-11.49105757,0.887357575,107.814,219.352,5.031,-9999.0,-9999.0,55.61,388.246,17.99656298,446.6,921.8178331,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,FL,ENF,20.06,1309.77,29.7381,-82.2188,50.0,US-SP1,2013-08-09 12:00:00,2013-08-09 12:00:00-04:00,2013-08-09
3,3,0,0,LC08_017039_20130910,-82.21889028397389,29.73805374431367,2013-09-10 16:03:12.441999872,,,,,,,,,,,,,,,,,,-82.21877307200812,29.737945284912808,,,1,1,,,,,,,0.7305125905489666,2.205493918045915,33.19625296805953,,834.2252207005998,0.7305125905489666,4.170679338799918,2.205493918045915,353.9552952746186,,,,,,,,,,,,0.2078151851892471,-62.442848205566406,,,,,0,-82.21889028397389,29.73805374431367,,29.700342607249304,52.8809275152889,2.942463049897935,250.37789778581737,29.494220973021463,-81.80053942507354,0.9210513830184937,174141,300.47297432,343115,30.66617623912194,-81.46744428405466,0.4586634337902069,480.5868594222475,100.64203833944728,315.06791972,,2013-09-10 16:03:12.441999872+00:00,2013-09-10 16:00:00+00:00,2013-09-10,95.88074182476343,64.78801937499999,47.81686176431521,32.31055275,-7.970020833333333,134.544375,45.41582370833335,-1.1832077557453076,201309101200.0,201309101230.0,0.71032,29.92029867,86.3,2.929,-8.544929197,0.094089197,166.119,212.399,-6.221,-9999.0,-9999.0,48.02,381.033,21.94943878,548.9,1632.089758,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,FL,ENF,20.06,1309.77,29.7381,-82.2188,50.0,US-SP1,2013-09-10 12:00:00,2013-09-10 12:00:00-04:00,2013-09-10
4,4,0,0,LC08_017039_20131012,-82.21889028397389,29.73805374431367,2013-10-12 16:03:04.622999808,,,,,,,,,,,,,,,,,,-82.21877307200812,29.737945284912808,,,1,1,,,,,,,0.7294599784575497,1.6159187898921126,24.883567460864644,,747.9635521362445,0.7294599784575497,3.402634328991901,1.6159187898921126,348.2409125581672,,,,,,,,,,,,0.3529365062713623,-105.60636138916016,,,,,0,-82.21889028397389,29.73805374431367,,26.20621387783757,47.49022767811965,1.3125407276290009,210.37590747507065,31.01481818654117,-81.80165302902017,0.8758420348167419,413397,299.22197900000003,642594,30.43908014096554,-83.15887684706229,0.4112885892391205,428.5966696728484,86.88184099926687,313.80325232,,2013-10-12 16:03:04.622999808+00:00,2013-10-12 16:00:00+00:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,US-SP1,,,2013-10-12
5,5,1,1,LC08_017039_20131028,-82.21889028397389,29.73805374431367,2013-10-28 16:02:54.538000128,0.0082849999999999,0.0131799999999999,0.0369674999999999,0.02715,0.2411275,0.1113549999999999,0.0444475,298.18973696,21824.0,0.094416065,0.7975976367753538,0.4098628347485303,0.4177738512451556,298.18973696,0.849988337147087,0.9584998833714709,0.9728049615125852,-82.21877307200812,29.737945284912808,-0.7975976467132568,0.7975976467132568,1,1,-0.7341376148438484,-298.18973696,298.18973696,299.85019958739093,-299.85019958739093,299.85019958739093,0.7268719432132547,1.3319397812183538,20.87961940229913,429.6807435345698,690.0470731790866,0.7268719432132547,2.8060941858145405,1.3319397812183538,335.4350872790768,516.7292923658748,37.45088673905844,0.0313948643240956,0.1761874680134418,83.45955927967307,23.583404003245832,1.658395628575164,41.47096365152122,0.0313948643240956,0.1761874680134418,0.2530092566007964,0.4748419523239136,-140.72305297851562,0.584483487196221,3.2097286614743186,395.81884634714334,0.8258641359597209,1,-82.21889028397389,29.73805374431367,109.66617457019044,22.98031399188777,47.46596846077439,1.021327618277752,206.4156733386852,29.988154056248447,-81.94690772959748,0.8823646903038025,452201,296.35767824,735713,29.7814762252171,-82.53583228442179,0.4794675409793854,419.64124173506383,68.62813930134199,307.12102322,91.02790483941168,2013-10-28 16:02:54.538000128+00:00,2013-10-28 16:00:00+00:00,2013-10-28,41.651177490147504,40.9176275,35.83542904680712,35.20430454545455,-15.279875,91.37333333333332,30.531276287878782,29.166601796378718,201310281200.0,201310281230.0,0.37996,24.1,157.0,1.472,-12.94018387,0.230183868,196.835,178.081,1.93,19.59,-9999.0,44.91,388.773,16.52700622,271.9,1725.379026,677.9,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,FL,ENF,20.06,1309.77,29.7381,-82.2188,50.0,US-SP1,2013-10-28 12:00:00,2013-10-28 12:00:00-04:00,2013-10-28
6,6,0,0,LC08_017039_20131113,-82.21889028397389,29.73805374431367,2013-11-13 16:02:54.953999872,,,,,,,,,,,,,,,,,,-82.21877307200812,29.737945284912808,,,1,1,,,,,,,0.7360251331978013,0.746312153923793,12.62259148921784,,642.1580927900396,0.7360251331978013,1.276766800110818,0.746312153923793,274.48909031909005,,,,,,,,,,,,0.3602789938449859,-101.64249420166016,,,,,0,-82.21889028397389,29.73805374431367,,10.58299112661134,58.45328636827149,3.541608005650044,153.3975562332295,31.00932591497418,-82.00619020599655,0.8924312591552734,240861,282.12162494,360932,30.521985965440813,-83.31106030947478,0.2298318892717361,399.38280038385074,37.202360074769175,291.47332766,,2013-11-13 16:02:54.953999872+00:00,2013-11-13 16:00:00+00:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,US-SP1,,,2013-11-13
7,7,1,1,LC08_017039_20131129,-82.21889028397389,29.73805374431367,2013-11-29 16:02:49.141999872,0.0081199999999999,0.0121074999999999,0.0343275,0.0254725,0.2230599999999999,0.0989525,0.0415599999999999,290.48551988,21824.0,0.087054095,0.7950167483125948,0.3843849306127689,0.3959497416611836,290.48551988,0.7652437774067504,0.9576524377740676,0.9725253044654424,-82.21877307200812,29.737945284912808,-0.7950167655944824,0.7950167655944824,1,1,-0.7332621048030692,-290.48551988,290.48551988,292.4625269463432,-292.4625269463432,292.4625269463432,0.7106711528328149,1.1233495632844068,17.938611888987257,386.6241085567788,573.6630660578664,0.7106711528328149,1.7205594930035255,1.1233495632844068,289.8545682561292,414.6791723409269,21.65737944852405,0.0277710143399706,0.3985245766105652,318.84456050727795,12.643406130552547,3.281568116299894,18.33428729535797,0.0277710143399706,0.3985245766105652,0.5202202778360542,0.4577454924583435,-130.5918426513672,0.1087552728060855,0.4517777114424954,74.17723238512491,0.188735672490895,1,-82.21889028397389,29.73805374431367,68.02677300090893,15.138026255472187,65.28978322762973,2.3425241623438,142.69952947834335,31.014779004513723,-81.80793833369924,0.86591637134552,422788,285.2935475,734495,30.52193048601975,-83.314184741242,0.3370827436447143,358.19538937962886,38.29849822837668,294.04709672,12.812415896509169,2013-11-29 16:02:49.141999872+00:00,2013-11-29 16:00:00+00:00,2013-11-29,37.40903581124845,25.77303583333333,46.00766197423272,31.697077857142855,-20.6125,68.39695833333333,31.53934464285713,5.592760547852159,201311291100.0,201311291130.0,0.71508,15.56,264.3,2.295,-3.066944402,-0.286315598,,114.894,-21.63,-9999.0,-9999.0,63.14,404.178,6.51090942,361.4,977.0696019,551.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,FL,ENF,20.06,1309.77,29.7381,-82.2188,50.0,US-SP1,2013-11-29 11:00:00,2013-11-29 11:00:00-05:00,2013-11-29
8,8,0,0,LC08_017039_20140116,-82.21889028397389,29.73805374431367,2014-01-16 16:02:20.792999936,0.0090824999999999,0.0132349999999999,0.0334474999999999,0.0261325,0.218935,0.09304,0.0406799999999999,283.10259668000003,21824.0,0.0854672075,0.7867322268354636,0.3776094965206712,0.3881577843618195,283.10259668000003,0.7365034294850661,0.9573650342948506,0.9724304613173008,-82.21877307200812,29.737945284912808,-0.7867322564125061,0.7867322564125061,1,1,-0.7349459649539887,-283.10259668000003,283.10259668000003,285.50228732884045,-285.50228732884045,285.50228732884045,0.7381516783706714,0.4000549579444694,7.74055519336447,348.6872215726135,578.8607502472071,0.7381516783706714,0.9853192654435208,0.4000549579444694,267.52671667572656,436.8206411046557,14.937341059478694,0.0265811422684257,0.3672509104890277,134.2500485984126,14.880657573155556,1.5945910405578445,19.895564240016505,0.0265811422684257,0.3672509104890277,0.4579734535600489,0.3110019266605377,-87.19717407226562,0.4189111254311279,2.036444110598555,287.63325144676435,0.6817839232222831,0,-82.21889028397389,29.73805374431367,85.45386176808252,6.757817422008175,40.601556467526606,2.1693407136647176,182.38141203798588,30.513748178435552,-82.89983680137486,0.8673184514045715,398406,280.37501672,766488,29.76150014049681,-82.64380441062293,0.3685439825057983,342.99845058395823,31.54012637393664,291.38445914,57.75355497657503,2014-01-16 16:02:20.792999936+00:00,2014-01-16 16:00:00+00:00,2014-01-16,64.93567572716604,49.38109166666666,10.859426242111493,8.258177291666668,-27.352500000000003,74.28908750000001,44.00231854166668,25.84648553072248,201401161100.0,201401161130.0,0.54939,6.307,255.6,3.602,-9999.0,3.319473947,46.2813,153.228,-30.29,13.16,-9999.0,32.18,380.46,6.47543896,187.1,1014.253045,565.7,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,FL,ENF,20.06,1309.77,29.7381,-82.2188,50.0,US-SP1,2014-01-16 11:00:00,2014-01-16 11:00:00-05:00,2014-01-16
9,9,0,0,LC08_017039_20140217,-82.21889028397389,29.73805374431367,2014-02-17 16:02:01.694000128,0.0100174999999999,0.0133725,0.0363624999999999,0.0296525,0.2245174999999999,0.1083299999999999,0.0472799999999999,293.16524756,21824.0,0.0901522174999999,0.7666719124995082,0.3741248772452244,0.3875750825410716,293.16524756,0.7343840626204463,0.9573438406262044,0.9724234674066474,-82.21877307200812,29.737945284912808,-0.766671895980835,0.766671895980835,1,1,-0.7212319840539712,-293.16524756,293.16524756,295.40266627553933,-295.40266627553933,295.40266627553933,0.7346774467219096,0.9560507545634184,15.57979056797804,400.9599116512454,677.6695001016219,0.7346774467219096,2.0226226684665547,0.9560507545634184,314.6371832576156,516.8321497077554,33.98095752510627,0.0264942371382812,0.1750598857192782,61.893070081750494,25.134782686591443,1.290276383294653,41.73808323830274,0.0264942371382812,0.1750598857192782,0.2439246507675458,0.3659307658672333,-106.80664825439452,0.6189393900875658,3.7219831802815393,420.95812210089866,0.8718175059235681,0,-82.21889028397389,29.73805374431367,120.98411442923158,17.678415779422437,47.26787499559892,1.0344531685860714,221.5747845489769,31.00930138753778,-82.00933250164846,0.8836628794670105,562488,291.87665402,710700,30.52193048601975,-83.314184741242,0.2934938073158264,435.0550404837062,65.91075832780844,305.53847996,105.55544299278444,2014-02-17 16:02:01.694000128+00:00,2014-02-17 16:00:00+00:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,US-SP1,,,2014-02-17
