,Unnamed: 0.2,Unnamed: 0.1,Unnamed: 0,id,longitude,latitude,date,UB,B,GR,R,NIR,SWIR_1,SWIR_2,ST_B10,pixel_qa,ALFA,NDVI_model,EVI,SAVI,T_LST,LAI,e_0,e_NB,longitude.1,latitude.1,NDVI_neg,pos_NDVI,int,sd_ndvi,NDWI,LST_neg,LST_NW,T_LST_DEM,LST_neg_1,LST_NW_1,Tao_sw,EA,W_ATM,Rl_up,Rs_down,Tao_sw_1,ES,EA_1,Rl_down,Rn,Ginst,zom,u_fr,Hinst,rah,dT,rah_first,zom_1,u_fr_1,ufric_star,constant,constant_1,ET_inst,ET_24h,LEinst,EF,id.1,longitude.2,latitude.2,Rn24h_G,AirT_G,RH_G,ux_G,SW_Down,cold_pixel_lat,cold_pixel_lon,cold_pixel_ndvi,cold_pixel_sum,cold_pixel_temp,hot_pixel_sum,hot_pixel_lat,hot_pixel_lon,hot_pixel_ndvi,hot_pixel_Rn,hot_pixel_G,hot_pixel_temp,LE_daily_orig,Datetime_Local_sebal,Datetime_GMT,Date_daily,LE_closed,LE_unclosed,H_closed,H_unclosed,G_unclosed,Rn_unclosed,Residual_unclosed,Residual_closed,TIMESTAMP_START,TIMESTAMP_END,CO2,H2O,CH4,FC,FCH4,FC_SSITC_TEST,FCH4_SSITC_TEST,G_inst_af,H_inst_af,LE_inst_af,H_SSITC_TEST,LE_SSITC_TEST,WD,WS,USTAR,ZL,TAU,MO_LENGTH,V_SIGMA,W_SIGMA,TAU_SSITC_TEST_PI_F,PA,RH,TA,VPD_PI,T_SONIC,T_SONIC_SIGMA,TS_PI_1,TS_PI_2,TS_PI_3,TS_PI_4,TS_PI_5,WTD,Rn_inst_af,PPFD_IN,PPFD_OUT,SW_IN,P,FC_PI_F,RECO_PI_F,GPP_PI_F,FCH4_PI_F,H_PI_F,LE_PI_F,State,Veg,MAT,MAP,Lat,Long,Elev_insitu,Name,Datetime,Datetime_Local_flux,Date
0,0,0,0,LC08_044033_20130416,-121.65322445778106,38.10882505632461,2013-04-16 18:47:29.671000064,0.0542099999999999,0.06268,0.083855,0.10569,0.1674,0.2828725,0.26332,300.87288266,21824.0,0.133920035,0.2259694606173788,0.1158707865168539,0.1197337955477369,300.87288266,0.0373838019106815,0.9503738380191068,0.9701233665463052,-121.65334881507606,38.10886256208297,-0.2259694635868072,0.2259694635868072,1,1,-0.3325107958050585,-300.87288266,300.87288266,301.544287107721,-301.544287107721,301.544287107721,0.7872540900743461,0.3969850412654079,7.736614623483573,441.5803297857973,890.3532986657345,0.7872540900743461,1.978519973409954,0.3969850412654079,268.1994026871829,584.4265196465064,79.30063661437005,0.0058806024253914,0.6404434013645346,402.83487611927694,9.262663121354342,3.146421339582851,11.408758473069373,0.0058806024253914,0.6404434013645346,0.7508670176020618,0.1614858955144882,-45.54872894287109,0.1512956089071682,1.3473128506470615,102.29100691285949,0.2025059699947144,0,-121.65322445778106,38.10882505632461,187.4262903594965,17.329154732861866,20.06474772055039,4.42245165834202,310.2485276122686,39.19578758540821,-120.64317102699135,0.8813322186470032,448437,282.06010058,664122,39.00913706592039,-122.18042287534595,0.1302697956562042,538.2231066425271,88.72798816799877,304.78309754,38.20979244435066,2013-04-16 18:47:29.671000064+00:00,2013-04-16 19:00:00+00:00,2013-04-16,43.19617972282394,44.17860914583333,68.12971741429129,69.67922108333333,0.9383351041666664,130.23258510416667,15.436419770833352,17.96835286288477,201304161200.0,201304161230.0,389.583789,5.465957,1883.678249,0.967365,22.957974,1.0,0.0,41.366688,304.437296,108.081589,0.0,1.0,326.567461,9.199665,0.509157,-0.084081,-0.270047,-38.653234,1.728122,0.597974,0.0,101.68,19.372,18.246,16.888574,19.613008,0.988818,21.650333,18.351667,15.087,14.697667,15.587,-0.710451,582.190141,2125.420561,163.321905,1009.06,0.0,0.967365,4.149871,3.182506,22.957974,304.437296,108.081589,CA,CRO,15.6,421.0,38.1087,-121.6531,-7.0,US-Twt,2013-04-16 12:00:00,2013-04-16 12:00:00-07:00,2013-04-16
1,1,1,1,LC08_044034_20130409,-121.65322445778106,38.10882505632461,2013-04-09 18:46:34.756999936,0.0525875,0.0592699999999999,0.07544,0.0962025,0.1578025,0.2659325,0.245225,299.63555942,21824.0,0.1251194575,0.2425149111237967,0.1193342851663221,0.1225456064614955,299.63555942,0.0428155544861034,0.950428155544861,0.970141291329804,-121.65334881507606,38.10886256208297,-0.2425149083137512,0.2425149083137512,1,1,-0.3531196072756895,-299.63555942,299.63555942,300.1551900214269,-300.1551900214269,300.1551900214269,0.7745088190137973,0.6032019460391245,10.664597041541336,434.3859414399017,864.3357312992009,0.7745088190137973,2.166432265663633,0.6032019460391245,299.0748677643475,606.0537470003695,77.08444365082326,0.005974268044469,0.6564631081573313,324.4572208897633,9.26790769187682,2.528083590620966,11.130349887213844,0.005974268044469,0.6564631081573313,0.7578971728882834,0.2354752123355865,-68.1510238647461,0.3020807435436859,2.435030427793043,204.51208245978304,0.3866237249775534,1,-121.65322445778106,38.10882505632461,177.6644678277271,18.772748066494223,27.84310202536373,4.5262073827046345,301.6492137756378,37.068091653909285,-121.8825422935237,0.8843948841094971,370243,289.41909764,638274,37.06347303348558,-122.00138686048535,0.1356781423091888,533.6766992675703,91.86482752589396,305.68887284,69.0574629322107,2013-04-09 18:46:34.756999936+00:00,2013-04-09 19:00:00+00:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,US-Twt,,,2013-04-09
2,2,2,2,LC08_044034_20130416,-121.65322445778106,38.10882505632461,2013-04-16 18:47:53.562000128,0.0542374999999999,0.0626249999999999,0.0831399999999999,0.10525,0.167235,0.28268,0.2632375,300.86604662,21824.0,0.13366522,0.2274804117657853,0.1165966603902418,0.1203615604186489,300.86604662,0.0385941690757752,0.9503859416907576,0.97012736075795,-121.65334881507606,38.10886256208297,-0.227480411529541,0.227480411529541,1,1,-0.335876185721418,-300.86604662,300.86604662,301.3699953382183,-301.3699953382183,301.3699953382183,0.7884677642888047,0.3967425873060121,7.733172127190272,441.545822432881,901.5668130982324,0.7884677642888047,1.9794579119511424,0.3967425873060121,283.0566028334858,608.5258802835664,82.02585411953031,0.0059013860587618,0.6405349508790741,265.79733058406725,9.596000406257618,2.157618317465939,11.407127857443676,0.0059013860587618,0.6405349508790741,0.7346522933255836,0.1397358179092407,-39.95456314086914,0.3855324807530231,3.2954401281718395,260.7026955799688,0.4951617903599959,2,-121.65322445778106,38.10882505632461,187.51655181724075,17.336653156834913,20.042991816630487,4.421588320990419,310.2485276122686,37.18752849952179,-122.29279370014868,0.8934346437454224,387948,285.92929922,238257,37.83692896378928,-121.2652373610106,0.0504058413207531,332.10752336455283,65.79171315858156,302.12045996,93.45868203495336,2013-04-16 18:47:53.562000128+00:00,2013-04-16 19:00:00+00:00,2013-04-16,43.19617972282394,44.17860914583333,68.12971741429129,69.67922108333333,0.9383351041666664,130.23258510416667,15.436419770833352,17.96835286288477,201304161200.0,201304161230.0,389.583789,5.465957,1883.678249,0.967365,22.957974,1.0,0.0,41.366688,304.437296,108.081589,0.0,1.0,326.567461,9.199665,0.509157,-0.084081,-0.270047,-38.653234,1.728122,0.597974,0.0,101.68,19.372,18.246,16.888574,19.613008,0.988818,21.650333,18.351667,15.087,14.697667,15.587,-0.710451,582.190141,2125.420561,163.321905,1009.06,0.0,0.967365,4.149871,3.182506,22.957974,304.437296,108.081589,CA,CRO,15.6,421.0,38.1087,-121.6531,-7.0,US-Twt,2013-04-16 12:00:00,2013-04-16 12:00:00-07:00,2013-04-16
3,3,0,0,LC08_044033_20130603,-121.65322445778106,38.10882505632461,2013-06-03 18:47:43.687000064,0.0108975,0.0184324999999999,0.042055,0.0353175,0.1450699999999999,0.0760449999999999,0.0431,301.64535518,21824.0,0.0666951574999999,0.6084263044834037,0.2251367969763636,0.2419632194888941,301.64535518,0.3024694598896711,0.9530246945988968,0.970998149217636,-121.65334881507606,38.10886256208297,-0.6084263324737549,0.6084263324737549,1,1,-0.5505143620574481,-301.64535518,301.64535518,302.11282283358764,-302.11282283358764,302.11282283358764,0.7649715737859368,1.1837291378441843,18.907245299087624,447.3771332768446,932.5994973187022,0.7649715737859368,3.4587532304048447,1.1837291378441843,343.8341349993908,750.7049151842363,80.81580309151316,0.0116883027004604,0.4226737528192441,40.13833667787512,15.119307789706731,0.5181863595759353,17.28677031186199,0.0116883027004604,0.4226737528192441,0.4732432545973097,0.1888524442911148,-56.53656005859375,0.9319597523961712,8.214148660546751,629.7507754148479,0.9400821181396968,0,-121.65322445778106,38.10882505632461,246.01244575671416,26.483664416418108,34.22415705862976,2.726541501515836,353.3555911940474,38.50685220883666,-122.52643563309567,0.8689694404602051,500818,299.36895386000003,790277,39.75005350402478,-121.77812066831044,0.2164103239774704,506.6678671496889,139.92325689995678,327.5744549,232.95325601310583,2013-06-03 18:47:43.687000064+00:00,2013-06-03 19:00:00+00:00,2013-06-03,230.5485540199001,193.01945322916663,5.5166046970166605,4.618602041666667,-6.098122291666666,203.8367994680851,12.29686648891845,-26.130236957165,201306031200.0,201306031230.0,397.014622,15.493135,1855.339046,-9.430855,16.476053,1.0,1.0,44.979066,52.204579,429.31815,1.0,1.0,262.665443,8.733045,0.670012,-0.00945,-0.511516,-343.909415,1.301153,0.621214,0.0,100.65,52.038,23.561,-9999.0,27.413882,0.248436,24.804,24.207667,20.670667,20.682333,20.262667,0.083042,695.809859,2251.401869,130.022857,1012.08,0.0,-9.430855,4.40075,13.831605,16.476053,52.204579,429.31815,CA,CRO,15.6,421.0,38.1087,-121.6531,-7.0,US-Twt,2013-06-03 12:00:00,2013-06-03 12:00:00-07:00,2013-06-03
4,4,1,1,LC08_044033_20130619,-121.65322445778106,38.10882505632461,2013-06-19 18:47:36.573999872,0.012795,0.0187074999999999,0.0472799999999999,0.0347125,0.2171199999999999,0.09821,0.0503874999999999,300.42854006,21824.0,0.0905576775,0.7243207290560192,0.3548538962775916,0.3639258079425935,300.42854006,0.6516457125581983,0.956516457125582,0.972150430851442,-121.65334881507606,38.10886256208297,-0.7243207097053528,0.7243207097053528,1,1,-0.6423600605143722,-300.42854006,300.42854006,300.9513729046964,-300.9513729046964,300.9513729046964,0.7765007054290383,0.8558330891486295,14.251594655001512,441.8147948298366,945.3952251709704,0.7765007054290383,2.727312289185899,0.8558330891486295,294.4233441549655,699.5884084762348,63.48989180360366,0.0231968923581291,0.301317662258881,114.2604518485802,17.230313070633873,1.6658922487831376,24.2490401228501,0.0231968923581291,0.301317662258881,0.3860502837467854,0.1322273463010788,-38.12810516357422,0.7713916192809963,7.171350620459526,521.838064824051,0.8203730257912479,1,-121.65322445778106,38.10882505632461,246.39913643266908,22.510418790275345,31.380091401417587,1.8070307761396387,364.8184032439724,39.52525953893298,-121.16813588168397,0.8731379508972168,447510,288.3526754,712020,38.78477018642137,-122.07385127638788,0.2156256437301635,427.9473114155304,119.79805089902962,321.22035572,203.37950359623213,2013-06-19 18:47:36.573999872+00:00,2013-06-19 19:00:00+00:00,2013-06-19,224.7391314602729,185.149776125,-28.562572736768733,-23.531077625,4.432810187499999,202.20506158333333,36.15355289583332,1.5956926723292106,201306191200.0,201306191230.0,398.418612,10.589462,1833.729706,-16.720099,11.426598,1.0,0.0,69.880411,20.889982,363.209141,2.0,1.0,255.356474,3.426732,0.266535,-0.08206,-0.07471,-39.605072,0.943906,0.327222,0.0,101.62,40.973,22.071,-9999.0,25.283573,0.282721,22.681333,21.587,19.675,19.828667,20.401,0.052344,745.140845,2285.420561,95.961905,1012.94,0.0,-16.720099,5.632156,22.352255,11.426598,20.889982,363.209141,CA,CRO,15.6,421.0,38.1087,-121.6531,-7.0,US-Twt,2013-06-19 12:00:00,2013-06-19 12:00:00-07:00,2013-06-19
5,5,2,2,LC08_044034_20130603,-121.65322445778106,38.10882505632461,2013-06-03 18:48:07.578000128,0.0070474999999999,0.0155174999999999,0.0406249999999999,0.0340524999999999,0.1446575,0.07599,0.043155,301.6658633,21824.0,0.0653077,0.6189077276033799,0.224334303849715,0.2444453448453684,301.6658633,0.3085743019641384,0.9530857430196412,0.9710182951964816,-121.65334881507606,38.10886256208297,-0.6189077496528625,0.6189077496528625,1,1,-0.5614804420277145,-301.6658633,301.6658633,302.06911646041385,-302.06911646041385,302.06911646041385,0.7655068521887212,1.1837940723238076,18.908167274979323,447.5274756087756,937.884289729998,0.7655068521887212,3.4598531480992847,1.1837940723238076,310.97516757433635,725.4917469410666,76.94382666962838,0.0118524917177007,0.4238738474077443,162.35846682178,13.410955296498209,1.8491890214479767,17.23782707171923,0.0118524917177007,0.4238738474077443,0.5123493693019712,0.1829610019922256,-53.41767883300781,0.7194747516791139,6.560462926200422,486.18945344965823,0.7496584882211514,2,-121.65322445778106,38.10882505632461,246.40513657563744,26.48906307883721,34.21515369732211,2.7303699415587244,353.3555911940474,37.054200182039175,-121.87194952681465,0.8376744985580444,245643,291.96210452,413538,37.72472182612672,-121.48026357033903,0.1851321458816528,522.6552437813135,126.69652798686502,324.15985292,186.054728587044,2013-06-03 18:48:07.578000128+00:00,2013-06-03 19:00:00+00:00,2013-06-03,230.5485540199001,193.01945322916663,5.5166046970166605,4.618602041666667,-6.098122291666666,203.8367994680851,12.29686648891845,-26.130236957165,201306031200.0,201306031230.0,397.014622,15.493135,1855.339046,-9.430855,16.476053,1.0,1.0,44.979066,52.204579,429.31815,1.0,1.0,262.665443,8.733045,0.670012,-0.00945,-0.511516,-343.909415,1.301153,0.621214,0.0,100.65,52.038,23.561,-9999.0,27.413882,0.248436,24.804,24.207667,20.670667,20.682333,20.262667,0.083042,695.809859,2251.401869,130.022857,1012.08,0.0,-9.430855,4.40075,13.831605,16.476053,52.204579,429.31815,CA,CRO,15.6,421.0,38.1087,-121.6531,-7.0,US-Twt,2013-06-03 12:00:00,2013-06-03 12:00:00-07:00,2013-06-03
6,6,3,3,LC08_044034_20130619,-121.65322445778106,38.10882505632461,2013-06-19 18:48:00.460999936,0.01263,0.01857,0.0470875,0.0346299999999999,0.217285,0.0981274999999999,0.0501949999999999,300.41486798,21824.0,0.0905074075,0.7250659944822659,0.3551415861065959,0.3643796173769641,300.41486798,0.6531761588319686,0.9565317615883197,0.9721554813241454,-121.65334881507606,38.10886256208297,-0.7250660061836243,0.7250660061836243,1,1,-0.6437791373913702,-300.41486798,300.41486798,300.8822722804015,-300.8822722804015,300.8822722804015,0.7769761015198735,0.855571745463161,14.247883951861231,441.7414426840356,950.105892671039,0.7769761015198735,2.7287738729079827,0.855571745463161,306.8635210906089,715.897533186869,64.70445140163267,0.0232561294289328,0.3015644226607598,-7.804780324896001e-60,3.8327692462725976e+63,-28.71339894293908,24.229197918543992,0.0232561294289328,0.3015644226607598,4.064019641461483e-33,-3.017729043960572,879.2677612304688,0.96254234949826,8.744067642157479,651.1930817852364,1.0,3,-121.65322445778106,38.10882505632461,246.48596666089628,22.51924370027574,31.35370629122158,1.8080016376922976,364.8184032439724,37.18746754243908,-122.28265445377612,0.8573687672615051,435975,291.36736904,320109,36.63680346172578,-121.88678973554518,0.0247682407498359,797.1767770288318,55.62189658492703,289.45327784,247.9817583315861,2013-06-19 18:48:00.460999936+00:00,2013-06-19 19:00:00+00:00,2013-06-19,224.7391314602729,185.149776125,-28.562572736768733,-23.531077625,4.432810187499999,202.20506158333333,36.15355289583332,1.5956926723292106,201306191200.0,201306191230.0,398.418612,10.589462,1833.729706,-16.720099,11.426598,1.0,0.0,69.880411,20.889982,363.209141,2.0,1.0,255.356474,3.426732,0.266535,-0.08206,-0.07471,-39.605072,0.943906,0.327222,0.0,101.62,40.973,22.071,-9999.0,25.283573,0.282721,22.681333,21.587,19.675,19.828667,20.401,0.052344,745.140845,2285.420561,95.961905,1012.94,0.0,-16.720099,5.632156,22.352255,11.426598,20.889982,363.209141,CA,CRO,15.6,421.0,38.1087,-121.6531,-7.0,US-Twt,2013-06-19 12:00:00,2013-06-19 12:00:00-07:00,2013-06-19
7,7,0,0,LC08_044033_20130705,-121.65322445778106,38.10882505632461,2013-07-05 18:47:40.033999872,0.0174975,0.018955,0.0410375,0.0234099999999999,0.3233525,0.1119324999999999,0.0495075,301.8196742,21824.0,0.11956674,0.8649796330341373,0.5673637120266334,0.5313340517559528,301.8196742,1.4432104387036904,0.9644321043870367,0.9747625944477222,-121.65334881507606,38.10886256208297,-0.86497962474823,0.86497962474823,1,1,-0.7747605587420071,-301.8196742,301.8196742,302.4199308625241,-302.4199308625241,302.4199308625241,0.7580350687623292,1.3957609815827965,21.917791457833744,453.7795307504551,914.906613923208,0.7580350687623292,3.09455392971568,1.3957609815827965,350.5594687020259,689.825488054613,42.69927605761242,0.059433179618107,0.6294592262725522,41.91981731933129,10.670270847020271,0.382602993068275,11.607843331023414,0.059433179618107,0.6294592262725522,0.6795877805882395,0.2097710072994232,-63.05633163452149,0.8959038904133313,7.752686623911689,605.2063946776692,0.9352215741810724,0,-121.65322445778106,38.10882505632461,233.32891235210013,24.60796680675995,45.10378598284876,3.383009188215349,356.1089829113632,38.87590838159289,-120.62369527433135,0.8902809023857117,485134,300.59602304,784861,38.99352816515574,-122.36524259818704,0.2047264128923416,518.6789460238973,140.58676418762053,326.9250311,219.8661926541355,2013-07-05 18:47:40.033999872+00:00,2013-07-05 19:00:00+00:00,2013-07-05,267.112867779957,203.52906077083333,-46.18527729341231,-35.1912889375,-6.334097625000001,185.1458186458333,23.142144437499987,-29.447674215711395,201307051200.0,201307051230.0,382.183173,16.781586,1836.930356,-32.611007,62.353998,0.0,0.0,22.301905,-1.124924,377.103625,2.0,1.0,267.394162,4.389053,0.438559,-0.009683,-0.212403,-335.638988,0.986638,0.452665,0.0,100.59,57.309,23.767,-9999.0,28.114544,0.151286,25.328667,25.021667,24.293333,24.718333,24.248,0.077268,710.28169,2255.88785,104.746667,-9999.0,0.0,-32.611007,7.785716,40.396723,62.353998,-1.124924,377.103625,CA,CRO,15.6,421.0,38.1087,-121.6531,-7.0,US-Twt,2013-07-05 12:00:00,2013-07-05 12:00:00-07:00,2013-07-05
8,8,1,1,LC08_044033_20130721,-121.65322445778106,38.10882505632461,2013-07-21 18:47:37.970000128,0.0112275,0.01593,0.0387275,0.0225025,0.3523375,0.09854,0.0417249999999999,300.88655474,21824.0,0.124281615,0.8799354391206913,0.6028226211777005,0.5655348406565771,300.88655474,1.709996378890066,0.9670999637889006,0.9756429880503372,-121.65334881507606,38.10886256208297,-0.8799354434013367,0.8799354434013367,1,1,-0.8019382967025943,-300.88655474,300.88655474,301.5835397876993,-301.5835397876993,301.5835397876993,0.7549707247729315,1.4387491111764243,22.528160853948226,449.43361500780645,897.4781142315579,0.7549707247729315,3.130373047713052,1.4387491111764243,355.91260226868746,680.70753452596,37.678865563673575,0.0720284430574638,0.4637463549889358,-0.7297092910709729,15.931109761646985,-0.0099263274670917,15.755733717871111,0.0720284430574638,0.4637463549889358,0.4587664317240852,0.1805464625358581,-54.45976638793945,0.951120938304212,7.686613290287411,643.0286689622865,1.0,1,-121.65322445778106,38.10882505632461,216.5301537824533,24.80073806968732,45.96094744131302,2.433401989298169,338.32074378422215,39.227087253404974,-121.52762292791128,0.9305447340011596,548343,301.63851914,791584,38.86287008332638,-122.03687810526984,0.1762391775846481,399.6378258071742,124.61074365224184,328.49390228,217.99235291255096,2013-07-21 18:47:37.970000128+00:00,2013-07-21 19:00:00+00:00,2013-07-21,237.79920172002448,192.85983764583327,-47.44540599902208,-38.47915902083333,-2.7944441875,182.962235875,31.376001437500012,-4.597115658502396,201307211200.0,201307211230.0,375.447624,18.437414,1884.573954,-37.698934,115.410655,1.0,1.0,13.057188,-5.191009,363.947698,2.0,1.0,259.563326,2.607426,0.291448,-0.026325,-0.096476,-123.456831,0.524509,0.300424,0.0,100.76,53.865,27.069,-9999.0,31.76448,0.471521,22.359,22.342,21.698,21.940667,21.790667,0.075578,709.859155,2041.308411,74.80381,960.14,0.0,-37.698934,8.229589,45.928523,115.410655,-5.191009,363.947698,CA,CRO,15.6,421.0,38.1087,-121.6531,-7.0,US-Twt,2013-07-21 12:00:00,2013-07-21 12:00:00-07:00,2013-07-21
9,9,2,2,LC08_044034_20130705,-121.65322445778106,38.10882505632461,2013-07-05 18:48:03.920000000,0.0199175,0.0208524999999999,0.04222,0.0245374999999999,0.3230774999999999,0.1120424999999999,0.049315,301.85043638,21824.0,0.1203981199999999,0.8588236986321074,0.5680379250081103,0.5283176914047061,301.85043638,1.422515588036355,0.9642251558803636,0.97469430144052,-121.65334881507606,38.10886256208297,-0.8588237166404724,0.8588237166404724,1,1,-0.7688459406374257,-301.85043638,301.85043638,302.3937868719767,-302.3937868719767,302.3937868719767,0.7585434700055627,1.3955154180629297,21.914304810269737,453.8671481692647,919.7149780600477,0.7585434700055627,3.0952067203670843,1.3955154180629297,310.8527798427984,654.8479456962784,41.93920299502322,0.0584341631753887,0.6282857975827951,241.20768927745183,9.51796965566342,1.9514665371336548,11.629522917675272,0.0584341631753887,0.6282857975827951,0.7437878124406642,0.1827010959386825,-53.29621124267578,0.5502254612744829,5.023210802011209,371.7010534238033,0.6064541546358367,2,-121.65322445778106,38.10882505632461,233.14456479445744,24.61149736406196,45.08633975495584,3.3837510406573035,356.1089829113632,37.95759636591156,-122.74888422912872,0.8651400804519653,279444,291.71258906,446001,37.49914991013982,-121.94470544781672,0.032633002847433,579.6448668787734,120.33600851730824,320.69398064,142.45825834503788,2013-07-05 18:48:03.920000+00:00,2013-07-05 19:00:00+00:00,2013-07-05,267.112867779957,203.52906077083333,-46.18527729341231,-35.1912889375,-6.334097625000001,185.1458186458333,23.142144437499987,-29.447674215711395,201307051200.0,201307051230.0,382.183173,16.781586,1836.930356,-32.611007,62.353998,0.0,0.0,22.301905,-1.124924,377.103625,2.0,1.0,267.394162,4.389053,0.438559,-0.009683,-0.212403,-335.638988,0.986638,0.452665,0.0,100.59,57.309,23.767,-9999.0,28.114544,0.151286,25.328667,25.021667,24.293333,24.718333,24.248,0.077268,710.28169,2255.88785,104.746667,-9999.0,0.0,-32.611007,7.785716,40.396723,62.353998,-1.124924,377.103625,CA,CRO,15.6,421.0,38.1087,-121.6531,-7.0,US-Twt,2013-07-05 12:00:00,2013-07-05 12:00:00-07:00,2013-07-05
