,Unnamed: 0.2,Unnamed: 0.1,Unnamed: 0,id,longitude,latitude,date,UB,B,GR,R,NIR,SWIR_1,SWIR_2,ST_B10,pixel_qa,ALFA,NDVI_model,EVI,SAVI,T_LST,LAI,e_0,e_NB,longitude.1,latitude.1,NDVI_neg,pos_NDVI,int,sd_ndvi,NDWI,LST_neg,LST_NW,T_LST_DEM,LST_neg_1,LST_NW_1,Tao_sw,EA,W_ATM,Rl_up,Rs_down,Tao_sw_1,ES,EA_1,Rl_down,Rn,Ginst,zom,u_fr,Hinst,rah,dT,rah_first,zom_1,u_fr_1,ufric_star,constant,constant_1,ET_inst,ET_24h,LEinst,EF,id.1,longitude.2,latitude.2,Rn24h_G,AirT_G,RH_G,ux_G,SW_Down,cold_pixel_lat,cold_pixel_lon,cold_pixel_ndvi,cold_pixel_sum,cold_pixel_temp,hot_pixel_sum,hot_pixel_lat,hot_pixel_lon,hot_pixel_ndvi,hot_pixel_Rn,hot_pixel_G,hot_pixel_temp,LE_daily_orig,Datetime_Local_sebal,Datetime_GMT,Date_daily,LE_closed,LE_unclosed,H_closed,H_unclosed,G_unclosed,Rn_unclosed,Residual_unclosed,Residual_closed,TIMESTAMP_START,TIMESTAMP_END,ALB,CO2,FC,FC_SSITC_TEST,FETCH_70,FETCH_90,FETCH_MAX,G_inst_af,G_2_1_1,H_inst_af,H2O,H_SSITC_TEST,LE_inst_af,LE_SSITC_TEST,LW_IN,LW_OUT,MO_LENGTH,Rn_inst_af,PA,PPFD_IN,PPFD_OUT,RH,SC,SH,SLE,SWC_1_1_1,SWC_1_2_1,SWC_1_3_1,SWC_1_4_1,SWC_1_6_1,SWC_2_1_1,SWC_2_2_1,SWC_2_3_1,SWC_2_4_1,SWC_2_6_1,SW_IN,SW_OUT,TAU,TAU_SSITC_TEST,TA_1_1_1,TS_1_1_1,TS_1_2_1,TS_1_3_1,TS_1_4_1,TS_1_6_1,TS_2_1_1,TS_2_2_1,TS_2_3_1,TS_2_4_1,TS_2_6_1,T_CANOPY,T_SONIC,USTAR,U_SIGMA,VPD_PI,V_SIGMA,WD,WS,WS_MAX,W_SIGMA,ZL,TA_1_1_3,PPFD_IN_PI_F,TA_1_1_2,SWC_1_5_1,TS_1_5_1,State,Veg,MAT,MAP,Lat,Long,Elev_insitu,Name,Datetime,Datetime_Local_flux,Date
0,0,0,0,LC08_022032_20130329,-88.19601068991994,40.062930293869805,2013-03-29 16:32:20.114000128,,,,,,,,,,,,,,,,,,-88.19591166082384,40.06304708706139,,,1,1,,,,,,,0.7688531122165674,0.5791146354435007,10.101527034681292,,792.8086353918811,0.7688531122165674,1.0812261461650343,0.5791146354435007,134.63126976435564,,,,,,,,,,,,0.5536047220230103,-131.15721130371094,,,,,0,-88.19601068991994,40.062930293869805,,8.11535316665002,53.56091669606247,1.4501779500248888,186.60508272321243,40.2180691360721,-87.28441275570252,0.4525368511676788,205493,236.91489242,309917,41.0260384078948,-87.21577654168067,0.1469818949699401,680.3420320897386,-71.31850894937499,246.5673809,,2013-03-29 16:32:20.114000128+00:00,2013-03-29 17:00:00+00:00,2013-03-29,63.78328320081432,51.071197710166665,17.195702446024015,13.7685781495625,-8.223548,81.55177083333334,24.935542973604164,8.79633318649499,201303291200.0,201303291230.0,24.8,417.9812215,0.630290892,0.0,60.0,-9999.0,10.08532834,,-9999.0,77.22615357,7.402022271,0.0,171.6287717,0.0,268.4,399.8,-13.92584802,338.7,99.63189186,-9999.0,250.8,54.74,-0.055937378,1.264777036,-0.326985052,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,624.7,154.6,-0.065152995,1.0,10.26,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,19.92,9.490998733,0.231259826,0.879396117799027,5.686383201,0.878913718746044,85.2230981,1.871927621,4.302061469,0.246310273841754,-0.189072866,-9999.0,1764.0,9.470181,-9999.0,-9999.0,IL,CRO,10.9,1051.0,40.0628,-88.1961,224.0,US-UiC,2013-03-29 12:00:00,2013-03-29 12:00:00-05:00,2013-03-29
1,1,0,0,LC08_022032_20130422,-88.19601068991994,40.062930293869805,2013-04-22 16:31:05.523000064,0.0657875,0.078025,0.1150399999999999,0.1475175,0.2689575,0.356655,0.2944775,296.75416856,21824.0,0.1869929725,0.2915901314604717,0.1935144609991235,0.1987615592351127,296.75416856,0.2013108837832178,0.9520131088378322,0.9706643259164844,-88.19591166082384,40.06304708706139,-0.2915901243686676,0.2915901243686676,1,1,-0.4008294324832845,-296.75416856,296.75416856,298.7790882855061,-298.7790882855061,298.7790882855061,0.7711824935322402,0.819298526648671,13.420106433562012,418.6135680344981,878.7541193510342,0.7711824935322402,1.748467764776016,0.819298526648671,320.4257243331645,600.8691964164967,79.26276354949175,0.0091686975454958,0.3748241863526357,466.1276021892357,12.558153173272917,4.851640680756532,19.493576849827058,0.0091686975454958,0.3748241863526357,0.49572458435554,1.0931940078735352,-321.7718505859375,0.0818375871833769,0.643574310168498,55.47883067776922,0.1063614771252538,0,-88.19601068991994,40.062930293869805,170.91397718611523,15.38847261718344,46.858085871181366,2.478103568171447,307.7471022637119,39.7754189163763,-87.61117028217984,0.7794791460037231,507319,294.34104644,722575,40.909510669187,-87.996591424424,0.2224482148885727,632.7649701826031,83.50165823308117,299.32451960000003,18.251767436378604,2013-04-22 16:31:05.523000064+00:00,2013-04-22 17:00:00+00:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,US-UiC,,,2013-04-22
2,2,1,1,LC08_023032_20130413,-88.19601068991994,40.062930293869805,2013-04-13 16:37:17.976000000,,,,,,,,,,,,,,,,,,-88.19591166082384,40.06304708706139,,,1,1,,,,,,,0.7822225001309429,0.488416129590439,8.848361422604002,,864.4499442628733,0.7822225001309429,0.9831672570367732,0.488416129590439,287.4970653323245,,,,,,,,,,,,0.807466447353363,-231.60693359375,,,,,1,-88.19601068991994,40.062930293869805,,6.726042791343477,49.67782705279525,4.938527456012241,254.08806008722613,40.42184705539504,-88.87624021943168,0.6127058267593384,163287,286.8316565,243598,39.826721684752464,-89.31072275407672,0.2326677292585373,641.0689045642741,62.0909740474286,292.044137,,2013-04-13 16:37:17.976000+00:00,2013-04-13 17:00:00+00:00,2013-04-13,85.73923621317347,86.64548677052083,39.39412435847541,39.8105142020625,-0.9160122916666664,129.738375,4.198386319083333,5.521026720017787,201304131200.0,201304131230.0,14.0,405.1301306,-0.34921064,0.0,95.0,-9999.0,16.55159059,46.28692,-9999.0,173.4683155,6.759268137,0.0,238.432504,0.0,291.9,373.1,-46.62050803,582.3,98.75672743,-9999.0,109.6,63.48,-0.008939133,0.563550529,0.732296345,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,772.7,109.1,-0.252406699,0.0,6.108,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,11.3,6.050432392,0.454054512,1.21000847641659,3.418264049,1.53593021130519,254.3090381,5.974956374,10.71163614,0.47221598342284,-0.056477291,-9999.0,1082.0,6.007656,-9999.0,-9999.0,IL,CRO,10.9,1051.0,40.0628,-88.1961,224.0,US-UiC,2013-04-13 12:00:00,2013-04-13 12:00:00-05:00,2013-04-13
3,3,2,2,LC08_023032_20130429,-88.19601068991994,40.062930293869805,2013-04-29 16:37:16.072000000,0.0343825,0.0434575,0.07621,0.090125,0.1934699999999999,0.2165975,0.1475449999999999,296.62086578000003,21824.0,0.1205423574999999,0.3644105149949751,0.1834584704308686,0.1978285976812,296.62086578000003,0.1992258267917331,0.9519922582679172,0.9706574452284128,-88.19591166082384,40.06304708706139,-0.3644105195999145,0.3644105195999145,1,1,-0.4348116285968554,-296.62086578000003,296.62086578000003,298.6777078056994,-298.6777078056994,298.6777078056994,0.7578065963348724,1.2850967490786798,19.855960133971266,417.852753455668,880.0250740447051,0.7578065963348724,2.1282747002601816,1.2850967490786798,312.74746376339533,653.825187800255,76.95940517662498,0.0091207496388493,0.4275286030591078,163.56543844357998,13.3744248155873,1.833583208077954,17.090468402716024,0.0091207496388493,0.4275286030591078,0.5138369171356416,0.2801629602909088,-81.8448486328125,0.6096052405405704,4.618864490483551,413.3003441800501,0.7164584148158836,2,-88.19601068991994,40.062930293869805,182.1168234471268,18.488731783477995,60.38209019360032,2.8280357478303086,293.48375691165586,40.89194409743059,-88.08642667860059,0.7285245656967163,450869,292.13300552,682037,40.49562578560365,-89.78660639393635,0.2349881529808044,511.81958011834695,93.94037740695948,305.65127462,130.9909969501135,2013-04-29 16:37:16.072000+00:00,2013-04-29 17:00:00+00:00,2013-04-29,180.47879169876967,157.831000553359,26.494990253071705,23.17020621610417,-3.78417,196.2255625,19.008525730536828,-6.96404945184139,201304291200.0,201304291230.0,14.4,397.953099,0.935345565,0.0,105.0,-9999.0,18.30337916,,-9999.0,141.5680015,16.47808003,0.0,439.6638056,0.0,329.3,438.3,-59.58565749,697.3,98.41419604,-9999.0,136.8,66.56,-0.035847024,1.076732107,0.083145472,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,942.0,135.2,-0.246530916,0.0,19.65,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,22.75,19.88147942,0.460568653,1.17416188875299,7.11862099,1.44938845414195,167.1387768,5.569913526,10.67968577,0.509497894009386,-0.044188486,-9999.0,1912.0,19.59216,-9999.0,-9999.0,IL,CRO,10.9,1051.0,40.0628,-88.1961,224.0,US-UiC,2013-04-29 12:00:00,2013-04-29 12:00:00-05:00,2013-04-29
4,4,0,0,LC08_022032_20130524,-88.19601068991994,40.062930293869805,2013-05-24 16:31:21.687000064,0.08182,0.0986774999999999,0.143035,0.1940474999999999,0.3181825,0.4758675,0.4336825,299.43731426,21824.0,0.236384705,0.2423423071667024,0.1781106227164039,0.183952757772443,299.43731426,0.1686730855872238,0.9516867308558722,0.9705566211824378,-88.19591166082384,40.06304708706139,-0.2423423081636428,0.2423423081636428,1,1,-0.3797503347119308,-299.43731426,299.43731426,301.43736984544154,-301.43736984544154,301.43736984544154,0.7781153882880381,0.8409252813417871,13.718919573065673,433.81118793747504,938.5668276941252,0.7781153882880381,1.5536002370467072,0.8409252813417871,302.50766494341275,570.7853277782286,89.29536569586448,0.0084365189568959,0.3673046519544635,279.9414889661489,13.764568634074744,3.246636234991257,19.89265325924825,0.0084365189568959,0.3673046519544635,0.4698741537441731,0.2932431697845459,-85.14781951904297,0.2980734834138569,2.8235667893508256,201.5484731162153,0.4185933020172458,0,-88.19601068991994,40.062930293869805,190.0424925942873,13.560724232170667,54.1275201489626,2.448619150035699,356.2676860562537,40.75572694203784,-86.25211715971712,0.9119532108306884,512147,290.36588918,739688,39.773793774601245,-87.24614451982872,0.1624730676412582,506.9092404317395,103.28363314570544,307.30217828,80.07635414598941,2013-05-24 16:31:21.687000064+00:00,2013-05-24 17:00:00+00:00,2013-05-24,98.08923369820714,102.43679791783336,63.755849657202255,66.58167100691666,-12.12491,183.9430625,27.049503575249982,34.2228891445906,201305241200.0,201305241230.0,20.4,401.6009261,-1.974086283,0.0,55.0,-9999.0,9.741913737,,-9999.0,257.5619583,7.867359009,0.0,255.0938024,0.0,286.7,468.1,-12.79748622,646.5,99.94470257,-9999.0,184.8,38.14,0.0029816,1.528951231,-1.155376964,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,1040.0,212.2,-0.134794485,0.0,16.27,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,26.89,15.67391082,0.335650036,1.14192719207487,11.45474896,1.25510829572591,12.79519755,3.921830018,8.391301119,0.406316678220326,-0.205743531,-9999.0,2099.0,16.25732,-9999.0,-9999.0,IL,CRO,10.9,1051.0,40.0628,-88.1961,224.0,US-UiC,2013-05-24 12:00:00,2013-05-24 12:00:00-05:00,2013-05-24
5,5,1,1,LC08_023032_20130515,-88.19601068991994,40.062930293869805,2013-05-15 16:37:28.171000064,0.0701049999999999,0.07995,0.1109975,0.14331,0.24011,0.368975,0.3243149999999999,311.5097609,21824.0,0.1809177825,0.252464660163789,0.1612962351992375,0.1643612324828507,311.5097609,0.1269322130276088,0.951269322130276,0.9704188763029912,-88.19591166082384,40.06304708706139,-0.2524646520614624,0.2524646520614624,1,1,-0.3677292567091274,-311.5097609,311.5097609,313.5699614461897,-313.5699614461897,313.5699614461897,0.7525729044051281,1.6215376587561985,24.504506155081224,507.8941235708178,899.6599978656222,0.7525729044051281,3.2596521280298183,1.6215376587561985,353.61624241372226,565.3856656921583,116.9685675343964,0.0075569328903381,0.6726734430023954,355.45055556969817,9.000202432348354,2.8338158309575334,10.862126575454806,0.0075569328903381,0.6726734430023954,0.780058220162819,0.2267884463071823,-68.28022766113281,0.1391270119093091,1.3512389093958634,92.96654258806376,0.2073215828968152,1,-88.19601068991994,40.062930293869805,181.46447095170743,25.48086009953804,49.74572730668286,4.533360141024272,296.06742540557826,39.47981208714791,-88.10807613646084,0.8873533606529236,203736,301.07454584,268779,40.17312089468702,-88.55404541780695,0.2319231927394867,510.4207668522099,120.61516750094098,315.03715754,38.321135470466686,2013-05-15 16:37:28.171000064+00:00,2013-05-15 17:00:00+00:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,US-UiC,,,2013-05-15
6,6,0,0,LC08_022032_20130609,-88.19601068991994,40.062930293869805,2013-06-09 16:31:20.016000000,0.09942,0.12802,0.1930299999999999,0.2351325,0.4235625,0.5088950000000001,0.41523,294.12571118,21824.0,0.2889954225,0.2860656297679502,0.2513462356756122,0.2439339084055769,294.12571118,0.3073136356339914,0.9530731363563398,0.971014134997592,-88.19591166082384,40.06304708706139,-0.2860656380653381,0.2860656380653381,1,1,-0.3738814533099251,-294.12571118,294.12571118,296.1379893390246,-296.1379893390246,296.1379893390246,0.7535110015012669,1.685305089943819,25.385569753463905,404.4280306002717,914.2080876904148,0.7535110015012669,3.027426686607253,1.685305089943819,306.41174424361634,537.6109066378149,72.91066770312413,0.0118184733357185,0.5688583067588446,113.30227002878058,11.126744193317844,1.049540229253573,12.844435943055512,0.0118184733357185,0.5688583067588446,0.6414116268624985,0.1864674687385559,-54.17056274414063,0.5170309304858732,2.6146616756565715,351.39796890591015,0.7561820276044572,0,-88.19601068991994,40.062930293869805,97.917570768701,24.24139982812499,55.66790757970393,3.665364784788677,208.98340597396248,40.28449662650092,-87.77172091283686,0.8023450970649719,79548,290.50944602,113613,40.57190760482103,-86.91481903248231,0.2530248761177063,517.4025997197394,110.92868765236574,312.33692174,74.15180512162037,2013-06-09 16:31:20.016000+00:00,2013-06-09 17:00:00+00:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,US-UiC,,,2013-06-09
7,7,1,1,LC08_022032_20130625,-88.19601068991994,40.062930293869805,2013-06-25 16:31:15.316999936,0.0503049999999999,0.060535,0.1001624999999999,0.0998875,0.360285,0.3245349999999999,0.21327,298.59648134,21824.0,0.1910513675,0.5658693207438514,0.4323823266178378,0.4067979972348718,298.59648134,0.8065517617521353,0.9580655176175212,0.972661620813782,-88.19591166082384,40.06304708706139,-0.5658693313598633,0.5658693313598633,1,1,-0.5649341130096266,-298.59648134,298.59648134,300.6708511964985,-300.6708511964985,300.6708511964985,0.7324845949766274,2.670461868854505,38.99731105200073,431.8341770550946,885.176593821509,0.7324845949766274,3.966785343431501,2.670461868854505,348.5271433212032,618.1400560076077,79.78312650144811,0.0295168127119934,0.6767584134979755,33.49637403608366,10.16373259466758,0.2893163988477312,10.796561869209564,0.0295168127119934,0.6767584134979755,0.7151471210319331,0.2228117138147354,-66.70367431640625,0.746092215880082,5.090648539988633,504.8605554700759,0.9377803605745166,1,-88.19601068991994,40.062930293869805,153.05223329255452,28.83127436207884,67.3205539915704,3.950675226297726,262.6851574401164,40.09015827395567,-87.30992146629679,0.8703570365905762,311704,299.37237188,493180,40.08406654684817,-86.93302440354084,0.4222790896892547,499.12237265945146,113.9019994458507,314.52445454,144.37079259407764,2013-06-25 16:31:15.316999936+00:00,2013-06-25 17:00:00+00:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,US-UiC,,,2013-06-25
8,8,0,0,LC08_022032_20130711,-88.19601068991994,40.062930293869805,2013-07-11 16:31:18.348999936,0.0438975,0.0437325,0.0715899999999999,0.0536875,0.4474875,0.285925,0.1526325,301.5462326,21824.0,0.193671485,0.7857534793235896,0.6829128713815633,0.5900067420780584,301.5462326,1.9505711801814736,0.9695057118018148,0.9764368848945988,-88.19591166082384,40.06304708706139,-0.7857534885406494,0.7857534885406494,1,1,-0.7241645033737737,-301.5462326,301.5462326,303.7311513463067,-303.7311513463067,303.7311513463067,0.7555152141006329,1.5506302915696708,23.5247912924676,454.51587724359416,902.453527385018,0.7555152141006329,2.974990851872693,1.5506302915696708,343.33749779070035,606.0258005331062,60.75508744064706,0.0826482102496453,0.6694158450614821,150.1859436993851,9.365565284323116,1.2054674285478342,10.914985260272598,0.0826482102496453,0.6694158450614821,0.7658134913584717,0.2524127960205078,-75.46015930175781,0.5856004605555329,4.24209053431755,395.084769393074,0.7245662748919384,0,-88.19601068991994,40.062930293869805,164.58090786391136,23.950093546374458,52.12218688314898,3.4516775462290563,305.24425440352445,40.02006218576143,-86.6578183900154,0.9251447916030884,304096,298.95537344,452747,39.50767680194706,-87.3924639283142,0.1000419408082962,496.08908153123616,117.74064014990388,314.60990504,120.30568755324572,2013-07-11 16:31:18.348999936+00:00,2013-07-11 17:00:00+00:00,2013-07-11,161.4790973932771,134.75337184585,-5.652415434723025,-4.716907954020834,-9.18684,190.584,69.73437610817079,43.94415804144589,201307111200.0,201307111230.0,17.6,372.4936048,-9999.0,0.0,110.0,-9999.0,19.61218695,,-9999.0,48.03334457,18.35288777,0.0,,0.0,379.9,458.9,-120.2337161,683.8,98.95437966,-9999.0,72.56,56.19,-0.08278668,0.213315816,0.052651424,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,927.0,164.3,-0.188388573,0.0,24.71,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,27.94,24.98373135,0.405338015,1.1101100576069,14.22112343,0.99294698750739,33.22713949,3.5459328,7.937043312,0.426516404139395,-0.020784519,-9999.0,1947.0,24.44533,-9999.0,-9999.0,IL,CRO,10.9,1051.0,40.0628,-88.1961,224.0,US-UiC,2013-07-11 12:00:00,2013-07-11 12:00:00-05:00,2013-07-11
9,9,1,1,LC08_022032_20130727,-88.19601068991994,40.062930293869805,2013-07-27 16:31:18.098000128,0.0477199999999999,0.0436499999999999,0.065595,0.0345199999999999,0.6975724999999999,0.27586,0.1196324999999999,297.54031316,21824.0,0.2576523524999999,0.9056949770691544,1.0509179350384434,0.8072273388564576,297.54031316,7.011123666922817,0.98,0.98,-88.19591166082384,40.06304708706139,-0.9056949615478516,0.9056949615478516,1,1,-0.8280980256627802,-297.54031316,297.54031316,299.77742238124785,-299.77742238124785,299.77742238124785,0.7522325228346665,1.5847236966475924,23.995853990143008,435.5042501000635,881.5326984730153,0.7522325228346665,2.4189830141625945,1.5847236966475924,323.9749799300205,536.3949551371263,27.76056828509157,0.2801633772981354,0.7813674853266024,205.8704678740185,7.954404393778867,1.3808720502695735,9.35112379136803,0.2801633772981354,0.7813674853266024,0.9044473553193204,0.2639637291431427,-77.74949645996094,0.4470429883078107,2.890200645450775,302.7639189780163,0.5952486241676231,1,-88.19601068991994,40.062930293869805,137.01659866675635,20.549304266000604,65.51198116602706,3.3976704592655813,261.136741506376,40.602251732698,-87.96258304977937,0.998535692691803,168537,294.54612764,225094,39.5076885291217,-87.38897440188106,0.2437574863433838,618.7047451007795,111.54042520651598,314.96537912,81.96609030498398,2013-07-27 16:31:18.098000128+00:00,2013-07-27 17:00:00+00:00,2013-07-27,176.35042319824134,150.68657262641668,15.353892137651224,13.119477349354169,6.201676595744682,170.71520833333332,0.7074817618177907,-27.19078359830393,201307271200.0,201307271230.0,22.3,375.0181668,-30.78870236,0.0,95.0,-9999.0,16.94101788,36.40464,-9999.0,74.01674642,17.08386822,0.0,426.0700678,0.0,356.9,429.2,-152.40803,602.7,98.4314094,-9999.0,65.91,58.81,0.023660578,-0.19848288,-3.691234415,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,867.0,191.7,-0.296444775,0.0,20.69,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,21.58,21.27405713,0.50737535,1.21821813892258,10.70889812,1.31232285623622,279.77306,4.402630993,9.530723549,0.538690772150405,-0.015517555,-9999.0,1162.0,20.5628,-9999.0,-9999.0,IL,CRO,10.9,1051.0,40.0628,-88.1961,224.0,US-UiC,2013-07-27 12:00:00,2013-07-27 12:00:00-05:00,2013-07-27
