,Unnamed: 0.2,Unnamed: 0.1,Unnamed: 0,id,longitude,latitude,date,UB,B,GR,R,NIR,SWIR_1,SWIR_2,ST_B10,pixel_qa,ALFA,NDVI_model,EVI,SAVI,T_LST,LAI,e_0,e_NB,longitude.1,latitude.1,NDVI_neg,pos_NDVI,int,sd_ndvi,NDWI,LST_neg,LST_NW,T_LST_DEM,LST_neg_1,LST_NW_1,Tao_sw,EA,W_ATM,Rl_up,Rs_down,Tao_sw_1,ES,EA_1,Rl_down,Rn,Ginst,zom,u_fr,Hinst,rah,dT,rah_first,zom_1,u_fr_1,ufric_star,constant,constant_1,ET_inst,ET_24h,LEinst,EF,id.1,longitude.2,latitude.2,Rn24h_G,AirT_G,RH_G,ux_G,SW_Down,cold_pixel_lat,cold_pixel_lon,cold_pixel_ndvi,cold_pixel_sum,cold_pixel_temp,hot_pixel_sum,hot_pixel_lat,hot_pixel_lon,hot_pixel_ndvi,hot_pixel_Rn,hot_pixel_G,hot_pixel_temp,LE_daily_orig,Datetime_Local_sebal,Datetime_GMT,Date_daily,LE_closed,LE_unclosed,H_closed,H_unclosed,G_unclosed,Rn_unclosed,Residual_unclosed,Residual_closed,TIMESTAMP_START,TIMESTAMP_END,ALB,CO2,FC,FC_SSITC_TEST,FETCH_70,FETCH_90,FETCH_MAX,G_inst_af,G_2_1_1,H_inst_af,H2O,H_SSITC_TEST,LE_inst_af,LE_SSITC_TEST,LW_IN,LW_OUT,MO_LENGTH,Rn_inst_af,PA,PPFD_IN,PPFD_OUT,RH,SC,SH,SLE,SWC_1_1_1,SWC_1_2_1,SWC_1_3_1,SWC_1_4_1,SWC_1_6_1,SWC_2_1_1,SWC_2_2_1,SWC_2_3_1,SWC_2_4_1,SWC_2_6_1,SW_IN,SW_OUT,TAU,TAU_SSITC_TEST,TA_1_1_1,TS_1_1_1,TS_1_2_1,TS_1_3_1,TS_1_4_1,TS_1_6_1,TS_2_1_1,TS_2_2_1,TS_2_3_1,TS_2_4_1,TS_2_6_1,T_CANOPY,T_SONIC,USTAR,U_SIGMA,VPD_PI,V_SIGMA,WD,WS,WS_MAX,W_SIGMA,ZL,PPFD_IN_PI_F,TA_2_1_1,TA_1_1_2,SWC_1_5_1,TS_1_5_1,VPD_PI_F,State,Veg,MAT,MAP,Lat,Long,Elev_insitu,Name,Datetime,Datetime_Local_flux,Date
0,0,0,0,LC08_022032_20130329,-88.19843614118707,40.06454726138122,2013-03-29 16:32:20.114000128,,,,,,,,,,,,,,,,,,-88.19840197779757,40.06464303573559,,,1,1,,,,,,,0.7687946225387321,0.5792725240775194,10.1074636335645,,792.7483233232529,0.7687946225387321,1.0808807822233029,0.5792725240775194,134.63477620777985,,,,,,,,,,,,0.5536047220230103,-131.15721130371094,,,,,0,-88.19843614118707,40.06454726138122,,8.110658174219957,53.592637930521136,1.4509103296051702,186.6505130168053,40.2180691360721,-87.28441275570252,0.4525368511676788,205493,236.91489242,309917,41.0260384078948,-87.21577654168067,0.1469818949699401,680.3420320897386,-71.31850894937499,246.5673809,,2013-03-29 16:32:20.114000128+00:00,2013-03-29 17:00:00+00:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,US-UiD,,,2013-03-29
1,1,0,0,LC08_022032_20130422,-88.19843614118707,40.06454726138122,2013-04-22 16:31:05.523000064,0.053935,0.0663925,0.0979074999999999,0.1205675,0.2676375,0.339,0.2350775,298.21708112,21824.0,0.1720410025,0.3788462281526514,0.2462496201272689,0.248371715988989,298.21708112,0.3183010934614809,0.9531830109346148,0.9710503936084228,-88.19840197779757,40.06464303573559,-0.3788462281227112,0.3788462281227112,1,1,-0.4643203983093737,-298.21708112,298.21708112,300.1430100126164,-300.1430100126164,300.1430100126164,0.7711224308242745,0.8195819334736618,13.429335078455376,427.4540265865461,878.6856785442383,0.7711224308242745,1.7477935312775257,0.8195819334736618,320.43436775340354,605.4942824006677,81.24154022231139,0.0121169381742662,0.3859440924275558,659.6319791813193,11.607100741495136,6.34267171808591,18.9319236262452,0.0121169381742662,0.3859440924275558,0.5241917651250232,1.0931940078735352,-321.7718505859375,-0.1999636283713174,-1.6043141083261176,-135.379237002963,-0.2582327684933798,0,-88.19843614118707,40.06454726138122,175.25396940429152,15.382463552186175,46.89237709185247,2.480410688096528,307.750775152623,39.7754189163763,-87.61117028217984,0.7794791460037231,507319,294.34104644,722575,40.909510669187,-87.996591424424,0.2224482148885727,632.7649701826031,83.50165823308117,299.32451960000003,-45.498348112128696,2013-04-22 16:31:05.523000064+00:00,2013-04-22 17:00:00+00:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,US-UiD,,,2013-04-22
2,2,1,1,LC08_023032_20130413,-88.19843614118707,40.06454726138122,2013-04-13 16:37:17.976000000,,,,,,,,,,,,,,,,,,-88.19840197779757,40.06464303573559,,,1,1,,,,,,,0.7821754539651802,0.4883984788734118,8.851283542223918,,864.3979525912395,0.7821754539651802,0.9822140200456912,0.4883984788734118,287.5034007869685,,,,,,,,,,,,0.807466447353363,-231.60693359375,,,,,1,-88.19843614118707,40.06454726138122,,6.711948563208452,49.72424226348267,4.937292456138052,254.02540908552925,40.42184705539504,-88.87624021943168,0.6127058267593384,163287,286.8316565,243598,39.826721684752464,-89.31072275407672,0.2326677292585373,641.0689045642741,62.0909740474286,292.044137,,2013-04-13 16:37:17.976000+00:00,2013-04-13 17:00:00+00:00,2013-04-13,61.55802870093488,61.3275067339375,52.39818316447233,52.20196290685417,-18.1388,112.3794375,16.98876785920833,16.5620256345928,201304131200.0,201304131230.0,19.6,403.8283261,-3.991154004,0.0,100.0,-9999.0,17.8078462,,-9999.0,180.3418896,6.753115302,0.0,142.1780574,0.0,297.6,381.7,-64.16696519,520.1,98.85624283,-9999.0,103.2,66.83,-0.004285859,0.136098825,-0.095512819,37.5,-9999.0,33.9,42.7,-9999.0,37.0,36.9,-9999.0,40.5,14.1,751.7,147.4,-0.321004419,0.0,6.089,7.385,-9999.0,8.3,8.8,-9999.0,7.453,6.985,8.82,8.98,11.25,16.96,6.235735387,0.511534636,1.21518342319174,3.22397436,1.58561284461245,262.2801108,5.697197658,10.3628507,0.471425688735775,-0.037916707,1082.0,-9999.0,6.073124,-9999.0,-9999.0,-9999.0,IL,GRA,10.9,1051.0,40.0646,-88.1985,224.0,US-UiD,2013-04-13 12:00:00,2013-04-13 12:00:00-05:00,2013-04-13
3,3,2,2,LC08_023032_20130429,-88.19843614118707,40.06454726138122,2013-04-29 16:37:16.072000000,0.0470875,0.058665,0.0925725,0.1081925,0.2818825,0.3198875,0.2062574999999999,299.25274118,21824.0,0.168000015,0.4452733448695762,0.2912209516783474,0.2927112883745751,299.25274118,0.4345706452804115,0.954345706452804,0.9714340831294254,-88.19840197779757,40.06464303573559,-0.4452733397483825,0.4452733397483825,1,1,-0.5055614159244769,-299.25274118,299.25274118,301.2241034938691,-301.2241034938691,301.2241034938691,0.7577458239982728,1.2854584803334583,19.86929097425962,433.95163795192457,879.9545003913818,0.7577458239982728,2.127837217052151,1.2854584803334583,312.7556024038819,596.6474594975923,81.22099051584043,0.0155458344179363,0.4518935528659557,246.9353279917018,12.218484208987295,2.54698897829185,16.168993860388984,0.0155458344179363,0.4518935528659557,0.5568855498712322,0.2801629602909088,-81.8448486328125,0.3969940206722147,3.180022697235088,268.4911409900501,0.5209106577713527,2,-88.19843614118707,40.06454726138122,172.0290257082396,18.48544973104571,60.411504697445714,2.8297380567827624,293.5641256717536,40.89194409743059,-88.08642667860059,0.7285245656967163,450869,292.13300552,682037,40.49562578560365,-89.78660639393635,0.2349881529808044,511.81958011834695,93.94037740695948,305.65127462,90.18544369358708,2013-04-29 16:37:16.072000+00:00,2013-04-29 17:00:00+00:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,US-UiD,,,2013-04-29
4,4,0,0,LC08_022032_20130524,-88.19843614118707,40.06454726138122,2013-05-24 16:31:21.687000064,0.0323475,0.0337224999999999,0.071205,0.040295,0.43503,0.1922875,0.0920774999999999,297.11306066,21824.0,0.1723964124999999,0.8304528480513332,0.6930616580561054,0.607082254633071,297.11306066,2.1563444397399945,0.9715634443974,0.977115936651142,-88.19840197779757,40.06464303573559,-0.8304528594017029,0.8304528594017029,1,1,-0.718687961124774,-297.11306066,297.11306066,299.0132696776628,-299.0132696776628,299.0132696776628,0.7780648523692963,0.841015082951865,13.725612146442971,429.2805358998695,938.5058710061433,0.7780648523692963,1.553312679136231,0.841015082951865,302.5147123801087,641.3425257755342,44.94963617024819,0.0909725261069552,0.4807651829728743,269.7681201956182,11.230622947808708,2.535785384975796,15.197989248425374,0.0909725261069552,0.4807651829728743,0.6129655912193888,0.2932431697845459,-85.14781951904297,0.4819178759450614,4.1263608914800525,326.62476940966786,0.5476671085496001,0,-88.19843614118707,40.06454726138122,212.77244686123817,13.557881757638324,54.14332183392324,2.448414830523156,356.276917599018,40.75572694203784,-86.25211715971712,0.9119532108306884,512147,290.36588918,739688,39.773793774601245,-87.24614451982872,0.1624730676412582,506.9092404317395,103.28363314570544,307.30217828,117.02359488237428,2013-05-24 16:31:21.687000064+00:00,2013-05-24 17:00:00+00:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,US-UiD,,,2013-05-24
5,5,1,1,LC08_023032_20130515,-88.19843614118707,40.06454726138122,2013-05-15 16:37:28.171000064,0.0331724999999999,0.0404875,0.0787399999999999,0.0651824999999999,0.3386425,0.2410725,0.1394875,305.76406928,21824.0,0.159014005,0.6771745186652636,0.4793906378055249,0.4538378557796034,305.76406928,1.0061581494558671,0.9600615814945588,0.9733203218932044,-88.19840197779757,40.06464303573559,-0.6771745085716248,0.6771745085716248,1,1,-0.6226962079148025,-305.76406928,305.76406928,307.72434511321114,-307.72434511321114,307.72434511321114,0.7525175864019652,1.6217492199776251,24.51794209454789,475.80384604974273,899.5938681998899,0.7525175864019652,3.25764986193336,1.6217492199776251,353.6244713881606,620.2432675503354,84.7298521288622,0.0384486670581858,0.8002766358698296,216.65907686881536,8.00330949422877,1.5080976133183557,9.130172935634077,0.0384486670581858,0.8002766358698296,0.8978292334176585,0.2267884463071823,-68.28022766113281,0.474452288182306,4.003802231520416,318.8543385526578,0.5954180219774795,1,-88.19843614118707,40.06454726138122,188.29517223322256,25.470507146809048,49.78279706877842,4.531721473929847,296.0275136084598,39.47981208714791,-88.10807613646084,0.8873533606529236,203736,301.07454584,268779,40.17312089468702,-88.55404541780695,0.2319231927394867,510.4207668522099,120.61516750094098,315.03715754,113.547831285919,2013-05-15 16:37:28.171000064+00:00,2013-05-15 17:00:00+00:00,2013-05-15,184.69186696062172,147.0183266869375,-12.08031481087847,-9.616166096395832,13.004521276595744,197.10429166666663,46.69760979952923,11.488218240327631,201305151200.0,201305151230.0,18.3,398.7148728,-12.81796414,0.0,-9999.0,-9999.0,21.7262689,48.8835,-9999.0,84.75546707,17.88489542,0.0,336.2701675,0.0,399.9,490.9,-142.9793448,708.0,98.27731097,-9999.0,71.61,41.14,-0.024671439,0.549588971,0.652076723,29.1,-9999.0,33.4,41.9,-9999.0,36.6,34.9,-9999.0,39.8,13.8,978.0,179.4,-0.303231728,0.0,29.64,18.72,-9999.0,15.55,14.3,-9999.0,21.77,18.12,12.72,14.43,15.4,38.03,30.23809038,0.51977167,1.36476743037046,24.31913219,1.54782162828925,261.2795168,5.351052168,11.1182391,0.500834560508757,-0.016547845,1845.0,-9999.0,29.43606,-9999.0,-9999.0,-9999.0,IL,GRA,10.9,1051.0,40.0646,-88.1985,224.0,US-UiD,2013-05-15 12:00:00,2013-05-15 12:00:00-05:00,2013-05-15
6,6,0,0,LC08_022032_20130609,-88.19843614118707,40.06454726138122,2013-06-09 16:31:20.016000000,0.053165,0.0653475,0.1392125,0.1130324999999999,0.51522,0.3117475,0.2101625,288.75600176,21824.0,0.241952025,0.6401685627991931,0.5903032847098332,0.534704111003521,288.75600176,1.46680250380654,0.9646680250380654,0.9748404482625616,-88.19840197779757,40.06464303573559,-0.6401685476303101,0.6401685476303101,1,1,-0.5745550534241499,-288.75600176,288.75600176,290.6684088381275,-290.6684088381275,290.6684088381275,0.7534644585529235,1.6851872215076271,25.394865250961093,380.26383300788586,914.1516187872194,0.7534644585529235,3.026066689257977,1.6851872215076271,306.41776260370085,608.2983683442325,49.768821386471295,0.0605695555286175,0.683895976343604,3.4274245556663536,10.565879434445309,0.0296413944290776,10.683882249027851,0.0605695555286175,0.683895976343604,0.6911219272508052,0.1864674687385559,-54.17056274414063,0.8124637846461057,3.74567128374737,555.1021224020949,0.9938634856932188,0,-88.19843614118707,40.06454726138122,107.29032505304124,24.233900189246693,55.68903116014448,3.667005899935961,208.93955561395023,40.28449662650092,-87.77172091283686,0.8023450970649719,79548,290.50944602,113613,40.57190760482103,-86.91481903248231,0.2530248761177063,517.4025997197394,110.92868765236574,312.33692174,106.2272376070754,2013-06-09 16:31:20.016000+00:00,2013-06-09 17:00:00+00:00,2013-06-09,169.14835494501853,144.11384654912823,-27.69387787949821,-23.595093599187496,2.235367021276596,118.54564583333332,-4.208474137884007,-25.144198253463596,201306091200.0,201306091230.0,23.3,391.59426,-26.02322812,0.0,70.0,-9999.0,12.22010683,11.9493,-9999.0,-40.31356353,15.36110865,0.0,356.2709031,0.0,412.5,450.4,350.3878099,329.0,98.46029157,-9999.0,35.87,40.6,0.006778645,-0.512172203,-3.669833683,24.4,-9999.0,24.4,40.0,-9999.0,35.6,31.8,-9999.0,38.6,13.8,478.1,111.2,-0.340211592,0.0,26.56,18.67,-9999.0,17.33,16.8,-9999.0,18.94,17.84,15.7,17.0,18.2,29.86,27.03566085,0.546867039,1.31776636851909,19.65785183,1.45914658893478,170.0603531,4.790608359,10.10520657,0.575964693362362,0.0058538,805.0,-9999.0,26.39157,-9999.0,-9999.0,-9999.0,IL,GRA,10.9,1051.0,40.0646,-88.1985,224.0,US-UiD,2013-06-09 12:00:00,2013-06-09 12:00:00-05:00,2013-06-09
7,7,1,1,LC08_022032_20130625,-88.19843614118707,40.06454726138122,2013-06-25 16:31:15.316999936,0.0174699999999999,0.02715,0.0792899999999999,0.04288,0.47287,0.1785375,0.08281,293.5138856,21824.0,0.18008676,0.8337178865729521,0.7041974419023601,0.6349840019689885,293.5138856,2.6071412315072653,0.9760714123150728,0.978603566063974,-88.19840197779757,40.06464303573559,-0.8337178826332092,0.8337178826332092,1,1,-0.712800637496378,-293.5138856,293.5138856,295.4893108431605,-295.4893108431605,295.4893108431605,0.7324421158743057,2.669986949854504,39.00805711370258,410.75159541495776,885.1252596264152,0.7324421158743057,3.965889112051747,2.669986949854504,348.5329863028492,655.1674081901893,39.55278637572739,0.1064170033486018,0.7919400387335732,-0.5699898627818463,1814.4018853583016,-0.8651914754513115,9.226284471641838,0.1064170033486018,0.7919400387335732,0.0109155181318222,0.2228117138147354,-66.70367431640625,0.905220628688944,5.477340760786,615.614621814462,1.0,1,-88.19843614118707,40.06454726138122,155.20760695120407,28.82736931845168,67.32379233047163,3.950967699311855,262.5719127420925,40.09015827395567,-87.30992146629679,0.8703570365905762,311704,299.37237188,493180,40.08406654684817,-86.93302440354084,0.4222790896892547,499.12237265945146,113.9019994458507,314.52445454,155.33738397589096,2013-06-25 16:31:15.316999936+00:00,2013-06-25 17:00:00+00:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,US-UiD,,,2013-06-25
8,8,0,0,LC08_022032_20130711,-88.19843614118707,40.06454726138122,2013-07-11 16:31:18.348999936,0.0199449999999999,0.0264349999999999,0.0754675,0.036555,0.53535,0.1882174999999999,0.0779425,301.57357676000004,21824.0,0.1970390525,0.8721640831956357,0.8011908758414755,0.6980026215009726,301.57357676000004,7.011123666922817,0.98,0.98,-88.19840197779757,40.06464303573559,-0.8721640706062317,0.8721640706062317,1,1,-0.752896732657463,-301.57357676000004,301.57357676000004,303.6655997656832,-303.6655997656832,303.6655997656832,0.755467737362266,1.550553770241572,23.5337853273258,459.602393984309,902.3968170114766,0.755467737362266,2.9742887191064256,1.550553770241572,343.344423462419,601.4645442173812,41.78312085130146,0.151643142190693,0.725502039428817,159.96881678435315,8.673808606985215,1.1889213711553452,10.0711833802583,0.151643142190693,0.725502039428817,0.8292932993807002,0.2524127960205078,-75.46015930175781,0.5924221587711507,4.163875369630345,399.7126065817266,0.7141787986775473,0,-88.19843614118707,40.06454726138122,163.90646286394718,23.946162563434527,52.13191847452556,3.4494675387291607,305.1912886672468,40.02006218576143,-86.6578183900154,0.9251447916030884,304096,298.95537344,452747,39.50767680194706,-87.3924639283142,0.1000419408082962,496.08908153123616,117.74064014990388,314.60990504,118.08750548271658,2013-07-11 16:31:18.348999936+00:00,2013-07-11 17:00:00+00:00,2013-07-11,185.2762106807241,149.67030506925,10.788091545420915,8.714863860749999,-8.66736,187.2457083333333,37.52789940333335,-0.1512338928116356,201307111200.0,201307111230.0,19.5,375.8383046,-27.81345357,0.0,50.0,-9999.0,8.684513469,,-9999.0,76.28410112,19.10341226,0.0,366.7076192,0.0,384.8,458.5,-59.59649698,689.1,99.02376901,-9999.0,54.94,55.52,-0.131899605,-0.388778375,-1.050026041,29.3,-9999.0,29.9,-9999.0,-9999.0,38.0,34.6,-9999.0,-9999.0,15.2,948.0,185.5,-0.16011899,0.0,25.07,21.27,-9999.0,20.73,20.24,-9999.0,21.37,20.87,19.03,20.3,-9999.0,27.22,25.76397038,0.374183461,0.994775730001491,15.26408296,0.973343712672969,39.67470834,2.575571423,6.338537754,0.42652033363018,-0.031381039,2124.0,-9999.0,24.744,-9999.0,-9999.0,-9999.0,IL,GRA,10.9,1051.0,40.0646,-88.1985,224.0,US-UiD,2013-07-11 12:00:00,2013-07-11 12:00:00-05:00,2013-07-11
9,9,1,1,LC08_022032_20130727,-88.19843614118707,40.06454726138122,2013-07-27 16:31:18.098000128,0.0126024999999999,0.0193949999999999,0.0752749999999999,0.0376549999999999,0.5644175,0.18456,0.0768975,298.79130848,21824.0,0.2031744675,0.8749153964015962,0.8006068813321298,0.7169616790183949,298.79130848,7.011123666922817,0.98,0.98,-88.19840197779757,40.06464303573559,-0.8749154210090637,0.8749154210090637,1,1,-0.7646525479038757,-298.79130848,298.79130848,300.93749017283005,-300.93749017283005,300.93749017283005,0.7521922408533646,1.584346249429141,24.00090924039824,442.8748061464884,881.485492479391,0.7521922408533646,2.417732442172465,1.584346249429141,323.9804637697116,577.0161952837444,36.20497425884027,0.1686929021834628,0.7257205418760838,237.37964263011307,8.400322500416301,1.687087866630108,10.068151113581967,0.1686929021834628,0.7257205418760838,0.8516024404457198,0.2639637291431427,-77.74949645996094,0.4485326812694627,3.030166573707971,303.4315783947912,0.5610674605082172,1,-88.19843614118707,40.06454726138122,152.2323189469884,20.54091515605701,65.53025561445166,3.399333912662589,261.11573253675965,40.602251732698,-87.96258304977937,0.998535692691803,168537,294.54612764,225094,39.5076885291217,-87.38897440188106,0.2437574863433838,618.7047451007795,111.54042520651598,314.96537912,85.93552403035805,2013-07-27 16:31:18.098000128+00:00,2013-07-27 17:00:00+00:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,US-UiD,,,2013-07-27
