,Unnamed: 0.3,Unnamed: 0.2,Unnamed: 0.1,Unnamed: 0,id,longitude,latitude,date,UB,B,GR,R,NIR,SWIR_1,SWIR_2,ST_B10,pixel_qa,ALFA,NDVI_model,EVI,SAVI,T_LST,LAI,e_0,e_NB,longitude.1,latitude.1,NDVI_neg,pos_NDVI,int,sd_ndvi,NDWI,LST_neg,LST_NW,T_LST_DEM,LST_neg_1,LST_NW_1,Tao_sw,EA,W_ATM,Rl_up,Rs_down,Tao_sw.1,ES,EA_1,Rl_down,Rn,Ginst,zom,u_fr,Hinst,rah,dT,rah_first,zom_1,u_fr_1,ufric_star,constant,constant_1,ET_inst,ET_24h,LEinst,EF,id.1,longitude.2,latitude.2,Rn24h_G,AirT_G,RH_G,ux_G,SW_Down,cold_pixel_lat,cold_pixel_lon,cold_pixel_ndvi,cold_pixel_sum,cold_pixel_temp,hot_pixel_sum,hot_pixel_lat,hot_pixel_lon,hot_pixel_ndvi,hot_pixel_Rn,hot_pixel_G,hot_pixel_temp,Date,Rn_daily_volk_measured,LE_closed,gridMET_ETo,Lat,Long,Elev_volk,Energy_balance,Land_cover_deets,Land_cover_volk,State,Name,Veg,LE_Daily_model,Landcover_wc,Elev_SRTM,Slope_SRTM,Canopy_height,clay_percent,silt_percent,sand_percent,Ksat,doy,R_LST,GR_LST,B_LST,NIR_LST,NDVI_LST,NDWI_LST,SWIR1_LST,SWIR2_LST,ETa
0,0,0,0,0,LC08_032027_20171016,-99.1064989731936,47.1616871635675,2017-10-16 17:29:25.418999808,0.0356475,0.0453,0.0739825,0.0864949999999999,0.25969,0.3017375,0.1803799999999999,293.74289294,21824.0,0.1491287725,0.5002960844635095,0.3009135387202814,0.3070161962218665,293.74289294,0.4748679520866208,0.9547486795208662,0.9715670642418858,-99.106338402926,47.161799126502665,-0.5002960562705994,0.5002960562705994,1,1,-0.5565562040623665,-293.74289294,293.74289294,297.29418073667745,-297.29418073667745,297.29418073667745,0.7249698570167382,0.6799051900925805,11.117042290080486,403.0339177363273,529.7345243635189,0.7249698570167382,1.6855181442175615,0.6799051900925805,312.4611836438947,346.02384974352395,38.45139845860374,0.016847230844987,0.7601558918616536,290.78690874565467,8.25397677614678,1.9997447466545708,9.612060052504068,0.016847230844987,0.7601558918616536,0.8637260305377479,0.3225263059139251,-93.88544464111328,0.0247250663652549,0.0971013213794741,16.78554253926552,0.0545742717500931,0,-99.1064989731936,47.1616871635675,50.32964488765843,14.818474681613836,40.33805227342722,4.719621076708499,149.9761285167259,47.06433003052194,-100.45495345657535,0.6533516645431519,461330,291.09392744,607407,46.55199295961776,-100.05376459840096,0.2201716005802154,305.34045828419625,45.39471003815039,297.75906644,2017-10-16,22.993124999999992,,4.1,47.16165,-99.10656,559.0,0.737627979469047,"Prairie grasslands, mid- to tall-height",Grasslands,ND,US-xDC,GRA,2.7537934743218853,30,571,2.3013057060866107,0,20.26344108581543,32.68217468261719,43.4375,0.2548169195652008,289,25.40729152484527,21.73183357693355,13.306553050182,76.28209186758859,146.95841917686585,-163.48442946498452,88.63324615848325,52.98534302851717,
1,1,1,1,1,LC08_032027_20171219,-99.1064989731936,47.1616871635675,2017-12-19 17:29:19.417999872,0.126865,0.15464,0.17257,0.20876,0.313205,0.1625325,0.121585,268.01887442,21824.0,0.207201045,0.2000996235379767,0.1857176387747917,0.1533002597936328,268.01887442,0.1040480678841188,0.9510404806788412,0.9703433586240175,-99.106338402926,47.161799126502665,-0.2000996172428131,0.2000996172428131,1,1,-0.2895064587514796,-268.01887442,268.01887442,271.771387876468,-271.771387876468,271.771387876468,0.6606117671864515,0.2631854186319681,5.590419082716295,278.2553849153543,279.7629388567863,0.6606117671864515,0.5664155699936038,0.2631854186319681,227.1442251986166,159.56373377435006,-1.1713547151356936,0.0071014766338544,0.7274122083754181,199.6234298341589,8.846027481616968,1.3428009773582374,10.044736667477029,0.0071014766338544,0.7274122083754181,0.8090906120874743,0.2974265217781067,-79.48921203613281,-0.0559040649818066,0.1259115703047099,-38.888341344673165,-0.2419405850342191,1,-99.1064989731936,47.1616871635675,-15.084179926036397,-1.0321027493478354,46.46507486277966,4.932186415349458,66.6240339456262,48.3815896314851,-100.52006824054962,0.3756112456321716,241571,267.25665596,312266,47.75420585776269,-99.53422963022284,0.2043189257383346,166.50264083868933,-0.2446311002359456,270.91051934,2017-12-19,-38.90354166666667,,0.5,47.16165,-99.10656,559.0,0.737627979469047,"Prairie grasslands, mid- to tall-height",Grasslands,ND,US-xDC,GRA,3.5708521338415724,30,571,2.3013057060866107,0,20.26344108581543,32.68217468261719,43.4375,0.2548169195652008,353,55.95162022391919,46.2520171586594,41.44643874030879,83.9448515627161,53.630475872514246,-77.59319521189173,43.56177770666864,32.5870748463557,
2,2,2,2,0,LC08_031027_20171228,-99.1064989731936,47.1616871635675,2017-12-28 17:23:07.180000000,,,,,,,,,,,,,,,,,,-99.106338402926,47.161799126502665,,,1,1,,,,,,,0.6743595599930944,0.0941895189531971,3.3491607477914216,,285.023315898909,0.6743595599930944,0.1306581343062904,0.0941895189531971,190.86336951217467,,,,,,,,,,,,0.2933604419231415,-75.1507339477539,,,,,0,-99.1064989731936,47.1616871635675,,-19.4533793321248,72.08852281052545,4.696262989824298,71.03864545667363,46.69318789790295,-98.75189533707604,0.9526004791259766,141,256.1720171,326,46.4197613505241,-97.86810300423244,0.1882140934467315,100.44795978880823,-7.884491239917854,258.8038925,2017-12-28,-21.058958333333333,,0.1,47.16165,-99.10656,559.0,0.737627979469047,"Prairie grasslands, mid- to tall-height",Grasslands,ND,US-xDC,GRA,,30,571,2.3013057060866107,0,20.26344108581543,32.68217468261719,43.4375,0.2548169195652008,362,,,,,,,,,
3,3,3,3,0,LC08_031027_20180129,-99.1064989731936,47.1616871635675,2018-01-29 17:22:51.392000000,,,,,,,,,,,,,,,,,,-99.106338402926,47.161799126502665,,,1,1,,,,,,,0.7096205404296902,0.1200870590820858,3.692619244584847,,374.53526115079273,0.7096205404296902,0.171828264853093,0.1200870590820858,208.56934335184204,,,,,,,,,,,,0.5660365223884583,-148.71739196777344,,,,,0,-99.1064989731936,47.1616871635675,,-16.234598348524557,69.88783782735396,1.3728054763491817,99.85413608679012,48.07788575561559,-97.55992676039098,0.4672779738903045,53336,262.7346155,84398,46.63412223059051,-98.78116872342082,0.1111193597316742,211.2058991699058,-2.1918466493032653,267.46173716,2018-01-29,-2.079166666666671,,0.4,47.16165,-99.10656,559.0,0.737627979469047,"Prairie grasslands, mid- to tall-height",Grasslands,ND,US-xDC,GRA,,30,571,2.3013057060866107,0,20.26344108581543,32.68217468261719,43.4375,0.2548169195652008,29,,,,,,,,,
4,4,4,4,1,LC08_032027_20180205,-99.1064989731936,47.1616871635675,2018-02-05 17:28:59.170000128,,,,,,,,,,,,,,,,,,-99.106338402926,47.161799126502665,,,1,1,,,,,,,0.723692720678927,0.1012966519391944,3.443417005325265,,412.0938727052175,0.723692720678927,0.1411384694968809,0.1012966519391944,187.3810937860536,,,,,,,,,,,,0.290768414735794,-74.47480773925781,,,,,1,-99.1064989731936,47.1616871635675,,-18.556212930812595,71.77111406995454,4.443868765710058,123.5860960441691,48.27986625913458,-100.17130789780268,0.834442675113678,149,256.13100086,1378,46.65955024286611,-100.20721262404668,0.1205116808414459,249.67269240267845,-9.269129725581683,262.21849448,2018-02-05,-30.831041666666664,,0.3,47.16165,-99.10656,559.0,0.737627979469047,"Prairie grasslands, mid- to tall-height",Grasslands,ND,US-xDC,GRA,,30,571,2.3013057060866107,0,20.26344108581543,32.68217468261719,43.4375,0.2548169195652008,36,,,,,,,,,
5,5,5,5,0,LC08_031027_20180214,-99.1064989731936,47.1616871635675,2018-02-14 17:22:45.552999936,,,,,,,,,,,,,,,,,,-99.106338402926,47.161799126502665,,,1,1,,,,,,,0.7143398205119402,0.4322118314884497,7.832082089671667,,449.5489548907951,0.7143398205119402,0.634911908232822,0.4322118314884497,247.4216195545826,,,,,,,,,,,,0.5127074718475342,-140.64503479003906,,,,,0,-99.1064989731936,47.1616871635675,,0.5331854900306365,68.07429910890218,3.7518601348682665,134.95637036635,46.96935238126209,-97.59232181357676,0.6597027778625488,11344,274.31828528,24188,46.68206228864306,-98.88728398365969,0.1123096272349357,251.32348603302088,12.288299584051266,278.02000094,2018-02-14,-6.744375000000002,,1.3000001,47.16165,-99.10656,559.0,0.737627979469047,"Prairie grasslands, mid- to tall-height",Grasslands,ND,US-xDC,GRA,,30,571,2.3013057060866107,0,20.26344108581543,32.68217468261719,43.4375,0.2548169195652008,45,,,,,,,,,
6,6,6,6,2,LC08_032027_20180221,-99.1064989731936,47.1616871635675,2018-02-21 17:28:53.544000000,,,,,,,,,,,,,,,,,,-99.106338402926,47.161799126502665,,,1,1,,,,,,,0.7488963125081622,0.1175459695937266,3.6589187938259786,,508.7610252891394,0.7488963125081622,0.1749242785359626,0.1175459695937266,195.4613907593736,,,,,,,,,,,,0.4564734399318695,-118.45539093017578,,,,,2,-99.1064989731936,47.1616871635675,,-16.02144371194689,67.1982017462261,2.9238668833573374,164.88985244535831,47.90162986547946,-99.72320265233088,0.7992712259292603,427,259.50116858,2164,46.93666383338616,-100.79518908041292,0.205704465508461,262.02892905760274,-2.4384991325579475,265.38699902,2018-02-21,-29.16770833333334,,0.6,47.16165,-99.10656,559.0,0.737627979469047,"Prairie grasslands, mid- to tall-height",Grasslands,ND,US-xDC,GRA,,30,571,2.3013057060866107,0,20.26344108581543,32.68217468261719,43.4375,0.2548169195652008,52,,,,,,,,,
7,7,7,7,1,LC08_032027_20180410,-99.1064989731936,47.1616871635675,2018-04-10 17:28:29.441999872,,,,,,,,,,,,,,,,,,-99.106338402926,47.161799126502665,,,1,1,,,,,,,0.7750613906112833,0.5022599280624973,8.761074334990198,,779.8619167499637,0.7750613906112833,0.5909127301249578,0.5022599280624973,251.09202552814173,,,,,,,,,,,,0.46480393409729,-128.77676391601562,,,,,1,-99.1064989731936,47.1616871635675,,-0.4539603713083328,84.99731050916546,2.839204972484727,286.2070193770986,47.11103553090314,-99.44669762799198,0.5720836520195007,72338,277.0561193,109076,46.81636396352916,-100.9846701042413,0.0848427787423133,491.68704376081865,47.40165629108746,285.79941446,2018-04-10,22.573333333333327,,1.9,47.16165,-99.10656,559.0,0.737627979469047,"Prairie grasslands, mid- to tall-height",Grasslands,ND,US-xDC,GRA,,30,571,2.3013057060866107,0,20.26344108581543,32.68217468261719,43.4375,0.2548169195652008,100,,,,,,,,,
8,8,8,8,0,LC08_031027_20180419,-99.1064989731936,47.1616871635675,2018-04-19 17:22:12.855000064,,,,,,,,,,,,,,,,,,-99.106338402926,47.161799126502665,,,1,1,,,,,,,0.7840132742422135,0.4359730607297218,7.881964284462121,,823.6623959491014,0.7840132742422135,1.2598843310026162,0.4359730607297218,288.5718556632682,,,,,,,,,,,,0.553224503993988,-158.86383056640625,,,,,0,-99.1064989731936,47.1616871635675,,10.383572608295813,34.604213260020025,0.8013886738586786,281.33722154141446,47.715041324820334,-97.78834495184996,0.3074520528316498,369183,287.15978642,514072,47.18943118502609,-98.77414461226108,0.1064604297280311,512.9016767632233,72.01205144829828,296.7610046,2018-04-19,,,2.8,47.16165,-99.10656,559.0,0.737627979469047,"Prairie grasslands, mid- to tall-height",Grasslands,ND,US-xDC,GRA,,30,571,2.3013057060866107,0,20.26344108581543,32.68217468261719,43.4375,0.2548169195652008,109,,,,,,,,,
9,9,9,9,2,LC08_032027_20180426,-99.1064989731936,47.1616871635675,2018-04-26 17:28:20.232999936,0.0603425,0.0721399999999999,0.0953224999999999,0.1202099999999999,0.212225,0.3352325,0.24286,300.7429979,21824.0,0.1574499975,0.2767909516146014,0.1652051980882411,0.1658057385861959,300.7429979,0.1299562564751521,0.9512995625647516,0.970428855646368,-99.106338402926,47.161799126502665,-0.2767909467220306,0.2767909467220306,1,1,-0.3801120152171617,-300.7429979,300.7429979,304.58519104191066,-304.58519104191066,304.58519104191066,0.7809671860877334,0.5613493148963733,9.544729920710076,441.2476996656147,843.366683780934,0.7809671860877334,1.3969906267844798,0.5613493148963733,311.15537355778395,565.3328726176197,87.72949033475766,0.0076185307019257,0.5216039333390164,549.9316972544075,10.234705512361735,4.77241018466512,14.008069369925623,0.0076185307019257,0.5216039333390164,0.6491273517242733,0.3954150974750519,-115.66517639160156,-0.1072951695077577,-0.8646096658980851,-72.32831497154541,-0.1514401230280834,2,-99.1064989731936,47.1616871635675,160.36000761646747,11.939633057183682,40.18275456782827,3.5124524224499165,286.1370564315763,48.12458794610718,-99.84122335724211,0.3544119596481323,547428,292.51582376,614932,46.81853779161622,-100.96823197794266,0.1927536725997924,551.9939223488506,91.45420653386476,302.44175384,2018-04-26,139.47833333333335,,4.7000003,47.16165,-99.10656,559.0,0.737627979469047,"Prairie grasslands, mid- to tall-height",Grasslands,ND,US-xDC,GRA,-24.52033012486969,30,571,2.3013057060866107,0,20.26344108581543,32.68217468261719,43.4375,0.2548169195652008,116,36.15231577755897,28.667574417322715,21.69559986850597,63.82518272932749,83.24294058016906,-114.31602699421964,100.81882704351176,73.03844446999399,
